measured_on,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Generation,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Distillate Fuel Oil-Combined Cycle Steam Part Generation,Distillate Fuel Oil-Combined Cycle Steam Part Quantity Consumed For Electricity,Distillate Fuel Oil-Combined Cycle Steam Part Total Fuel Consumed,"Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Natural Gas-Combined Cycle Combustion Turbine Part Generation,Natural Gas-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Natural Gas-Combined Cycle Steam Part Generation,Natural Gas-Combined Cycle Steam Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Steam Part Total Fuel Consumed
2008-04-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,19957.0,172343.0,172343.0,0.0,0.0,0.0
2008-05-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,5190.0,45828.0,45828.0,0.0,0.0,0.0
2008-06-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,58619.0,495189.0,495189.0,0.0,0.0,0.0
2008-07-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,82221.0,699274.0,699274.0,0.0,0.0,0.0
2008-08-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,72158.0,612871.0,612871.0,0.0,0.0,0.0
2008-09-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,57471.0,482388.0,482388.0,0.0,0.0,0.0
2008-10-01,158.614,1352.0,1352.0,0.0,0.0,0.0,,,,19616.386,167256.0,167256.0,0.0,0.0,0.0
2008-11-01,732.114,6268.0,6268.0,0.0,0.0,0.0,,,,8362.886,71600.0,71600.0,0.0,0.0,0.0
2008-12-01,511.278,4645.0,4645.0,0.0,0.0,0.0,,,,14743.722000000002,133954.0,133954.0,0.0,0.0,0.0
2009-01-01,8856.996000000001,79839.0,79839.0,0.0,0.0,0.0,,,,135.00400000000002,1217.0,1217.0,0.0,0.0,0.0
2009-02-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,210.0,210.0,0.0,0.0,0.0
2009-03-01,11209.961,92939.0,92939.0,0.0,0.0,0.0,,,,8979.039,74443.0,74443.0,0.0,0.0,0.0
2009-04-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,20251.0,173524.0,173524.0,0.0,0.0,0.0
2009-05-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,40455.0,326643.0,326643.0,0.0,0.0,0.0
2009-06-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,57382.0,497768.0,497768.0,0.0,0.0,0.0
2009-07-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,82819.0,694947.0,694947.0,0.0,0.0,0.0
2009-08-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,142415.0,1265632.0,1265632.0,0.0,0.0,0.0
2009-09-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,95953.0,811824.0,811824.0,0.0,0.0,0.0
2009-10-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,17953.0,150657.0,150657.0,0.0,0.0,0.0
2009-11-01,9.24,76.0,76.0,0.0,0.0,0.0,,,,54482.76,450732.0,450732.0,0.0,0.0,0.0
2009-12-01,1.4140000000000001,12.0,12.0,0.0,0.0,0.0,,,,18496.586000000003,153867.0,153867.0,0.0,0.0,0.0
2010-01-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,9728.0,82285.0,82285.0,0.0,0.0,0.0
2010-02-01,2.013,18.0,18.0,0.0,0.0,0.0,,,,3513.987,30791.0,30791.0,0.0,0.0,0.0
2010-03-01,31.431,259.0,259.0,0.0,0.0,0.0,,,,50867.569,418713.0,418713.0,0.0,0.0,0.0
2010-04-01,2.093,18.0,18.0,0.0,0.0,0.0,,,,29491.907,248517.0,248517.0,0.0,0.0,0.0
2010-05-01,1.41,12.0,12.0,0.0,0.0,0.0,,,,42909.590000000004,357852.0,357852.0,0.0,0.0,0.0
2010-06-01,2.0980000000000003,18.0,18.0,0.0,0.0,0.0,,,,96074.902,807691.0,807691.0,0.0,0.0,0.0
2010-07-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,135056.0,1133712.0,1133712.0,0.0,0.0,0.0
2010-08-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,114485.0,957548.0,957548.0,0.0,0.0,0.0
2010-09-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,56756.0,447199.0,447199.0,0.0,0.0,0.0
2010-10-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,15538.0,154428.0,154428.0,0.0,0.0,0.0
2010-11-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,67367.0,552548.0,552548.0,0.0,0.0,0.0
2010-12-01,711.2320000000001,6239.0,6239.0,0.0,0.0,0.0,,,,26051.768,228517.0,228517.0,0.0,0.0,0.0
2011-01-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,28048.0,243163.0,243163.0,0.0,0.0,0.0
2011-02-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,18833.0,148175.0,148175.0,0.0,0.0,0.0
2011-03-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,7233.0,55472.0,55472.0,0.0,0.0,0.0
2011-04-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,16325.0,140844.0,140844.0,0.0,0.0,0.0
2011-05-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,24871.0,211550.0,211550.0,0.0,0.0,0.0
2011-06-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,57437.0,483427.0,483427.0,0.0,0.0,0.0
2011-07-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,120550.0,1011098.0,1011098.0,0.0,0.0,0.0
2011-08-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,79439.0,640179.0,640179.0,0.0,0.0,0.0
2011-09-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,77689.0,670142.0,670142.0,0.0,0.0,0.0
2011-10-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,69465.0,576718.0,576718.0,0.0,0.0,0.0
2011-11-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,99361.0,876944.0,876944.0,0.0,0.0,0.0
2011-12-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,162595.0,1417001.0,1417001.0,0.0,0.0,0.0
2012-01-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,133482.0,1136938.0,1136938.0,0.0,0.0,0.0
2012-02-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,143120.0,1210100.0,1210100.0,0.0,0.0,0.0
2012-03-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,146.0,146.0,0.0,0.0,0.0
2012-04-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2012-05-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,150965.0,1295526.0,1295526.0,0.0,0.0,0.0
2012-06-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,148646.0,1242272.0,1242272.0,0.0,0.0,0.0
2012-07-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,148846.0,1261427.0,1261427.0,0.0,0.0,0.0
2012-08-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,146083.0,1240114.0,1240114.0,0.0,0.0,0.0
2012-09-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,146588.0,1242823.0,1242823.0,0.0,0.0,0.0
2012-10-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,66258.0,557799.0,557799.0,0.0,0.0,0.0
2012-11-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,69700.0,593693.0,593693.0,0.0,0.0,0.0
2012-12-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,135229.0,1133035.0,1133035.0,0.0,0.0,0.0
2013-01-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,58658.0,486898.0,486898.0,0.0,0.0,0.0
2013-02-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,96382.0,841304.0,841304.0,0.0,0.0,0.0
2013-04-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,129456.0,1085603.0,1085603.0,0.0,0.0,0.0
2013-05-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,64724.0,558853.0,558853.0,0.0,0.0,0.0
2013-06-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,98635.0,845470.0,845470.0,0.0,0.0,0.0
2013-07-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,146367.0,1247989.0,1247989.0,0.0,0.0,0.0
2013-08-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,151122.0,1262591.0,1262591.0,0.0,0.0,0.0
2013-09-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,63532.0,521881.0,521881.0,0.0,0.0,0.0
2013-10-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,43073.0,357829.0,357829.0,0.0,0.0,0.0
2013-11-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,65976.0,558387.0,558387.0,0.0,0.0,0.0
2013-12-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,444.0,444.0,0.0,0.0,0.0
2014-01-01,15829.08,139138.0,139138.0,0.0,0.0,0.0,,,,23871.92,209835.0,209835.0,0.0,0.0,0.0
2014-02-01,8625.773,79333.0,79333.0,0.0,0.0,0.0,,,,13606.227,125139.0,125139.0,0.0,0.0,0.0
2014-03-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,102283.0,872964.0,872964.0,0.0,0.0,0.0
2014-04-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,19459.0,154057.0,154057.0,0.0,0.0,0.0
2014-05-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,68715.0,582171.0,582171.0,0.0,0.0,0.0
2014-06-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,80079.0,673953.0,673953.0,0.0,0.0,0.0
2014-07-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,51444.0,419671.0,419671.0,0.0,0.0,0.0
2014-08-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,12518.0,107874.0,107874.0,0.0,0.0,0.0
2014-09-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,23799.0,200785.0,200785.0,0.0,0.0,0.0
2014-10-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,34544.0,300481.0,300481.0,0.0,0.0,0.0
2014-11-01,1174.624,9890.0,9890.0,0.0,0.0,0.0,,,,77055.376,648795.0,648795.0,0.0,0.0,0.0
2014-12-01,873.06,7409.0,7409.0,0.0,0.0,0.0,,,,97067.94,823720.0,823720.0,0.0,0.0,0.0
2015-01-01,5245.537,46969.0,46969.0,0.0,0.0,0.0,,,,5360.463,47999.0,47999.0,0.0,0.0,0.0
2015-02-01,21191.159,188448.0,188448.0,0.0,0.0,0.0,,,,13237.841,117721.0,117721.0,0.0,0.0,0.0
2015-03-01,7827.002,67632.0,67632.0,0.0,0.0,0.0,,,,23.998,207.0,207.0,0.0,0.0,0.0
2015-04-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,771.0,8551.0,8551.0,0.0,0.0,0.0
2015-05-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,130484.0,1037913.0,1037913.0,0.0,0.0,0.0
2015-06-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,147864.0,1255946.0,1255946.0,0.0,0.0,0.0
2015-07-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,135794.0,1152065.0,1152065.0,0.0,0.0,0.0
2015-08-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,151379.0,1294585.0,1294585.0,0.0,0.0,0.0
2015-09-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,149637.0,1279594.0,1279594.0,0.0,0.0,0.0
2015-10-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,159937.0,1300600.0,1300600.0,0.0,0.0,0.0
2015-11-01,844.956,7174.0,7174.0,0.0,0.0,0.0,,,,55232.044,468939.0,468939.0,0.0,0.0,0.0
2015-12-01,567.592,4767.0,4767.0,0.0,0.0,0.0,,,,164627.41,1382751.0,1382751.0,0.0,0.0,0.0
2016-01-01,516.237,4322.0,4322.0,0.0,0.0,0.0,,,,107522.76,900138.0,900138.0,0.0,0.0,0.0
2016-02-01,345.56,2897.0,2897.0,0.0,0.0,0.0,,,,120084.44,1006569.0,1006569.0,0.0,0.0,0.0
2016-03-01,369.693,2995.0,2995.0,0.0,0.0,0.0,,,,151495.31,1227159.0,1227159.0,0.0,0.0,0.0
2016-04-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,61095.0,499045.0,499045.0,0.0,0.0,0.0
2016-05-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,3026.0,22977.0,22977.0,0.0,0.0,0.0
2016-06-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,62232.0,526931.0,526931.0,0.0,0.0,0.0
2016-08-01,57.054,462.0,462.0,0.0,0.0,0.0,,,,147466.95,1193102.0,1193102.0,0.0,0.0,0.0
2016-09-01,197.925,1581.0,1581.0,0.0,0.0,0.0,,,,118528.08,946775.0,946775.0,0.0,0.0,0.0
2016-10-01,353.585,2793.0,2793.0,0.0,0.0,0.0,,,,106222.42,838963.0,838963.0,0.0,0.0,0.0
2016-11-01,703.427,5805.0,5805.0,0.0,0.0,0.0,,,,33663.573,277789.0,277789.0,0.0,0.0,0.0
2016-12-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,5165.0,43292.0,43292.0,0.0,0.0,0.0
2017-01-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,218.0,218.0,0.0,0.0,0.0
2017-02-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,7281.0,63580.0,63580.0,0.0,0.0,0.0
2017-03-01,6.99,58.0,58.0,0.0,0.0,0.0,,,,15684.01,129402.0,129402.0,0.0,0.0,0.0
2017-04-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,11847.0,103030.0,103030.0,0.0,0.0,0.0
2017-05-01,134.442,1161.0,1161.0,0.0,0.0,0.0,,,,16147.558,139465.0,139465.0,0.0,0.0,0.0
2017-06-01,8.02,69.0,69.0,0.0,0.0,0.0,,,,39426.98,337433.0,337433.0,0.0,0.0,0.0
2017-07-01,14.022,120.0,120.0,0.0,0.0,0.0,,,,53270.978,456336.0,456336.0,0.0,0.0,0.0
2017-08-01,16.668,143.0,143.0,0.0,0.0,0.0,,,,30861.332,264768.0,264768.0,0.0,0.0,0.0
2017-09-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,11845.0,102102.0,102102.0,0.0,0.0,0.0
2017-10-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-01,1119.43,10952.0,10952.0,0.0,0.0,0.0,,,,1555.57,15218.0,15218.0,0.0,0.0,0.0
2017-12-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,37508.0,319663.0,319663.0,0.0,0.0,0.0
2018-01-01,22840.196,192386.0,192386.0,0.0,0.0,0.0,,,,57100.804,480967.0,480967.0,0.0,0.0,0.0
2018-02-01,16.897,143.0,143.0,0.0,0.0,0.0,,,,31040.103,262701.0,262701.0,0.0,0.0,0.0
2018-03-01,212.871,1711.0,1711.0,0.0,0.0,0.0,,,,117219.13,941910.0,941910.0,0.0,0.0,0.0
2018-04-01,45.695,379.0,379.0,0.0,0.0,0.0,,,,37166.305,308134.0,308134.0,0.0,0.0,0.0
2018-05-01,260.561,2158.0,2158.0,0.0,0.0,0.0,,,,65017.439,538543.0,538543.0,0.0,0.0,0.0
2018-06-01,193.372,1624.0,1624.0,0.0,0.0,0.0,,,,102404.63,860249.0,860249.0,0.0,0.0,0.0
2018-07-01,368.773,3105.0,3105.0,0.0,0.0,0.0,,,,103944.23,875286.0,875286.0,0.0,0.0,0.0
2018-08-01,121.783,1022.0,1022.0,0.0,0.0,0.0,,,,107131.22,898795.0,898795.0,0.0,0.0,0.0
2018-09-01,330.383,2686.0,2686.0,0.0,0.0,0.0,,,,87127.617,708428.0,708428.0,0.0,0.0,0.0
2018-10-01,175.404,1383.0,1383.0,0.0,0.0,0.0,,,,58847.596,464107.0,464107.0,0.0,0.0,0.0
2018-11-01,473.734,4012.0,4012.0,0.0,0.0,0.0,,,,3518.266,29798.0,29798.0,0.0,0.0,0.0
2018-12-01,430.625,3610.0,3610.0,0.0,0.0,0.0,,,,19664.375,164871.0,164871.0,0.0,0.0,0.0
2019-01-01,1219.584,10102.0,10102.0,0.0,0.0,0.0,,,,32208.416,266798.0,266798.0,0.0,0.0,0.0
2019-02-01,4.175,34.0,34.0,0.0,0.0,0.0,,,,34510.825,284716.0,284716.0,0.0,0.0,0.0
2019-03-01,212.475,1711.0,1711.0,0.0,0.0,0.0,,,,117219.53,943671.0,943671.0,0.0,0.0,0.0
2019-04-01,384.99,3134.0,3134.0,0.0,0.0,0.0,,,,155268.01,1263972.0,1263972.0,0.0,0.0,0.0
2019-05-01,215.696,1762.0,1762.0,0.0,0.0,0.0,,,,87756.304,716947.0,716947.0,0.0,0.0,0.0
2019-06-01,265.251,2216.0,2216.0,0.0,0.0,0.0,,,,129525.75,1081928.0,1081928.0,0.0,0.0,0.0
2019-07-01,350.934,2916.0,2916.0,0.0,0.0,0.0,,,,152836.07,1269921.0,1269921.0,0.0,0.0,0.0
2019-08-01,333.165,2784.0,2784.0,0.0,0.0,0.0,,,,152867.84,1277351.0,1277351.0,0.0,0.0,0.0
2019-09-01,244.849,1975.0,1975.0,0.0,0.0,0.0,,,,128059.15,1032720.0,1032720.0,0.0,0.0,0.0
2019-10-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
