measured_on,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Other Gases-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Other Gases-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Other Gases-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Purchased Steam-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Purchased Steam-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Purchased Steam-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Waste/Other Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Waste/Other Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Waste/Other Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2008-04-01,20548.314,111290.0,553682.0,24450.686,132425.0,658832.0,,,,,,
2008-05-01,22186.45,126078.0,855659.0,20504.55,116520.0,790793.0,,,,,,
2008-06-01,20968.794,113638.0,578638.0,20659.206,111961.0,570095.0,,,,,,
2008-07-01,18627.0,103862.0,545536.0,22093.0,123188.0,647046.0,,,,,,
2008-08-01,15570.783,84541.0,461498.0,26635.217,144615.0,789434.0,,,,,,
2008-09-01,17555.162,95007.0,503924.0,24635.838,133327.0,707176.0,,,,,,
2008-10-01,24589.083,132133.0,676931.0,18537.917,99616.0,510344.0,,,,,,
2008-11-01,24142.018,128406.0,657356.0,19700.982,104785.0,536433.0,,,,,,
2008-12-01,26137.435,139736.0,765476.0,19643.565000000002,105019.0,575293.0,,,,,,
2009-01-01,18638.188000000002,102491.0,733013.0,24510.811999999998,134784.0,963975.0,,,,,,
2009-02-01,19714.26,110261.0,708554.0,17326.74,96908.0,622744.0,,,,,,
2009-03-01,11076.141,57657.0,395552.0,29525.859,153697.0,1054429.0,,,,,,
2009-04-01,10439.445,55504.0,403522.0,30712.555,163290.0,1187151.0,,,,,,
2009-05-01,10557.681,55859.0,327960.0,34969.319,185016.0,1086273.0,,,,,,
2009-06-01,10154.598,53621.0,312730.0,35639.402,188191.0,1097582.0,,,,,,
2009-07-01,10491.401,55485.0,343458.0,35257.599,186465.0,1154233.0,,,,,,
2009-08-01,18369.491,98742.0,579709.0,27554.509,148115.0,869572.0,,,,,,
2009-09-01,16697.749,89942.0,526836.0,28445.251,153219.0,897485.0,,,,,,
2009-10-01,16857.508,90694.0,498169.0,30985.492,166703.0,915676.0,,,,,,
2009-11-01,23948.444,127439.0,672151.0,23124.556,123055.0,649028.0,,,,,,
2009-12-01,26630.089,138625.0,707839.0,25448.911,132476.0,676443.0,,,,,,
2010-01-01,24302.53,123136.0,493790.0,30510.47,154590.0,619926.0,,,,,,
2010-02-01,25761.792,130692.0,472556.0,27229.208,138136.0,499473.0,,,,,,
2010-03-01,24368.385000000002,126617.0,473760.0,29848.614999999998,155092.0,580305.0,,,,,,
2010-04-01,21801.333,120961.0,688377.0,15874.667000000001,88078.0,501242.0,,,,,,
2010-05-01,23181.412,123044.0,511068.0,18755.588,99552.0,413494.0,,,,,,
2010-06-01,16953.508,86837.0,404154.0,26323.492,134830.0,627524.0,,,,,,
2010-07-01,16804.978,91481.0,395572.0,29196.022,158934.0,687245.0,,,,,,
2010-08-01,18265.736,92167.0,320202.0,31943.264,161182.0,559973.0,,,,,,
2010-09-01,20313.277,107679.0,358355.0,23157.722999999998,122757.0,408535.0,,,,,,
2010-10-01,20159.771,108572.0,418336.0,19311.229,104002.0,400728.0,,,,,,
2010-11-01,25875.742,136982.0,442145.0,18753.258,99277.0,320441.0,,,,,,
2010-12-01,19386.186,105618.0,386590.0,27484.814,149741.0,548089.0,,,,,,
2011-01-01,28561.349,152950.0,556261.0,19626.651,105103.0,382249.0,,,,,,
2011-02-01,25154.962,143606.0,586669.0,10480.038,59829.0,244418.0,,,,,,
2011-03-01,24045.928,128839.0,422297.0,22036.072,118070.0,387000.0,,,,,,
2011-04-01,13957.647,78416.0,324499.0,22676.353,127399.0,527198.0,,,,,,
2011-05-01,7255.965,41413.0,182710.0,20889.035,119223.0,525998.0,,,,,,
2011-06-01,12080.3,68893.0,298411.0,16396.7,93509.0,405036.0,,,,,,
2011-07-01,12922.271,70703.0,329854.0,18327.729,100279.0,467833.0,,,,,,
2011-08-01,7418.453,41229.0,308049.0,17205.547,95622.0,714456.0,,,,,,
2011-09-01,12403.815,71275.0,394430.0,17469.185,100381.0,555504.0,,,,,,
2011-10-01,17035.102,94072.0,459811.0,19446.898,107390.0,524910.0,,,,,,
2011-11-01,22022.596,120468.0,544996.0,15486.404,84714.0,383244.0,,,,,,
2011-12-01,17021.835,93836.0,445397.0,21755.165,119930.0,569251.0,,,,,,
2012-01-01,16546.282,89136.0,403559.0,25806.718,139023.0,629418.0,,,,,,
2012-02-01,13659.648,75347.0,354231.0,25603.352,141229.0,663962.0,,,,,,
2012-03-01,11584.198,62931.0,289898.0,30505.802,165722.0,763417.0,,,,,,
2012-04-01,13829.867,79980.0,566429.0,21031.133,121626.0,861372.0,,,,,,
2012-05-01,9278.829,50666.0,250940.0,30696.171,167614.0,830160.0,,,,,,
2012-06-01,9144.367,51900.0,249587.0,27975.633,158780.0,763568.0,,,,,,
2012-07-01,11467.495,64393.0,330531.0,26739.505,150149.0,770721.0,,,,,,
2012-08-01,7709.657,42943.0,207160.0,28610.343,159360.0,768765.0,,,,,,
2012-09-01,6171.1,33230.0,163359.0,28831.9,155254.0,763228.0,,,,,,
2012-10-01,10412.748,56400.0,213894.0,28824.252,156124.0,592095.0,,,,,,
2012-11-01,7447.254,40234.0,166488.0,30359.746,164019.0,678713.0,,,,,,
2012-12-01,9267.477,51047.0,232440.0,28950.523,159466.0,726114.0,,,,,,
2013-01-01,10229.038,57914.0,325450.0,24148.962,136724.0,768331.0,0.0,0.0,0.0,,,
2013-02-01,8551.345,48300.0,212741.0,23247.655,131308.0,578358.0,0.0,0.0,0.0,,,
2013-03-01,11621.57,61390.0,315289.0,29566.43,156183.0,802127.0,0.0,0.0,0.0,,,
2013-04-01,16023.486,87590.0,473133.0,24234.514,132474.0,715584.0,0.0,0.0,0.0,,,
2013-05-01,13250.622,73812.0,440782.0,24609.378,137085.0,818631.0,0.0,0.0,0.0,,,
2013-06-01,10401.34,57321.0,324996.0,25598.66,141073.0,799846.0,0.0,0.0,0.0,,,
2013-07-01,8113.496,47831.0,300322.0,21959.504,129457.0,812833.0,0.0,0.0,0.0,,,
2013-08-01,8578.59,49654.0,285666.0,20206.41,116957.0,672872.0,0.0,0.0,0.0,,,
2013-09-01,11185.337,63376.0,311422.0,20833.663,118043.0,580051.0,0.0,0.0,0.0,,,
2013-10-01,12871.875,74518.0,440215.0,20293.125,117482.0,694019.0,0.0,0.0,0.0,,,
2013-11-01,17345.389,98337.0,569918.0,20644.611,117042.0,678321.0,0.0,0.0,0.0,,,
2013-12-01,12166.305,69805.0,419739.0,25439.695,145962.0,877673.0,0.0,0.0,0.0,,,
2014-01-01,12901.144,73001.0,402005.0,23518.856,133081.0,732858.0,0.0,0.0,0.0,,,
2014-02-01,14645.582,82336.0,363054.0,19217.418,108038.0,476386.0,0.0,0.0,0.0,,,
2014-03-01,8835.5,49623.0,273927.0,27759.5,155905.0,860628.0,0.0,0.0,0.0,,,
2014-04-01,12509.521,71964.0,455477.0,23410.479,134674.0,852385.0,0.0,0.0,0.0,,,
2014-05-01,8467.307,47109.0,316464.0,30035.693,167106.0,1122579.0,0.0,0.0,0.0,,,
2014-06-01,5289.395,29920.0,231092.0,27492.605,155514.0,1201144.0,0.0,0.0,0.0,,,
2014-07-01,7167.631,42060.0,317485.0,19546.369,114700.0,865793.0,0.0,0.0,0.0,,,
2014-08-01,6324.125,36058.0,192574.0,21761.875,124079.0,662664.0,0.0,0.0,0.0,,,
2014-09-01,8283.488,47716.0,286047.0,18108.512,104313.0,625326.0,0.0,0.0,0.0,,,
2014-10-01,9841.328,63011.0,582401.0,12190.672,78053.0,721433.0,0.0,0.0,0.0,,,
2014-11-01,6236.432,37416.0,275978.0,18123.568,108735.0,802015.0,0.0,0.0,0.0,,,
2014-12-01,5752.256,31645.0,178683.0,27391.744,150693.0,850871.0,0.0,0.0,0.0,,,
2015-01-01,10246.694,55771.0,274222.0,31531.306,171620.0,843840.0,0.0,0.0,0.0,,,
2015-02-01,16208.268,89277.0,445960.0,24485.732,134871.0,673710.0,0.0,0.0,0.0,,,
2015-03-01,11604.469,61034.0,286736.0,32115.531,168913.0,793547.0,0.0,0.0,0.0,,,
2015-04-01,7935.344,46646.0,301721.0,24986.656,146878.0,950053.0,0.0,0.0,0.0,,,
2015-05-01,4808.449,25702.0,156064.0,29254.551,156369.0,949492.0,0.0,0.0,0.0,,,
2015-06-01,1940.311,11075.0,77471.0,28652.689,163552.0,1144020.0,0.0,0.0,0.0,,,
2015-07-01,2842.306,16748.0,120740.0,26900.694,158508.0,1142735.0,0.0,0.0,0.0,,,
2015-08-01,9728.404,57544.0,385607.0,23804.596,140804.0,943548.0,0.0,0.0,0.0,,,
2015-09-01,6256.639,37447.0,273503.0,24587.361,147160.0,1074812.0,0.0,0.0,0.0,,,
2015-10-01,7536.546,43967.0,281644.0,25970.454,151507.0,970529.0,0.0,0.0,0.0,,,
2015-11-01,4526.997,26548.0,165941.0,25719.003,150824.0,942751.0,0.0,0.0,0.0,,,
2015-12-01,2954.665,19704.0,170410.0,16501.335,110045.0,951715.0,0.0,0.0,0.0,,,
2016-01-01,3931.323,22649.0,111142.0,35699.677,205671.0,1009264.0,0.0,0.0,0.0,,,
2016-02-01,3202.762,18699.0,102567.0,35776.238,208881.0,1145719.0,0.0,0.0,0.0,,,
2016-03-01,6487.314,37561.0,197867.0,33456.686,193710.0,1020448.0,0.0,0.0,0.0,,,
2016-04-01,4289.152,23924.0,130516.0,32407.848,180763.0,986150.0,0.0,0.0,0.0,,,
2016-05-01,4314.372,23794.0,140609.0,33928.628,187120.0,1105763.0,0.0,0.0,0.0,,,
2016-06-01,3465.736,21091.0,125450.0,29325.264,178458.0,1061491.0,0.0,0.0,0.0,,,
2016-07-01,4471.039,27256.0,136088.0,29358.961,178973.0,893621.0,0.0,0.0,0.0,,,
2016-08-01,4558.755,25709.0,148852.0,31585.245,178122.0,1031316.0,0.0,0.0,0.0,,,
2016-09-01,5168.768,31820.0,200493.0,27209.232,167508.0,1055429.0,0.0,0.0,0.0,,,
2016-10-01,8656.077,51265.0,324545.0,25919.923,153508.0,971823.0,0.0,0.0,0.0,,,
2016-11-01,10565.114,64002.0,402282.0,23861.886,144553.0,908576.0,0.0,0.0,0.0,,,
2016-12-01,5803.837,34170.0,217919.0,30210.163,177860.0,1134313.0,0.0,0.0,0.0,,,
2017-01-01,5009.358,28641.0,147360.0,34191.642,195489.0,1005817.0,0.0,0.0,0.0,,,
2017-02-01,10423.466,60283.0,286485.0,28513.534,164904.0,783685.0,0.0,0.0,0.0,,,
2017-03-01,6151.146,35222.0,165767.0,37597.854,215291.0,1013225.0,0.0,0.0,0.0,,,
2017-04-01,9458.682,55561.0,311030.0,29408.318,172745.0,967033.0,0.0,0.0,0.0,,,
2017-05-01,6829.726,41989.0,309808.0,27089.274,166542.0,1228814.0,0.0,0.0,0.0,,,
2017-06-01,5053.805,31037.0,220458.0,27068.195,166234.0,1180772.0,0.0,0.0,0.0,,,
2017-07-01,3460.762,20823.0,121415.0,30543.238,183777.0,1071555.0,0.0,0.0,0.0,,,
2017-08-01,3631.386,22001.0,131479.0,28902.614,175107.0,1046457.0,0.0,0.0,0.0,,,
2017-09-01,4941.614,29281.0,177118.0,30373.386,179971.0,1088647.0,0.0,0.0,0.0,,,
2017-10-01,6985.945,42654.0,253868.0,31495.055,192298.0,1144524.0,0.0,0.0,0.0,,,
2017-11-01,3195.01,23858.0,249830.0,14094.99,105250.0,1102139.0,0.0,0.0,0.0,,,
2017-12-01,10367.689,63424.0,410140.0,24031.311,147010.0,950665.0,0.0,0.0,0.0,,,
2018-01-01,18895.145,110838.0,495678.0,25674.855,150608.0,673531.0,0.0,0.0,0.0,,,
2018-02-01,6314.549,34291.0,179928.0,33504.451,181944.0,954682.0,0.0,0.0,0.0,,,
2018-03-01,6501.255,37499.0,183028.0,36816.745,212356.0,1036490.0,0.0,0.0,0.0,,,
2018-04-01,4400.723,25878.0,117593.0,35299.277,207575.0,943240.0,0.0,0.0,0.0,,,
2018-05-01,5638.46,34115.0,197382.0,29537.54,178716.0,1034003.0,0.0,0.0,0.0,,,
2018-06-01,4630.676,28348.0,166037.0,29263.324,179145.0,1049260.0,0.0,0.0,0.0,,,
2018-07-01,3461.922,19728.0,106566.0,35299.078,201158.0,1086583.0,0.0,0.0,0.0,,,
2018-08-01,3588.852,20742.0,127569.0,33036.148,190932.0,1174303.0,0.0,0.0,0.0,,,
2018-09-01,5415.246,31480.0,186262.0,29930.754,173994.0,1029495.0,0.0,0.0,0.0,,,
2018-10-01,8187.216,48576.0,279712.0,29825.784,176962.0,1018981.0,0.0,0.0,0.0,,,
2018-11-01,6328.338,30412.0,293891.0,20537.662,98696.0,953777.0,0.0,0.0,0.0,,,
2018-12-01,7749.008,37239.0,225108.0,36039.992,173195.0,1046958.0,0.0,0.0,0.0,,,
2019-01-01,36998.766,219518.0,1062982.0,4891.234,29020.0,140526.0,0.0,0.0,0.0,,,
2019-02-01,35601.787,211219.0,1204880.0,2905.213,17236.0,98322.0,0.0,0.0,0.0,,,
2019-03-01,39714.749,226886.0,1207124.0,2300.251,13141.0,69916.0,0.0,0.0,0.0,,,
2019-04-01,32591.084,193357.0,992204.0,4274.916,25362.0,130146.0,0.0,0.0,0.0,,,
2019-05-01,33915.253,201209.0,943696.0,5380.747,31922.0,149720.0,0.0,0.0,0.0,,,
2019-06-01,31276.111,178164.0,826601.0,5265.889,29997.0,139173.0,0.0,0.0,0.0,,,
2019-07-01,28024.919,164186.0,835994.0,5918.081,34671.0,176539.0,0.0,0.0,0.0,,,
2019-08-01,30846.72,183012.0,903557.0,3145.28,18661.0,92131.0,0.0,0.0,0.0,,,
2019-09-01,29541.295,175263.0,836611.0,4953.705,29389.0,140289.0,0.0,0.0,0.0,,,
2019-10-01,30483.824,180856.0,852634.0,5686.176,33735.0,159043.0,0.0,0.0,0.0,,,
2019-11-01,31356.979,179549.0,890303.0,5983.021,34259.0,169873.0,0.0,0.0,0.0,,,
2019-12-01,30923.097,183466.0,890303.0,8788.903,52144.0,253040.0,0.0,0.0,0.0,,,
2020-01-01,8818.17,49389.0,220642.0,33006.83,184866.0,825875.0,0.0,0.0,0.0,,,
2020-02-01,7055.143,39555.0,155263.0,29578.857,165833.0,650945.0,0.0,0.0,0.0,,,
2020-03-01,6384.753,35762.0,137379.0,30664.247,171755.0,659793.0,0.0,0.0,0.0,,,
2020-04-01,11197.402,62717.0,235377.0,28025.598,156972.0,589118.0,0.0,0.0,0.0,,,
2020-05-01,9233.945,51720.0,213302.0,27709.055,155201.0,640074.0,0.0,0.0,0.0,,,
2020-06-01,3088.567,17299.0,74176.0,32772.433,183557.0,787078.0,0.0,0.0,0.0,,,
2020-07-01,3086.558,17288.0,73235.0,33752.442,189051.0,800847.0,0.0,0.0,0.0,,,
2020-08-01,1542.097,8637.0,61743.0,23262.903,130298.0,931402.0,0.0,0.0,0.0,,,
2020-09-01,14694.645,82306.0,585438.0,19433.355,108848.0,774230.0,0.0,0.0,0.0,,,
2020-10-01,8474.098,47462.0,240365.0,27910.902,156325.0,791684.0,0.0,0.0,0.0,,,
2020-11-01,9791.728,54843.0,240857.0,27727.272,155298.0,682035.0,0.0,0.0,0.0,,,
2020-12-01,12375.991,69318.0,291919.0,28796.009,161286.0,679226.0,0.0,0.0,0.0,,,
2021-01-01,12429.837,69621.0,259851.0,29216.163,163644.0,610777.0,0.0,0.0,0.0,,,
2021-02-01,4753.154,26622.0,98183.0,33019.846,184941.0,682072.0,0.0,0.0,0.0,,,
2021-03-01,6258.696,35055.0,157688.0,33774.304,189171.0,850944.0,0.0,0.0,0.0,,,
2021-04-01,8171.724,45773.0,260012.0,18251.276,102231.0,580729.0,0.0,0.0,0.0,,,
2021-05-01,2914.039,16321.0,117794.0,18718.961,104839.0,756673.0,0.0,0.0,0.0,,,
2021-06-01,3833.911,21473.0,105792.0,28423.089,159195.0,784302.0,0.0,0.0,0.0,,,
2021-07-01,6128.263,34324.0,147955.0,30740.737,172179.0,742176.0,0.0,0.0,0.0,,,
2021-08-01,4497.851,25192.0,109564.0,31981.149,179124.0,779037.0,0.0,0.0,0.0,,,
2021-09-01,4443.048,24885.0,137596.0,26089.952,146128.0,807975.0,0.0,0.0,0.0,,,
2021-10-01,7730.397,43297.0,247535.0,23981.603,134319.0,767914.0,0.0,0.0,0.0,,,
2021-11-01,9193.271,51492.0,246417.0,26511.729,148494.0,710621.0,0.0,0.0,0.0,,,
2021-12-01,8172.663,45775.0,163045.0,30177.337,169023.0,602039.0,0.0,0.0,0.0,,,
2022-01-01,10912.645,61122.0,219801.0,28962.355,162220.0,583355.0,0.0,0.0,0.0,,,
2022-02-01,11688.094,65467.0,259418.0,27111.906,151858.0,601750.0,0.0,0.0,0.0,,,
2022-03-01,11443.078,64094.0,270171.0,30723.922,172088.0,725393.0,0.0,0.0,0.0,,,
2022-04-01,8911.664,49914.0,172655.0,32907.336,184313.0,637550.0,0.0,0.0,0.0,,,
2022-05-01,7426.873,41598.0,144507.0,33739.127,188972.0,656475.0,0.0,0.0,0.0,,,
2022-06-01,5828.342,32644.0,122422.0,31923.658,178804.0,670546.0,0.0,0.0,0.0,,,
2022-07-01,4422.828,24772.0,109223.0,31844.172,178357.0,786398.0,0.0,0.0,0.0,,,
2022-08-01,7970.818,44644.0,239671.0,28008.182,156871.0,842167.0,0.0,0.0,0.0,,,
2022-09-01,7668.384,42950.0,217889.0,28647.616,160453.0,813993.0,0.0,0.0,0.0,,,
2022-10-01,8228.815,46090.0,231322.0,27345.185,153161.0,768705.0,0.0,0.0,0.0,,,
2022-11-01,10190.239,57075.0,243363.0,25872.761,144911.0,617892.0,0.0,0.0,0.0,,,
2022-12-01,10577.046,59242.0,225521.0,28268.954,158333.0,602743.0,0.0,0.0,0.0,,,
2023-01-01,6680.912,37419.0,137533.0,30831.088,172679.0,634686.0,0.0,0.0,0.0,,,
2023-02-01,5165.334,28931.0,102060.0,31728.666,177711.0,626916.0,0.0,0.0,0.0,,,
2023-03-01,6441.878,36081.0,106073.0,34980.122,195925.0,575988.0,0.0,0.0,0.0,,,
2023-04-01,5803.56,32505.0,131646.0,30440.44,170494.0,690502.0,0.0,0.0,0.0,,,
2023-05-01,3498.871,19597.0,87652.0,36810.129,206172.0,922146.0,0.0,0.0,0.0,,,
2023-06-01,4404.794,24672.0,109905.0,31681.206,177449.0,790485.0,0.0,0.0,0.0,,,
2023-07-01,5314.884,29768.0,115826.0,32069.116,179618.0,698875.0,0.0,0.0,0.0,,,
2023-08-01,4204.55,23550.0,108943.0,31025.45,173774.0,803893.0,0.0,0.0,0.0,,,
2023-09-01,5625.783,31509.0,139309.0,28445.217,159318.0,704375.0,0.0,0.0,0.0,,,
2023-10-01,7791.033,42273.0,202466.0,29537.967,160270.0,767604.0,0.0,0.0,0.0,,,
2023-11-01,8246.262,46187.0,225459.0,27231.738,152525.0,744535.0,0.0,0.0,0.0,,,
2023-12-01,8089.754,45310.0,198688.0,29135.246,163183.0,715574.0,0.0,0.0,0.0,,,
2024-01-01,6896.124,38626.0,169172.0,30520.876,170952.0,748722.0,0.0,0.0,0.0,,,
2024-02-01,15739.099,88152.0,564609.0,5533.901,30994.0,198518.0,0.0,0.0,0.0,,,
2024-03-01,5612.406,31435.0,152956.0,28752.594,161041.0,783601.0,0.0,0.0,0.0,,,
2024-04-01,3997.367,22390.0,119896.0,21749.633,121822.0,652352.0,0.0,0.0,0.0,,,
2024-05-01,3449.566,19321.0,108625.0,26411.434,147930.0,831681.0,0.0,0.0,0.0,,,
2024-06-01,3323.931,18617.0,123022.0,25398.069,142252.0,940009.0,0.0,0.0,0.0,,,
2024-07-01,3319.701,18594.0,119369.0,24575.299,137651.0,883669.0,0.0,0.0,0.0,,,
2024-08-01,2635.694,14763.0,74035.0,32355.306,181225.0,908836.0,0.0,0.0,0.0,,,
2024-09-01,6129.089,34329.0,152526.0,29089.911,162933.0,723918.0,0.0,0.0,0.0,,,
2024-10-01,7935.183,44444.0,249134.0,22388.817,125397.0,702922.0,0.0,0.0,0.0,,,
2024-11-01,3888.368,21779.0,173111.0,16927.632,94811.0,753623.0,0.0,0.0,0.0,,,
2024-12-01,5389.748,30187.0,149904.0,27541.252,154253.0,766001.0,0.0,0.0,0.0,,,
