measured_on,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed"
2006-07-01,1342210.0,14173482.0,14173482.0,151.0,1763.0,1763.0,438.0,4438.0,4438.0,,,
2006-08-01,1312765.0,13667255.0,13667255.0,246.0,3009.0,3009.0,358.0,3625.0,3625.0,,,
2006-09-01,1272508.0,12825980.0,12825980.0,148.0,2369.0,2369.0,368.0,3709.0,3709.0,,,
2006-10-01,1333086.0,12905512.0,12905512.0,36.0,364.0,364.0,391.0,3954.0,3954.0,,,
2006-11-01,1356119.0,13423880.0,13423880.0,45.0,428.0,428.0,433.0,4376.0,4376.0,,,
2006-12-01,1253137.0,12319039.0,12319039.0,57.0,655.0,655.0,681.0,6869.0,6869.0,,,
2007-01-01,1268456.893,13264128.0,13264128.0,67.0,524.0,524.0,337.108,3525.0,3525.0,0.0,0.0,0.0
2007-02-01,1070720.549,11127605.0,11127605.0,32.0,315.0,315.0,113.453,1179.0,1179.0,0.0,0.0,0.0
2007-03-01,1037755.643,10169910.0,10169910.0,61.0,560.0,560.0,161.357,1581.0,1581.0,0.0,0.0,0.0
2007-04-01,1123286.122,11311795.0,11311795.0,37.0,425.0,425.0,1639.8790000000001,16514.0,16514.0,0.0,0.0,0.0
2007-05-01,1396173.95,13971314.0,13971314.0,19.0,215.0,215.0,547.05,5474.0,5474.0,0.0,0.0,0.0
2007-06-01,1340055.95,13481061.0,13481061.0,45.0,562.0,562.0,350.05100000000004,3522.0,3522.0,0.0,0.0,0.0
2007-07-01,1425277.169,14318175.0,14318175.0,64.0,809.0,809.0,117.831,1184.0,1184.0,0.0,0.0,0.0
2007-08-01,1443501.097,14887876.0,14887876.0,28.0,281.0,281.0,248.90300000000002,2567.0,2567.0,0.0,0.0,0.0
2007-09-01,1312760.793,13400705.0,13400705.0,58.0,375.0,375.0,309.206,3156.0,3156.0,0.0,0.0,0.0
2007-10-01,1385801.51,13772073.0,13772073.0,55.0,592.0,592.0,464.49100000000004,4616.0,4616.0,0.0,0.0,0.0
2007-11-01,1197973.088,11711959.0,11711959.0,38.0,410.0,410.0,544.912,5327.0,5327.0,0.0,0.0,0.0
2007-12-01,1362401.199,13181703.0,13181703.0,54.0,402.0,402.0,588.801,5697.0,5697.0,0.0,0.0,0.0
2008-01-01,779751.268,7710842.0,7710842.0,83.0,617.0,617.0,730.7470000000001,7226.0,7226.0,522776.984,5169662.0,5169662.0
2008-02-01,713695.504,7127752.0,7127752.0,29.0,305.0,305.0,657.029,6562.0,6562.0,544477.467,5437753.0,5437753.0
2008-03-01,610960.93,6104275.0,6104275.0,53.0,393.0,393.0,291.795,2915.0,2915.0,715240.275,7146158.0,7146158.0
2008-04-01,723650.339,7434330.0,7434330.0,49.0,409.0,409.0,166.673,1712.0,1712.0,555448.988,5706334.0,5706334.0
2008-05-01,649597.625,7034116.0,7034116.0,55.0,556.0,556.0,602.476,6524.0,6524.0,489468.899,5300175.0,5300175.0
2008-06-01,737852.534,7302274.0,7302274.0,57.0,421.0,421.0,347.80600000000004,3442.0,3442.0,551053.66,5453590.0,5453590.0
2008-07-01,711491.638,7283240.0,7283240.0,37.0,587.0,587.0,780.003,7985.0,7985.0,571408.359,5849266.0,5849266.0
2008-08-01,800161.525,8236163.0,8236163.0,44.0,550.0,550.0,167.744,1727.0,1727.0,583108.731,6002011.0,6002011.0
2008-09-01,655822.002,6658077.0,6658077.0,55.0,697.0,697.0,238.47,2421.0,2421.0,505598.529,5132969.0,5132969.0
2008-10-01,598796.313,6172195.0,6172195.0,48.0,553.0,553.0,766.553,7901.0,7901.0,461329.134,4755229.0,4755229.0
2008-11-01,584393.547,6020422.0,6020422.0,50.0,550.0,550.0,1172.393,12078.0,12078.0,461809.06,4757557.0,4757557.0
2008-12-01,670612.974,6654977.0,6654977.0,60.0,734.0,734.0,442.60200000000003,4392.0,4392.0,523099.424,5191093.0,5191093.0
2009-01-01,1149305.227,11642721.0,11642721.0,43.0,587.0,587.0,376.773,3817.0,3817.0,0.0,0.0,0.0
2009-02-01,953578.318,9803842.0,9803842.0,49.0,293.0,293.0,639.682,6577.0,6577.0,0.0,0.0,0.0
2009-03-01,902299.707,9612985.0,9612985.0,61.0,64.0,64.0,1060.2930000000001,11296.0,11296.0,0.0,0.0,0.0
2009-04-01,743061.034,8029394.0,8029394.0,52.0,4330.0,4330.0,1027.698,11105.0,11105.0,150933.268,1630960.0,1630960.0
2009-05-01,532513.709,5587908.0,5587908.0,61.0,173.0,173.0,1195.829,12548.0,12548.0,406260.462,4263075.0,4263075.0
2009-06-01,434548.017,4971833.0,4971833.0,61.0,4595.0,4595.0,1588.178,18171.0,18171.0,123050.805,1407872.0,1407872.0
2009-07-01,652370.486,7000582.0,7000582.0,61.0,3944.0,3944.0,2080.512,22326.0,22326.0,113206.002,1214813.0,1214813.0
2009-08-01,792333.522,8319048.0,8319048.0,61.0,785.0,785.0,1623.318,17044.0,17044.0,145636.16,1529096.0,1529096.0
2009-09-01,251763.78,2674931.0,2674931.0,61.0,250.0,250.0,590.442,6273.0,6273.0,115398.778,1226085.0,1226085.0
2009-10-01,448604.617,4551397.0,4551397.0,13.0,47.0,47.0,777.383,7887.0,7887.0,0.0,0.0,0.0
2009-11-01,443098.992,4609015.0,4609015.0,13.0,23.0,23.0,103.16600000000001,1073.0,1073.0,42038.842,437279.0,437279.0
2009-12-01,407672.393,4733360.0,4733360.0,11.0,684.0,684.0,815.6070000000001,9470.0,9470.0,0.0,0.0,0.0
2010-01-01,687340.955,7304714.0,7304714.0,16.0,649.0,649.0,1473.065,15655.0,15655.0,169073.98,1796833.0,1796833.0
2010-02-01,418845.168,4987619.0,4987619.0,10.0,243.0,243.0,1173.832,13978.0,13978.0,0.0,0.0,0.0
2010-03-01,475887.814,5534582.0,5534582.0,13.0,185.0,185.0,1841.1860000000001,21413.0,21413.0,0.0,0.0,0.0
2010-04-01,785299.856,8619830.0,8619830.0,13.0,897.0,897.0,1576.144,17301.0,17301.0,0.0,0.0,0.0
2010-05-01,1276393.841,14318566.0,14318566.0,11.0,411.0,411.0,1363.159,15292.0,15292.0,0.0,0.0,0.0
2010-06-01,1282426.3900000001,14308010.0,14308010.0,13.0,209.0,209.0,1300.6100000000001,14511.0,14511.0,0.0,0.0,0.0
2010-07-01,1242072.084,13822625.0,13822625.0,11.0,2069.0,2069.0,1166.9160000000002,12986.0,12986.0,0.0,0.0,0.0
2010-08-01,1333054.062,15167238.0,15167238.0,13.0,614.0,614.0,433.93800000000005,4937.0,4937.0,0.0,0.0,0.0
2010-09-01,1098996.741,12386037.0,12386037.0,11.0,115.0,115.0,563.259,6348.0,6348.0,0.0,0.0,0.0
2010-10-01,621214.079,7207202.0,7207202.0,10.0,2930.0,2930.0,732.621,8500.0,8500.0,411596.3,4775258.0,4775258.0
2010-11-01,1317404.092,14040450.0,14040450.0,11.0,4458.0,4458.0,715.908,7630.0,7630.0,0.0,0.0,0.0
2010-12-01,1205733.868,12923936.0,12923936.0,13.0,932.0,932.0,1250.132,13400.0,13400.0,0.0,0.0,0.0
2011-01-01,638929.45,7017798.0,7017798.0,10.0,184.0,184.0,300.02,3295.0,3295.0,333537.53,3663470.0,3663470.0
2011-02-01,486158.05,5298492.0,5298492.0,11.0,133.0,133.0,1114.716,12149.0,12149.0,257922.24,2811018.0,2811018.0
2011-03-01,583014.15,6502836.0,6502836.0,13.0,81.0,81.0,1818.738,20286.0,20286.0,307847.11,3433672.0,3433672.0
2011-04-01,521940.18,5941291.0,5941291.0,10.0,134.0,134.0,708.976,8070.0,8070.0,269080.84,3062971.0,3062971.0
2011-05-01,612175.62,6934053.0,6934053.0,0.0,0.0,0.0,630.493,7142.0,7142.0,264847.89,2999906.0,2999906.0
2011-06-01,388723.47,4674659.0,4674659.0,11.0,348.0,348.0,636.089,7649.0,7649.0,206948.45,2488693.0,2488693.0
2011-07-01,717890.45,8349175.0,8349175.0,10.0,116.0,116.0,1194.121,13888.0,13888.0,363968.43,4233008.0,4233008.0
2011-08-01,823665.3,9174090.0,9174090.0,13.0,138.0,138.0,1081.198,12043.0,12043.0,326656.51,3638342.0,3638342.0
2011-09-01,490719.03,5430146.0,5430146.0,10.0,156.0,156.0,1012.433,11203.0,11203.0,208437.54,2306506.0,2306506.0
2011-10-01,420293.15,4904897.0,4904897.0,10.0,139.0,139.0,1098.984,12825.0,12825.0,157901.87,1842743.0,1842743.0
2011-11-01,662633.49,6621100.0,6621100.0,13.0,156.0,156.0,1339.475,13384.0,13384.0,178515.04,1783740.0,1783740.0
2011-12-01,633043.36,6493816.0,6493816.0,11.0,145.0,145.0,1915.739,19652.0,19652.0,190112.9,1950195.0,1950195.0
2012-01-01,554487.42,6125346.0,6125346.0,13.0,145.0,145.0,2142.088,23663.0,23663.0,206418.49,2280276.0,2280276.0
2012-02-01,657973.47,7204446.0,7204446.0,10.0,116.0,116.0,700.773,7673.0,7673.0,211456.76,2315335.0,2315335.0
2012-03-01,498909.81,5847751.0,5847751.0,10.0,116.0,116.0,588.841,6902.0,6902.0,141352.35,1656799.0,1656799.0
2012-04-01,748290.79,8411035.0,8411035.0,11.0,116.0,116.0,975.765,10968.0,10968.0,237132.45,2665447.0,2665447.0
2012-05-01,958064.01,10440514.0,10440514.0,11.0,111.0,111.0,504.967,5503.0,5503.0,408952.02,4456560.0,4456560.0
2012-06-01,900836.6,10261767.0,10261767.0,11.0,139.0,139.0,640.94,7301.0,7301.0,330861.46,3768967.0,3768967.0
2012-07-01,871210.26,10271627.0,10271627.0,200.0,2119.0,2119.0,728.331,8587.0,8587.0,371382.41,4378624.0,4378624.0
2012-08-01,478837.45,5300379.0,5300379.0,9.0,105.0,105.0,786.852,8710.0,8710.0,172501.7,1909467.0,1909467.0
2012-09-01,-5420.307,0.0,0.0,10.0,111.0,111.0,-9.992,0.0,0.0,-2380.701,0.0,0.0
2012-10-01,-5485.537,0.0,0.0,13.0,140.0,140.0,-10.112,0.0,0.0,-2409.351,0.0,0.0
2012-11-01,238330.0,3036395.0,3036395.0,12.0,104.0,104.0,1756.957,22384.0,22384.0,75133.045,957217.0,957217.0
2012-12-01,669650.73,7847845.0,7847845.0,12.0,116.0,116.0,700.43,8209.0,8209.0,173308.84,2031060.0,2031060.0
2013-01-01,732655.57,7262503.0,7262503.0,14.0,139.0,139.0,2219.364,22000.0,22000.0,226900.07,2249164.0,2249164.0
2013-02-01,767663.01,8035923.0,8035923.0,10.0,110.0,110.0,1579.938,16539.0,16539.0,242835.06,2542006.0,2542006.0
2013-03-01,773926.62,8242057.0,8242057.0,11.0,111.0,111.0,1116.681,11892.0,11892.0,278459.7,2965502.0,2965502.0
2013-04-01,961880.96,9828765.0,9828765.0,9.0,98.0,98.0,1085.107,11088.0,11088.0,244375.93,2497101.0,2497101.0
2013-05-01,967538.06,9913259.0,9913259.0,10.0,110.0,110.0,748.86,7673.0,7673.0,246180.08,2522326.0,2522326.0
2013-06-01,698374.47,7432374.0,7432374.0,10.0,110.0,110.0,342.397,3644.0,3644.0,185011.13,1968961.0,1968961.0
2013-07-01,635443.2,7115408.0,7115408.0,204.0,2260.0,2260.0,1635.739,18316.0,18316.0,165101.06,1848727.0,1848727.0
2013-08-01,670376.27,7440206.0,7440206.0,10.0,111.0,111.0,1768.967,19633.0,19633.0,176017.76,1953542.0,1953542.0
2013-09-01,834057.21,9047002.0,9047002.0,9.0,122.0,122.0,1966.45,21330.0,21330.0,211063.34,2289400.0,2289400.0
2013-10-01,929486.4,9878215.0,9878215.0,12.0,133.0,133.0,1483.637,15768.0,15768.0,234586.96,2493098.0,2493098.0
2013-11-01,851449.59,9054593.0,9054593.0,3.0,35.0,35.0,1770.185,18825.0,18825.0,214858.23,2284873.0,2284873.0
2013-12-01,923359.48,9833494.0,9833494.0,0.0,0.0,0.0,1776.179,18916.0,18916.0,216749.34,2308314.0,2308314.0
2014-01-01,979723.65,10274563.0,10274563.0,0.0,0.0,0.0,856.424,8981.0,8981.0,248254.93,2603500.0,2603500.0
2014-02-01,905550.01,9507098.0,9507098.0,0.0,0.0,0.0,1792.458,18818.0,18818.0,224325.54,2355127.0,2355127.0
2014-03-01,916484.75,9792765.0,9792765.0,0.0,0.0,0.0,976.626,10435.0,10435.0,171824.62,1835970.0,1835970.0
2014-04-01,651489.31,7002016.0,7002016.0,0.0,0.0,0.0,1158.409,12450.0,12450.0,152976.29,1644144.0,1644144.0
2014-05-01,742894.47,8168766.0,8168766.0,0.0,0.0,0.0,1972.554,21690.0,21690.0,119347.98,1312334.0,1312334.0
2014-06-01,762470.75,8456497.0,8456497.0,46.0,507.0,507.0,3127.583,34688.0,34688.0,179827.67,1994453.0,1994453.0
2014-07-01,1016010.1,10880041.0,10880041.0,0.0,0.0,0.0,939.801,10064.0,10064.0,217892.08,2333318.0,2333318.0
2014-08-01,905733.82,9786917.0,9786917.0,41.0,444.0,444.0,1814.734,19609.0,19609.0,156800.45,1694309.0,1694309.0
2014-09-01,767830.2,8236862.0,8236862.0,0.0,0.0,0.0,0.0,0.0,0.0,214714.8,2303343.0,2303343.0
2014-10-01,702438.48,7398092.0,7398092.0,0.0,0.0,0.0,2254.496,23744.0,23744.0,174323.03,1835973.0,1835973.0
2014-11-01,803167.99,8583301.0,8583301.0,0.0,0.0,0.0,1507.779,16113.0,16113.0,144030.23,1539223.0,1539223.0
2014-12-01,659385.57,7085069.0,7085069.0,0.0,0.0,0.0,2026.125,21771.0,21771.0,84544.307,908425.0,908425.0
2015-01-01,712238.77,7783403.0,7783403.0,0.0,0.0,0.0,2888.836,31569.0,31569.0,130949.39,1431026.0,1431026.0
2015-02-01,736788.45,8013506.0,8013506.0,0.0,0.0,0.0,1663.019,18087.0,18087.0,66659.535,725007.0,725007.0
2015-03-01,688828.52,7441037.0,7441037.0,0.0,0.0,0.0,1171.214,12652.0,12652.0,49070.262,530079.0,530079.0
2015-04-01,380935.88,4037642.0,4037642.0,0.0,0.0,0.0,835.294,8854.0,8854.0,4366.827,46285.0,46285.0
2015-05-01,608908.63,6949518.0,6949518.0,0.0,0.0,0.0,2752.946,31420.0,31420.0,31568.42,360293.0,360293.0
2015-06-01,822857.44,8922440.0,8922440.0,0.0,0.0,0.0,3312.46,35918.0,35918.0,49810.101,540103.0,540103.0
2015-07-01,902767.01,10212963.0,10212963.0,39.0,401.0,401.0,2543.955,28780.0,28780.0,68415.032,773976.0,773976.0
2015-08-01,849474.01,9285016.0,9285016.0,0.0,0.0,0.0,2242.253,24509.0,24509.0,64869.741,709046.0,709046.0
2015-09-01,840653.39,9149885.0,9149885.0,0.0,0.0,0.0,1887.069,20539.0,20539.0,60279.538,656098.0,656098.0
2015-10-01,487550.15,5451846.0,5451846.0,0.0,0.0,0.0,2401.554,26854.0,26854.0,28559.301,319354.0,319354.0
2015-11-01,744730.63,8275602.0,8275602.0,0.0,0.0,0.0,2033.338,22595.0,22595.0,39504.035,438977.0,438977.0
2015-12-01,431736.76,4915856.0,4915856.0,13.0,173.0,173.0,2256.246,25690.0,25690.0,15833.992,180290.0,180290.0
2016-01-01,921347.77,10117989.0,10117989.0,0.0,0.0,0.0,2388.692,26232.0,26232.0,74200.539,814850.0,814850.0
2016-02-01,777283.24,8669036.0,8669036.0,0.0,0.0,0.0,736.457,8214.0,8214.0,71853.299,801379.0,801379.0
2016-03-01,285233.05,3403609.0,3403609.0,0.0,0.0,0.0,1224.78,14615.0,14615.0,10974.168,130952.0,130952.0
2016-04-01,705692.48,8330021.0,8330021.0,0.0,0.0,0.0,1915.786,22614.0,22614.0,40109.733,473457.0,473457.0
2016-05-01,389259.32,4384523.0,4384523.0,0.0,0.0,0.0,1631.394,18376.0,18376.0,28500.283,321020.0,321020.0
2016-06-01,771139.94,8880321.0,8880321.0,0.0,0.0,0.0,1469.05,16917.0,16917.0,26479.007,304928.0,304928.0
2016-07-01,867491.98,9974891.0,9974891.0,30.0,334.0,334.0,2095.492,24095.0,24095.0,51968.528,597562.0,597562.0
2016-08-01,758557.4,8974023.0,8974023.0,0.0,0.0,0.0,2518.441,29794.0,29794.0,34204.162,404648.0,404648.0
2016-09-01,613944.51,6452766.0,6452766.0,0.0,0.0,0.0,1167.021,12266.0,12266.0,51914.474,545639.0,545639.0
2016-10-01,496951.81,5383145.0,5383145.0,0.0,0.0,0.0,1427.654,15465.0,15465.0,44261.54,479456.0,479456.0
2016-11-01,472948.02,4999483.0,4999483.0,0.0,0.0,0.0,2156.546,22797.0,22797.0,46357.43,490039.0,490039.0
2016-12-01,500621.57,5285552.0,5285552.0,23.0,329.0,329.0,2455.083,25921.0,25921.0,49969.347,527575.0,527575.0
2017-01-01,510362.94,5776024.0,5776024.0,0.0,0.0,0.0,2915.745,32999.0,32999.0,39458.313,446569.0,446569.0
2017-02-01,608610.07,6402440.0,6402440.0,0.0,0.0,0.0,1609.243,16929.0,16929.0,56184.686,591050.0,591050.0
2017-03-01,484831.23,5527298.0,5527298.0,0.0,0.0,0.0,1817.104,20716.0,20716.0,50005.666,570087.0,570087.0
2017-04-01,705403.12,7648932.0,7648932.0,0.0,0.0,0.0,1535.174,16646.0,16646.0,64177.706,695901.0,695901.0
2017-05-01,571240.21,6087570.0,6087570.0,0.0,0.0,0.0,1167.428,12441.0,12441.0,31410.361,334733.0,334733.0
2017-06-01,344201.75,4096698.0,4096698.0,11.0,190.0,190.0,1359.879,16185.0,16185.0,16338.374,194460.0,194460.0
2017-07-01,620354.58,6997515.0,6997515.0,0.0,0.0,0.0,4666.955,52643.0,52643.0,46832.47,528264.0,528264.0
2017-08-01,540448.16,5819118.0,5819118.0,41.0,634.0,634.0,2354.912,25356.0,25356.0,49753.932,535711.0,535711.0
2017-09-01,626002.8,6702501.0,6702501.0,14.0,196.0,196.0,1906.83,20416.0,20416.0,55359.373,592723.0,592723.0
2017-10-01,126471.55,1794456.0,1794456.0,0.0,0.0,0.0,1492.936,21183.0,21183.0,12292.517,174414.0,174414.0
2017-11-01,142075.28,1880621.0,1880621.0,0.0,0.0,0.0,3150.501,41703.0,41703.0,12461.221,164947.0,164947.0
2017-12-01,438871.33,5178892.0,5178892.0,0.0,0.0,0.0,1742.318,20560.0,20560.0,40752.355,480897.0,480897.0
2018-01-01,728092.22,7812546.0,7812546.0,0.0,0.0,0.0,2558.576,27454.0,27454.0,75803.2,813380.0,813380.0
2018-02-01,508470.46,5603254.0,5603254.0,0.0,0.0,0.0,3060.409,33725.0,33725.0,75553.131,832582.0,832582.0
2018-03-01,428935.62,4952062.0,4952062.0,0.0,0.0,0.0,3501.836,40429.0,40429.0,57823.547,667573.0,667573.0
2018-04-01,55440.921,729702.0,729702.0,0.0,0.0,0.0,688.433,9061.0,9061.0,1790.646,23568.0,23568.0
2018-05-01,303854.37,4111913.0,4111913.0,0.0,928.0,928.0,2351.173,31817.0,31817.0,2307.454,31226.0,31226.0
2018-06-01,424583.84,4991555.0,4991555.0,0.0,0.0,0.0,3248.16,38187.0,38187.0,0.0,0.0,0.0
2018-07-01,424786.65,5266320.0,5266320.0,0.0,725.0,725.0,3117.355,38648.0,38648.0,0.0,0.0,0.0
2018-08-01,348038.51,3994605.0,3994605.0,0.0,0.0,0.0,1938.495,22249.0,22249.0,0.0,0.0,0.0
2018-09-01,450490.88,5038178.0,5038178.0,0.0,29.0,29.0,4709.124,52666.0,52666.0,0.0,0.0,0.0
2018-10-01,179519.69,2050783.0,2050783.0,13.0,173.0,173.0,2024.311,23125.0,23125.0,0.0,0.0,0.0
2018-11-01,318969.12,3995937.0,3995937.0,6.0,40.0,40.0,2526.879,31656.0,31656.0,0.0,0.0,0.0
2018-12-01,351931.77,4084496.0,4084496.0,0.0,0.0,0.0,529.229,6142.0,6142.0,0.0,0.0,0.0
2019-01-01,600287.73,6698538.0,6698538.0,7.0,156.0,156.0,3147.274,35120.0,35120.0,0.0,0.0,0.0
2019-02-01,308839.08,3783418.0,3783418.0,8.0,138.0,138.0,1955.924,23961.0,23961.0,0.0,0.0,0.0
2019-03-01,409478.25,4604312.0,4604312.0,8.0,98.0,98.0,1644.75,18494.0,18494.0,0.0,0.0,0.0
2019-04-01,401946.41,4568151.0,4568151.0,9.0,115.0,115.0,1032.594,11736.0,11736.0,0.0,0.0,0.0
2019-05-01,250061.05,2953013.0,2953013.0,10.0,98.0,98.0,739.953,8738.0,8738.0,0.0,0.0,0.0
