measured_on,Distillate Fuel Oil - Other - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Other - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Other - Distillate Fuel Oil - Total Fuel Consumed,"Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Generation","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Quantity Consumed For Electricity","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Total Fuel Consumed"
2005-10-01,,,,,,,13.486569999999999,64.98,1025.4,524.73643,2528.07,39896.33
2005-11-01,,,,,,,11.826369999999999,56.98,920.41,236.86763,1141.18,18434.68
2005-12-01,,,,,,,13.17638,63.48,994.45,725.48262,3495.22,54753.76
2006-01-01,,,,9.33983,45.0,1128.68,12.25661,59.05,1481.16,345.98256,1666.87,41810.56
2006-02-01,,,,11.57044,55.74,1414.85,12.077359999999999,58.19,1476.84,315.1272,1518.22,38534.27
2006-03-01,,,,20.322000000000003,97.91,2576.13,12.70969,61.23,1611.15,288.58531,1390.34,36582.66
2006-04-01,,,,9.83612,47.39,1221.48,10.90808,52.55,1354.6,226.07180000000002,1089.17,28074.3
2006-05-01,,,,6.83827,32.95,843.61,10.65172,51.32,1314.06,206.79402,996.29,25511.36
2006-06-01,,,,6.4879299999999995,31.26,812.23,13.42689,64.69,1680.93,197.91019,953.49,24776.64
2006-07-01,,,,7.90822,38.1,1006.82,19.77247,95.26,2517.3,232.06732,1118.05,29545.28
2006-08-01,,,,8.289439999999999,39.94,1071.38,18.33692,88.34,2369.97,195.40064,941.4,25254.72
2006-09-01,,,,5.0642000000000005,24.4,626.34,13.59165,65.48,1681.02,213.60815,1029.12,26419.14
2006-10-01,,,,4.98551,24.02,623.67,14.986329999999999,72.2,1874.75,200.12417,964.16,25035.01
2006-11-01,,,,8.20707,39.54,1013.43,13.0588,62.91,1612.54,248.42613,1196.86,30676.42
2006-12-01,,,,9.32724,44.94,1129.03,13.01717,62.71,1575.68,348.14259,1677.28,42141.38
2007-01-01,0.0,0.0,14937.0,,,,-32.018,115.0,9053.0,-93.81,333.0,26528.0
2007-02-01,0.0,0.0,23042.0,,,,-35.72,128.0,10100.0,-144.71200000000002,518.0,40915.0
2007-03-01,0.0,0.0,12318.0,,,,-23.171,83.0,6552.0,-77.36,275.0,21875.0
2007-04-01,0.0,0.0,5866.0,,,,-26.246000000000002,94.0,7421.0,-36.843,134.0,10419.0
2007-05-01,0.0,0.0,5491.0,,,,-31.049000000000003,111.0,8779.0,-34.468,122.0,9747.0
2007-06-01,0.0,0.0,7243.0,,,,-29.369,105.0,8304.0,-45.469,160.0,12858.0
2007-07-01,0.0,0.0,6042.0,,,,-48.691,174.0,13768.0,-37.952000000000005,134.0,10733.0
2007-08-01,0.0,0.0,7489.0,,,,-54.327000000000005,195.0,15361.0,-47.042,166.0,13299.0
2007-09-01,0.0,0.0,5661.0,,,,-46.623000000000005,167.0,13183.0,-35.564,128.0,10054.0
2007-10-01,0.0,0.0,5169.0,,,,-41.351,148.0,11692.0,-32.444,115.0,9171.0
2007-11-01,0.0,0.0,3645.0,,,,-29.688000000000002,107.0,8395.0,-22.89,83.0,6470.0
2007-12-01,0.0,0.0,12447.0,,,,-43.044000000000004,154.0,12170.0,-78.149,282.0,22099.0
2008-01-01,,,,0.0,0.0,0.0,203.797,1517.0,30912.0,51.824000000000005,386.0,7862.0
2008-02-01,,,,0.0,0.0,0.0,153.493,1142.0,23283.0,39.361000000000004,293.0,5968.0
2008-03-01,,,,0.0,0.0,0.0,149.169,1110.0,22627.0,40.869,304.0,6197.0
2008-04-01,,,,0.0,0.0,0.0,226.50500000000002,1686.0,34357.0,22.994,171.0,3488.0
2008-05-01,,,,0.0,0.0,0.0,146.232,1088.0,22181.0,20.161,150.0,3060.0
2008-06-01,,,,0.0,0.0,0.0,192.02200000000002,1429.0,29126.0,44.865,334.0,6803.0
2008-07-01,,,,0.0,0.0,0.0,247.63500000000002,1843.0,37562.0,42.567,317.0,6459.0
2008-08-01,,,,0.0,0.0,0.0,203.46,1514.0,30862.0,25.327,188.0,3845.0
2008-09-01,,,,0.0,0.0,0.0,186.222,1386.0,28247.0,29.63,220.0,4495.0
2008-10-01,,,,0.0,0.0,0.0,203.98000000000002,1518.0,30941.0,19.474,145.0,2952.0
2008-11-01,,,,0.0,0.0,0.0,140.85,1048.0,21365.0,23.284000000000002,173.0,3532.0
2008-12-01,,,,0.0,0.0,0.0,182.40900000000002,1357.0,27669.0,50.870000000000005,379.0,7715.0
2009-01-01,,,,0.0,0.0,0.0,162.82,1198.0,25810.0,196.848,1449.0,31217.0
2009-02-01,,,,0.0,0.0,0.0,152.733,1124.0,24208.0,125.675,925.0,19919.0
2009-03-01,,,,0.0,0.0,0.0,170.04600000000002,1252.0,26953.0,93.366,687.0,14799.0
2009-04-01,,,,0.0,0.0,0.0,121.36800000000001,893.0,19237.0,48.8,359.0,7734.0
2009-05-01,,,,0.0,0.0,0.0,135.314,996.0,21448.0,6.574000000000001,48.0,1039.0
2009-06-01,,,,0.0,0.0,0.0,163.691,1205.0,25946.0,3.673,27.0,580.0
2009-07-01,,,,0.0,0.0,0.0,201.131,1480.0,31880.0,1.008,7.0,159.0
2009-08-01,,,,0.0,0.0,0.0,229.726,1691.0,36412.0,58.583000000000006,431.0,9283.0
2009-09-01,,,,0.0,0.0,0.0,177.233,1304.0,28092.0,7.167000000000001,53.0,1135.0
2009-10-01,,,,0.0,0.0,0.0,129.023,950.0,20450.0,1.657,12.0,261.0
2009-11-01,,,,0.0,0.0,0.0,163.572,1204.0,25927.0,0.369,3.0,57.0
2009-12-01,,,,0.0,0.0,0.0,188.68300000000002,1389.0,29907.0,50.94,375.0,8072.0
2010-01-01,,,,0.0,0.0,0.0,90.673,934.0,30436.0,33.69,347.0,11311.0
2010-02-01,,,,0.0,0.0,0.0,75.159,774.0,25229.0,18.991,196.0,6376.0
2010-03-01,,,,0.0,0.0,0.0,74.342,766.0,24954.0,2.378,24.0,797.0
2010-04-01,,,,0.0,0.0,0.0,80.699,831.0,27088.0,0.06,1.0,19.0
2010-05-01,,,,0.0,0.0,0.0,78.911,813.0,26488.0,2.795,29.0,937.0
2010-06-01,,,,0.0,0.0,0.0,107.992,1112.0,36250.0,6.482,67.0,2174.0
2010-07-01,,,,0.0,0.0,0.0,114.47,1179.0,38425.0,23.37,241.0,7842.0
2010-08-01,,,,0.0,0.0,0.0,126.83200000000001,1306.0,42574.0,15.342,158.0,5152.0
2010-09-01,,,,0.0,0.0,0.0,99.789,1028.0,33497.0,7.017,72.0,2353.0
2010-10-01,,,,0.0,0.0,0.0,96.536,994.0,32404.0,0.23800000000000002,2.0,83.0
2010-11-01,,,,0.0,0.0,0.0,63.475,654.0,21307.0,0.298,3.0,102.0
2010-12-01,,,,0.0,0.0,0.0,97.14200000000001,1000.0,32608.0,2.319,24.0,778.0
