measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2004-02-01,52368.0,627151.0,627151.0,4.0,46.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,121623.0,1456533.0,1456533.0
2004-03-01,16930.0,188397.0,188397.0,191.0,2122.0,2122.0,0.0,0.0,0.0,0.0,0.0,0.0,118724.0,1321122.0,1321122.0
2004-04-01,40129.0,433909.0,433909.0,615.0,6653.0,6653.0,0.0,0.0,0.0,0.0,0.0,0.0,111799.0,1208865.0,1208865.0
2004-05-01,49163.0,564406.0,564406.0,364.0,4175.0,4175.0,0.0,0.0,0.0,0.0,0.0,0.0,106532.0,1223017.0,1223017.0
2004-06-01,29524.0,335714.0,335714.0,701.0,7970.0,7970.0,0.0,0.0,0.0,0.0,0.0,0.0,92039.0,1046553.0,1046553.0
2004-07-01,28526.0,318471.0,318471.0,696.0,7774.0,7774.0,79.0,880.0,880.0,335.0,3745.0,3745.0,102869.0,1148463.0,1148463.0
2004-08-01,11494.0,133649.0,133649.0,726.0,8447.0,8447.0,5.0,63.0,63.0,1301.0,15125.0,15125.0,76860.0,893714.0,893714.0
2004-09-01,0.0,0.0,0.0,25.0,276.0,276.0,14.0,160.0,160.0,559.0,6195.0,6195.0,85517.0,947669.0,947669.0
2004-10-01,0.0,0.0,0.0,213.0,5819.0,5819.0,0.0,0.0,0.0,0.0,0.0,0.0,3057.0,83667.0,83667.0
2004-11-01,0.0,0.0,0.0,91.0,1001.0,1001.0,0.0,0.0,0.0,0.0,0.0,0.0,91873.0,1012782.0,1012782.0
2004-12-01,18091.0,200277.0,200277.0,366.0,4056.0,4056.0,0.0,0.0,0.0,0.0,0.0,0.0,115357.0,1277047.0,1277047.0
2005-01-01,19602.0,216878.42,216878.42,159.0,1753.75,1753.75,0.0,0.0,0.0,0.0,0.0,0.0,116171.0,1285320.02,1285320.02
2005-02-01,0.0,0.0,0.0,210.0,2202.25,2202.25,0.0,0.0,0.0,0.0,0.0,0.0,105424.0,1107590.94,1107590.94
2005-03-01,4120.0,44899.36,44899.36,311.0,3392.5,3392.5,0.0,0.0,0.0,0.0,0.0,0.0,105917.0,1154206.48,1154206.48
2005-04-01,48424.0,540136.0,540136.0,599.0,6681.5,6681.5,0.0,0.0,0.0,0.0,0.0,0.0,123907.0,1382104.5,1382104.5
2005-05-01,7792.0,86862.6,86862.6,716.0,7981.0,7981.0,0.0,0.0,0.0,0.0,0.0,0.0,87203.0,972076.17,972076.17
2005-06-01,32794.0,334423.32,334423.32,653.0,7664.75,7664.75,62.0,726.19,726.19,7057.0,80737.25,80737.25,101283.0,1189314.69,1189314.69
2005-07-01,34297.0,394737.89,394737.89,940.0,10815.75,10815.75,8.0,90.78,90.78,10300.0,118549.75,118549.75,99786.0,1148485.68,1148485.68
2005-08-01,34390.0,452244.87,452244.87,890.0,11707.0,11707.0,11.0,146.45,146.45,9223.0,121290.4,121290.4,100326.0,1319319.85,1319319.85
2005-09-01,32852.0,441943.7,441943.7,702.0,9447.25,9447.25,15.0,196.95,196.95,3941.0,53010.1,53010.1,84734.0,1139876.4,1139876.4
2005-10-01,22894.0,380035.0,380035.0,398.0,6601.0,6601.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-11-01,6656.0,104079.36,104079.36,477.0,7463.5,7463.5,0.0,0.0,0.0,0.0,0.0,0.0,11598.0,181344.15,181344.15
2005-12-01,38628.0,478276.23,478276.23,729.0,9021.75,9021.75,0.0,0.0,0.0,0.0,0.0,0.0,42166.0,522074.14,522074.14
2006-01-01,105.0,1120.0,1120.0,391.0,4175.0,4175.0,0.0,0.0,0.0,0.0,0.0,0.0,28718.0,306250.0,306250.0
2006-02-01,16411.0,205985.0,205985.0,426.0,5342.0,5342.0,0.0,0.0,0.0,0.0,0.0,0.0,86596.0,1086898.0,1086898.0
2006-03-01,21684.0,294831.0,294831.0,383.0,5204.0,5204.0,0.0,0.0,0.0,0.0,0.0,0.0,77679.0,1056178.0,1056178.0
2006-04-01,8927.0,104423.0,104423.0,412.0,4819.0,4819.0,0.0,0.0,0.0,0.0,0.0,0.0,95185.0,1113466.0,1113466.0
2006-05-01,11018.0,121171.0,121171.0,267.0,2933.0,2933.0,0.0,0.0,0.0,0.0,0.0,0.0,115073.0,1265501.0,1265501.0
2006-06-01,21718.0,254297.0,254297.0,598.0,6998.0,6998.0,0.0,0.0,0.0,0.0,0.0,0.0,94423.0,1105613.0,1105613.0
2006-07-01,51774.0,389544.0,389544.0,815.0,6135.0,6135.0,54.0,409.0,409.0,3408.0,25640.0,25640.0,78994.0,594346.0,594346.0
2006-08-01,53453.0,651058.0,651058.0,360.0,4382.0,4382.0,1.0,17.0,17.0,4530.0,55170.0,55170.0,105063.0,1279670.0,1279670.0
2006-09-01,5349.0,57380.0,57380.0,324.0,3479.0,3479.0,0.0,0.0,0.0,0.0,0.0,0.0,83372.0,894303.0,894303.0
2006-10-01,17247.0,186864.0,186864.0,521.0,5641.0,5641.0,0.0,0.0,0.0,0.0,0.0,0.0,39820.0,431439.0,431439.0
2006-11-01,43156.0,533734.0,533734.0,692.0,8556.0,8556.0,0.0,0.0,0.0,0.0,0.0,0.0,68168.0,843070.0,843070.0
2006-12-01,28639.0,326260.0,326260.0,357.0,4065.0,4065.0,0.0,0.0,0.0,0.0,0.0,0.0,101139.0,1152176.0,1152176.0
2007-01-01,39626.254,463340.0,463340.0,222.274,2599.0,2599.0,0.0,0.0,0.0,0.0,0.0,0.0,122237.471,1429293.0,1429293.0
2007-02-01,61049.757,731031.0,731031.0,222.81,2668.0,2668.0,0.0,0.0,0.0,0.0,0.0,0.0,110383.434,1321770.0,1321770.0
2007-03-01,64731.069,771468.0,771468.0,305.398,3640.0,3640.0,0.0,0.0,0.0,0.0,0.0,0.0,117055.532,1395074.0,1395074.0
2007-04-01,64521.998,749942.0,749942.0,158.80100000000002,1846.0,1846.0,0.0,0.0,0.0,0.0,0.0,0.0,122531.201,1424186.0,1424186.0
2007-05-01,33801.233,409342.0,409342.0,525.6080000000001,6365.0,6365.0,0.0,0.0,0.0,0.0,0.0,0.0,117606.16,1424242.0,1424242.0
2007-06-01,37080.069,470242.0,470242.0,544.993,6912.0,6912.0,23.096,293.0,293.0,1033.7920000000001,13110.0,13110.0,87631.049,1111320.0,1111320.0
2007-07-01,39403.744,515053.0,515053.0,445.178,5819.0,5819.0,0.0,0.0,0.0,0.0,0.0,0.0,97091.078,1269094.0,1269094.0
2007-08-01,45002.906,539698.0,539698.0,405.148,4859.0,4859.0,27.203000000000003,326.0,326.0,0.0,0.0,0.0,95465.743,1144875.0,1144875.0
2007-09-01,20954.518,242506.0,242506.0,337.36,3904.0,3904.0,0.0,0.0,0.0,0.0,0.0,0.0,95891.122,1109743.0,1109743.0
2007-10-01,23026.921000000002,255564.0,255564.0,285.466,3168.0,3168.0,0.0,0.0,0.0,0.0,0.0,0.0,106973.612,1187247.0,1187247.0
2007-11-01,27635.73,299273.0,299273.0,328.671,3559.0,3559.0,0.0,0.0,0.0,0.0,0.0,0.0,105657.599,1144188.0,1144188.0
2007-12-01,31929.101,347012.0,347012.0,1285.103,13967.0,13967.0,0.0,0.0,0.0,0.0,0.0,0.0,123940.796,1347013.0,1347013.0
2008-01-01,39441.212,432871.0,432871.0,685.279,7521.0,7521.0,0.0,0.0,0.0,0.0,0.0,0.0,108789.509,1193975.0,1193975.0
2008-02-01,48260.009,576548.0,576548.0,642.0600000000001,7671.0,7671.0,0.0,0.0,0.0,0.0,0.0,0.0,66805.93000000001,798110.0,798110.0
2008-03-01,55600.72,772066.0,772066.0,591.7330000000001,8217.0,8217.0,0.0,0.0,0.0,0.0,0.0,0.0,8217.547,114108.0,114108.0
2008-04-01,51952.789,595570.0,595570.0,405.28000000000003,4646.0,4646.0,0.0,0.0,0.0,0.0,0.0,0.0,94803.93000000001,1086801.0,1086801.0
2008-05-01,4916.402,53286.0,53286.0,267.913,2904.0,2904.0,0.0,0.0,0.0,0.0,0.0,0.0,108194.686,1172659.0,1172659.0
2008-06-01,23160.454,260690.0,260690.0,498.586,5612.0,5612.0,0.0,0.0,0.0,0.0,0.0,0.0,110854.96,1247764.0,1247764.0
2008-07-01,39891.47,518418.0,518418.0,568.995,7395.0,7395.0,35.398,460.0,460.0,1575.728,20478.0,20478.0,85678.409,1113452.0,1113452.0
2008-08-01,33825.773,409771.0,409771.0,861.491,10436.0,10436.0,30.648000000000003,371.0,371.0,1139.0140000000001,13798.0,13798.0,73980.074,896207.0,896207.0
2008-09-01,10165.926,113710.0,113710.0,315.12,3525.0,3525.0,0.0,0.0,0.0,0.0,0.0,0.0,105181.954,1176503.0,1176503.0
2008-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125905.0,1332267.0,1332267.0
2008-11-01,0.0,0.0,0.0,406.41200000000003,4314.0,4314.0,28.069000000000003,298.0,298.0,908.931,9648.0,9648.0,117661.588,1248959.0,1248959.0
2008-12-01,743.1510000000001,7802.0,7802.0,368.05100000000004,3864.0,3864.0,0.0,0.0,0.0,0.0,0.0,0.0,110202.798,1156969.0,1156969.0
2009-01-01,4392.342000000001,48080.0,48080.0,126.15700000000001,1381.0,1381.0,0.0,0.0,0.0,0.0,0.0,0.0,119800.501,1311375.0,1311375.0
2009-02-01,1766.3390000000002,18640.0,18640.0,246.28300000000002,2599.0,2599.0,0.0,0.0,0.0,0.0,0.0,0.0,101247.378,1068454.0,1068454.0
2009-03-01,0.0,0.0,0.0,474.788,5230.0,5230.0,0.0,0.0,0.0,0.0,0.0,0.0,43982.212,484520.0,484520.0
2009-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26527.0,279541.0,279541.0
2009-05-01,0.0,0.0,0.0,-1072.729,5345.0,5345.0,0.0,0.0,0.0,0.0,0.0,0.0,-655.2710000000001,3265.0,3265.0
2009-06-01,3330.779,122500.0,122500.0,50.221000000000004,1847.0,1847.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-07-01,0.0,0.0,0.0,-354.0,1231.0,1231.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-08-01,2391.105,27500.0,27500.0,452.77700000000004,5207.0,5207.0,0.0,0.0,0.0,0.0,0.0,0.0,87487.118,1006186.0,1006186.0
2009-09-01,0.0,0.0,0.0,0.0,0.0,0.0,78.399,848.0,848.0,732.3810000000001,7926.0,7926.0,90862.22,983270.0,983270.0
2009-10-01,0.0,0.0,0.0,58.848000000000006,547.0,547.0,0.0,0.0,0.0,0.0,0.0,0.0,4381.152,40696.0,40696.0
2009-11-01,-280.6,0.0,0.0,-280.6,0.0,0.0,-280.6,0.0,0.0,-280.6,0.0,0.0,-280.6,0.0,0.0
2009-12-01,0.0,0.0,0.0,318.41200000000003,3907.0,3907.0,0.0,0.0,0.0,0.0,0.0,0.0,37716.588,462788.0,462788.0
2010-01-01,0.0,0.0,0.0,51.356,575.0,575.0,0.0,0.0,0.0,0.0,0.0,0.0,117336.644,1314649.0,1314649.0
2010-02-01,0.0,0.0,0.0,673.91,7428.0,7428.0,0.0,0.0,0.0,0.0,0.0,0.0,81747.09,901086.0,901086.0
2010-03-01,0.0,0.0,0.0,144.15800000000002,1588.0,1588.0,0.0,0.0,0.0,0.0,0.0,0.0,92447.842,1018445.0,1018445.0
2010-04-01,0.0,0.0,0.0,531.374,5875.0,5875.0,0.0,0.0,0.0,0.0,0.0,0.0,40488.626,447639.0,447639.0
2010-05-01,0.0,0.0,0.0,385.153,4413.0,4413.0,0.0,0.0,0.0,0.0,0.0,0.0,69290.847,793976.0,793976.0
2010-06-01,0.0,0.0,0.0,155.116,1738.0,1738.0,44.267,496.0,496.0,644.068,7215.0,7215.0,87808.549,983687.0,983687.0
2010-07-01,10973.503,122620.0,122620.0,207.00500000000002,2313.0,2313.0,39.034,436.0,436.0,439.565,4912.0,4912.0,86192.893,963136.0,963136.0
2010-08-01,24091.042,261400.0,261400.0,78.48400000000001,852.0,852.0,51.297000000000004,557.0,557.0,2101.163,22799.0,22799.0,62348.014,676508.0,676508.0
2010-09-01,1846.52,24000.0,24000.0,373.199,4851.0,4851.0,0.0,0.0,0.0,0.0,0.0,0.0,10686.281,138894.0,138894.0
2010-10-01,1297.297,27000.0,27000.0,223.93900000000002,4661.0,4661.0,0.0,0.0,0.0,0.0,0.0,0.0,4053.764,84369.0,84369.0
2010-11-01,9399.561,114600.0,114600.0,394.547,4810.0,4810.0,0.0,0.0,0.0,0.0,0.0,0.0,23233.892,283269.0,283269.0
2010-12-01,9108.052,103100.0,103100.0,611.0,6916.0,6916.0,0.0,0.0,0.0,0.0,0.0,0.0,47282.948000000004,535227.0,535227.0
2011-01-01,0.0,0.0,0.0,280.471,3084.0,3084.0,0.0,0.0,0.0,0.0,0.0,0.0,100570.53,1105905.0,1105905.0
2011-02-01,0.0,0.0,0.0,375.118,4126.0,4126.0,0.0,0.0,0.0,0.0,0.0,0.0,61520.882,676619.0,676619.0
2011-03-01,0.0,0.0,0.0,184.341,2083.0,2083.0,0.0,0.0,0.0,0.0,0.0,0.0,70618.659,797949.0,797949.0
2011-04-01,0.0,0.0,0.0,163.403,1807.0,1807.0,0.0,0.0,0.0,0.0,0.0,0.0,80110.597,885786.0,885786.0
2011-05-01,0.0,0.0,0.0,263.968,2917.0,2917.0,0.0,0.0,0.0,0.0,0.0,0.0,89807.032,992516.0,992516.0
2011-06-01,0.0,0.0,0.0,357.453,4085.0,4085.0,0.0,0.0,0.0,0.0,0.0,0.0,65873.547,752870.0,752870.0
2011-07-01,0.0,0.0,0.0,71.95,823.0,823.0,0.0,0.0,0.0,0.0,0.0,0.0,101055.05,1155674.0,1155674.0
2011-08-01,0.0,0.0,0.0,254.871,2865.0,2865.0,0.0,0.0,0.0,0.0,0.0,0.0,81450.129,915737.0,915737.0
2011-09-01,0.0,0.0,0.0,410.851,4482.0,4482.0,0.0,0.0,0.0,0.0,0.0,0.0,22767.149,248389.0,248389.0
2011-10-01,7249.803,85280.0,85280.0,358.553,4218.0,4218.0,0.0,0.0,0.0,0.0,0.0,0.0,49274.644,579622.0,579622.0
2011-11-01,4537.597,51700.0,51700.0,185.341,2112.0,2112.0,0.0,0.0,0.0,0.0,0.0,0.0,58403.062,665427.0,665427.0
2011-12-01,0.0,0.0,0.0,102.793,1013.0,1013.0,0.0,0.0,0.0,0.0,0.0,0.0,72132.207,710636.0,710636.0
