measured_on,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Solar Generation,Solar Quantity Consumed For Electricity,Solar Total Fuel Consumed
2009-03-01,1.559,23.5,23.5,5.469,717.0,717.0,,,
2009-04-01,1.321,23.0,23.0,5.98,784.0,784.0,,,
2009-05-01,3.1965000000000003,103.0,103.0,4.937,647.0,647.0,,,
2009-06-01,2.271,54.5,54.5,15.28,2003.0,2003.0,,,
2009-07-01,1.6980000000000002,65.5,65.5,22.398,2936.0,2936.0,,,
2009-08-01,1.7550000000000001,51.5,51.5,22.677,2972.0,2972.0,,,
2009-09-01,1.6990000000000003,54.0,54.0,6.146,806.0,806.0,,,
2009-10-01,1.456,31.5,31.5,3.503,459.0,459.0,,,
2009-11-01,1.582,40.0,40.0,2.108,276.0,276.0,,,
2009-12-01,2.049,45.5,45.5,14.034,1839.0,1839.0,,,
2010-01-01,3.3895000000000004,60.0,60.0,6.727,214.0,214.0,,,
2010-02-01,2.8305000000000002,61.0,61.0,4.045,128.0,128.0,,,
2010-03-01,1.988,26.5,26.5,4.95,157.0,157.0,,,
2010-04-01,1.6110000000000002,24.0,24.0,3.467,110.0,110.0,,,
2010-05-01,4.4055,78.5,78.5,7.409000000000001,235.0,235.0,,,
2010-06-01,3.3885,60.0,60.0,22.211000000000002,704.0,704.0,,,
2010-07-01,2.089,23.5,23.5,38.351,1216.0,1216.0,,,
2010-08-01,2.4155,35.5,35.5,59.891000000000005,1899.0,1899.0,,,
2010-09-01,1.8130000000000002,20.5,20.5,6.6080000000000005,210.0,210.0,,,
2010-10-01,1.8265,36.5,36.5,5.525,175.0,175.0,,,
2010-11-01,3.891,95.0,95.0,4.964,157.0,157.0,,,
2010-12-01,2.7145,42.0,42.0,4.127,131.0,131.0,,,
2011-01-01,12.847999999999999,133.5,133.5,1.207,13.0,13.0,,,
2011-02-01,6.305999999999999,67.5,67.5,1.086,12.0,12.0,,,
2011-03-01,11.8895,127.0,127.0,2.905,31.0,31.0,,,
2011-04-01,10.5945,114.0,114.0,1.2,13.0,13.0,,,
2011-05-01,8.232,89.0,89.0,1.528,17.0,17.0,,,
2011-06-01,12.1655,131.5,131.5,4.286,46.0,46.0,,,
2011-07-01,7.343,80.5,80.5,18.424,199.0,199.0,,,
2011-08-01,5.8485,62.0,62.0,11.735,127.0,127.0,,,
2011-09-01,3.3289999999999997,35.0,35.0,3.039,33.0,33.0,,,
2011-10-01,5.457,59.0,59.0,1.122,12.0,12.0,,,
2011-11-01,8.7605,92.0,92.0,1.175,13.0,13.0,,,
2011-12-01,7.999,86.0,86.0,0.748,8.0,8.0,,,
2023-01-01,,,,,,,0.0,0.0,0.0
2023-02-01,,,,,,,0.0,0.0,0.0
2023-03-01,,,,,,,0.0,0.0,0.0
2023-04-01,,,,,,,0.0,0.0,0.0
2023-05-01,,,,,,,141.0,481.0,481.0
2023-06-01,,,,,,,217.0,740.0,740.0
2023-07-01,,,,,,,271.0,925.0,925.0
2023-08-01,,,,,,,258.0,880.0,880.0
2023-09-01,,,,,,,215.0,734.0,734.0
2023-10-01,,,,,,,153.0,522.0,522.0
2023-11-01,,,,,,,119.0,406.0,406.0
2023-12-01,,,,,,,61.0,208.0,208.0
2024-01-01,,,,,,,63.0,215.0,215.0
2024-02-01,,,,,,,188.0,641.0,641.0
2024-03-01,,,,,,,197.0,672.0,672.0
2024-04-01,,,,,,,257.0,877.0,877.0
2024-05-01,,,,,,,260.0,887.0,887.0
2024-06-01,,,,,,,278.0,949.0,949.0
2024-07-01,,,,,,,292.0,996.0,996.0
2024-08-01,,,,,,,261.0,891.0,891.0
2024-09-01,,,,,,,252.0,860.0,860.0
2024-10-01,,,,,,,108.0,368.0,368.0
2024-11-01,,,,,,,109.0,372.0,372.0
2024-12-01,,,,,,,68.0,232.0,232.0
