measured_on,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Petroleum Coke-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Petroleum Coke-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Petroleum Coke-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Waste heat not directly attributed to a fuel source-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Waste heat not directly attributed to a fuel source-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Waste heat not directly attributed to a fuel source-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2006-09-01,277.49388999999996,2774.94,3878.0,24289.69611,242897.05,339450.51,,,
2006-10-01,282.97987,2829.8,3881.0,9702.20013,97022.04,133063.31,,,
2006-11-01,1551.4578099999999,15514.58,23768.0,13756.11219,137561.17,210740.68,,,
2006-12-01,251.46491,2514.65,3952.0,22142.92509,221429.33,347996.23,,,
2007-01-01,259.896,2599.0,4295.0,20484.524,204855.0,338523.0,0.0,0.0,0.0
2007-02-01,375.594,3756.0,4959.0,21005.146,210055.0,277333.0,0.0,0.0,0.0
2007-03-01,474.93,4749.0,6720.0,23038.84,230372.0,325987.0,0.0,0.0,0.0
2007-04-01,739.371,7394.0,10689.0,22094.429,220939.0,319416.0,0.0,0.0,0.0
2007-05-01,760.504,7605.0,10109.0,21339.976,213401.0,283661.0,0.0,0.0,0.0
2007-06-01,218.684,2187.0,3150.0,24346.566,243472.0,350697.0,0.0,0.0,0.0
2007-07-01,190.64700000000002,1906.0,2852.0,24566.663,245649.0,367506.0,0.0,0.0,0.0
2007-08-01,523.092,5231.0,7635.0,24071.258,240731.0,351342.0,0.0,0.0,0.0
2007-09-01,300.808,3008.0,4405.0,22830.782,228316.0,334331.0,0.0,0.0,0.0
2007-10-01,1109.115,11091.0,17619.0,11421.345,114198.0,181435.0,0.0,0.0,0.0
2007-11-01,296.546,2965.0,4038.0,24555.824,245569.0,334371.0,0.0,0.0,0.0
2007-12-01,1529.501,15295.0,22008.0,15239.859,152412.0,219286.0,0.0,0.0,0.0
2008-01-01,0.0,0.0,0.0,0.0,0.0,0.0,21854.0,215349.0,215349.0
2008-02-01,0.0,0.0,0.0,0.0,0.0,0.0,20289.0,199928.0,199928.0
2008-03-01,0.0,0.0,0.0,0.0,0.0,0.0,21254.0,209437.0,209437.0
2008-04-01,0.0,0.0,0.0,0.0,0.0,0.0,20776.0,204727.0,204727.0
2008-05-01,0.0,0.0,0.0,0.0,0.0,0.0,20961.0,206550.0,206550.0
2008-06-01,0.0,0.0,0.0,0.0,0.0,0.0,21427.0,211142.0,211142.0
2008-07-01,0.0,0.0,0.0,0.0,0.0,0.0,21475.0,211615.0,211615.0
2008-08-01,0.0,0.0,0.0,0.0,0.0,0.0,10604.0,104492.0,104492.0
2008-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-10-01,0.0,0.0,0.0,0.0,0.0,0.0,10264.0,101141.0,101141.0
2008-11-01,0.0,0.0,0.0,0.0,0.0,0.0,20446.0,201475.0,201475.0
2008-12-01,0.0,0.0,0.0,0.0,0.0,0.0,18945.0,186684.0,186684.0
2009-01-01,0.0,0.0,0.0,0.0,0.0,0.0,15054.0,146927.0,146927.0
2009-02-01,0.0,0.0,0.0,0.0,0.0,0.0,13763.0,134327.0,134327.0
2009-03-01,0.0,0.0,0.0,0.0,0.0,0.0,19205.0,187441.0,187441.0
2009-04-01,0.0,0.0,0.0,0.0,0.0,0.0,19559.0,190896.0,190896.0
2009-05-01,0.0,0.0,0.0,0.0,0.0,0.0,21286.0,207751.0,207751.0
2009-06-01,0.0,0.0,0.0,0.0,0.0,0.0,17097.0,166867.0,166867.0
2009-07-01,0.0,0.0,0.0,0.0,0.0,0.0,17293.0,168780.0,168780.0
2009-08-01,0.0,0.0,0.0,0.0,0.0,0.0,17460.0,170410.0,170410.0
2009-09-01,0.0,0.0,0.0,0.0,0.0,0.0,7331.0,71551.0,71551.0
2009-10-01,0.0,0.0,0.0,0.0,0.0,0.0,12996.0,126841.0,126841.0
2009-11-01,0.0,0.0,0.0,0.0,0.0,0.0,24700.0,241072.0,241072.0
2009-12-01,0.0,0.0,0.0,0.0,0.0,0.0,16950.0,165432.0,165432.0
2010-01-01,0.0,0.0,0.0,0.0,0.0,0.0,20396.0,198983.0,198983.0
2010-02-01,0.0,0.0,0.0,0.0,0.0,0.0,12182.0,118848.0,118848.0
2010-03-01,0.0,0.0,0.0,0.0,0.0,0.0,20405.0,199071.0,199071.0
2010-04-01,0.0,0.0,0.0,0.0,0.0,0.0,19645.0,191657.0,191657.0
2010-05-01,0.0,0.0,0.0,0.0,0.0,0.0,21700.0,211705.0,211705.0
2010-06-01,0.0,0.0,0.0,0.0,0.0,0.0,21395.0,208730.0,208730.0
2010-07-01,0.0,0.0,0.0,0.0,0.0,0.0,22362.0,218164.0,218164.0
2010-08-01,0.0,0.0,0.0,0.0,0.0,0.0,19072.0,186066.0,186066.0
2010-09-01,0.0,0.0,0.0,0.0,0.0,0.0,6819.0,66526.0,66526.0
2010-10-01,0.0,0.0,0.0,0.0,0.0,0.0,19406.0,189325.0,189325.0
2010-11-01,0.0,0.0,0.0,0.0,0.0,0.0,17465.0,170389.0,170389.0
2010-12-01,0.0,0.0,0.0,0.0,0.0,0.0,15575.0,151950.0,151950.0
2011-01-01,0.0,0.0,0.0,0.0,0.0,0.0,17011.0,165279.0,165279.0
2011-02-01,0.0,0.0,0.0,0.0,0.0,0.0,20333.0,197555.0,197555.0
2011-03-01,0.0,0.0,0.0,0.0,0.0,0.0,21965.0,213412.0,213412.0
2011-04-01,0.0,0.0,0.0,0.0,0.0,0.0,14085.0,136850.0,136850.0
2011-05-01,0.0,0.0,0.0,0.0,0.0,0.0,22352.0,217172.0,217172.0
2011-06-01,0.0,0.0,0.0,0.0,0.0,0.0,18946.0,184079.0,184079.0
2011-07-01,0.0,0.0,0.0,0.0,0.0,0.0,21451.0,208418.0,208418.0
2011-08-01,0.0,0.0,0.0,0.0,0.0,0.0,18438.0,179144.0,179144.0
2011-09-01,0.0,0.0,0.0,0.0,0.0,0.0,6538.0,63523.0,63523.0
2011-10-01,0.0,0.0,0.0,0.0,0.0,0.0,16959.0,164774.0,164774.0
2011-11-01,0.0,0.0,0.0,0.0,0.0,0.0,19765.0,192037.0,192037.0
2011-12-01,0.0,0.0,0.0,0.0,0.0,0.0,21562.0,209496.0,209496.0
2012-01-01,0.0,0.0,0.0,0.0,0.0,0.0,21891.0,208315.0,208315.0
2012-02-01,0.0,0.0,0.0,0.0,0.0,0.0,19893.0,189302.0,189302.0
2012-03-01,0.0,0.0,0.0,0.0,0.0,0.0,19470.0,185277.0,185277.0
2012-04-01,0.0,0.0,0.0,0.0,0.0,0.0,20335.0,193508.0,193508.0
2012-05-01,0.0,0.0,0.0,0.0,0.0,0.0,20695.0,196934.0,196934.0
2012-06-01,0.0,0.0,0.0,0.0,0.0,0.0,20962.0,199474.0,199474.0
2012-07-01,0.0,0.0,0.0,0.0,0.0,0.0,18398.0,175075.0,175075.0
2012-08-01,0.0,0.0,0.0,0.0,0.0,0.0,21615.0,205688.0,205688.0
2012-09-01,0.0,0.0,0.0,0.0,0.0,0.0,19772.0,188150.0,188150.0
2012-10-01,0.0,0.0,0.0,0.0,0.0,0.0,19766.0,188093.0,188093.0
2012-11-01,0.0,0.0,0.0,0.0,0.0,0.0,18047.0,171735.0,171735.0
2012-12-01,0.0,0.0,0.0,0.0,0.0,0.0,19273.0,183402.0,183402.0
2013-01-01,0.0,0.0,0.0,0.0,0.0,0.0,20403.0,194665.0,194665.0
2013-02-01,0.0,0.0,0.0,0.0,0.0,0.0,18375.0,175316.0,175316.0
2013-03-01,0.0,0.0,0.0,0.0,0.0,0.0,10761.0,102671.0,102671.0
2013-04-01,0.0,0.0,0.0,0.0,0.0,0.0,3376.0,32210.0,32210.0
2013-05-01,0.0,0.0,0.0,0.0,0.0,0.0,4676.0,44614.0,44614.0
2013-06-01,0.0,0.0,0.0,0.0,0.0,0.0,19214.0,183321.0,183321.0
2013-07-01,0.0,0.0,0.0,0.0,0.0,0.0,22251.0,212297.0,212297.0
2013-08-01,0.0,0.0,0.0,0.0,0.0,0.0,19205.0,183235.0,183235.0
2013-09-01,0.0,0.0,0.0,0.0,0.0,0.0,21445.0,204607.0,204607.0
2013-10-01,0.0,0.0,0.0,0.0,0.0,0.0,18460.0,176127.0,176127.0
2013-11-01,0.0,0.0,0.0,0.0,0.0,0.0,18648.0,177921.0,177921.0
2013-12-01,0.0,0.0,0.0,0.0,0.0,0.0,18899.0,180315.0,180315.0
2014-01-01,0.0,0.0,0.0,0.0,0.0,0.0,19656.0,186929.0,186929.0
2014-02-01,0.0,0.0,0.0,0.0,0.0,0.0,18221.0,173282.0,173282.0
2014-03-01,0.0,0.0,0.0,0.0,0.0,0.0,20244.0,192520.0,192520.0
2014-04-01,0.0,0.0,0.0,0.0,0.0,0.0,18735.0,178170.0,178170.0
2014-05-01,0.0,0.0,0.0,0.0,0.0,0.0,17390.0,165379.0,165379.0
2014-06-01,0.0,0.0,0.0,0.0,0.0,0.0,15362.0,146093.0,146093.0
2014-07-01,0.0,0.0,0.0,0.0,0.0,0.0,19689.0,187242.0,187242.0
2014-08-01,0.0,0.0,0.0,0.0,0.0,0.0,22351.0,212558.0,212558.0
2014-09-01,0.0,0.0,0.0,0.0,0.0,0.0,21262.0,202202.0,202202.0
2014-10-01,0.0,0.0,0.0,0.0,0.0,0.0,6638.0,63127.0,63127.0
2014-11-01,0.0,0.0,0.0,0.0,0.0,0.0,14080.0,133901.0,133901.0
2014-12-01,0.0,0.0,0.0,0.0,0.0,0.0,20634.0,196229.0,196229.0
2015-01-01,0.0,0.0,0.0,0.0,0.0,0.0,20212.0,188356.0,188356.0
2015-02-01,0.0,0.0,0.0,0.0,0.0,0.0,18775.0,174964.0,174964.0
2015-03-01,0.0,0.0,0.0,0.0,0.0,0.0,14395.0,134147.0,134147.0
2015-04-01,0.0,0.0,0.0,0.0,0.0,0.0,20828.0,194096.0,194096.0
2015-05-01,0.0,0.0,0.0,0.0,0.0,0.0,18485.0,172262.0,172262.0
2015-06-01,0.0,0.0,0.0,0.0,0.0,0.0,10234.0,95371.0,95371.0
2015-07-01,0.0,0.0,0.0,0.0,0.0,0.0,21103.0,196659.0,196659.0
2015-08-01,0.0,0.0,0.0,0.0,0.0,0.0,21965.0,204692.0,204692.0
2015-09-01,0.0,0.0,0.0,0.0,0.0,0.0,20778.0,193630.0,193630.0
2015-10-01,0.0,0.0,0.0,0.0,0.0,0.0,20733.0,193211.0,193211.0
2015-11-01,0.0,0.0,0.0,0.0,0.0,0.0,20655.0,192484.0,192484.0
2015-12-01,0.0,0.0,0.0,0.0,0.0,0.0,21171.0,197293.0,197293.0
2016-01-01,0.0,0.0,0.0,0.0,0.0,0.0,21228.0,195977.0,195977.0
2016-02-01,0.0,0.0,0.0,0.0,0.0,0.0,15513.0,143216.0,143216.0
2016-03-01,0.0,0.0,0.0,0.0,0.0,0.0,12217.0,112787.0,112787.0
2016-04-01,0.0,0.0,0.0,0.0,0.0,0.0,5402.0,49871.0,49871.0
2016-05-01,0.0,0.0,0.0,0.0,0.0,0.0,12023.0,110996.0,110996.0
2016-06-01,0.0,0.0,0.0,0.0,0.0,0.0,17507.0,161625.0,161625.0
2016-07-01,0.0,0.0,0.0,0.0,0.0,0.0,21486.0,198359.0,198359.0
2016-08-01,0.0,0.0,0.0,0.0,0.0,0.0,16117.0,148792.0,148792.0
2016-09-01,0.0,0.0,0.0,0.0,0.0,0.0,20752.0,191582.0,191582.0
2016-10-01,0.0,0.0,0.0,0.0,0.0,0.0,21385.0,197426.0,197426.0
2016-11-01,0.0,0.0,0.0,0.0,0.0,0.0,21139.0,195155.0,195155.0
2016-12-01,0.0,0.0,0.0,0.0,0.0,0.0,22286.0,205744.0,205744.0
2017-01-01,0.0,0.0,0.0,0.0,0.0,0.0,22137.0,203948.0,203948.0
2017-02-01,0.0,0.0,0.0,0.0,0.0,0.0,19523.0,179865.0,179865.0
2017-03-01,0.0,0.0,0.0,0.0,0.0,0.0,19700.0,181496.0,181496.0
2017-04-01,0.0,0.0,0.0,0.0,0.0,0.0,20652.0,190267.0,190267.0
2017-05-01,0.0,0.0,0.0,0.0,0.0,0.0,21897.0,201737.0,201737.0
2017-06-01,0.0,0.0,0.0,0.0,0.0,0.0,21079.0,194201.0,194201.0
2017-07-01,0.0,0.0,0.0,0.0,0.0,0.0,21876.0,201544.0,201544.0
2017-08-01,0.0,0.0,0.0,0.0,0.0,0.0,21665.0,199600.0,199600.0
2017-09-01,0.0,0.0,0.0,0.0,0.0,0.0,20270.0,186748.0,186748.0
2017-10-01,0.0,0.0,0.0,0.0,0.0,0.0,15781.0,145390.0,145390.0
2017-11-01,0.0,0.0,0.0,0.0,0.0,0.0,20463.0,188526.0,188526.0
2017-12-01,0.0,0.0,0.0,0.0,0.0,0.0,21121.0,194588.0,194588.0
2018-01-01,0.0,0.0,0.0,0.0,0.0,0.0,14001.0,127465.0,127465.0
2018-02-01,0.0,0.0,0.0,0.0,0.0,0.0,509.0,4634.0,4634.0
2018-03-01,0.0,0.0,0.0,0.0,0.0,0.0,16825.0,153175.0,153175.0
2018-04-01,0.0,0.0,0.0,0.0,0.0,0.0,20914.0,190401.0,190401.0
2018-05-01,0.0,0.0,0.0,0.0,0.0,0.0,21154.0,192586.0,192586.0
2018-06-01,0.0,0.0,0.0,0.0,0.0,0.0,19686.0,179221.0,179221.0
2018-07-01,0.0,0.0,0.0,0.0,0.0,0.0,19597.0,178411.0,178411.0
2018-08-01,0.0,0.0,0.0,0.0,0.0,0.0,19971.0,181816.0,181816.0
2018-09-01,0.0,0.0,0.0,0.0,0.0,0.0,20408.0,185794.0,185794.0
2018-10-01,0.0,0.0,0.0,0.0,0.0,0.0,19191.0,174715.0,174715.0
2018-11-01,0.0,0.0,0.0,0.0,0.0,0.0,17907.0,163025.0,163025.0
2018-12-01,0.0,0.0,0.0,0.0,0.0,0.0,16772.0,152692.0,152692.0
2019-01-01,0.0,0.0,0.0,0.0,0.0,0.0,20483.0,182401.0,182401.0
2019-02-01,0.0,0.0,0.0,0.0,0.0,0.0,15593.0,138856.0,138856.0
2019-03-01,0.0,0.0,0.0,0.0,0.0,0.0,14579.0,129826.0,129826.0
2019-04-01,0.0,0.0,0.0,0.0,0.0,0.0,15508.0,138099.0,138099.0
2019-05-01,0.0,0.0,0.0,0.0,0.0,0.0,8464.0,75372.0,75372.0
2019-06-01,0.0,0.0,0.0,0.0,0.0,0.0,19281.0,171697.0,171697.0
2019-07-01,0.0,0.0,0.0,0.0,0.0,0.0,13387.0,119211.0,119211.0
2019-08-01,0.0,0.0,0.0,0.0,0.0,0.0,19305.0,171911.0,171911.0
2019-09-01,0.0,0.0,0.0,0.0,0.0,0.0,10510.0,93592.0,93592.0
2019-10-01,0.0,0.0,0.0,0.0,0.0,0.0,17967.0,159996.0,159996.0
2019-11-01,0.0,0.0,0.0,0.0,0.0,0.0,17092.0,152204.0,152204.0
2019-12-01,0.0,0.0,0.0,0.0,0.0,0.0,18932.0,168589.0,168589.0
2020-01-01,0.0,0.0,0.0,0.0,0.0,0.0,20240.0,177444.0,177444.0
2020-02-01,0.0,0.0,0.0,0.0,0.0,0.0,12752.0,111797.0,111797.0
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-01,0.0,0.0,0.0,0.0,0.0,0.0,17311.0,151766.0,151766.0
2020-05-01,0.0,0.0,0.0,0.0,0.0,0.0,20010.0,175428.0,175428.0
2020-06-01,0.0,0.0,0.0,0.0,0.0,0.0,14655.0,128480.0,128480.0
2020-07-01,0.0,0.0,0.0,0.0,0.0,0.0,20205.0,177137.0,177137.0
2020-08-01,0.0,0.0,0.0,0.0,0.0,0.0,19229.0,168581.0,168581.0
2020-09-01,0.0,0.0,0.0,0.0,0.0,0.0,19816.0,173727.0,173727.0
2020-10-01,0.0,0.0,0.0,0.0,0.0,0.0,20489.0,179627.0,179627.0
2020-11-01,0.0,0.0,0.0,0.0,0.0,0.0,14354.0,125842.0,125842.0
2020-12-01,0.0,0.0,0.0,0.0,0.0,0.0,18386.0,161190.0,161190.0
2021-01-01,0.0,0.0,0.0,0.0,0.0,0.0,17156.0,151728.0,151728.0
2021-02-01,0.0,0.0,0.0,0.0,0.0,0.0,13628.0,120526.0,120526.0
2021-03-01,0.0,0.0,0.0,0.0,0.0,0.0,19672.0,173979.0,173979.0
2021-04-01,0.0,0.0,0.0,0.0,0.0,0.0,18616.0,164640.0,164640.0
2021-05-01,0.0,0.0,0.0,0.0,0.0,0.0,9152.0,80940.0,80940.0
2021-06-01,0.0,0.0,0.0,0.0,0.0,0.0,18123.0,160280.0,160280.0
2021-07-01,0.0,0.0,0.0,0.0,0.0,0.0,19877.0,175792.0,175792.0
2021-08-01,0.0,0.0,0.0,0.0,0.0,0.0,19866.0,175695.0,175695.0
2021-09-01,0.0,0.0,0.0,0.0,0.0,0.0,19107.0,168982.0,168982.0
2021-10-01,0.0,0.0,0.0,0.0,0.0,0.0,13438.0,118846.0,118846.0
2021-11-01,0.0,0.0,0.0,0.0,0.0,0.0,16732.0,147978.0,147978.0
2021-12-01,0.0,0.0,0.0,0.0,0.0,0.0,18822.0,166462.0,166462.0
2022-01-01,0.0,0.0,0.0,0.0,0.0,0.0,19494.0,66514.0,66514.0
2022-02-01,0.0,0.0,0.0,0.0,0.0,0.0,17240.0,58823.0,58823.0
2022-03-01,0.0,0.0,0.0,0.0,0.0,0.0,19478.0,66459.0,66459.0
2022-04-01,0.0,0.0,0.0,0.0,0.0,0.0,18135.0,61877.0,61877.0
2022-05-01,0.0,0.0,0.0,0.0,0.0,0.0,10840.0,36986.0,36986.0
2022-06-01,0.0,0.0,0.0,0.0,0.0,0.0,14758.0,50354.0,50354.0
2022-07-01,,,,,,,0.0,0.0,0.0
2022-08-01,,,,,,,0.0,0.0,0.0
2022-09-01,,,,,,,0.0,0.0,0.0
2022-10-01,,,,,,,0.0,0.0,0.0
