measured_on,Geothermal-Other Generation,Geothermal-Other Quantity Consumed For Electricity,Geothermal-Other Total Fuel Consumed,Geothermal-Turbines Used in a Binary Cycle (including those used for geothermal applications) Generation,Geothermal-Turbines Used in a Binary Cycle (including those used for geothermal applications) Quantity Consumed For Electricity,Geothermal-Turbines Used in a Binary Cycle (including those used for geothermal applications) Total Fuel Consumed
2009-10-01,,,,7868.878000000001,76800.25,76800.25
2009-11-01,,,,7709.814,75247.78,75247.78
2009-12-01,,,,8243.479000000001,80456.36,80456.36
2010-01-01,,,,7121.81,69480.0,69480.0
2010-02-01,,,,6397.554,62415.0,62415.0
2010-03-01,,,,6973.654,68035.0,68035.0
2010-04-01,,,,6599.866,64388.0,64388.0
2010-05-01,,,,6930.861000000001,67617.0,67617.0
2010-06-01,,,,6714.392000000001,65506.0,65506.0
2010-07-01,,,,6905.688,67372.0,67372.0
2010-08-01,,,,6950.813,67812.0,67812.0
2010-09-01,,,,6742.331,65778.0,65778.0
2010-10-01,,,,6458.723,63011.0,63011.0
2010-11-01,,,,6759.064,65941.0,65941.0
2010-12-01,,,,7067.244000000001,68948.0,68948.0
2011-01-01,,,,7714.865,74958.0,74958.0
2011-02-01,,,,6999.733,68009.0,68009.0
2011-03-01,,,,7713.777,74947.0,74947.0
2011-04-01,,,,7066.338,68657.0,68657.0
2011-05-01,,,,7582.299,73670.0,73670.0
2011-06-01,,,,7002.602,68037.0,68037.0
2011-07-01,,,,7448.699,72372.0,72372.0
2011-08-01,,,,7452.08,72404.0,72404.0
2011-09-01,,,,7130.785,69283.0,69283.0
2011-10-01,,,,7487.016,72744.0,72744.0
2011-11-01,,,,7322.95,71150.0,71150.0
2011-12-01,,,,7616.856,74005.0,74005.0
2012-01-01,,,,7007.937,66688.0,66688.0
2012-02-01,,,,6588.163,62693.0,62693.0
2012-03-01,,,,7163.129,68164.0,68164.0
2012-04-01,,,,7025.578,66855.0,66855.0
2012-05-01,,,,7235.469,68853.0,68853.0
2012-06-01,,,,6977.416,66397.0,66397.0
2012-07-01,,,,7284.94,69323.0,69323.0
2012-08-01,,,,7206.563,68578.0,68578.0
2012-09-01,,,,7114.347,67700.0,67700.0
2012-10-01,,,,7246.105,68954.0,68954.0
2012-11-01,,,,7226.36,68766.0,68766.0
2012-12-01,,,,7480.993,71189.0,71189.0
2013-01-01,,,,6951.414,66323.0,66323.0
2013-02-01,,,,6177.162,58936.0,58936.0
2013-03-01,,,,7012.644,66908.0,66908.0
2013-04-01,,,,6406.673,61126.0,61126.0
2013-05-01,,,,6745.177,64356.0,64356.0
2013-06-01,,,,6540.029,62398.0,62398.0
2013-07-01,,,,6974.219,66541.0,66541.0
2013-08-01,,,,6926.255,66083.0,66083.0
2013-09-01,,,,6698.972,63915.0,63915.0
2013-10-01,,,,6884.539,65685.0,65685.0
2013-11-01,,,,6020.012,57437.0,57437.0
2013-12-01,,,,6631.904,63275.0,63275.0
2014-01-01,,,,5673.725,53957.0,53957.0
2014-02-01,,,,5120.72,48698.0,48698.0
2014-03-01,,,,5690.261,54114.0,54114.0
2014-04-01,,,,5677.456,53993.0,53993.0
2014-05-01,,,,5813.243,55284.0,55284.0
2014-06-01,,,,5728.786,54481.0,54481.0
2014-07-01,,,,5973.536,56808.0,56808.0
2014-08-01,,,,5954.769,56630.0,56630.0
2014-09-01,,,,5766.416,54839.0,54839.0
2014-10-01,,,,5925.242,56349.0,56349.0
2014-11-01,,,,5838.208,55521.0,55521.0
2014-12-01,,,,5838.638,55525.0,55525.0
2015-01-01,,,,5086.591,47402.0,47402.0
2015-02-01,,,,4635.28,43196.0,43196.0
2015-03-01,,,,5077.07,47313.0,47313.0
2015-04-01,,,,4569.333,42582.0,42582.0
2015-05-01,,,,5116.031,47676.0,47676.0
2015-06-01,,,,4964.787,46267.0,46267.0
2015-07-01,,,,5114.628,47663.0,47663.0
2015-08-01,,,,5087.334,47409.0,47409.0
2015-09-01,,,,4261.053,39709.0,39709.0
2015-10-01,,,,4761.543,44373.0,44373.0
2015-11-01,,,,4573.042,42616.0,42616.0
2015-12-01,,,,4706.308,43858.0,43858.0
2016-01-01,,,,5841.878,53932.0,53932.0
2016-02-01,,,,5466.949,50471.0,50471.0
2016-03-01,,,,5821.562,53745.0,53745.0
2016-04-01,,,,5352.122,49411.0,49411.0
2016-05-01,,,,6110.681,56414.0,56414.0
2016-06-01,,,,5869.995,54192.0,54192.0
2016-07-01,,,,6285.844,58031.0,58031.0
2016-08-01,,,,6302.975,58189.0,58189.0
2016-09-01,,,,6172.093,56981.0,56981.0
2016-10-01,,,,6155.959,56832.0,56832.0
2016-11-01,,,,6098.969,56306.0,56306.0
2016-12-01,,,,6463.973,59675.0,59675.0
2017-01-01,,,,5483.007,50515.0,50515.0
2017-02-01,,,,4800.096,44223.0,44223.0
2017-03-01,,,,5369.461,49469.0,49469.0
2017-04-01,,,,5205.22,47956.0,47956.0
2017-05-01,,,,5050.006,46526.0,46526.0
2017-06-01,,,,5026.688,46311.0,46311.0
2017-07-01,,,,5330.396,49109.0,49109.0
2017-08-01,,,,5297.911,48810.0,48810.0
2017-09-01,,,,5206.249,47965.0,47965.0
2017-10-01,,,,4679.207,43110.0,43110.0
2017-11-01,,,,5068.053,46692.0,46692.0
2017-12-01,,,,5258.706,48448.0,48448.0
2018-01-01,,,,5224.915,47568.0,47568.0
2018-02-01,,,,4975.779,45299.0,45299.0
2018-03-01,,,,5313.413,48373.0,48373.0
2018-04-01,,,,4616.765,42031.0,42031.0
2018-05-01,,,,5432.603,49458.0,49458.0
2018-06-01,,,,5187.778,47230.0,47230.0
2018-07-01,,,,5403.823,49196.0,49196.0
2018-08-01,,,,5375.089,48935.0,48935.0
2018-09-01,,,,5212.427,47454.0,47454.0
2018-10-01,,,,4998.412,45506.0,45506.0
2018-11-01,,,,5183.074,47187.0,47187.0
2018-12-01,,,,5496.922,50044.0,50044.0
2019-01-01,,,,6076.769,54114.0,54114.0
2019-02-01,,,,5651.197,50324.0,50324.0
2019-03-01,,,,6232.951,55504.0,55504.0
2019-04-01,,,,5699.107,50751.0,50751.0
2019-05-01,,,,6053.096,53903.0,53903.0
2019-06-01,,,,5934.009,52842.0,52842.0
2019-07-01,,,,6152.719,54790.0,54790.0
2019-08-01,,,,6231.44,55491.0,55491.0
2019-09-01,,,,6106.57,54379.0,54379.0
2019-10-01,,,,4868.364,43353.0,43353.0
2019-11-01,,,,4263.884,37970.0,37970.0
2019-12-01,,,,5326.894,47436.0,47436.0
2020-01-01,,,,4950.863,43404.0,43404.0
2020-02-01,,,,5426.768,47576.0,47576.0
2020-03-01,,,,6885.34,60364.0,60364.0
2020-04-01,,,,6616.444,58006.0,58006.0
2020-05-01,,,,6555.053,57468.0,57468.0
2020-06-01,,,,6105.356,53526.0,53526.0
2020-07-01,,,,6598.561,57850.0,57850.0
2020-08-01,,,,6621.106,58047.0,58047.0
2020-09-01,,,,6214.797,54485.0,54485.0
2020-10-01,,,,5969.836,52338.0,52338.0
2020-11-01,,,,6569.019,57591.0,57591.0
2020-12-01,,,,6431.857,56388.0,56388.0
2021-01-01,,,,5783.072,51145.0,51145.0
2021-02-01,,,,5731.606,50690.0,50690.0
2021-03-01,,,,5715.593,50549.0,50549.0
2021-04-01,,,,5736.653,50735.0,50735.0
2021-05-01,,,,5783.958,51153.0,51153.0
2021-06-01,,,,5765.794,50993.0,50993.0
2021-07-01,,,,6256.067,55329.0,55329.0
2021-08-01,,,,6162.47,54501.0,54501.0
2021-09-01,,,,6104.951,53992.0,53992.0
2021-10-01,,,,5743.98,50800.0,50800.0
2021-11-01,,,,5957.103,52685.0,52685.0
2021-12-01,,,,6367.753,56316.0,56316.0
2022-01-01,,,,4635.914,15818.0,15818.0
2022-02-01,,,,3839.986,13102.0,13102.0
2022-03-01,,,,4201.656,14336.0,14336.0
2022-04-01,,,,4331.786,14780.0,14780.0
2022-05-01,,,,4404.257,15027.0,15027.0
2022-06-01,,,,4228.055,14426.0,14426.0
2022-07-01,,,,4457.152,15208.0,15208.0
2022-08-01,,,,4412.364,15055.0,15055.0
2022-09-01,,,,4262.431,14543.0,14543.0
2022-10-01,,,,4347.244,14833.0,14833.0
2022-11-01,,,,4261.593,14541.0,14541.0
2022-12-01,,,,4548.562,15520.0,15520.0
2023-01-01,,,,0.0,0.0,0.0
2023-02-01,,,,0.0,0.0,0.0
2023-03-01,,,,6352.0,21673.0,21673.0
2023-04-01,,,,7099.0,24222.0,24222.0
2023-05-01,,,,6649.0,22686.0,22686.0
2023-06-01,,,,5910.0,20165.0,20165.0
2023-07-01,,,,4943.0,16866.0,16866.0
2023-08-01,,,,5264.0,17961.0,17961.0
2023-09-01,,,,5152.0,17579.0,17579.0
2023-10-01,,,,5948.0,20295.0,20295.0
2023-11-01,,,,7256.0,24757.0,24757.0
2023-12-01,,,,7748.0,26436.0,26436.0
2024-01-01,,,,7946.0,27112.0,27112.0
2024-02-01,,,,7195.0,24549.0,24549.0
2024-03-01,,,,7712.0,26313.0,26313.0
2024-04-01,,,,6421.0,21908.0,21908.0
2024-05-01,,,,5549.0,18933.0,18933.0
2024-06-01,,,,6171.0,21055.0,21055.0
2024-07-01,,,,6106.0,20834.0,20834.0
2024-08-01,,,,6511.0,22216.0,22216.0
2024-09-01,,,,6377.0,21758.0,21758.0
2024-10-01,,,,6596.0,22506.0,22506.0
2024-11-01,,,,7808.0,26641.0,26641.0
2024-12-01,,,,7915.0,27006.0,27006.0
