measured_on,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Solar Generation,Solar Quantity Consumed For Electricity,Solar Total Fuel Consumed
2024-03-01,24.048,369.0,369.0,0.237,4.0,4.0,157.0,536.0,536.0
2024-04-01,5.802,88.0,88.0,0.204,3.0,3.0,196.0,669.0,669.0
2024-05-01,2.921,44.0,44.0,0.242,4.0,4.0,223.0,761.0,761.0
2024-06-01,2.365,39.0,39.0,0.3,4.0,4.0,258.0,880.0,880.0
2024-07-01,4.718,72.0,72.0,0.383,6.0,6.0,236.0,805.0,805.0
2024-08-01,3.117,50.0,50.0,0.341,5.0,5.0,205.0,699.0,699.0
2024-09-01,2.923,44.0,44.0,0.281,4.0,4.0,172.0,587.0,587.0
2024-10-01,5.283,83.0,83.0,0.239,4.0,4.0,163.0,556.0,556.0
2024-11-01,7.411,116.0,116.0,0.25,4.0,4.0,95.0,324.0,324.0
2024-12-01,55.636,853.0,853.0,0.294,4.0,4.0,75.0,256.0,256.0
