measured_on,"Agricultural By-Products - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Generation","Agricultural By-Products - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Quantity Consumed For Electricity","Agricultural By-Products - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Total Fuel Consumed","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed"
2005-09-01,0.0,0.0,0.0,703.299,27340.17,27340.17
2005-10-01,0.0,0.0,0.0,717.8190000000001,27904.63,27904.63
2005-11-01,0.0,0.0,0.0,695.528,27038.06,27038.06
2005-12-01,0.0,0.0,0.0,708.259,27533.0,27533.0
2006-01-01,0.0,0.0,0.0,178.553,6735.0,6735.0
2006-02-01,0.0,0.0,0.0,166.586,6283.0,6283.0
2006-03-01,0.0,0.0,0.0,171.11,6454.0,6454.0
2006-04-01,0.0,0.0,0.0,141.463,5336.0,5336.0
2006-05-01,0.0,0.0,0.0,135.662,5117.0,5117.0
2006-06-01,0.0,0.0,0.0,168.27700000000002,6347.0,6347.0
2006-07-01,0.0,0.0,0.0,181.035,6828.0,6828.0
2006-08-01,0.0,0.0,0.0,179.269,6762.0,6762.0
2006-09-01,0.0,0.0,0.0,161.809,6103.0,6103.0
2006-10-01,0.0,0.0,0.0,152.554,5754.0,5754.0
2006-11-01,0.0,0.0,0.0,167.78400000000002,6328.0,6328.0
2006-12-01,0.0,0.0,0.0,167.898,6333.0,6333.0
2007-01-01,,,,1359.314,49957.0,49957.0
2007-02-01,,,,1249.6470000000002,45926.0,45926.0
2007-03-01,,,,1262.431,46398.0,46398.0
2007-04-01,,,,1351.0430000000001,49651.0,49651.0
2007-05-01,,,,1374.007,50499.0,50499.0
2007-06-01,,,,1374.646,50527.0,50527.0
2007-07-01,,,,1307.194,48038.0,48038.0
2007-08-01,,,,1389.131,51055.0,51055.0
2007-09-01,,,,1443.969,53070.0,53070.0
2007-10-01,,,,1371.7440000000001,50415.0,50415.0
2007-11-01,,,,1360.731,50012.0,50012.0
2007-12-01,,,,1473.143,54141.0,54141.0
2008-01-01,,,,1743.784,67498.0,67498.0
2008-02-01,,,,1701.9070000000002,65900.0,65900.0
2008-03-01,,,,1821.2050000000002,70515.0,70515.0
2008-04-01,,,,1815.808,70306.0,70306.0
2008-05-01,,,,1880.346,72808.0,72808.0
2008-06-01,,,,2075.742,80370.0,80370.0
2008-07-01,,,,2171.4010000000003,84067.0,84067.0
2008-08-01,,,,1931.448,74782.0,74782.0
2008-09-01,,,,1861.1070000000002,72058.0,72058.0
2008-10-01,,,,1777.078,68805.0,68805.0
2008-11-01,,,,1649.9260000000002,63884.0,63884.0
2008-12-01,,,,1443.248,55878.0,55878.0
2009-01-01,,,,358.293,14387.0,14387.0
2009-02-01,,,,316.22,12719.0,12719.0
2009-03-01,,,,310.242,12468.0,12468.0
2009-04-01,,,,315.594,12691.0,12691.0
2009-05-01,,,,374.132,15040.0,15040.0
2009-06-01,,,,415.798,16722.0,16722.0
2009-07-01,,,,414.455,16666.0,16666.0
2009-08-01,,,,433.208,17417.0,17417.0
2009-09-01,,,,400.939,16124.0,16124.0
2009-10-01,,,,371.01800000000003,14915.0,14915.0
2009-11-01,,,,374.081,15040.0,15040.0
2009-12-01,,,,402.02,16166.0,16166.0
2010-01-01,,,,0.0,0.0,0.0
2010-02-01,,,,0.0,0.0,0.0
2010-03-01,,,,0.0,0.0,0.0
2010-04-01,,,,0.0,0.0,0.0
2010-05-01,,,,0.0,0.0,0.0
2010-06-01,,,,0.0,0.0,0.0
2010-07-01,,,,0.0,0.0,0.0
2010-08-01,,,,0.0,0.0,0.0
2010-09-01,,,,0.0,0.0,0.0
2010-10-01,,,,0.0,0.0,0.0
2010-11-01,,,,0.0,0.0,0.0
2010-12-01,,,,0.0,0.0,0.0
2011-01-01,,,,0.0,0.0,0.0
2011-02-01,,,,0.0,0.0,0.0
2011-03-01,,,,0.0,0.0,0.0
2011-04-01,,,,0.0,0.0,0.0
2011-05-01,,,,0.0,0.0,0.0
2011-06-01,,,,0.0,0.0,0.0
2011-07-01,,,,0.0,0.0,0.0
2011-08-01,,,,0.0,0.0,0.0
2011-09-01,,,,0.0,0.0,0.0
2011-10-01,,,,0.0,0.0,0.0
2011-11-01,,,,0.0,0.0,0.0
2011-12-01,,,,0.0,0.0,0.0
2012-01-01,,,,0.0,0.0,0.0
2012-02-01,,,,0.0,0.0,0.0
2012-03-01,,,,0.0,0.0,0.0
