measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2009-07-01,1849.0,21329.0,30997.0
2009-08-01,14842.0,168033.0,221885.0
2009-09-01,2647.0,29700.0,39177.0
2009-10-01,0.0,0.0,0.0
2009-11-01,2449.0,27711.0,36634.0
2009-12-01,24483.0,272878.0,330337.0
2010-01-01,46332.0,647965.0,647965.0
2010-02-01,39823.0,558015.0,558015.0
2010-03-01,9439.0,141733.0,141733.0
2010-04-01,7214.0,116825.0,116825.0
2010-05-01,19354.0,287964.0,287964.0
2010-06-01,46720.0,645515.0,645515.0
2010-07-01,51158.0,707755.0,707755.0
2010-08-01,22847.0,599843.0,599843.0
2010-09-01,22847.0,356825.0,356825.0
2010-10-01,18893.0,271608.0,271608.0
2010-11-01,7444.0,111292.0,111292.0
2010-12-01,46773.0,642250.0,642250.0
2011-01-01,24971.0,351042.0,351042.0
2011-02-01,9369.0,140593.0,140593.0
2011-03-01,8592.0,123888.0,123888.0
2011-04-01,18033.0,246660.0,246660.0
2011-05-01,20708.0,296872.0,296872.0
2011-06-01,25140.0,348976.0,348976.0
2011-07-01,28661.0,394801.0,394801.0
2011-08-01,18952.0,264654.0,264654.0
2011-09-01,9451.0,134810.0,134810.0
2011-10-01,932.0,13542.0,13542.0
2011-11-01,873.0,11802.0,11802.0
2011-12-01,972.0,13901.0,13901.0
2012-01-01,903.0,14108.0,14108.0
2012-02-01,2038.0,31904.0,31904.0
2012-03-01,1001.0,14108.0,14108.0
2012-04-01,1483.0,24876.0,24876.0
2012-05-01,3623.0,55123.0,55123.0
2012-06-01,3774.0,65250.0,65250.0
2012-07-01,8712.0,145945.0,145945.0
2012-08-01,4066.0,69980.0,69980.0
2012-09-01,3594.0,57496.0,57496.0
2012-10-01,848.0,24713.0,24713.0
2012-11-01,1234.0,21321.0,21321.0
2012-12-01,848.0,12567.0,12567.0
2013-01-01,6872.0,102591.0,102591.0
2013-02-01,906.0,13670.0,13670.0
2013-03-01,10304.0,160313.0,160313.0
2013-04-01,1429.0,26651.0,26651.0
2013-05-01,7601.0,125767.0,125767.0
2013-06-01,2618.0,40321.0,40321.0
2013-07-01,8453.0,126176.0,126176.0
2013-08-01,691.0,11728.0,11728.0
2013-09-01,2852.0,43745.0,43745.0
2013-10-01,807.0,11447.0,11447.0
2013-11-01,851.0,11831.0,11831.0
2013-12-01,4471.0,70089.0,70089.0
2014-01-01,27417.0,376634.0,376634.0
2014-02-01,24338.0,358502.0,358502.0
2014-03-01,24417.0,336760.0,336760.0
2014-04-01,4750.0,84802.0,84802.0
2014-05-01,4023.0,62438.0,62438.0
2014-06-01,4194.0,65934.0,65934.0
2014-07-01,5306.0,90906.0,90906.0
2014-08-01,775.0,10884.0,10884.0
2014-09-01,1609.0,27327.0,27327.0
2014-10-01,769.0,10701.0,10701.0
2014-11-01,1702.0,27014.0,27014.0
2014-12-01,8617.0,132247.0,132247.0
2015-01-01,6526.0,97920.0,97920.0
2015-02-01,30019.0,413192.0,413192.0
2015-03-01,6975.0,101822.0,101822.0
2015-04-01,2341.0,38538.0,38538.0
2015-05-01,10664.0,161334.0,161334.0
2015-06-01,9215.0,128739.0,128739.0
2015-07-01,0.0,0.0,0.0
2015-08-01,0.0,0.0,0.0
2015-09-01,0.0,0.0,0.0
2015-10-01,0.0,0.0,0.0
2015-11-01,0.0,0.0,0.0
2015-12-01,0.0,0.0,0.0
