measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Other Biomass Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Other Biomass Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Other Biomass Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Tire-Derived Fuels-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Tire-Derived Fuels-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Tire-Derived Fuels-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2004-03-01,2262.42484,26561.85,51431.68,,,,,,,,,,397.37716,4665.38,9033.57,,,
2004-04-01,1906.96308,22388.57,42663.23,,,,,,,,,,403.78292,4740.59,9033.57,,,
2004-05-01,2204.54249,25882.28,50000.54,,,,,,,,,,398.29350999999997,4676.14,9033.57,,,
2004-06-01,2110.70951,24780.64,47683.07,,,,,,,,,,399.87449,4694.7,9033.57,,,
2004-07-01,2409.68669,28290.76,55077.08,,,,,,,,,,395.22931,4640.16,9033.57,,,
2004-08-01,2237.00614,26263.42,50802.99,,,,,,,,,,397.77486,4670.05,9033.57,,,
2004-09-01,1761.17238,20676.93,39083.42,,,,,,,,,,407.06962,4779.17,9033.57,,,
2004-10-01,1900.75036,22315.63,42510.37,,,,,,,,,,403.91464,4742.13,9033.57,,,
2004-11-01,1813.81584,21294.98,40374.51,,,,,,,,,,405.83116,4764.63,9033.57,,,
2004-12-01,2067.301,24271.01,46612.26,,,,,,,,,,400.648,4703.78,9033.57,,,
2005-01-01,0.0,0.0,27232.56,,,,,,,,,,0.0,0.0,0.0,,,
2005-02-01,0.0,0.0,23570.16,,,,,,,,,,0.0,0.0,0.0,,,
2005-03-01,0.0,0.0,22549.92,,,,,,,,,,0.0,0.0,0.0,,,
2005-04-01,0.0,0.0,18625.92,,,,,,,,,,0.0,0.0,0.0,,,
2005-05-01,0.0,0.0,16193.04,,,,,,,,,,0.0,0.0,0.0,,,
2005-06-01,0.0,0.0,2302.08,,,,,,,,,,0.0,0.0,0.0,,,
2005-07-01,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,
2005-08-01,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,
2005-09-01,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,
2005-10-01,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,
2005-11-01,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,
2005-12-01,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,
2006-01-01,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,
2006-02-01,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,
2006-03-01,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,
2006-04-01,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,
2006-05-01,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,
2006-06-01,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,
2006-07-01,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,
2006-08-01,2040.6380000000001,13614.4,13614.4,,,,,,,,,,0.0,0.0,0.0,,,
2006-09-01,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,
2006-10-01,241.996,2841.13,4395.2,,,,,,,,,,0.0,0.0,0.0,,,
2006-11-01,3379.2960000000003,39674.4,49993.68,,,,,,,,,,0.0,0.0,0.0,,,
2006-12-01,3307.273,38828.83,54679.5,,,,,,,,,,0.0,0.0,0.0,,,
2007-01-01,3034.5480000000002,35616.0,47236.0,,,,,,,,,,0.0,0.0,0.0,,,
2007-02-01,3035.5080000000003,35643.0,100606.0,,,,,,,,,,0.0,0.0,0.0,,,
2007-03-01,4922.4980000000005,57781.0,68003.0,,,,,,,,,,0.0,0.0,0.0,,,
2007-04-01,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,
2007-05-01,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,
2007-06-01,4.8020000000000005,54.0,965.0,,,,,,,,,,0.0,0.0,0.0,,,
2007-07-01,85.467,992.0,2439.0,,,,,,,,,,0.0,0.0,0.0,,,
2007-08-01,4102.402,48160.0,68528.0,,,,,,,,,,0.0,0.0,0.0,,,
2007-09-01,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,
2007-10-01,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,
2007-11-01,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,
2007-12-01,37.452000000000005,429.0,1769.0,,,,,,,,,,0.0,0.0,0.0,,,
2008-01-01,1416.0,17859.0,23576.0,,,,,,,,,,0.0,0.0,0.0,,,
2008-02-01,1751.0,22143.0,57618.0,,,,,,,,,,0.0,0.0,0.0,,,
2008-03-01,1041.0,13270.0,18873.0,,,,,,,,,,0.0,0.0,0.0,,,
2008-04-01,1091.0,13811.0,17407.0,,,,,,,,,,0.0,0.0,0.0,,,
2008-05-01,0.0,0.0,52.0,,,,,,,,,,0.0,0.0,0.0,,,
2008-06-01,2861.0,22843.0,22843.0,,,,,,,,,,0.0,0.0,0.0,,,
2008-07-01,2972.0,37668.0,41520.0,,,,,,,,,,0.0,0.0,0.0,,,
2008-08-01,743.0,9200.0,11591.0,,,,,,,,,,0.0,0.0,0.0,,,
2008-09-01,2034.0,15473.0,15473.0,,,,,,,,,,0.0,0.0,0.0,,,
2008-10-01,1887.0,23428.0,28430.0,,,,,,,,,,0.0,0.0,0.0,,,
2008-11-01,1281.0,16134.0,20104.0,,,,,,,,,,0.0,0.0,0.0,,,
2008-12-01,195.0,2435.0,4283.0,,,,,,,,,,0.0,0.0,0.0,,,
2009-01-01,2224.0,27554.0,36110.0,,,,,,,,,,,,,,,
2009-02-01,763.0,9606.0,12740.0,,,,,,,,,,,,,,,
2009-03-01,1267.0,15750.0,20093.0,,,,,,,,,,,,,,,
2009-04-01,0.0,0.0,0.0,,,,,,,,,,,,,,,
2009-05-01,0.0,0.0,0.0,,,,,,,,,,,,,,,
2009-06-01,0.0,0.0,0.0,,,,,,,,,,,,,,,
2009-07-01,0.0,0.0,0.0,,,,,,,,,,,,,,,
2009-08-01,0.0,0.0,0.0,,,,,,,,,,,,,,,
2009-09-01,0.0,0.0,0.0,,,,,,,,,,,,,,,
2009-10-01,0.0,0.0,0.0,,,,,,,,,,,,,,,
2009-11-01,0.0,0.0,0.0,,,,,,,,,,,,,,,
2009-12-01,0.0,0.0,0.0,,,,,,,,,,,,,,,
2015-01-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2015-02-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2015-03-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2015-04-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2015-05-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2015-06-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2015-07-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,1.0,11.0,1998.0
2015-08-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,227.0,2559.0,5549.0
2015-09-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,2178.0,24556.0,37554.0
2015-10-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,142.9,1611.0,2720.0,,,,5692.1,64175.0,108339.0
2015-11-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,181.088,2042.0,3780.0,,,,4800.912,54127.0,100211.0
2015-12-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,115.827,1306.0,2643.0,,,,6770.173,76329.0,154494.0
2016-01-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,219.476,4647.0,4647.0,,,,5292.524,112060.0,112060.0
2016-02-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,103.197,2824.0,2824.0,,,,2752.803,75331.0,75331.0
2016-03-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,927.0,22113.0,22113.0
2016-04-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2016-05-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2016-06-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2016-07-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2016-08-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,1440.0,47064.0,52183.0
2016-09-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,57.625,1398.0,1637.0,,,,7827.375,189930.0,222350.0
2016-10-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,175.105,4256.0,8039.0,,,,1641.895,39908.0,75377.0
2016-11-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,2714.608,52883.0,52883.0,,,,9326.392,181688.0,181688.0
2016-12-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,2114.436,43668.0,43668.0,,,,6842.564,141314.0,141314.0
2017-01-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,4402.631,73626.0,73626.0,,,,10531.369,176119.0,176119.0
2017-02-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,3333.079,54271.0,54271.0,,,,8396.921,136724.0,136724.0
2017-03-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,5150.886,94490.0,94490.0,,,,8186.114,150169.0,150169.0
2017-04-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,3005.996,50465.0,50465.0,,,,8051.004,135161.0,135161.0
2017-05-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,3892.49,65456.0,65456.0,,,,11219.51,188668.0,188668.0
2017-06-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,1272.159,20419.0,20419.0,,,,13774.841,221092.0,221092.0
2017-07-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,1087.938,17503.0,17503.0,,,,13380.062,215268.0,215268.0
2017-08-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,2166.093,39425.0,39425.0,,,,11671.907,212442.0,212442.0
2017-09-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,2313.092,40103.0,40103.0,,,,11185.908,193933.0,193933.0
2017-10-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,3412.89,58584.0,58584.0,,,,10387.11,178301.0,178301.0
2017-11-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,4064.339,65222.0,65222.0,,,,8059.661,129337.0,129337.0
2017-12-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,2632.382,46304.0,46304.0,,,,7756.618,136439.0,136439.0
2018-01-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,4284.381,72390.0,72390.0,,,,10758.619,181780.0,181780.0
2018-02-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,3756.527,64273.0,64273.0,,,,9437.473,161471.0,161471.0
2018-03-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,3026.182,50300.0,50300.0,,,,9144.818,152003.0,152003.0
2018-04-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,2860.598,49869.0,49869.0,,,,8402.402,146481.0,146481.0
2018-05-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,3347.864,59823.0,59823.0,,,,8077.136,144330.0,144330.0
2018-06-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,512.5,9977.0,9977.0,,,,1437.5,27984.0,27984.0
2018-07-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,4068.006,64718.0,64718.0,,,,10126.994,161110.0,161110.0
2018-08-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,5830.511,140897.0,147827.0,,,,6549.489,158271.0,166056.0
2018-09-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,2314.587,38926.0,38926.0,,,,4706.413,79151.0,79151.0
2018-10-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,3029.062,52862.0,52862.0,,,,8757.938,152841.0,152841.0
2018-11-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,3220.002,60701.0,60701.0,,,,8775.998,165437.0,165437.0
2018-12-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,3342.968,65551.0,65551.0,,,,7898.032,154871.0,154871.0
2019-01-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,3031.576,52638.0,52638.0,,,,7595.424,131880.0,131880.0
2019-02-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,2522.951,47698.0,47698.0,,,,8148.049,154045.0,154045.0
2019-03-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,2915.263,59989.0,59989.0,,,,8238.737,169532.0,169532.0
2019-04-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,4702.527,87326.0,87326.0,,,,8468.473,157260.0,157260.0
2019-05-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,3668.354,67862.0,67862.0,,,,6821.646,126196.0,126196.0
2019-06-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,3580.035,72696.0,72696.0,,,,6205.965,126018.0,126018.0
2019-07-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,3805.327,75352.0,75352.0,,,,6656.673,131814.0,131814.0
2019-08-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,4608.416,81433.0,81433.0,,,,6448.584,113950.0,113950.0
2019-09-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,4298.224,82312.0,82312.0,,,,7014.776,134335.0,134335.0
2019-10-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,4231.117,77092.0,77092.0,,,,6737.883,122766.0,122766.0
2019-11-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,5300.152,90327.0,90327.0,,,,6173.848,105217.0,105217.0
2019-12-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,4387.878,85000.0,85000.0,,,,8059.122,156118.0,156118.0
2020-01-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,2590.892,47640.0,47640.0,,,,4799.108,88243.0,88243.0
2020-02-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,3113.076,56604.0,56604.0,,,,6298.924,114530.0,114530.0
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,3075.001,60054.0,60054.0,,,,5815.999,113585.0,113585.0
2020-04-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,3146.598,58367.0,58367.0,,,,5354.402,99319.0,99319.0
2020-05-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,4135.707,80713.0,80713.0,,,,8012.293,156369.0,156369.0
2020-06-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,4197.412,72680.0,72680.0,,,,6332.588,109651.0,109651.0
2020-07-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,3167.583,62640.0,62640.0,,,,5498.417,108733.0,108733.0
2020-08-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,3605.313,76048.0,76048.0,,,,5561.687,117314.0,117314.0
2020-09-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,3808.977,73504.0,73504.0,,,,6362.023,122772.0,122772.0
2020-10-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,3199.449,55270.0,55270.0,,,,7162.551,123732.0,123732.0
2020-11-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,148.787,2755.0,2755.0,,,,364.213,6745.0,6745.0
2020-12-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2021-01-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2021-02-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2021-03-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2021-04-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2021-05-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2021-06-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2021-07-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2021-08-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2021-09-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2021-10-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2021-11-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2021-12-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2022-01-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2022-02-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2022-03-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2022-04-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2022-05-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2022-06-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2022-07-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2022-08-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2022-09-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2022-10-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2022-11-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2022-12-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
