measured_on,Gaseous Propane Generation,Gaseous Propane Quantity Consumed For Electricity,Gaseous Propane Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Other Gases Generation,Other Gases Quantity Consumed For Electricity,Other Gases Total Fuel Consumed,Purchased Steam Generation,Purchased Steam Quantity Consumed For Electricity,Purchased Steam Total Fuel Consumed
2007-02-01,,,,,,,4939.783,67794.0,714658.0,,,
2007-03-01,,,,,,,5531.328,75913.0,773728.0,,,
2007-04-01,,,,,,,4657.455,63920.0,699241.0,,,
2007-05-01,,,,,,,4018.856,55155.0,705724.0,,,
2007-06-01,,,,,,,5118.399,70245.0,681618.0,,,
2007-07-01,,,,,,,4492.283,61652.0,613552.0,,,
2007-08-01,,,,,,,5056.94,69402.0,615347.0,,,
2007-09-01,,,,,,,4713.152,64684.0,608543.0,,,
2007-10-01,,,,,,,3084.484,42332.0,585773.0,,,
2007-11-01,,,,,,,2949.081,40474.0,656466.0,,,
2007-12-01,,,,,,,5297.975,72710.0,791068.0,,,
2008-01-01,,,,,,,5441.619000000001,74681.0,171567.0,,,
2008-02-01,,,,,,,5225.369000000001,71714.0,164750.0,,,
2008-03-01,,,,,,,5472.088000000001,75100.0,172528.0,,,
2008-04-01,,,,,,,4627.075,63503.0,145886.0,,,
2008-05-01,,,,,,,5254.736,72117.0,165676.0,,,
2008-06-01,,,,,,,4530.607,62179.0,142845.0,,,
2008-07-01,,,,,,,4502.825,61797.0,141969.0,,,
2008-08-01,,,,,,,4471.005,61361.0,140965.0,,,
2008-09-01,,,,,,,4788.2880000000005,65715.0,150969.0,,,
2008-10-01,,,,,,,4507.722000000001,61865.0,142124.0,,,
2008-11-01,,,,,,,4600.7970000000005,63142.0,145058.0,,,
2008-12-01,,,,,,,4772.049,65492.0,150457.0,,,
2009-01-01,,,,,,,5611.7570000000005,77016.0,170102.0,,,
2009-02-01,,,,,,,5133.937,70459.0,155618.0,,,
2009-03-01,,,,,,,5188.504,71208.0,157271.0,,,
2009-04-01,,,,,,,4695.582,64443.0,142330.0,,,
2009-05-01,,,,,,,3802.427,52185.0,115257.0,,,
2009-06-01,,,,,,,4253.536,58376.0,128931.0,,,
2009-07-01,,,,,,,4433.497,60846.0,134386.0,,,
2009-08-01,,,,,,,4445.211,61007.0,134742.0,,,
2009-09-01,,,,,,,4155.036,57024.0,125946.0,,,
2009-10-01,,,,,,,4422.264,60692.0,134046.0,,,
2009-11-01,,,,,,,4588.3330000000005,62971.0,139079.0,,,
2009-12-01,,,,,,,4954.832,68001.0,150189.0,,,
2010-01-01,,,,,,,0.0,0.0,0.0,,,
2010-02-01,,,,,,,0.0,0.0,0.0,,,
2010-03-01,,,,,,,0.0,0.0,0.0,,,
2010-04-01,,,,,,,0.0,0.0,0.0,,,
2010-05-01,,,,,,,0.0,0.0,0.0,,,
2010-06-01,,,,,,,0.0,0.0,0.0,,,
2010-07-01,,,,,,,0.0,0.0,0.0,,,
2010-08-01,,,,,,,0.0,0.0,0.0,,,
2010-09-01,,,,,,,0.0,0.0,0.0,,,
2010-10-01,,,,,,,0.0,0.0,0.0,,,
2010-11-01,,,,,,,0.0,0.0,0.0,,,
2010-12-01,,,,,,,0.0,0.0,0.0,,,
