measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Waste Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Waste Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Waste Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2005-06-01,721453.0,7302190.95,7302190.95,729.0,7383.4,7383.4,,,,,,
2005-07-01,799560.0,8159526.51,8159526.51,380.0,3880.2,3880.2,,,,,,
2005-08-01,825839.0,8395414.77,8395414.77,677.0,6890.4,6890.4,,,,,,
2005-09-01,774696.0,7759770.72,7759770.72,1423.0,14262.2,14262.2,,,,,,
2005-10-01,356429.0,3814135.89,3814135.89,559.0,5991.4,5991.4,,,,,,
2005-11-01,350972.0,3812000.4,3812000.4,325.0,3526.4,3526.4,,,,,,
2005-12-01,622318.0,6427463.4,6427463.4,2489.0,25821.6,25821.6,,,,,,
2006-01-01,602299.0,6227785.0,6227785.0,1417.0,14715.0,14715.0,,,,,,
2006-02-01,695741.0,7085939.0,7085939.0,751.0,7720.0,7720.0,,,,,,
2006-03-01,683455.0,6959222.0,6959222.0,1225.0,12632.0,12632.0,,,,,,
2006-04-01,570530.0,5923392.0,5923392.0,4044.0,42705.0,42705.0,,,,,,
2006-05-01,655434.0,6493986.0,6493986.0,1189.0,12076.0,12076.0,,,,,,
2006-06-01,778906.0,7745525.0,7745525.0,435.0,4420.0,4420.0,,,,,,
2006-07-01,816847.0,8194203.0,8194203.0,425.0,4333.0,4333.0,,,,,,
2006-08-01,846505.0,8698210.0,8698210.0,1092.0,11368.0,11368.0,,,,,,
2006-09-01,654210.0,6626172.0,6626172.0,387.0,3956.0,3956.0,,,,,,
2006-10-01,680540.0,7014936.0,7014936.0,1072.0,11101.0,11101.0,,,,,,
2006-11-01,660046.0,6496322.0,6496322.0,827.0,8213.0,8213.0,,,,,,
2006-12-01,661288.0,6564499.0,6564499.0,1714.0,17307.0,17307.0,,,,,,
2007-01-01,686756.316,6835320.0,6835320.0,505.684,5033.0,5033.0,,,,,,
2007-02-01,743740.466,7454079.0,7454079.0,939.534,9416.0,9416.0,,,,,,
2007-03-01,804953.174,8129568.0,8129568.0,975.827,9855.0,9855.0,,,,,,
2007-04-01,604954.216,6164538.0,6164538.0,685.784,6988.0,6988.0,,,,,,
2007-05-01,734786.516,7235088.0,7235088.0,1357.485,13367.0,13367.0,,,,,,
2007-06-01,775323.173,7740528.0,7740528.0,1688.827,16861.0,16861.0,,,,,,
2007-07-01,823101.777,8436240.0,8436240.0,1174.223,12035.0,12035.0,,,,,,
2007-08-01,828746.025,8394552.0,8394552.0,1383.976,14019.0,14019.0,,,,,,
2007-09-01,480475.043,4947456.0,4947456.0,653.957,6734.0,6734.0,,,,,,
2007-10-01,111800.034,1378409.0,1378409.0,954.966,11774.0,11774.0,,,,,,
2007-11-01,120246.965,1469376.0,1469376.0,1291.035,15776.0,15776.0,,,,,,
2007-12-01,662134.607,6562457.0,6562457.0,4683.393,46417.0,46417.0,,,,,,
2008-01-01,854988.022,8613237.0,8613237.0,1365.978,13761.0,13761.0,,,,,,
2008-02-01,678673.628,6895206.0,6895206.0,1035.372,10519.0,10519.0,,,,,,
2008-03-01,848356.264,8564774.0,8564774.0,393.73600000000005,3975.0,3975.0,,,,,,
2008-04-01,805618.02,8167014.0,8167014.0,1080.98,10959.0,10959.0,,,,,,
2008-05-01,757349.597,7742629.0,7742629.0,1116.403,11413.0,11413.0,,,,,,
2008-06-01,718300.656,7495785.0,7495785.0,1848.344,19288.0,19288.0,,,,,,
2008-07-01,833209.382,8395499.0,8395499.0,458.618,4621.0,4621.0,,,,,,
2008-08-01,664496.849,6663692.0,6663692.0,453.151,4544.0,4544.0,,,,,,
2008-09-01,606649.105,6315024.0,6315024.0,1540.895,16040.0,16040.0,,,,,,
2008-10-01,274363.3,2952874.0,2952874.0,697.7,7509.0,7509.0,,,,,,
2008-11-01,303033.169,3141446.0,3141446.0,540.831,5607.0,5607.0,,,,,,
2008-12-01,439852.662,4391491.0,4391491.0,804.3380000000001,8031.0,8031.0,,,,,,
2009-01-01,495311.361,4949654.0,4949654.0,265.639,2655.0,2655.0,,,,,,
2009-02-01,486487.712,4807656.0,4807656.0,817.288,8077.0,8077.0,,,,,,
2009-03-01,388908.38,3875247.0,3875247.0,480.62,4789.0,4789.0,,,,,,
2009-04-01,66548.889,836417.0,836417.0,873.111,10974.0,10974.0,,,,,,
2009-05-01,443305.341,4397039.0,4397039.0,719.659,7138.0,7138.0,,,,,,
2009-06-01,583375.384,5892954.0,5892954.0,632.616,6390.0,6390.0,,,,,,
2009-07-01,572489.092,5769482.0,5769482.0,910.908,9180.0,9180.0,,,,,,
2009-08-01,579652.097,5841791.0,5841791.0,1060.903,10692.0,10692.0,,,,,,
2009-09-01,587112.663,6007512.0,6007512.0,296.337,3032.0,3032.0,,,,,,
2009-10-01,147033.179,1695723.0,1695723.0,1321.8210000000001,15244.0,15244.0,,,,,,
2009-11-01,334614.352,3437411.0,3437411.0,1594.6480000000001,16381.0,16381.0,,,,,,
2009-12-01,513234.502,5088162.0,5088162.0,407.49800000000005,4040.0,4040.0,,,,,,
2010-01-01,702499.107,7198845.0,7198845.0,1842.893,18885.0,18885.0,,,,,,
2010-02-01,595075.009,6027316.0,6027316.0,1138.991,11536.0,11536.0,0.0,0.0,0.0,,,
2010-03-01,657767.442,6628010.0,6628010.0,345.558,3482.0,3482.0,0.0,0.0,0.0,,,
2010-04-01,442927.62,4541936.0,4541936.0,1498.38,15365.0,15365.0,,,,,,
2010-05-01,569806.882,5768810.0,5768810.0,1937.1180000000002,19612.0,19612.0,,,,,,
2010-06-01,645160.128,6524179.0,6524179.0,669.8720000000001,6774.0,6774.0,,,,,,
2010-07-01,631285.463,5999977.0,5999977.0,1068.537,10156.0,10156.0,,,,,,
2010-08-01,694724.759,7619808.0,7619808.0,527.241,5783.0,5783.0,,,,,,
2010-09-01,497643.0,5042196.0,5042196.0,0.0,0.0,0.0,,,,,,
2010-10-01,472449.0,4781358.0,4781358.0,0.0,0.0,0.0,,,,,,
2010-11-01,367609.879,3636812.0,3636812.0,433.12100000000004,4285.0,4285.0,,,,,,
2010-12-01,587710.997,5921362.0,5921362.0,1388.0030000000002,13985.0,13985.0,,,,,,
2011-01-01,652512.07,6656948.0,6656948.0,400.928,4090.0,4090.0,,,,,,
2011-02-01,474940.13,4817696.0,4817696.0,999.868,10142.0,10142.0,,,,,,
2011-03-01,293295.54,3011535.0,3011535.0,525.457,5395.0,5395.0,,,,,,
2011-04-01,428125.51,4390241.0,4390241.0,3635.486,37280.0,37280.0,,,,,,
2011-05-01,550389.46,5439835.0,5439835.0,976.541,9652.0,9652.0,,,,,,
2011-06-01,606103.21,6131157.0,6131157.0,1278.795,12936.0,12936.0,,,,,,
2011-07-01,696271.61,7128915.0,7128915.0,992.393,10161.0,10161.0,,,,,,
2011-08-01,683617.07,7053493.0,7053493.0,647.929,6685.0,6685.0,,,,,,
2011-09-01,185026.42,2036402.0,2036402.0,1548.583,17044.0,17044.0,,,,,,
2011-10-01,12599.681,182139.0,182139.0,29.319,424.0,424.0,,,,,,
2011-11-01,20211.699,331743.0,331743.0,804.301,13201.0,13201.0,,,,,,
2011-12-01,317748.95,3347503.0,3347503.0,3749.05,39496.0,39496.0,,,,,,
2012-01-01,300398.78,3192778.0,3192778.0,1172.221,12459.0,12459.0,,,,,,
2012-02-01,506657.0,4932366.0,4932366.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2012-03-01,163159.93,1783058.0,1783058.0,1460.071,15956.0,15956.0,,,,,,
2012-04-01,194835.3,2108351.0,2108351.0,520.698,5635.0,5635.0,,,,,,
2012-05-01,31215.937,472817.0,472817.0,419.063,6347.0,6347.0,,,,,,
2012-06-01,182978.98,1981267.0,1981267.0,1035.021,11207.0,11207.0,,,,,,
2012-07-01,594444.59,5960586.0,5960586.0,473.41,4747.0,4747.0,,,,,,
2012-08-01,603101.44,6122987.0,6122987.0,774.563,7864.0,7864.0,,,,,,
2012-09-01,312816.96,3223467.0,3223467.0,83.039,856.0,856.0,,,,,,
2012-10-01,46430.832,666773.0,666773.0,349.168,5014.0,5014.0,,,,,,
2012-11-01,51000.359,665315.0,665315.0,171.641,2239.0,2239.0,,,,,,
2012-12-01,57613.89,836051.0,836051.0,1565.11,22712.0,22712.0,,,,,,
2013-01-01,169587.8,1858674.0,1858674.0,1241.205,13604.0,13604.0,,,,,,
2013-02-01,357397.21,3610633.0,3610633.0,1133.79,11454.0,11454.0,,,,,,
2013-03-01,543317.02,5383899.0,5383899.0,49.981,495.0,495.0,,,,,,
2013-04-01,477452.27,4763697.0,4763697.0,1.733,17.0,17.0,,,,,,
2013-05-01,76924.959,904038.0,904038.0,431.041,5066.0,5066.0,,,,,,
2013-06-01,445365.78,4370294.0,4370294.0,1224.219,12013.0,12013.0,,,,,,
2013-07-01,224199.43,2451129.0,2451129.0,166.573,1821.0,1821.0,,,,,,
2013-08-01,463840.99,4593905.0,4593905.0,423.015,4190.0,4190.0,,,,,,
2013-09-01,329599.51,3322987.0,3322987.0,29.491,297.0,297.0,,,,,,
2013-10-01,50840.909,609966.0,609966.0,736.091,8831.0,8831.0,,,,,,
2013-11-01,284554.05,2970300.0,2970300.0,829.95,8663.0,8663.0,,,,,,
2013-12-01,25705.348,385317.0,385317.0,579.652,8689.0,8689.0,,,,,,
2014-01-01,581201.22,5798460.0,5798460.0,2046.779,20420.0,20420.0,,,,,,
2014-02-01,505024.23,5114226.0,5114226.0,1387.77,14054.0,14054.0,,,,,,
2014-03-01,589149.0,5884762.0,5884762.0,0.0,0.0,0.0,,,,,,
2014-04-01,410939.36,4113330.0,4113330.0,2034.637,20366.0,20366.0,,,,,,
2014-05-01,511098.44,5056306.0,5056306.0,449.559,4447.0,4447.0,,,,0.0,0.0,0.0
2014-06-01,483647.72,4752539.0,4752539.0,1408.278,13838.0,13838.0,,,,,,
2014-07-01,575973.95,5738101.0,5738101.0,297.052,2959.0,2959.0,,,,,,
2014-08-01,525449.29,5129474.0,5129474.0,455.709,4449.0,4449.0,,,,,,
2014-09-01,431904.61,4322918.0,4322918.0,1102.388,11034.0,11034.0,,,,,,
2014-10-01,528408.81,5213152.0,5213152.0,212.192,2093.0,2093.0,,,,,,
2014-11-01,102484.05,1013727.0,1013727.0,413.954,4095.0,4095.0,,,,,,
2014-12-01,0.0,0.0,0.0,-7656.0,6573.0,6573.0,,,,,,
2015-01-01,447240.18,4227785.0,4227785.0,1769.816,16730.0,16730.0,,,,,,
2015-02-01,443730.19,4197045.0,4197045.0,1836.815,17374.0,17374.0,,,,,,
2015-03-01,203476.75,2065110.0,2065110.0,2671.249,27111.0,27111.0,,,,,,
2015-04-01,441320.57,4202375.0,4202375.0,787.428,7498.0,7498.0,,,,,,
2015-05-01,453427.15,4506951.0,4506951.0,2321.846,23079.0,23079.0,,,,,,
2015-06-01,613573.66,6081947.0,6081947.0,149.337,1480.0,1480.0,,,,,,
2015-07-01,647025.63,6374137.0,6374137.0,132.368,1304.0,1304.0,,,,,,
2015-08-01,626496.23,6106450.0,6106450.0,78.774,768.0,768.0,,,,,,
2015-09-01,563772.34,5552653.0,5552653.0,96.664,952.0,952.0,,,,,,
2015-10-01,4005.028,85961.0,85961.0,70.972,1523.0,1523.0,,,,,,
2015-11-01,-2946.479,0.0,0.0,-5.521,0.0,0.0,,,,,,
2015-12-01,196671.57,2204113.0,2204113.0,4339.433,48632.0,48632.0,,,,,,
2016-01-01,460697.09,4610812.0,4610812.0,2079.911,20816.0,20816.0,,,,,,
2016-02-01,494999.65,4749146.0,4749146.0,22.352,214.0,214.0,,,,,,
2016-03-01,208306.32,2186811.0,2186811.0,3239.684,34010.0,34010.0,,,,,,
2016-04-01,556530.92,5342402.0,5342402.0,44.076,423.0,423.0,,,,,,
2016-05-01,470643.48,4576950.0,4576950.0,1192.524,11597.0,11597.0,,,,,,
2016-06-01,202749.39,2073483.0,2073483.0,2241.613,22925.0,22925.0,,,,,,
2016-07-01,645500.5,6206359.0,6206359.0,247.505,2380.0,2380.0,,,,,,
2016-08-01,618987.0,5994367.0,5994367.0,0.0,0.0,0.0,,,,,,
2016-09-01,554345.49,5287618.0,5287618.0,415.506,3963.0,3963.0,,,,,,
2016-10-01,478857.77,4671676.0,4671676.0,690.229,6734.0,6734.0,,,,,,
2016-11-01,489922.69,4737642.0,4737642.0,464.311,4490.0,4490.0,,,,,,
2016-12-01,300435.63,2983410.0,2983410.0,1827.374,18146.0,18146.0,,,,,,
2017-01-01,489295.49,4656576.0,4656576.0,241.512,2298.0,2298.0,,,,,,
2017-02-01,405341.76,3950599.0,3950599.0,1355.239,13209.0,13209.0,,,,,,
2017-03-01,442513.41,4399592.0,4399592.0,1720.593,17107.0,17107.0,,,,,,
2017-04-01,300463.27,2989775.0,2989775.0,888.735,8843.0,8843.0,,,,,,
2017-05-01,359970.54,3468859.0,3468859.0,1433.462,13814.0,13814.0,,,,,,
2017-06-01,466215.86,4465613.0,4465613.0,335.145,3210.0,3210.0,,,,,,
2017-07-01,541493.96,5164404.0,5164404.0,792.036,7554.0,7554.0,,,,,,
2017-08-01,372473.92,3662148.0,3662148.0,1305.081,12831.0,12831.0,,,,,,
2017-09-01,468509.89,4562072.0,4562072.0,1032.107,10050.0,10050.0,,,,,,
2017-10-01,501819.02,4869241.0,4869241.0,834.976,8102.0,8102.0,,,,,,
2017-11-01,-1349.0,32105.0,32105.0,0.0,0.0,0.0,,,,,,
2017-12-01,156043.3,1781279.0,1781279.0,2372.701,27085.0,27085.0,,,,,,
2018-01-01,665035.38,6291129.0,6291129.0,11.623,110.0,110.0,,,,,,
2018-02-01,375623.53,3691632.0,3691632.0,1009.466,9921.0,9921.0,,,,,,
2018-03-01,511872.74,4833908.0,4833908.0,280.257,2647.0,2647.0,,,,,,
2018-04-01,466261.27,4458887.0,4458887.0,709.727,6787.0,6787.0,,,,,,
2018-05-01,558846.06,5338650.0,5338650.0,198.936,1900.0,1900.0,,,,,,
2018-06-01,507018.5,4939515.0,4939515.0,777.501,7575.0,7575.0,,,,,,
2018-07-01,548802.71,5301707.0,5301707.0,422.288,4080.0,4080.0,,,,,,
2018-08-01,518047.84,5016036.0,5016036.0,638.156,6179.0,6179.0,,,,,,
2018-09-01,470333.01,4674755.0,4674755.0,736.993,7325.0,7325.0,,,,,,
2018-10-01,482199.79,4780700.0,4780700.0,1107.208,10977.0,10977.0,,,,,,
2018-11-01,307641.28,3137653.0,3137653.0,409.72,4179.0,4179.0,,,,,,
2018-12-01,78964.29,936556.0,936556.0,939.71,11145.0,11145.0,,,,,,
2019-01-01,486352.02,4693856.0,4693856.0,1128.983,10896.0,10896.0,,,,,,
2019-02-01,8168.193,146585.0,146585.0,95.807,1719.0,1719.0,,,,,,
2019-03-01,-4041.577,0.0,0.0,-5.423,0.0,0.0,,,,,,
2019-04-01,-936.743,0.0,0.0,-1.257,0.0,0.0,,,,,,
2019-05-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
