measured_on,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Tire-Derived Fuels - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Generation","Tire-Derived Fuels - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Quantity Consumed For Electricity","Tire-Derived Fuels - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Total Fuel Consumed","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed"
2015-10-01,3.364,53.0,53.0,67.67,1066.0,1066.0,7332.966,115515.0,115515.0
2015-11-01,0.0,0.0,0.0,170.944,2886.0,2886.0,7138.056,120510.0,120510.0
2015-12-01,0.0,0.0,0.0,246.825,4342.0,4342.0,7299.175,128403.0,128403.0
2016-01-01,0.0,0.0,0.0,254.311,4524.0,4524.0,7530.689,133965.0,133965.0
2016-02-01,0.0,0.0,0.0,324.43,5772.0,5772.0,6946.57,123588.0,123588.0
2016-03-01,0.0,0.0,0.0,202.684,3588.0,3588.0,7339.316,129924.0,129924.0
2016-04-01,0.0,0.0,0.0,270.973,4706.0,4706.0,7494.027,130149.0,130149.0
2016-05-01,115.962,1751.0,1751.0,316.827,4784.0,4784.0,9053.211,136701.0,136701.0
2016-06-01,0.0,0.0,0.0,578.494,10582.0,10582.0,13454.506,246114.0,246114.0
2016-07-01,0.0,0.0,0.0,765.654,13052.0,13052.0,16370.346,279063.0,279063.0
2016-08-01,0.0,0.0,0.0,513.084,8762.0,8762.0,12997.916,221967.0,221967.0
2016-09-01,0.0,0.0,0.0,454.188,7982.0,7982.0,10623.812,186705.0,186705.0
2016-10-01,62.617,957.0,957.0,314.719,4810.0,4810.0,10384.746,158715.0,158715.0
2016-11-01,0.0,0.0,0.0,256.484,4264.0,4264.0,8128.516,135135.0,135135.0
2016-12-01,0.0,0.0,0.0,698.338,10374.0,10374.0,15947.662,236907.0,236907.0
2017-01-01,0.0,0.0,0.0,625.253,9022.0,9022.0,14040.747,202599.0,202599.0
2017-02-01,0.0,0.0,0.0,408.102,6188.0,6188.0,11888.898,180270.0,180270.0
2017-03-01,102.005,1563.0,1563.0,648.184,9932.0,9932.0,13502.811,206901.0,206901.0
2017-04-01,73.832,1166.0,1166.0,528.478,8346.0,8346.0,11441.69,180693.0,180693.0
2017-05-01,0.0,0.0,0.0,770.257,12090.0,12090.0,13689.743,214875.0,214875.0
2017-06-01,68.073,1140.0,1140.0,641.197,10738.0,10738.0,11766.73,197055.0,197055.0
2017-07-01,223.354,3515.0,3515.0,675.718,10634.0,10634.0,13228.928,208188.0,208188.0
2017-08-01,67.189,1076.0,1076.0,547.128,8762.0,8762.0,13346.683,213741.0,213741.0
2017-09-01,58.295,900.0,900.0,586.061,9048.0,9048.0,13929.644,215055.0,215055.0
2017-10-01,162.874,2563.0,2563.0,337.059,5304.0,5304.0,9315.067,146583.0,146583.0
2017-11-01,0.0,0.0,0.0,390.08,5980.0,5980.0,13132.92,201330.0,201330.0
2017-12-01,49.621,797.0,797.0,416.017,6682.0,6682.0,13553.362,217692.0,217692.0
2018-01-01,61.043,972.0,972.0,512.713,8164.0,8164.0,15455.244,246096.0,246096.0
2018-02-01,0.0,0.0,0.0,230.838,3770.0,3770.0,11995.162,195903.0,195903.0
2018-03-01,0.0,0.0,0.0,239.852,4004.0,4004.0,13429.148,224181.0,224181.0
2018-04-01,56.971,962.0,962.0,303.332,5122.0,5122.0,11707.697,197694.0,197694.0
2018-05-01,0.0,0.0,0.0,586.945,8814.0,8814.0,14822.055,222579.0,222579.0
2018-06-01,59.194,871.0,871.0,399.338,5876.0,5876.0,13709.468,201726.0,201726.0
2018-07-01,0.77,11.0,11.0,506.249,7228.0,7228.0,15712.981,224343.0,224343.0
2018-08-01,0.0,0.0,0.0,423.149,6136.0,6136.0,15590.851,226080.0,226080.0
2018-09-01,0.0,0.0,0.0,378.797,5200.0,5200.0,14732.203,202239.0,202239.0
2018-10-01,160.949,2118.0,2118.0,0.0,0.0,0.0,10823.051,142425.0,142425.0
2018-11-01,0.0,0.0,0.0,10.128,130.0,130.0,16357.872,209961.0,209961.0
2018-12-01,0.228,3.0,3.0,631.441,8320.0,8320.0,17414.331,229455.0,229455.0
2019-01-01,0.0,0.0,0.0,424.152,6136.0,6136.0,14779.848,213813.0,213813.0
2019-02-01,0.0,0.0,0.0,350.956,4992.0,4992.0,12020.044,170973.0,170973.0
2019-03-01,0.0,0.0,0.0,501.93,7098.0,7098.0,13995.07,197910.0,197910.0
2019-04-01,55.278,891.0,891.0,319.383,5148.0,5148.0,9465.339,152568.0,152568.0
2019-05-01,0.0,0.0,0.0,455.87,7462.0,7462.0,13165.13,215496.0,215496.0
2019-06-01,0.0,0.0,0.0,449.256,6708.0,6708.0,12794.744,191043.0,191043.0
2019-07-01,0.0,0.0,0.0,516.916,7774.0,7774.0,14205.084,213633.0,213633.0
2019-08-01,0.0,0.0,0.0,429.707,6422.0,6422.0,14113.293,210924.0,210924.0
2019-09-01,0.0,0.0,0.0,524.754,7514.0,7514.0,15016.246,215019.0,215019.0
2019-10-01,193.473,2765.0,2765.0,542.143,7748.0,7748.0,15072.384,215406.0,215406.0
2019-11-01,55.051,806.0,806.0,557.613,8164.0,8164.0,15030.336,220059.0,220059.0
2019-12-01,0.0,0.0,0.0,498.988,8190.0,8190.0,15677.012,257310.0,257310.0
2020-01-01,0.0,0.0,0.0,468.691,8086.0,8086.0,13561.309,233964.0,233964.0
2020-02-01,65.658,1015.0,1015.0,536.522,8294.0,8294.0,12199.82,188595.0,188595.0
2020-03-01,0.0,0.0,0.0,182.769,3276.0,3276.0,5639.231,101079.0,101079.0
2020-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-01,101.96,1647.0,1647.0,156.129,2522.0,2522.0,2937.911,47457.0,47457.0
2020-07-01,0.0,0.0,0.0,104.529,1352.0,1352.0,1506.471,19485.0,19485.0
2020-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-01,110.011,1922.0,1922.0,669.683,11700.0,11700.0,12956.306,226359.0,226359.0
2020-12-01,90.925,1588.0,1588.0,800.922,13988.0,13988.0,14250.153,248877.0,248877.0
2021-01-01,0.169,3.0,3.0,854.607,15210.0,15210.0,15765.224,280584.0,280584.0
2021-02-01,0.0,0.0,0.0,828.785,13078.0,13078.0,19110.215,301554.0,301554.0
2021-03-01,96.649,1531.0,1531.0,717.262,11362.0,11362.0,10492.089,166203.0,166203.0
2021-04-01,74.206,1183.0,1183.0,766.527,12220.0,12220.0,14049.267,223974.0,223974.0
2021-05-01,25.245,397.0,397.0,816.747,12844.0,12844.0,15165.008,238482.0,238482.0
2021-06-01,39.494,558.0,558.0,977.158,13806.0,13806.0,15910.348,224793.0,224793.0
2021-07-01,0.0,0.0,0.0,1335.431,18694.0,18694.0,18427.569,257958.0,257958.0
2021-08-01,0.0,0.0,0.0,1245.648,15522.0,15522.0,20451.352,254844.0,254844.0
2021-09-01,0.0,0.0,0.0,1070.639,13832.0,13832.0,22771.361,294192.0,294192.0
2021-10-01,63.355,933.0,933.0,649.71,9568.0,9568.0,13897.935,204669.0,204669.0
2021-11-01,147.418,2478.0,2478.0,620.252,10426.0,10426.0,14041.33,236025.0,236025.0
2021-12-01,0.0,0.0,0.0,720.839,12662.0,12662.0,12729.161,223596.0,223596.0
2022-01-01,42.95,705.0,705.0,581.313,9542.0,9542.0,16924.737,277812.0,277812.0
2022-02-01,0.0,0.0,0.0,384.673,6448.0,6448.0,12897.327,216189.0,216189.0
2022-03-01,34.369,548.0,548.0,428.857,6838.0,6838.0,15617.774,249021.0,249021.0
2022-04-01,0.0,0.0,0.0,928.937,13572.0,13572.0,21870.063,319527.0,319527.0
2022-05-01,134.722,1879.0,1879.0,911.581,12714.0,12714.0,16662.697,232398.0,232398.0
2022-06-01,0.0,0.0,0.0,4663.098,76050.0,76050.0,20344.902,331803.0,331803.0
2022-07-01,24.869,309.0,309.0,1268.089,15756.0,15756.0,23660.042,293976.0,293976.0
2022-08-01,0.0,0.0,0.0,977.681,11986.0,11986.0,25337.319,310626.0,310626.0
2022-09-01,37.179,485.0,485.0,181.373,2366.0,2366.0,5570.448,72666.0,72666.0
2022-10-01,33.844,456.0,456.0,700.483,9438.0,9438.0,19911.673,268281.0,268281.0
2022-11-01,0.0,0.0,0.0,580.38,8840.0,8840.0,12470.62,189945.0,189945.0
2022-12-01,0.0,0.0,0.0,638.052,9698.0,9698.0,15350.948,233325.0,233325.0
2023-01-01,44.18,809.0,809.0,444.417,8138.0,8138.0,8236.403,150822.0,150822.0
2023-02-01,0.0,0.0,0.0,354.687,6708.0,6708.0,8782.313,166095.0,166095.0
2023-03-01,0.0,0.0,0.0,374.191,6864.0,6864.0,9728.809,178461.0,178461.0
2023-04-01,55.7,1058.0,1058.0,180.683,3432.0,3432.0,5481.617,104121.0,104121.0
2023-05-01,0.0,0.0,0.0,376.796,6344.0,6344.0,9689.204,163134.0,163134.0
2023-06-01,40.633,710.0,710.0,790.113,13806.0,13806.0,7512.254,131265.0,131265.0
2023-07-01,41.998,603.0,603.0,501.608,7202.0,7202.0,13711.394,196866.0,196866.0
2023-08-01,0.0,0.0,0.0,488.567,6448.0,6448.0,13956.433,184194.0,184194.0
2023-09-01,0.0,0.0,0.0,482.412,6266.0,6266.0,12931.588,167967.0,167967.0
2023-10-01,116.956,1464.0,1464.0,515.119,6448.0,6448.0,12250.925,153351.0,153351.0
2023-11-01,0.0,0.0,0.0,596.548,7722.0,7722.0,12890.452,166860.0,166860.0
2023-12-01,0.0,0.0,0.0,558.002,7228.0,7228.0,12989.998,168264.0,168264.0
2024-01-01,0.0,0.0,0.0,76.373,1040.0,1040.0,15948.627,217179.0,217179.0
2024-02-01,0.0,0.0,0.0,0.0,0.0,0.0,12648.0,178353.0,178353.0
2024-03-01,0.0,0.0,0.0,0.0,0.0,0.0,13203.0,199863.0,199863.0
2024-04-01,87.039,1371.0,1371.0,0.0,0.0,0.0,9389.961,147906.0,147906.0
2024-05-01,0.0,0.0,0.0,0.0,0.0,0.0,14768.0,221220.0,221220.0
2024-06-01,0.0,0.0,0.0,0.0,0.0,0.0,14519.0,211824.0,211824.0
2024-07-01,0.0,0.0,0.0,0.0,0.0,0.0,15004.0,204372.0,204372.0
2024-08-01,0.0,0.0,0.0,0.0,0.0,0.0,14689.0,196641.0,196641.0
2024-09-01,61.487,788.0,788.0,0.0,0.0,0.0,13733.513,176004.0,176004.0
2024-10-01,91.9,1199.0,1199.0,0.0,0.0,0.0,12532.1,163503.0,163503.0
2024-11-01,0.0,0.0,0.0,0.0,0.0,0.0,13593.0,178551.0,178551.0
2024-12-01,0.0,0.0,0.0,0.0,0.0,0.0,14242.0,191763.0,191763.0
