measured_on,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed",Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,"Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed",Jet Fuel - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Generation,Jet Fuel - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Quantity Consumed For Electricity,Jet Fuel - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Total Fuel Consumed,"Jet Fuel - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Generation","Jet Fuel - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Quantity Consumed For Electricity","Jet Fuel - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Total Fuel Consumed",Kerosene - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Generation,Kerosene - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Quantity Consumed For Electricity,Kerosene - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Total Fuel Consumed,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Generation","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Quantity Consumed For Electricity","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Total Fuel Consumed","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Waste/Other Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Generation","Waste/Other Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Quantity Consumed For Electricity","Waste/Other Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Total Fuel Consumed"
2004-06-01,52622.94,584494.0,584494.0,5.848,74.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2061.78,22900.0,22900.0,664.363,7379.0,7379.0,,,,,,
2004-07-01,75134.557,834535.0,834535.0,1.5210000000000001,19.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,5235.159000000001,58147.0,58147.0,950.744,10560.0,10560.0,,,,,,
2004-08-01,70262.584,780421.0,780421.0,23.605,298.0,298.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1013.183,11253.0,11253.0,756.5790000000001,8403.0,8403.0,,,,,,
2004-09-01,55937.595,621311.0,621311.0,7.412,93.0,93.0,8.43,94.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,334.07800000000003,3711.0,3711.0,551.471,6125.0,6125.0,,,,,,
2004-10-01,57916.928,643295.0,643295.0,9.671000000000001,122.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,4649.031,51637.0,51637.0,396.113,4400.0,4400.0,,,,,,
2004-11-01,55731.91,619026.0,619026.0,9.229000000000001,116.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2802.927,31132.0,31132.0,799.306,8878.0,8878.0,,,,,,
2004-12-01,75008.193,833132.0,833132.0,42.72,539.0,539.0,34.725,386.0,386.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,4566.963000000001,50725.0,50725.0,1151.364,12788.0,12788.0,,,,,,
2005-01-01,65556.864,675059.88,675059.88,0.0,0.0,0.0,,,,,,,310.00100000000003,3192.64,3192.64,,,,1229.346,12659.19,12659.19,3051.433,31421.75,31421.75,,,,,,
2005-02-01,59522.648,612923.64,612923.64,0.0,0.0,0.0,,,,,,,71.35600000000001,734.88,734.88,,,,1089.847,11222.7,11222.7,1245.8110000000001,12828.58,12828.58,,,,,,
2005-03-01,63804.452,657014.74,657014.74,0.0,0.0,0.0,,,,,,,61.232000000000006,630.62,630.62,,,,1300.5420000000001,13392.33,13392.33,1714.4260000000002,17654.08,17654.08,,,,,,
2005-04-01,52490.854,540515.02,540515.02,0.0,0.0,0.0,,,,,,,61.267,630.98,630.98,,,,1333.374,13730.42,13730.42,989.864,10193.0,10193.0,,,,,,
2005-05-01,49867.685,513503.42,513503.42,0.0,0.0,0.0,,,,,,,61.772000000000006,636.18,636.18,,,,1081.6860000000001,11138.66,11138.66,406.53,4186.19,4186.19,,,,,,
2005-06-01,63919.816,658202.69,658202.69,0.0,0.0,0.0,,,,,,,74.828,770.64,770.64,,,,1840.267,18950.14,18950.14,2279.158,23469.34,23469.34,,,,,,
2005-07-01,71315.857,734362.06,734362.06,0.0,0.0,0.0,,,,,,,141.716,1459.51,1459.51,,,,2371.443,24419.93,24419.93,2778.087,28607.0,28607.0,,,,,,
2005-08-01,70637.258,727374.31,727374.31,0.0,0.0,0.0,,,,,,,125.519,1292.7,1292.7,,,,2535.427,26108.56,26108.56,3269.514,33667.42,33667.42,,,,,,
2005-09-01,63633.277,655252.08,655252.08,0.0,0.0,0.0,,,,,,,69.842,719.29,719.29,,,,1677.208,17271.05,17271.05,2553.168,26290.93,26290.93,,,,,,
2005-10-01,59589.799,613615.1,613615.1,0.0,0.0,0.0,,,,,,,97.92,1008.46,1008.46,,,,1159.877,11943.83,11943.83,2339.069,24086.27,24086.27,,,,,,
2005-11-01,58519.41,602592.98,602592.98,0.0,0.0,0.0,,,,,,,65.935,679.05,679.05,,,,1041.12,10720.94,10720.94,1080.8,11129.4,11129.4,,,,,,
2005-12-01,67501.079,695080.08,695080.08,0.0,0.0,0.0,,,,,,,180.61100000000002,1860.07,1860.07,,,,1124.863,11583.27,11583.27,3210.1420000000003,33056.04,33056.04,,,,,,
2006-01-01,59866.104999999996,802006.0,802006.0,30.909000000000002,607.0,607.0,,,,,,,,,,0.0,0.0,0.0,1.328,18.0,18.0,1984.006,26578.0,26578.0,,,,,,
2006-02-01,57015.894,763823.0,763823.0,16.174,317.0,317.0,,,,,,,,,,0.0,0.0,0.0,1.502,20.0,20.0,1531.008,20510.0,20510.0,,,,,,
2006-03-01,58259.695,780486.0,780486.0,13.586,267.0,267.0,,,,,,,,,,0.0,0.0,0.0,1.979,26.0,26.0,663.727,8891.0,8891.0,,,,,,
2006-04-01,49566.028,664020.0,664020.0,26.025,511.0,511.0,,,,,,,,,,0.0,0.0,0.0,1.6380000000000001,22.0,22.0,523.816,7017.0,7017.0,,,,,,
2006-05-01,52970.216,709624.0,709624.0,24.326,477.0,477.0,,,,,,,,,,0.0,0.0,0.0,2.157,29.0,29.0,388.533,5205.0,5205.0,,,,,,
2006-06-01,57385.279,768772.0,768772.0,22.111,434.0,434.0,,,,,,,,,,0.0,0.0,0.0,2.779,37.0,37.0,927.0,12418.0,12418.0,,,,,,
2006-07-01,65275.651,874476.0,874476.0,32.028,629.0,629.0,,,,,,,,,,0.0,0.0,0.0,4.972,66.0,66.0,1973.6180000000002,26439.0,26439.0,,,,,,
2006-08-01,65746.651,880786.0,880786.0,31.067,610.0,610.0,,,,,,,,,,0.0,0.0,0.0,4.418,59.0,59.0,1945.804,26067.0,26067.0,,,,,,
2006-09-01,54627.532,731827.0,731827.0,14.273000000000001,280.0,280.0,,,,,,,,,,0.0,0.0,0.0,2.599,35.0,35.0,447.805,5999.0,5999.0,,,,,,
2006-10-01,56503.578,756960.0,756960.0,15.077,296.0,296.0,,,,,,,,,,0.0,0.0,0.0,2.815,38.0,38.0,875.5070000000001,11729.0,11729.0,,,,,,
2006-11-01,55868.289000000004,748449.0,748449.0,17.753,348.0,348.0,,,,,,,,,,0.0,0.0,0.0,1.893,25.0,25.0,1061.497,14220.0,14220.0,,,,,,
2006-12-01,60482.082,810258.0,810258.0,19.671,386.0,386.0,,,,,,,,,,0.0,0.0,0.0,1.921,26.0,26.0,1110.679,14879.0,14879.0,,,,,,
2007-01-01,26856.152000000002,285007.0,285007.0,0.0,0.0,0.0,,,,62.617000000000004,712.0,712.0,30.606,325.0,325.0,0.0,0.0,0.0,0.0,0.0,0.0,509.94300000000004,5412.0,5412.0,34685.3,368093.0,368093.0,,,
2007-02-01,20651.187,216129.0,216129.0,0.0,0.0,0.0,,,,81.397,932.0,932.0,135.376,1417.0,1417.0,0.0,0.0,0.0,0.0,0.0,0.0,1294.8310000000001,13551.0,13551.0,33394.606,349498.0,349498.0,,,
2007-03-01,27316.092,283400.0,283400.0,0.0,0.0,0.0,,,,43.329,493.0,493.0,25.909000000000002,269.0,269.0,0.0,0.0,0.0,0.0,0.0,0.0,5926.656,61488.0,61488.0,28558.344,296288.0,296288.0,,,
2007-04-01,14077.123,142963.0,142963.0,0.0,0.0,0.0,,,,25.693,295.0,295.0,87.675,890.0,890.0,0.0,0.0,0.0,0.0,0.0,0.0,499.375,5072.0,5072.0,21729.828,220682.0,220682.0,,,
2007-05-01,32624.456,345796.0,345796.0,0.0,0.0,0.0,,,,20.07,230.0,230.0,30.644000000000002,325.0,325.0,0.0,0.0,0.0,0.0,0.0,0.0,221.704,2350.0,2350.0,40355.197,427736.0,427736.0,,,
2007-06-01,26178.528,286845.0,286845.0,0.0,0.0,0.0,,,,32.009,364.0,364.0,29.642000000000003,325.0,325.0,0.0,0.0,0.0,0.0,0.0,0.0,175.93800000000002,1928.0,1928.0,42332.891,463852.0,463852.0,,,
2007-07-01,33635.063,368279.0,368279.0,0.0,0.0,0.0,,,,27.119,311.0,311.0,29.664,325.0,325.0,0.0,0.0,0.0,0.0,0.0,0.0,811.863,8889.0,8889.0,36652.41,401317.0,401317.0,,,
2007-08-01,40442.75,411833.0,411833.0,0.0,0.0,0.0,,,,32.576,370.0,370.0,87.989,896.0,896.0,0.0,0.0,0.0,0.9820000000000001,10.0,10.0,664.4540000000001,6766.0,6766.0,15808.825,160983.0,160983.0,,,
2007-09-01,48712.065,532807.0,532807.0,0.0,0.0,0.0,,,,25.207,289.0,289.0,62.462,683.0,683.0,0.0,0.0,0.0,0.0,0.0,0.0,1592.009,17413.0,17413.0,3932.463,43013.0,43013.0,,,
2007-10-01,21862.244,243920.0,243920.0,0.0,0.0,0.0,,,,19.502000000000002,225.0,225.0,97.373,1086.0,1086.0,0.0,0.0,0.0,0.0,0.0,0.0,1686.642,18818.0,18818.0,1764.7420000000002,19689.0,19689.0,,,
2007-11-01,41042.601,457574.0,457574.0,0.0,0.0,0.0,,,,19.33,220.0,220.0,29.133000000000003,325.0,325.0,0.0,0.0,0.0,0.0,0.0,0.0,26.236,293.0,293.0,28617.03,319044.0,319044.0,,,
2007-12-01,37500.607,413450.0,413450.0,0.0,0.0,0.0,,,,36.15,412.0,412.0,29.46,325.0,325.0,0.0,0.0,0.0,0.0,0.0,0.0,918.274,10124.0,10124.0,33261.659,366715.0,366715.0,,,
2008-01-01,33145.491,348246.0,348246.0,0.0,0.0,0.0,,,,51.755,574.0,574.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,318.093,3342.0,3342.0,38539.416,404917.0,404917.0,,,
2008-02-01,27567.972999999998,302811.0,302811.0,0.0,0.0,0.0,,,,43.295,484.0,484.0,29.739,327.0,327.0,0.0,0.0,0.0,0.0,0.0,0.0,1730.933,19013.0,19013.0,32054.355,352090.0,352090.0,,,
2008-03-01,30156.208,347003.0,347003.0,0.0,0.0,0.0,,,,37.149,417.0,417.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,412.93800000000005,4752.0,4752.0,35062.854,403462.0,403462.0,,,
2008-04-01,18969.929,211380.0,211380.0,0.0,0.0,0.0,,,,20.213,225.0,225.0,321.961,3588.0,3588.0,0.0,0.0,0.0,0.0,0.0,0.0,890.6270000000001,9924.0,9924.0,22056.482,245773.0,245773.0,,,
2008-05-01,34074.312,356899.0,356899.0,0.0,0.0,0.0,,,,18.628,208.0,208.0,60.223000000000006,631.0,631.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39618.465,414969.0,414969.0,,,
2008-06-01,30510.445,349221.0,349221.0,0.0,0.0,0.0,,,,42.281,473.0,473.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,553.885,6340.0,6340.0,35475.555,406051.0,406051.0,67.116,768.0,768.0
2008-07-01,29533.017,356996.0,356996.0,0.0,0.0,0.0,,,,38.758,434.0,434.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,449.54,5434.0,5434.0,34338.266,415082.0,415082.0,217.17700000000002,2625.0,2625.0
2008-08-01,28652.808,326186.0,326186.0,0.0,0.0,0.0,,,,32.114000000000004,360.0,360.0,67.777,772.0,772.0,0.0,0.0,0.0,0.0,0.0,0.0,886.3240000000001,10090.0,10090.0,33255.091,378579.0,378579.0,,,
2008-09-01,3674.8,42900.0,42900.0,0.0,0.0,0.0,,,,40.855000000000004,456.0,456.0,112.89,1318.0,1318.0,0.0,0.0,0.0,0.0,0.0,0.0,366.59200000000004,4280.0,4280.0,4272.718,49880.0,49880.0,,,
2008-10-01,3735.7380000000003,43046.0,43046.0,0.0,0.0,0.0,,,,23.402,259.0,259.0,224.834,2591.0,2591.0,0.0,0.0,0.0,0.0,0.0,0.0,1114.2160000000001,12839.0,12839.0,4345.212,50069.0,50069.0,,,
2008-11-01,15470.625,170406.0,170406.0,0.0,0.0,0.0,,,,28.494,321.0,321.0,357.91900000000004,3942.0,3942.0,0.0,0.0,0.0,0.0,0.0,0.0,1483.5,16340.0,16340.0,17986.957000000002,198122.0,198122.0,,,
2008-12-01,12096.322,141765.0,141765.0,0.0,0.0,0.0,,,,46.056000000000004,513.0,513.0,818.873,9597.0,9597.0,0.0,0.0,0.0,0.0,0.0,0.0,2410.319,28248.0,28248.0,14064.486,164831.0,164831.0,,,
2009-01-01,24097.596,284188.0,284188.0,0.0,0.0,0.0,,,,110.266,1350.0,1350.0,113.099,1334.0,1334.0,0.0,0.0,0.0,,,,2339.0440000000003,27585.0,27585.0,28019.261,330437.0,330437.0,,,
2009-02-01,5494.741,55989.0,55989.0,0.0,0.0,0.0,,,,45.71,556.0,556.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,288.55400000000003,2940.0,2940.0,6389.705,65109.0,65109.0,,,
2009-03-01,3717.0480000000002,39439.0,39439.0,0.0,0.0,0.0,,,,47.678000000000004,578.0,578.0,101.28,1075.0,1075.0,0.0,0.0,0.0,,,,1113.27,11812.0,11812.0,4325.402,45894.0,45894.0,,,
2009-04-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,6.142,76.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2009-05-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,9.743,119.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2009-06-01,3812.304,38878.0,38878.0,0.0,0.0,0.0,,,,4.2780000000000005,54.0,54.0,59.305,605.0,605.0,0.0,0.0,0.0,,,,749.87,7647.0,7647.0,4433.521000000001,45213.0,45213.0,,,
2009-07-01,3318.793,38829.0,38829.0,0.0,0.0,0.0,,,,3.3080000000000003,38.0,38.0,58.155,680.0,680.0,0.0,0.0,0.0,,,,496.07300000000004,5804.0,5804.0,3857.9790000000003,45138.0,45138.0,,,
2009-08-01,7224.344,84557.0,84557.0,0.0,0.0,0.0,,,,14.646,178.0,178.0,95.04100000000001,1112.0,1112.0,0.0,0.0,0.0,,,,571.623,6691.0,6691.0,8398.992,98305.0,98305.0,,,
2009-09-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.9460000000000002,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2009-10-01,671.71,8434.0,8434.0,0.0,0.0,0.0,,,,2.404,27.0,27.0,30.536,383.0,383.0,0.0,0.0,0.0,,,,207.255,2602.0,2602.0,779.499,9787.0,9787.0,,,
2009-11-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,5.7010000000000005,70.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2009-12-01,1308.409,15624.0,15624.0,0.0,0.0,0.0,,,,15.178,184.0,184.0,59.239000000000004,707.0,707.0,0.0,0.0,0.0,,,,1570.2640000000001,18751.0,18751.0,1522.088,18176.0,18176.0,,,
2010-01-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,20.964000000000002,119.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,139.0,5562.0,5562.0,0.0,0.0,0.0,,,
2010-02-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,9.075000000000001,49.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2010-03-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,22.977,124.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2010-04-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,9.426,49.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2010-05-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,20.428,113.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2010-06-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,17.827,97.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2010-07-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,98.96000000000001,540.0,540.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2010-08-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,29.647000000000002,162.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2010-09-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,39.910000000000004,216.0,216.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2010-10-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,37.114000000000004,200.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2010-11-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,8.419,43.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2010-12-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,27.253,146.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
