measured_on,Natural Gas - Fuel Cell - Natural Gas - Generation,Natural Gas - Fuel Cell - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Fuel Cell - Natural Gas - Total Fuel Consumed,Other Biomass Gas - Fuel Cell - Other Renewables - Generation,Other Biomass Gas - Fuel Cell - Other Renewables - Quantity Consumed For Electricity,Other Biomass Gas - Fuel Cell - Other Renewables - Total Fuel Consumed
2014-08-01,161.903,1244.0,1244.0,409.873,3149.0,3149.0
2014-09-01,169.354,1301.0,1301.0,413.13,3174.0,3174.0
2014-10-01,167.065,1284.0,1284.0,415.204,3190.0,3190.0
2014-11-01,120.738,928.0,928.0,356.511,2739.0,2739.0
2014-12-01,131.336,1009.0,1009.0,380.08,2920.0,2920.0
2015-01-01,313.253,2488.0,2488.0,112.644,894.0,894.0
2015-02-01,231.953,1841.0,1841.0,104.786,832.0,832.0
2015-03-01,271.74,2157.0,2157.0,109.21,867.0,867.0
2015-04-01,260.767,2070.0,2070.0,96.435,766.0,766.0
2015-05-01,254.577,2021.0,2021.0,105.328,836.0,836.0
2015-06-01,357.979,2842.0,2842.0,118.378,940.0,940.0
2015-07-01,403.755,3205.0,3205.0,120.648,957.0,957.0
2015-08-01,425.887,3381.0,3381.0,116.217,922.0,922.0
2015-09-01,422.945,3358.0,3358.0,113.747,904.0,904.0
2015-10-01,407.422,3234.0,3234.0,109.514,869.0,869.0
2015-11-01,300.402,2385.0,2385.0,101.483,805.0,805.0
2015-12-01,321.32,2551.0,2551.0,115.61,918.0,918.0
2016-01-01,0.108,730.0,730.0,0.157,1061.0,1061.0
2016-02-01,0.087,581.0,581.0,0.15,1002.0,1002.0
2016-03-01,0.068,452.0,452.0,0.138,922.0,922.0
2016-04-01,0.065,432.0,432.0,0.137,912.0,912.0
2016-05-01,0.07,466.0,466.0,0.16,1070.0,1070.0
2016-06-01,0.106,710.0,710.0,0.158,1054.0,1054.0
2016-07-01,0.125,837.0,837.0,0.153,1018.0,1018.0
2016-08-01,0.139,926.0,926.0,0.148,986.0,986.0
2016-09-01,0.115,766.0,766.0,0.156,1041.0,1041.0
2016-10-01,0.113,756.0,756.0,0.152,1014.0,1014.0
2016-11-01,0.087,581.0,581.0,0.155,1034.0,1034.0
2016-12-01,0.099,658.0,658.0,0.154,1026.0,1026.0
2017-01-01,282.884,2552.0,2552.0,0.0,0.0,0.0
2017-02-01,215.918,1947.0,1947.0,0.0,0.0,0.0
2017-03-01,178.81,1612.0,1612.0,0.0,0.0,0.0
2017-04-01,159.731,1440.0,1440.0,0.0,0.0,0.0
2017-05-01,198.161,1787.0,1787.0,0.0,0.0,0.0
2017-06-01,260.711,2350.0,2350.0,0.0,0.0,0.0
2017-07-01,355.524,3205.0,3205.0,0.0,0.0,0.0
2017-08-01,401.337,3618.0,3618.0,0.0,0.0,0.0
2017-09-01,330.226,2978.0,2978.0,0.0,0.0,0.0
2017-10-01,312.746,2820.0,2820.0,0.0,0.0,0.0
2017-11-01,271.8,2450.0,2450.0,0.0,0.0,0.0
2017-12-01,288.152,2598.0,2598.0,0.0,0.0,0.0
2018-01-01,125.836,1226.0,1226.0,0.0,0.0,0.0
2018-02-01,110.488,1076.0,1076.0,0.0,0.0,0.0
2018-03-01,114.912,1120.0,1120.0,0.0,0.0,0.0
2018-04-01,86.481,843.0,843.0,0.0,0.0,0.0
2018-05-01,78.945,769.0,769.0,0.0,0.0,0.0
2018-06-01,107.993,1052.0,1052.0,0.0,0.0,0.0
2018-07-01,188.447,1835.0,1835.0,0.0,0.0,0.0
2018-08-01,174.33,1698.0,1698.0,0.0,0.0,0.0
2018-09-01,140.301,1367.0,1367.0,0.0,0.0,0.0
2018-10-01,156.825,1527.0,1527.0,0.0,0.0,0.0
2018-11-01,140.195,1366.0,1366.0,0.0,0.0,0.0
2018-12-01,141.247,1376.0,1376.0,0.0,0.0,0.0
2019-01-01,36.017,414.0,414.0,0.0,0.0,0.0
2019-02-01,33.394,383.0,383.0,0.0,0.0,0.0
2019-03-01,29.121,334.0,334.0,0.0,0.0,0.0
2019-04-01,20.434,235.0,235.0,0.0,0.0,0.0
2019-05-01,17.609,202.0,202.0,0.0,0.0,0.0
2019-06-01,23.546,270.0,270.0,0.0,0.0,0.0
2019-07-01,37.118,426.0,426.0,0.0,0.0,0.0
2019-08-01,43.599,501.0,501.0,0.0,0.0,0.0
2019-09-01,38.364,440.0,440.0,0.0,0.0,0.0
2019-10-01,39.293,451.0,451.0,0.0,0.0,0.0
2019-11-01,38.536,442.0,442.0,0.0,0.0,0.0
2019-12-01,39.969,458.0,458.0,0.0,0.0,0.0
2020-01-01,40.292,350.0,350.0,0.0,0.0,0.0
2020-02-01,35.581,308.0,308.0,0.0,0.0,0.0
2020-03-01,39.498,342.0,342.0,0.0,0.0,0.0
2020-04-01,27.933,242.0,242.0,0.0,0.0,0.0
2020-05-01,26.264,228.0,228.0,0.0,0.0,0.0
2020-06-01,36.946,320.0,320.0,0.0,0.0,0.0
2020-07-01,51.684,448.0,448.0,0.0,0.0,0.0
2020-08-01,64.273,557.0,557.0,0.0,0.0,0.0
2020-09-01,55.971,485.0,485.0,0.0,0.0,0.0
2020-10-01,58.128,504.0,504.0,0.0,0.0,0.0
2020-11-01,46.43,403.0,403.0,0.0,0.0,0.0
