measured_on,Black Liquor Generation,Black Liquor Quantity Consumed For Electricity,Black Liquor Total Fuel Consumed,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Residual Fuel Oil Generation,Residual Fuel Oil Quantity Consumed For Electricity,Residual Fuel Oil Total Fuel Consumed,Wood Waste Solids Generation,Wood Waste Solids Quantity Consumed For Electricity,Wood Waste Solids Total Fuel Consumed
2004-01-01,3143.46923,14785.06,473565.6,0.0,0.0,0.0,1188.01803,5587.75,178975.66,139.78523,657.47,21058.73,2060.36751,9690.78,310395.65
2004-02-01,3143.46923,14785.06,473565.6,0.0,0.0,0.0,1188.01803,5587.75,178975.66,139.78523,657.47,21058.73,2060.36751,9690.78,310395.65
2004-03-01,3143.46923,14785.06,473565.6,0.0,0.0,0.0,1188.01803,5587.75,178975.66,139.78523,657.47,21058.73,2060.36751,9690.78,310395.65
2004-04-01,3143.46923,14785.06,473565.6,0.0,0.0,0.0,1188.01803,5587.75,178975.66,139.78523,657.47,21058.73,2060.36751,9690.78,310395.65
2004-05-01,3143.46923,14785.06,473565.6,0.0,0.0,0.0,1188.01803,5587.75,178975.66,139.78523,657.47,21058.73,2060.36751,9690.78,310395.65
2004-06-01,3143.46923,14785.06,473565.6,0.0,0.0,0.0,1188.01803,5587.75,178975.66,139.78523,657.47,21058.73,2060.36751,9690.78,310395.65
2004-07-01,3143.46923,14785.06,473565.6,0.0,0.0,0.0,1188.01803,5587.75,178975.66,139.78523,657.47,21058.73,2060.36751,9690.78,310395.65
2004-08-01,3143.46923,14785.06,473565.6,0.0,0.0,0.0,1188.01803,5587.75,178975.66,139.78523,657.47,21058.73,2060.36751,9690.78,310395.65
2004-09-01,3143.46923,14785.06,473565.6,0.0,0.0,0.0,1188.01803,5587.75,178975.66,139.78523,657.47,21058.73,2060.36751,9690.78,310395.65
2004-10-01,3143.46923,14785.06,473565.6,0.0,0.0,0.0,1188.01803,5587.75,178975.66,139.78523,657.47,21058.73,2060.36751,9690.78,310395.65
2004-11-01,3143.46923,14785.06,473565.6,0.0,0.0,0.0,1188.01803,5587.75,178975.66,139.78523,657.47,21058.73,2060.36751,9690.78,310395.65
2004-12-01,3143.46923,14785.06,473565.6,0.0,0.0,0.0,1188.01803,5587.75,178975.66,139.78523,657.47,21058.73,2060.36751,9690.78,310395.65
2005-01-01,3660.22645,17215.58,476761.01,0.0,0.0,0.0,909.26815,4276.67,118436.28,326.9672,1537.86,42588.95,2251.8152,10591.23,293309.09
2005-02-01,3472.04627,16330.49,442461.99,0.0,0.0,0.0,823.92137,3875.25,104996.84,136.44441,641.76,17387.86,2136.04395,10046.71,272207.85
2005-03-01,3766.45067,17715.2,478372.5,0.0,0.0,0.0,986.50872,4639.97,125295.32,188.39902999999998,886.12,23928.34,2317.16559,10898.6,294300.5
2005-04-01,3323.09944,15629.93,411293.1,0.0,0.0,0.0,1037.89775,4881.67,128458.44,111.62498,525.02,13815.59,2044.41082,9615.72,253032.47
2005-05-01,3621.47598,17033.32,456441.55,0.0,0.0,0.0,826.82214,3888.89,104210.54,45.01831,211.74,5673.99,2227.97557,10479.1,280808.33
2005-06-01,3603.45639,16948.57,441899.48,0.0,0.0,0.0,1445.73001,6799.88,177292.93,259.39635,1220.05,31810.32,2216.88925,10426.96,271861.82
2005-07-01,4054.3531000000003,19069.33,489405.9,0.0,0.0,0.0,1892.67317,8902.04,228466.88,321.21184,1510.79,38773.87,2494.28689,11731.68,301088.41
2005-08-01,4173.48051,19629.63,503880.34,0.0,0.0,0.0,2023.17163,9515.83,244265.29,377.96143,1777.71,45632.74,2567.57543,12076.38,309993.25
2005-09-01,3788.76442,17820.15,474330.06,0.0,0.0,0.0,1290.66812,6070.55,161583.73,284.63584000000003,1338.76,35634.66,2330.89262,10963.17,291813.45
2005-10-01,3500.0863000000004,16462.37,452117.73,0.0,0.0,0.0,865.06694,4068.77,111743.56,252.73395,1188.71,32646.48,2153.29481,10127.85,278148.22
2005-11-01,3599.56219,16930.25,460454.57,0.0,0.0,0.0,784.10543,3687.98,100302.45,117.92366,554.64,15084.75,2214.49372,10415.69,283277.16
2005-12-01,3772.78638,17745.0,497432.28,0.0,0.0,0.0,821.93651,3865.91,108370.24,339.81794,1598.31,44804.13,2321.06317,10916.93,306026.27
2006-01-01,4759.69339,22386.84,476288.19,0.0,0.0,0.0,1201.01309,5648.87,120181.77,430.56628,2025.13,43085.47,3197.44724,15038.94,319958.92
2006-02-01,4351.91329,20468.88,432392.23,0.0,0.0,0.0,1206.07207,5672.66,119831.48,399.66417,1879.79,39709.36,2923.51147,13750.5,290470.78
2006-03-01,4742.74872,22307.14,468317.28,0.0,0.0,0.0,1323.92715,6226.99,130729.67,381.77704,1795.66,37698.14,3186.0641,14985.4,314604.24
2006-04-01,4379.18273,20597.14,432856.55,0.0,0.0,0.0,1111.98077,5230.11,109912.78,292.68728999999996,1376.63,28930.42,2941.82921,13836.66,290782.58
2006-05-01,4372.20058,20564.3,431820.31,0.0,0.0,0.0,1079.56308,5077.64,106623.03,266.17988,1251.96,26289.25,2937.13845,13814.6,290086.42
2006-06-01,4460.48257,20979.52,431091.62,0.0,0.0,0.0,1411.23483,6637.63,136391.41,264.18038,1242.55,25532.2,2996.44523,14093.54,289597.02
2006-07-01,4939.6849,23233.41,463232.48,0.0,0.0,0.0,2178.07264,10244.39,204254.72,324.66367,1527.03,30446.22,3318.36179,15607.65,311188.46
2006-08-01,5196.77284,24442.61,490527.12,0.0,0.0,0.0,2037.28023,9582.19,192300.35,275.71315,1296.79,26024.76,3491.06678,16419.95,329524.3
2006-09-01,4722.81536,22213.39,459020.83,0.0,0.0,0.0,1403.3908000000001,6600.74,136398.64,280.11235,1317.49,27224.74,3172.67349,14922.42,308359.12
2006-10-01,4948.47721,23274.77,476691.07,0.0,0.0,0.0,1579.12082,7427.27,152118.07,267.81031,1259.62,25798.4,3324.26766,15635.43,320229.56
2006-11-01,4752.70018,22353.95,466153.06,0.0,0.0,0.0,1334.00855,6274.4,130841.87,322.30048,1515.91,31611.79,3192.74979,15016.84,313150.42
2006-12-01,4849.06554,22807.19,483209.74,0.0,0.0,0.0,1283.00009,6034.49,127851.05,435.78883,2049.7,43426.39,3257.48553,15321.32,324608.67
2007-01-01,5597.154,25286.0,415394.0,0.0,0.0,0.0,925.6020000000001,4181.0,68694.0,0.0,0.0,0.0,3574.244,16146.0,265263.0
2007-02-01,4864.76,21976.0,379090.0,0.0,0.0,0.0,707.7370000000001,3197.0,55151.0,0.0,0.0,0.0,4283.503000000001,19343.0,333795.0
2007-03-01,5755.036,25991.0,471308.0,0.0,0.0,0.0,1212.4470000000001,5477.0,99293.0,0.0,0.0,0.0,4004.516,18087.0,327949.0
2007-04-01,5474.23,24725.0,460900.0,0.0,0.0,0.0,1507.141,6808.0,126893.0,0.0,0.0,0.0,2848.63,12869.0,239839.0
2007-05-01,5360.08,24211.0,473268.0,0.0,0.0,0.0,675.6310000000001,3051.0,59655.0,0.0,0.0,0.0,3678.288,16617.0,324774.0
2007-06-01,5217.421,23565.0,463433.0,0.0,0.0,0.0,849.25,3836.0,75434.0,0.0,0.0,0.0,3604.329,16280.0,320151.0
2007-07-01,5711.678,25800.0,476506.0,0.0,0.0,0.0,544.947,2462.0,45463.0,0.0,0.0,0.0,4115.375,18592.0,343332.0
2007-08-01,5692.74,25716.0,476614.0,0.0,0.0,0.0,424.903,1919.0,35574.0,0.0,0.0,0.0,4354.357,19669.0,364560.0
2007-09-01,6011.703,27150.0,485349.0,0.0,0.0,0.0,464.97,2101.0,37539.0,0.0,0.0,0.0,4304.327,19444.0,347506.0
2007-10-01,3472.181,15678.0,295894.0,0.0,0.0,0.0,1467.863,6630.0,125089.0,0.0,0.0,0.0,2360.956,10659.0,201197.0
2007-11-01,5559.28,25107.0,473411.0,0.0,0.0,0.0,900.2230000000001,4066.0,76660.0,0.0,0.0,0.0,3780.4970000000003,17077.0,321935.0
2007-12-01,1818.1580000000001,8210.0,496272.0,0.0,0.0,0.0,197.56,892.0,53925.0,0.0,0.0,0.0,9501.281,42917.0,2593402.0
2008-01-01,5890.4800000000005,26605.0,492161.0,0.0,0.0,0.0,1674.546,7563.0,139911.0,0.0,0.0,0.0,4167.974,18825.0,348242.0
2008-02-01,5825.07,26310.0,481848.0,0.0,0.0,0.0,702.014,3171.0,58070.0,0.0,0.0,0.0,3690.916,16671.0,305311.0
2008-03-01,5587.992,25239.0,518379.0,0.0,0.0,0.0,644.267,2910.0,59766.0,0.0,0.0,0.0,4484.742,20256.0,416034.0
2008-04-01,5755.293000000001,25995.0,463230.0,0.0,0.0,0.0,1018.404,4600.0,81969.0,0.0,0.0,0.0,3599.3030000000003,16257.0,289699.0
2008-05-01,5920.122,26739.0,487847.0,0.0,0.0,0.0,704.818,3183.0,58080.0,0.0,0.0,0.0,3731.06,16852.0,307457.0
2008-06-01,4797.264,21668.0,475287.0,0.0,0.0,0.0,990.945,4476.0,98178.0,0.0,0.0,0.0,3503.791,15826.0,347137.0
2008-07-01,5746.024,25953.0,510038.0,0.0,0.0,0.0,541.219,2445.0,48041.0,0.0,0.0,0.0,3526.757,15929.0,313048.0
2008-08-01,3264.744,14746.0,297627.0,0.0,0.0,0.0,858.76,3879.0,78288.0,0.0,0.0,0.0,2011.4950000000001,9085.0,183376.0
2008-09-01,5772.033,26071.0,484835.0,0.0,0.0,0.0,793.532,3584.0,66655.0,0.0,0.0,0.0,3799.4350000000004,17161.0,319142.0
2008-10-01,6222.619000000001,28106.0,515463.0,0.0,0.0,0.0,661.356,2987.0,54785.0,0.0,0.0,0.0,3974.025,17949.0,329196.0
2008-11-01,5755.441000000001,25996.0,379281.0,0.0,0.0,0.0,820.575,3706.0,54076.0,0.0,0.0,0.0,4307.985000000001,19458.0,283894.0
2008-12-01,5740.424,25928.0,338054.0,0.0,0.0,0.0,1391.625,6286.0,81953.0,0.0,0.0,0.0,3882.952,17538.0,228667.0
2009-01-01,3148.8990000000003,14811.0,312206.0,0.0,0.0,0.0,424.367,1996.0,42075.0,0.0,0.0,0.0,2359.4680000000003,11098.0,233935.0
2009-02-01,3821.7180000000003,17975.0,447360.0,0.0,0.0,0.0,393.214,1849.0,46029.0,0.0,0.0,0.0,2530.215,11901.0,296180.0
2009-03-01,4526.839,21292.0,400110.0,0.0,0.0,0.0,385.026,1811.0,34031.0,0.0,0.0,0.0,5218.34,24544.0,461229.0
2009-04-01,4111.554,19338.0,300280.0,0.0,0.0,0.0,294.308,1384.0,21494.0,0.0,0.0,0.0,2492.933,11725.0,182067.0
2009-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14993.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-06-01,4102.8910000000005,19298.0,362372.0,0.0,0.0,0.0,643.254,3025.0,56813.0,0.0,0.0,0.0,4061.7270000000003,19104.0,358736.0
2009-07-01,5445.82,25614.0,404018.0,0.0,0.0,0.0,578.5930000000001,2721.0,42925.0,0.0,0.0,0.0,3074.43,14460.0,228088.0
2009-08-01,5669.08,26664.0,427607.0,0.0,0.0,0.0,441.22200000000004,2075.0,33280.0,0.0,0.0,0.0,3713.567,17466.0,280107.0
2009-09-01,5777.231000000001,27173.0,397015.0,0.0,0.0,0.0,583.085,2742.0,40070.0,0.0,0.0,0.0,3869.76,18201.0,265932.0
2009-10-01,6111.2570000000005,28744.0,431945.0,0.0,0.0,0.0,320.9,1509.0,22681.0,0.0,0.0,0.0,4483.5740000000005,21088.0,316900.0
2009-11-01,6473.892000000001,30449.0,423962.0,0.0,0.0,0.0,329.56800000000004,1550.0,21583.0,0.0,0.0,0.0,3437.179,16167.0,225094.0
2009-12-01,5627.814,26470.0,395569.0,0.0,0.0,0.0,536.833,2525.0,37733.0,0.0,0.0,0.0,4583.991,21560.0,322200.0
