measured_on,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Petroleum Coke Generation,Petroleum Coke Quantity Consumed For Electricity,Petroleum Coke Total Fuel Consumed,Residual Fuel Oil Generation,Residual Fuel Oil Quantity Consumed For Electricity,Residual Fuel Oil Total Fuel Consumed
2013-12-01,0.0,0.0,0.0,72.807,854.0,49872.0,0.0,0.0,0.0
2014-01-01,0.0,0.0,0.0,0.0,324.0,14846.0,0.0,0.0,0.0
2014-02-01,0.0,0.0,0.0,0.0,279.0,12792.0,0.0,0.0,0.0
2014-03-01,0.0,0.0,0.0,0.0,389.0,17836.0,0.0,0.0,0.0
2014-04-01,0.0,0.0,0.0,0.0,393.0,18044.0,0.0,0.0,0.0
2014-05-01,0.0,0.0,0.0,0.0,331.0,15184.0,0.0,0.0,0.0
2014-06-01,0.0,0.0,0.0,0.0,365.0,16718.0,0.0,0.0,0.0
2014-07-01,0.0,0.0,0.0,0.0,366.0,16770.0,0.0,0.0,0.0
2014-08-01,0.0,0.0,0.0,0.0,324.0,14846.0,0.0,0.0,0.0
2014-09-01,0.0,0.0,0.0,0.0,244.0,11180.0,0.0,0.0,0.0
2014-10-01,0.0,0.0,0.0,0.0,302.0,13858.0,0.0,0.0,0.0
2014-11-01,0.0,0.0,0.0,0.0,287.0,13156.0,0.0,0.0,0.0
2014-12-01,0.0,0.0,0.0,0.0,275.0,12610.0,0.0,0.0,0.0
2015-01-01,0.0,0.0,0.0,0.0,424.0,24726.0,0.0,0.0,0.0
2015-02-01,0.0,0.0,0.0,0.0,355.0,20696.0,0.0,0.0,0.0
2015-03-01,0.0,0.0,0.0,0.0,403.0,23530.0,0.0,0.0,0.0
2015-04-01,0.0,0.0,0.0,0.0,512.0,29848.0,0.0,0.0,0.0
2015-05-01,0.0,0.0,0.0,0.0,355.0,20722.0,0.0,0.0,0.0
2015-06-01,0.0,0.0,0.0,0.0,380.0,22152.0,0.0,0.0,0.0
2015-07-01,0.0,0.0,0.0,0.0,350.0,20410.0,0.0,0.0,0.0
2015-08-01,0.0,0.0,0.0,0.0,315.0,18382.0,0.0,0.0,0.0
2015-09-01,0.0,0.0,0.0,0.0,282.0,16406.0,0.0,0.0,0.0
2015-10-01,0.0,0.0,0.0,0.0,312.0,18226.0,0.0,0.0,0.0
2015-11-01,0.0,0.0,0.0,0.0,318.0,18512.0,0.0,0.0,0.0
2015-12-01,0.0,0.0,0.0,0.0,259.0,15106.0,0.0,0.0,0.0
2016-01-01,0.0,0.0,0.0,65.777,578.0,24414.0,0.0,0.0,0.0
2016-02-01,0.0,0.0,0.0,58.774,517.0,21762.0,0.0,0.0,0.0
2016-03-01,0.0,0.0,0.0,47.218,415.0,17472.0,0.0,0.0,0.0
2016-04-01,0.0,0.0,0.0,33.102,291.0,12246.0,0.0,0.0,0.0
2016-05-01,0.0,0.0,0.0,69.961,615.0,25896.0,0.0,0.0,0.0
2016-06-01,0.0,0.0,0.0,46.063,405.0,17056.0,0.0,0.0,0.0
2016-07-01,0.0,0.0,0.0,48.687,428.0,18018.0,0.0,0.0,0.0
2016-08-01,0.0,0.0,0.0,48.026,422.0,17784.0,0.0,0.0,0.0
2016-09-01,0.0,0.0,0.0,53.305,469.0,19734.0,0.0,0.0,0.0
2016-10-01,0.0,0.0,0.0,44.541,392.0,16484.0,0.0,0.0,0.0
2016-11-01,0.0,0.0,0.0,42.946,378.0,15912.0,0.0,0.0,0.0
2016-12-01,0.0,0.0,0.0,44.94,395.0,16640.0,0.0,0.0,0.0
2017-01-01,0.0,0.0,0.0,2.601,23.0,13769.0,0.0,0.0,0.0
2017-02-01,0.0,0.0,0.0,2.216,19.0,11743.0,0.0,0.0,0.0
2017-03-01,0.0,0.0,0.0,2.49,22.0,13172.0,0.0,0.0,0.0
2017-04-01,0.0,0.0,0.0,0.873,8.0,4624.0,0.0,0.0,0.0
2017-05-01,0.0,0.0,0.0,2.743,24.0,14523.0,0.0,0.0,0.0
2017-06-01,0.0,0.0,0.0,2.321,20.0,12289.0,0.0,0.0,0.0
2017-07-01,0.0,0.0,0.0,2.769,24.0,14653.0,0.0,0.0,0.0
2017-08-01,0.0,0.0,0.0,2.178,19.0,11535.0,0.0,0.0,0.0
2017-09-01,0.0,0.0,0.0,1.998,18.0,10574.0,0.0,0.0,0.0
2017-10-01,0.0,0.0,0.0,1.276,11.0,6755.0,0.0,0.0,0.0
2017-11-01,0.0,0.0,0.0,2.53,22.0,13406.0,0.0,0.0,0.0
2017-12-01,0.0,0.0,0.0,2.195,19.0,11613.0,0.0,0.0,0.0
2018-01-01,0.0,0.0,0.0,99.605,876.0,254890.0,0.0,0.0,0.0
2018-02-01,0.0,0.0,0.0,78.089,687.0,199864.0,0.0,0.0,0.0
2018-03-01,0.0,0.0,0.0,66.81,588.0,170974.0,0.0,0.0,0.0
2018-04-01,0.0,0.0,0.0,69.109,608.0,176872.0,0.0,0.0,0.0
2018-05-01,0.0,0.0,0.0,52.664,463.0,134784.0,0.0,0.0,0.0
2018-06-01,0.0,0.0,0.0,85.849,755.0,219713.0,0.0,0.0,0.0
2018-07-01,0.0,0.0,0.0,94.202,828.0,241094.0,0.0,0.0,0.0
2018-08-01,0.0,0.0,0.0,90.394,795.0,231352.0,0.0,0.0,0.0
2018-09-01,0.0,0.0,0.0,82.598,726.0,211399.0,0.0,0.0,0.0
2018-10-01,0.0,0.0,0.0,58.035,510.0,148528.0,0.0,0.0,0.0
2018-11-01,0.0,0.0,0.0,68.614,603.0,175599.0,0.0,0.0,0.0
2018-12-01,0.0,0.0,0.0,83.291,732.0,213166.0,0.0,0.0,0.0
2019-01-01,0.0,0.0,0.0,68.851,605.0,134135.0,0.0,0.0,0.0
2019-02-01,0.0,0.0,0.0,55.881,491.0,108882.0,0.0,0.0,0.0
2019-03-01,0.0,0.0,0.0,50.839,447.0,99062.0,0.0,0.0,0.0
2019-04-01,0.0,0.0,0.0,44.458,391.0,86617.0,0.0,0.0,0.0
2019-05-01,0.0,0.0,0.0,52.181,459.0,101660.0,0.0,0.0,0.0
2019-06-01,0.0,0.0,0.0,51.993,457.0,101296.0,0.0,0.0,0.0
2019-07-01,0.0,0.0,0.0,55.548,488.0,108233.0,0.0,0.0,0.0
2019-08-01,0.0,0.0,0.0,55.884,491.0,108882.0,0.0,0.0,0.0
2019-09-01,0.0,0.0,0.0,52.365,460.0,102023.0,0.0,0.0,0.0
2019-10-01,0.0,0.0,0.0,28.112,247.0,54766.0,0.0,0.0,0.0
2019-11-01,0.0,0.0,0.0,54.921,483.0,107012.0,0.0,0.0,0.0
2019-12-01,0.0,0.0,0.0,57.527,506.0,112078.0,0.0,0.0,0.0
2020-01-01,0.0,0.0,0.0,8.578,75.0,93086.0,0.0,0.0,0.0
2020-02-01,0.0,0.0,0.0,7.038,62.0,76407.0,0.0,0.0,0.0
2020-03-01,0.0,0.0,0.0,9.927,87.0,107791.0,0.0,0.0,0.0
2020-04-01,0.0,0.0,0.0,8.842,78.0,95996.0,0.0,0.0,0.0
2020-05-01,0.0,0.0,0.0,9.822,86.0,106648.0,0.0,0.0,0.0
2020-06-01,0.0,0.0,0.0,12.003,106.0,130316.0,0.0,0.0,0.0
2020-07-01,0.0,0.0,0.0,12.187,107.0,132316.0,0.0,0.0,0.0
2020-08-01,0.0,0.0,0.0,11.717,103.0,127198.0,0.0,0.0,0.0
2020-09-01,0.0,0.0,0.0,7.699,68.0,83578.0,0.0,0.0,0.0
2020-10-01,0.0,0.0,0.0,6.063,53.0,65833.0,0.0,0.0,0.0
2020-11-01,0.0,0.0,0.0,10.15,89.0,110207.0,0.0,0.0,0.0
2020-12-01,0.0,0.0,0.0,11.404,100.0,123821.0,0.0,0.0,0.0
2021-01-01,0.0,0.0,0.0,0.0,0.0,51311.0,0.0,0.0,0.0
2021-02-01,0.0,0.0,0.0,0.0,0.0,47985.0,0.0,0.0,0.0
2021-03-01,0.0,0.0,0.0,0.0,0.0,47595.0,0.0,0.0,0.0
2021-04-01,0.0,0.0,0.0,0.0,0.0,31358.0,0.0,0.0,0.0
2021-05-01,0.0,0.0,0.0,0.0,0.0,40347.0,0.0,0.0,0.0
2021-06-01,0.0,0.0,0.0,0.0,0.0,33384.0,0.0,0.0,0.0
2021-07-01,0.0,0.0,0.0,0.0,0.0,49362.0,0.0,0.0,0.0
2021-08-01,0.0,0.0,0.0,0.0,0.0,53701.0,0.0,0.0,0.0
2021-09-01,0.0,0.0,0.0,0.0,0.0,45855.0,0.0,0.0,0.0
2021-10-01,0.0,0.0,0.0,0.0,0.0,46452.0,0.0,0.0,0.0
2021-11-01,0.0,0.0,0.0,0.0,0.0,56662.0,0.0,0.0,0.0
2021-12-01,0.0,0.0,0.0,0.0,0.0,43101.0,0.0,0.0,0.0
2022-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
