measured_on,"Black Liquor - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Black Liquor - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Black Liquor - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed",Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Generation,Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Quantity Consumed For Electricity,Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Total Fuel Consumed,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Generation","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Quantity Consumed For Electricity","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Total Fuel Consumed","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed"
2006-05-01,,,,0.0,0.0,0.0,203.681,2020.0,2020.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,540.278,2683.86,9742.08
2006-06-01,,,,0.0,0.0,0.0,199.686,1981.0,1981.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,539.366,2679.33,9725.6
2006-07-01,,,,0.0,0.0,0.0,237.21,2353.0,2353.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,579.58,2879.09,10450.72
2006-08-01,,,,0.0,0.0,0.0,194.93900000000002,1934.0,1934.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,613.73,3048.74,11066.48
2006-09-01,,,,0.0,0.0,0.0,217.06900000000002,2153.0,2153.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,574.31,2852.92,10355.68
2006-10-01,,,,0.0,0.0,0.0,298.874,2965.0,2965.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,596.419,2962.74,10754.32
2006-11-01,,,,0.0,0.0,0.0,390.446,3873.0,3873.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,583.234,2897.24,10516.64
2006-12-01,,,,0.0,0.0,0.0,292.339,2900.0,2900.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,604.5740000000001,3003.26,10901.44
2007-01-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,8496.0,44786.0,334381.0
2007-02-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,7023.0,37352.0,249700.0
2007-03-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,3576.0,20287.0,258042.0
2007-04-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2007-05-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,750.0,4526.0,251930.0
2007-06-01,3422.7980000000002,20097.0,233979.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,1112.938,6534.0,76079.0,3109.2650000000003,18255.0,212546.0
2007-07-01,4543.184,25955.0,266638.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,542.821,3099.0,31858.0,3998.996,22847.0,234700.0
2007-08-01,5793.216,32448.0,303219.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,305.851,1715.0,16008.0,4201.933,23541.0,219931.0
2007-09-01,5558.889,31222.0,298386.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,210.692,1181.0,11309.0,4173.419,23437.0,224018.0
2007-10-01,5514.204000000001,31024.0,312402.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,254.76600000000002,1435.0,14434.0,4231.03,23805.0,239705.0
2007-11-01,1942.6670000000001,11860.0,120430.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,797.9490000000001,4870.0,49467.0,3554.385,21707.0,220344.0
2007-12-01,3054.2780000000002,18277.0,232140.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,1037.742,6210.0,78873.0,2957.98,17693.0,224821.0
2008-01-01,8052.353,40001.0,6863224.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,88.59,440.0,75507.0,206.946,1028.0,176385.0
2008-02-01,8412.521,41790.0,7251068.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,94.559,470.0,81504.0,186.51600000000002,927.0,160765.0
2008-03-01,8532.57,42386.0,6613679.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,60.564,301.0,46944.0,235.863,1172.0,182820.0
2008-04-01,8657.584,43007.0,7493204.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,24.128,120.0,20883.0,157.85,784.0,136620.0
2008-05-01,6154.313,30572.0,6865026.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,8.222,41.0,9171.0,126.47,628.0,141075.0
2008-06-01,740.558,3679.0,1810247.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,3.233,16.0,7904.0,22.527,112.0,55066.0
2008-07-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2008-08-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2008-09-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2008-10-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2008-11-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,1036.164,5147.0,81213.0
2008-12-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,1099.544,5462.0,82962.0
2009-01-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,682.773,3392.0,59609.0
2009-02-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,1682.4460000000001,8358.0,125906.0
2009-03-01,3554.7720000000004,17659.0,184260.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,1140.862,5667.0,59136.0,3509.17,17432.0,181896.0
2009-04-01,5397.465,26812.0,288278.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,513.344,2550.0,27418.0,3260.056,16195.0,174119.0
2009-05-01,5947.569,29545.0,317194.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,106.80300000000001,531.0,5696.0,3071.359,15257.0,163801.0
2009-06-01,5084.598,25258.0,274614.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,283.33,1407.0,15302.0,3092.3160000000003,15361.0,167013.0
2009-07-01,5490.107,27272.0,290154.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,152.461,757.0,8058.0,3503.329,17403.0,185152.0
2009-08-01,4463.073,22171.0,286083.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,272.374,1353.0,17459.0,2599.325,12912.0,166617.0
2009-09-01,5007.946,24877.0,269367.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,264.862,1316.0,14246.0,2868.616,14250.0,154297.0
2009-10-01,5737.553,28502.0,301178.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,237.26100000000002,1179.0,12454.0,3519.6730000000002,17484.0,184756.0
2009-11-01,5997.436000000001,29793.0,307358.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,67.187,334.0,3443.0,3613.281,17949.0,185174.0
2009-12-01,5414.409000000001,26896.0,320756.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,303.57300000000004,1508.0,17984.0,3191.6820000000002,15855.0,189079.0
2010-01-01,4013.2000000000003,24987.0,275652.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,494.286,3077.0,33951.0,2806.514,17474.0,192769.0
2010-02-01,4056.539,25082.0,288288.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,304.684,1884.0,21653.0,2445.777,15123.0,173815.0
2010-03-01,3038.6110000000003,20396.0,264368.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,127.79400000000001,858.0,11118.0,121.289,814.0,10553.0,2195.306,14735.0,190998.0
2010-04-01,1830.154,11694.0,204360.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,96.81700000000001,619.0,10811.0,30.749000000000002,196.0,3434.0,1224.28,7822.0,136706.0
2010-05-01,3413.71,20162.0,327236.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,38.096000000000004,225.0,3652.0,30.692,181.0,2942.0,1204.502,7114.0,115463.0
2010-06-01,2659.987,16371.0,287040.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,65.07600000000001,401.0,7022.0,27.031000000000002,166.0,2917.0,969.9060000000001,5969.0,104663.0
2010-07-01,2136.1440000000002,14192.0,307892.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,52.99,352.0,7638.0,16.26,108.0,2344.0,636.606,4229.0,91757.0
2010-08-01,2317.38,14948.0,315952.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,113.44800000000001,732.0,15468.0,16.219,105.0,2211.0,721.9530000000001,4657.0,98431.0
2010-09-01,3021.96,18118.0,302640.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,58.881,353.0,5897.0,8.43,51.0,844.0,1115.729,6689.0,111737.0
2010-10-01,3382.1580000000004,19801.0,314340.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,52.613,308.0,4890.0,6.304,37.0,586.0,1468.9250000000002,8600.0,136523.0
2010-11-01,2837.859,16792.0,296400.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,164.24800000000002,972.0,17155.0,69.608,412.0,7270.0,1421.285,8410.0,148446.0
2010-12-01,2553.1910000000003,15319.0,275652.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,257.725,1546.0,27825.0,120.61500000000001,724.0,13022.0,1398.469,8391.0,150984.0
2011-01-01,2858.21,16971.0,295162.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,210.847,1252.0,21774.0,150.563,894.0,15548.0,1346.911,7998.0,139093.0
2011-02-01,2997.181,19679.0,263713.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,344.678,2263.0,30327.0,87.282,573.0,7680.0,1926.859,12652.0,169538.0
2011-03-01,4688.997,28616.0,323471.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,336.087,2051.0,23185.0,9.68,59.0,668.0,2956.236,18041.0,203936.0
2011-04-01,4459.758,27370.0,311449.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,309.277,1898.0,21599.0,43.031,264.0,3005.0,2726.934,16735.0,190436.0
2011-05-01,2233.97,13490.0,197142.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,226.069,1365.0,19950.0,67.535,408.0,5960.0,1774.676,10716.0,156611.0
2011-06-01,3926.72,25147.0,291262.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,364.399,2334.0,27029.0,25.056,160.0,1859.0,1990.825,12749.0,147668.0
2011-07-01,4229.925,26852.0,284492.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,170.075,1080.0,11439.0,15.924,101.0,1071.0,2332.076,14804.0,156848.0
2011-08-01,4137.947,26305.0,269714.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,194.437,1236.0,12674.0,58.573,372.0,3818.0,2320.043,14748.0,151222.0
2011-09-01,5294.886,31735.0,287102.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,132.067,792.0,7161.0,8.366,50.0,454.0,2988.681,17913.0,162054.0
2011-10-01,5141.816,30817.0,283889.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,413.578,2479.0,22834.0,64.242,385.0,3547.0,3085.364,18492.0,170348.0
2011-11-01,5701.469,33832.0,316139.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,125.738,746.0,6972.0,2.386,14.0,132.0,3026.407,17958.0,167810.0
2011-12-01,4574.618,27752.0,272262.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,696.522,4226.0,41454.0,130.519,792.0,7768.0,2812.341,17061.0,167378.0
2012-01-01,4605.824,27849.0,304668.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,793.67,4799.0,52500.0,91.05,551.0,6023.0,2853.456,17253.0,188752.0
2012-02-01,3834.584,23188.0,236756.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,1122.237,6786.0,69290.0,78.16,473.0,4826.0,2766.019,16727.0,170780.0
2012-03-01,4278.89,26109.0,282100.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,896.369,5469.0,59096.0,11.18,68.0,737.0,2810.561,17149.0,185296.0
2012-04-01,3744.448,23419.0,251160.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,579.2,3622.0,38850.0,32.873,206.0,2205.0,2587.479,16183.0,173556.0
2012-05-01,2522.563,18305.0,246636.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,278.298,2019.0,27210.0,10.245,74.0,1002.0,1471.894,10681.0,143910.0
2012-06-01,4505.148,27536.0,277680.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,404.967,2475.0,24961.0,21.056,129.0,1298.0,2747.829,16795.0,169366.0
2012-07-01,4703.886,28822.0,277264.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,434.866,2665.0,25633.0,59.533,365.0,3509.0,2648.715,16229.0,156125.0
2012-08-01,3300.707,18777.0,241800.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,422.826,2405.0,30975.0,56.415,321.0,4133.0,2016.052,11469.0,147690.0
2012-09-01,4592.667,27999.0,274560.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,667.861,4072.0,39926.0,4.321,26.0,258.0,2505.151,15273.0,149764.0
2012-10-01,4719.925,28642.0,288548.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,754.016,4576.0,46096.0,9.893,60.0,605.0,2719.166,16501.0,166234.0
2012-11-01,4412.974,26667.0,265200.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,934.762,5649.0,56175.0,104.414,631.0,6275.0,2644.85,15983.0,158944.0
2012-12-01,4956.329,29313.0,290160.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,1066.244,6306.0,62421.0,22.921,136.0,1342.0,3262.506,19295.0,190998.0
2013-01-01,4775.29,28452.0,300470.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,858.208,5113.0,54000.0,64.88,387.0,4082.0,3264.622,19452.0,205416.0
2013-02-01,3235.882,20856.0,268900.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,421.182,2715.0,35000.0,56.708,365.0,4712.0,2233.228,14394.0,185580.0
2013-03-01,4676.013,27866.0,310650.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,752.618,4485.0,50000.0,3.035,18.0,202.0,3523.334,20997.0,234072.0
2013-04-01,3418.127,22095.0,279080.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,512.082,3310.0,41810.0,91.745,593.0,7491.0,2062.046,13329.0,168360.0
2013-05-01,4463.314,27112.0,298410.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,500.117,3038.0,33437.0,9.988,61.0,668.0,3191.581,19387.0,213384.0
2013-06-01,2729.812,18551.0,219470.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,348.27,2367.0,28000.0,37.065,252.0,2980.0,1971.853,13400.0,158532.0
2013-07-01,4257.358,25947.0,266420.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,527.336,3214.0,33000.0,38.558,235.0,2413.0,3216.748,19605.0,201300.0
2013-08-01,4814.074,29029.0,280820.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,321.035,1936.0,18727.0,48.492,292.0,2829.0,3268.399,19709.0,190656.0
2013-09-01,4474.575,27032.0,257870.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,459.83,2778.0,26500.0,23.613,143.0,1361.0,3148.982,19024.0,181476.0
2013-10-01,4400.16,26717.0,273540.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,490.623,2979.0,30500.0,64.656,393.0,4019.0,3225.561,19585.0,200520.0
2013-11-01,5612.453,33536.0,313190.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,203.395,1215.0,11350.0,11.628,69.0,649.0,2723.524,16274.0,151980.0
2013-12-01,2694.322,18340.0,236650.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,500.951,3410.0,44000.0,64.124,436.0,5632.0,1968.603,13400.0,172908.0
2014-01-01,2642.047,17332.0,206750.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,611.92,4014.0,47885.0,92.422,606.0,7232.0,2602.611,17073.0,203664.0
2014-02-01,2728.692,18274.0,259060.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,76.059,509.0,7221.0,22.96,154.0,2180.0,2164.289,14494.0,205476.0
2014-03-01,2126.595,14502.0,216950.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,549.003,3744.0,56008.0,15.747,107.0,1607.0,2001.655,13650.0,204204.0
2014-04-01,2793.642,16899.0,165450.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,1300.661,7868.0,77030.0,21.914,133.0,1298.0,3940.783,23839.0,233388.0
2014-05-01,4494.415,27131.0,291050.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,594.442,3588.0,38495.0,3.113,19.0,202.0,3316.03,20018.0,214740.0
2014-06-01,4606.924,27677.0,231930.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,1055.979,6344.0,53162.0,32.161,193.0,1619.0,2632.936,15818.0,132552.0
2014-07-01,3271.154,20825.0,186730.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,825.47,5255.0,47121.0,19.976,127.0,1140.0,2555.4,16268.0,145872.0
2014-08-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
