measured_on,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Generation","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Residual Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Residual Fuel Oil - Generation","Residual Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Residual Fuel Oil - Quantity Consumed For Electricity","Residual Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Residual Fuel Oil - Total Fuel Consumed","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Generation","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Quantity Consumed For Electricity","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Total Fuel Consumed"
2004-02-01,16.75,168.0,168.0,151.417,1546.0,1546.0,0.597,7.0,7.0,,,,0.0,0.0,0.0
2004-03-01,16.75,168.0,168.0,151.417,1546.0,1546.0,0.752,8.0,8.0,,,,0.0,0.0,0.0
2004-04-01,16.75,168.0,168.0,151.417,1546.0,1546.0,1.617,18.0,18.0,,,,0.0,0.0,0.0
2004-05-01,16.75,168.0,168.0,151.417,1546.0,1546.0,0.8320000000000001,9.0,9.0,,,,0.0,0.0,0.0
2004-06-01,16.75,168.0,168.0,151.417,1546.0,1546.0,2.24,25.0,25.0,,,,0.0,0.0,0.0
2004-07-01,16.75,168.0,168.0,151.417,1546.0,1546.0,1.247,14.0,14.0,,,,0.0,0.0,0.0
2004-08-01,16.75,168.0,168.0,151.417,1546.0,1546.0,3.2680000000000002,36.0,36.0,,,,0.0,0.0,0.0
2004-09-01,16.75,168.0,168.0,151.417,1546.0,1546.0,4.932,55.0,55.0,,,,0.0,0.0,0.0
2004-10-01,16.75,168.0,168.0,151.417,1546.0,1546.0,1.314,15.0,15.0,,,,0.0,0.0,0.0
2004-11-01,16.75,168.0,168.0,151.417,1546.0,1546.0,0.73,8.0,8.0,,,,0.0,0.0,0.0
2004-12-01,16.75,168.0,168.0,151.417,1546.0,1546.0,0.759,8.0,8.0,,,,0.0,0.0,0.0
2005-01-01,179.244,2143.9,2143.9,165.423,1405.9,1405.9,1.5230000000000001,29.8,29.8,,,,0.0,0.0,0.0
2005-02-01,90.971,1088.09,1088.09,137.325,1167.1,1167.1,1.264,24.74,24.74,,,,0.0,0.0,0.0
2005-03-01,110.101,1316.89,1316.89,170.065,1445.35,1445.35,1.566,30.64,30.64,,,,0.0,0.0,0.0
2005-04-01,114.727,1372.23,1372.23,167.567,1424.12,1424.12,1.5430000000000001,30.19,30.19,,,,0.0,0.0,0.0
2005-05-01,135.186,1616.94,1616.94,197.53400000000002,1678.81,1678.81,1.8190000000000002,35.59,35.59,,,,0.0,0.0,0.0
2005-06-01,122.396,1463.96,1463.96,249.294,2118.7,2118.7,2.295,44.91,44.91,,,,0.0,0.0,0.0
2005-07-01,195.989,2344.18,2344.18,312.44,2655.36,2655.36,2.8770000000000002,56.28,56.28,,,,0.0,0.0,0.0
2005-08-01,216.89100000000002,2594.18,2594.18,323.654,2750.67,2750.67,2.98,58.3,58.3,,,,0.0,0.0,0.0
2005-09-01,215.38600000000002,2576.17,2576.17,246.28,2093.09,2093.09,2.2680000000000002,44.37,44.37,,,,0.0,0.0,0.0
2005-10-01,128.52,1537.2,1537.2,196.74800000000002,1672.12,1672.12,1.812,35.44,35.44,,,,0.0,0.0,0.0
2005-11-01,102.44,1225.26,1225.26,167.858,1426.6,1426.6,1.546,30.24,30.24,,,,0.0,0.0,0.0
2005-12-01,223.14800000000002,2669.02,2669.02,163.81300000000002,1392.21,1392.21,1.508,29.51,29.51,,,,0.0,0.0,0.0
2006-01-01,98.61200000000001,1106.0,1106.0,108.378,939.0,939.0,14.213000000000001,101.0,101.0,,,,0.0,0.0,0.0
2006-02-01,97.584,1094.0,1094.0,128.58100000000002,1114.0,1114.0,16.862000000000002,120.0,120.0,,,,0.0,0.0,0.0
2006-03-01,85.56,959.0,959.0,146.65800000000002,1271.0,1271.0,19.233,137.0,137.0,,,,0.0,0.0,0.0
2006-04-01,112.869,1266.0,1266.0,164.04,1421.0,1421.0,21.512,153.0,153.0,,,,0.0,0.0,0.0
2006-05-01,102.006,1144.0,1144.0,190.0,1646.0,1646.0,24.917,177.0,177.0,,,,0.0,0.0,0.0
2006-06-01,121.995,1368.0,1368.0,242.11100000000002,2098.0,2098.0,31.751,226.0,226.0,,,,0.0,0.0,0.0
2006-07-01,118.34400000000001,1327.0,1327.0,304.387,2637.0,2637.0,39.917,284.0,284.0,,,,0.0,0.0,0.0
2006-08-01,127.36200000000001,1428.0,1428.0,308.226,2671.0,2671.0,40.421,287.0,287.0,,,,0.0,0.0,0.0
2006-09-01,90.479,1014.0,1014.0,209.717,1817.0,1817.0,27.502000000000002,195.0,195.0,,,,0.0,0.0,0.0
2006-10-01,116.45700000000001,1306.0,1306.0,189.881,1645.0,1645.0,24.901,177.0,177.0,,,,0.0,0.0,0.0
2006-11-01,101.649,1140.0,1140.0,141.01600000000002,1222.0,1222.0,18.493000000000002,131.0,131.0,,,,0.0,0.0,0.0
2006-12-01,113.085,1268.0,1268.0,147.005,1274.0,1274.0,19.278000000000002,137.0,137.0,,,,0.0,0.0,0.0
2007-01-01,36.827000000000005,358.0,358.0,11.847000000000001,114.0,114.0,0.0,55.0,55.0,0.0,0.0,0.0,,,
2007-02-01,25.462,248.0,248.0,35.027,340.0,340.0,0.0,163.0,163.0,0.0,0.0,0.0,,,
2007-03-01,34.411,336.0,336.0,21.13,205.0,205.0,0.0,98.0,98.0,0.0,0.0,0.0,,,
2007-04-01,38.106,369.0,369.0,9.881,96.0,96.0,0.0,46.0,46.0,0.0,0.0,0.0,,,
2007-05-01,63.28,616.0,616.0,90.809,881.0,881.0,0.0,422.0,422.0,0.0,0.0,0.0,,,
2007-06-01,24.986,242.0,242.0,156.30800000000002,1516.0,1516.0,0.0,728.0,728.0,0.0,0.0,0.0,,,
2007-07-01,21.796,209.0,209.0,291.148,2824.0,2824.0,0.0,1356.0,1356.0,0.0,0.0,0.0,,,
2007-08-01,42.42,413.0,413.0,526.65,5108.0,5108.0,0.0,2453.0,2453.0,0.0,0.0,0.0,,,
2007-09-01,16.379,160.0,160.0,138.99,1349.0,1349.0,0.0,648.0,648.0,0.0,0.0,0.0,,,
2007-10-01,34.063,330.0,330.0,83.983,815.0,815.0,0.0,392.0,392.0,0.0,0.0,0.0,,,
2007-11-01,53.315,517.0,517.0,11.297,110.0,110.0,0.0,53.0,53.0,0.0,0.0,0.0,,,
2007-12-01,60.3,583.0,583.0,89.584,869.0,869.0,0.0,417.0,417.0,0.0,0.0,0.0,,,
2008-01-01,0.0,0.0,0.0,8.155000000000001,85.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2008-02-01,0.0,0.0,0.0,3.064,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2008-03-01,0.0,0.0,0.0,4.43,47.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2008-04-01,0.0,0.0,0.0,8.209,87.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2008-05-01,0.0,0.0,0.0,8.328000000000001,88.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2008-06-01,0.0,0.0,0.0,13.314,141.0,141.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2008-07-01,0.0,0.0,0.0,25.644000000000002,271.0,271.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2008-08-01,0.0,0.0,0.0,21.615000000000002,228.0,228.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2008-09-01,0.0,0.0,0.0,8.723,92.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2008-10-01,0.0,0.0,0.0,8.611,91.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2008-11-01,0.0,0.0,0.0,10.735000000000001,113.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2008-12-01,0.0,0.0,0.0,12.172,129.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2009-01-01,32.552,341.0,341.0,182.548,1957.0,1957.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2009-02-01,21.841,236.0,236.0,121.896,1308.0,1308.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2009-03-01,29.421000000000003,316.0,316.0,210.87,2263.0,2263.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2009-04-01,43.736000000000004,471.0,471.0,166.615,1788.0,1788.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2009-05-01,26.606,285.0,285.0,179.197,1923.0,1923.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2009-06-01,6.223,68.0,68.0,448.353,4810.0,4810.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2009-07-01,41.919000000000004,453.0,453.0,513.315,5507.0,5507.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2009-08-01,24.186,260.0,260.0,552.8820000000001,5931.0,5931.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2009-09-01,23.326,248.0,248.0,171.809,1844.0,1844.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2009-10-01,23.059,248.0,248.0,177.744,1907.0,1907.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2009-11-01,25.578000000000003,273.0,273.0,156.559,1680.0,1680.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2009-12-01,24.61,267.0,267.0,191.155,2050.0,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2010-01-01,22.246000000000002,242.0,242.0,100.891,1106.0,1106.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2010-02-01,15.778,174.0,174.0,40.525,444.0,444.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2010-03-01,19.722,217.0,217.0,48.169000000000004,528.0,528.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2010-04-01,14.134,155.0,155.0,52.463,574.0,574.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2010-05-01,17.089000000000002,186.0,186.0,63.114000000000004,692.0,692.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2010-06-01,26.28,285.0,285.0,157.311,1724.0,1724.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2010-07-01,16.831,186.0,186.0,245.347,2687.0,2687.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2010-08-01,17.653000000000002,192.0,192.0,273.615,2998.0,2998.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2010-09-01,13.05,143.0,143.0,86.5,947.0,947.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2010-10-01,25.917,285.0,285.0,58.166000000000004,637.0,637.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2010-11-01,19.64,217.0,217.0,33.641,369.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2010-12-01,16.351,180.0,180.0,53.567,586.0,586.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2011-01-01,2.857,31.0,31.0,47.53,529.0,529.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2011-02-01,3.8,43.0,43.0,61.988,691.0,691.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2011-03-01,6.53,74.0,74.0,58.19,648.0,648.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2011-04-01,3.524,37.0,37.0,64.24,716.0,716.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2011-05-01,3.114,37.0,37.0,57.975,646.0,646.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2011-06-01,2.258,25.0,25.0,242.598,2703.0,2703.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2011-07-01,2.46,25.0,25.0,381.493,4249.0,4249.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2011-08-01,1.557,19.0,19.0,272.659,3037.0,3037.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2011-09-01,4.656,50.0,50.0,90.65,1010.0,1010.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2011-10-01,4.123,43.0,43.0,48.014,535.0,535.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2011-11-01,2.033,25.0,25.0,37.681,420.0,420.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2011-12-01,3.718,43.0,43.0,42.352,472.0,472.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2012-01-01,13.709,149.0,149.0,80.532,875.0,875.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2012-02-01,11.729,130.0,130.0,68.63,747.0,747.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2012-03-01,5.781,62.0,62.0,88.401,961.0,961.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2012-04-01,11.039,118.0,118.0,111.654,1214.0,1214.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2012-05-01,13.745,149.0,149.0,198.536,2159.0,2159.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2012-06-01,13.134,143.0,143.0,182.643,1987.0,1987.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2012-07-01,3.503,37.0,37.0,328.549,3574.0,3574.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2012-08-01,10.577,118.0,118.0,204.018,2219.0,2219.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2012-09-01,4.884,56.0,56.0,98.163,1068.0,1068.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2012-10-01,6.919,74.0,74.0,44.969,490.0,490.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2012-11-01,22.51,242.0,242.0,36.283,395.0,395.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2012-12-01,13.005,143.0,143.0,27.087,295.0,295.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2013-01-01,1.397,19.0,19.0,44.47,488.0,488.0,,,,0.0,0.0,0.0,,,
2013-02-01,0.754,6.0,6.0,97.294,1064.0,1064.0,,,,0.0,0.0,0.0,,,
2013-03-01,0.912,12.0,12.0,122.577,1340.0,1340.0,,,,0.0,0.0,0.0,,,
2013-04-01,0.776,6.0,6.0,89.661,980.0,980.0,,,,0.0,0.0,0.0,,,
2013-05-01,2.649,31.0,31.0,144.103,1575.0,1575.0,,,,0.0,0.0,0.0,,,
2013-06-01,1.667,19.0,19.0,199.644,2182.0,2182.0,,,,0.0,0.0,0.0,,,
2013-07-01,0.688,6.0,6.0,194.442,2126.0,2126.0,,,,0.0,0.0,0.0,,,
2013-08-01,0.432,6.0,6.0,175.642,1921.0,1921.0,,,,0.0,0.0,0.0,,,
2013-09-01,0.725,6.0,6.0,166.421,1819.0,1819.0,,,,0.0,0.0,0.0,,,
2013-10-01,1.18,12.0,12.0,93.914,1026.0,1026.0,,,,0.0,0.0,0.0,,,
2013-11-01,0.737,6.0,6.0,64.12,701.0,701.0,,,,0.0,0.0,0.0,,,
2013-12-01,2.259,25.0,25.0,76.536,837.0,837.0,,,,0.0,0.0,0.0,,,
2014-01-01,4.789,56.0,56.0,95.203,1040.0,1040.0,,,,0.0,0.0,0.0,,,
2014-02-01,5.045,56.0,56.0,73.205,800.0,800.0,,,,0.0,0.0,0.0,,,
2014-03-01,6.416,68.0,68.0,39.507,431.0,431.0,,,,0.0,0.0,0.0,,,
2014-04-01,3.919,43.0,43.0,73.926,807.0,807.0,,,,0.0,0.0,0.0,,,
2014-05-01,6.802,74.0,74.0,127.053,1388.0,1388.0,,,,0.0,0.0,0.0,,,
2014-06-01,4.71,50.0,50.0,92.585,1011.0,1011.0,,,,0.0,0.0,0.0,,,
2014-07-01,1.123,12.0,12.0,111.072,1213.0,1213.0,,,,0.0,0.0,0.0,,,
2014-08-01,5.046,56.0,56.0,126.374,1381.0,1381.0,,,,0.0,0.0,0.0,,,
2014-09-01,4.566,50.0,50.0,67.848,741.0,741.0,,,,0.0,0.0,0.0,,,
2014-10-01,3.225,37.0,37.0,55.242,604.0,604.0,,,,0.0,0.0,0.0,,,
2014-11-01,1.276,12.0,12.0,70.747,773.0,773.0,,,,0.0,0.0,0.0,,,
2014-12-01,5.297,56.0,56.0,53.024,580.0,580.0,,,,0.0,0.0,0.0,,,
2015-01-01,16.037,174.0,174.0,23.791,255.0,255.0,,,,0.0,0.0,0.0,,,
2015-02-01,9.987,105.0,105.0,42.09,453.0,453.0,,,,0.0,0.0,0.0,,,
2015-03-01,17.968,192.0,192.0,51.367,552.0,552.0,,,,0.0,0.0,0.0,,,
2015-04-01,12.56,136.0,136.0,44.538,480.0,480.0,,,,0.0,0.0,0.0,,,
2015-05-01,10.699,118.0,118.0,48.492,521.0,521.0,,,,0.0,0.0,0.0,,,
2015-06-01,2.732,31.0,31.0,79.015,850.0,850.0,,,,0.0,0.0,0.0,,,
2015-07-01,3.773,43.0,43.0,143.364,1542.0,1542.0,,,,0.0,0.0,0.0,,,
2015-08-01,5.571,62.0,62.0,91.65,986.0,986.0,,,,0.0,0.0,0.0,,,
2015-09-01,7.746,81.0,81.0,67.105,722.0,722.0,,,,0.0,0.0,0.0,,,
2015-10-01,3.104,31.0,31.0,25.331,273.0,273.0,,,,0.0,0.0,0.0,,,
2015-11-01,15.671,167.0,167.0,31.353,338.0,338.0,,,,0.0,0.0,0.0,,,
2015-12-01,12.885,136.0,136.0,29.171,314.0,314.0,,,,0.0,0.0,0.0,,,
2016-01-01,7.295,93.0,93.0,18.626,222.0,222.0,,,,0.0,0.0,0.0,,,
2016-02-01,5.716,68.0,68.0,16.888,201.0,201.0,,,,0.0,0.0,0.0,,,
2016-03-01,3.662,43.0,43.0,36.251,432.0,432.0,,,,0.0,0.0,0.0,,,
2016-04-01,4.612,56.0,56.0,40.358,482.0,482.0,,,,0.0,0.0,0.0,,,
2016-05-01,9.371,112.0,112.0,76.478,913.0,913.0,,,,0.0,0.0,0.0,,,
2016-06-01,6.83,81.0,81.0,116.746,1393.0,1393.0,,,,0.0,0.0,0.0,,,
2016-07-01,5.211,62.0,62.0,106.271,1268.0,1268.0,,,,0.0,0.0,0.0,,,
2016-08-01,0.95,12.0,12.0,105.947,1264.0,1264.0,,,,0.0,0.0,0.0,,,
2016-09-01,4.116,50.0,50.0,97.025,1157.0,1157.0,,,,0.0,0.0,0.0,,,
2016-10-01,5.334,62.0,62.0,41.735,498.0,498.0,,,,0.0,0.0,0.0,,,
2016-11-01,15.261,180.0,180.0,50.784,606.0,606.0,,,,0.0,0.0,0.0,,,
2016-12-01,10.626,124.0,124.0,44.907,536.0,536.0,,,,0.0,0.0,0.0,,,
2017-01-01,4.017,37.0,37.0,28.409,296.0,296.0,,,,0.0,0.0,0.0,,,
2017-02-01,2.191,25.0,25.0,18.737,196.0,196.0,,,,0.0,0.0,0.0,,,
2017-03-01,2.817,31.0,31.0,37.528,392.0,392.0,,,,0.0,0.0,0.0,,,
2017-04-01,3.417,37.0,37.0,40.959,428.0,428.0,,,,0.0,0.0,0.0,,,
2017-05-01,3.642,37.0,37.0,29.9,312.0,312.0,,,,0.0,0.0,0.0,,,
2017-06-01,2.502,25.0,25.0,49.484,517.0,517.0,,,,0.0,0.0,0.0,,,
2017-07-01,1.967,19.0,19.0,77.28,806.0,806.0,,,,0.0,0.0,0.0,,,
2017-08-01,1.628,19.0,19.0,46.432,485.0,485.0,,,,0.0,0.0,0.0,,,
2017-09-01,2.547,25.0,25.0,35.908,375.0,375.0,,,,0.0,0.0,0.0,,,
2017-10-01,2.957,31.0,31.0,50.767,530.0,530.0,,,,0.0,0.0,0.0,,,
2017-11-01,4.624,50.0,50.0,44.178,461.0,461.0,,,,0.0,0.0,0.0,,,
2017-12-01,4.512,50.0,50.0,42.597,444.0,444.0,,,,0.0,0.0,0.0,,,
2018-01-01,1.783,19.0,19.0,60.752,719.0,719.0,,,,0.0,0.0,0.0,,,
2018-02-01,1.334,19.0,19.0,62.531,740.0,740.0,,,,0.0,0.0,0.0,,,
2018-03-01,1.949,25.0,25.0,75.814,898.0,898.0,,,,0.0,0.0,0.0,,,
2018-04-01,1.386,19.0,19.0,70.418,834.0,834.0,,,,0.0,0.0,0.0,,,
2018-05-01,1.792,19.0,19.0,107.835,1276.0,1276.0,,,,0.0,0.0,0.0,,,
2018-06-01,2.507,31.0,31.0,106.067,1255.0,1255.0,,,,0.0,0.0,0.0,,,
2018-07-01,1.069,12.0,12.0,131.532,1557.0,1557.0,,,,0.0,0.0,0.0,,,
2018-08-01,1.455,19.0,19.0,97.91,1159.0,1159.0,,,,0.0,0.0,0.0,,,
2018-09-01,1.567,19.0,19.0,88.389,1046.0,1046.0,,,,0.0,0.0,0.0,,,
2018-10-01,1.686,19.0,19.0,64.867,768.0,768.0,,,,0.0,0.0,0.0,,,
2018-11-01,1.631,19.0,19.0,59.29,702.0,702.0,,,,0.0,0.0,0.0,,,
2018-12-01,1.744,19.0,19.0,54.692,648.0,648.0,,,,0.0,0.0,0.0,,,
2019-01-01,3.052,12.0,12.0,37.74,216.0,216.0,,,,0.0,0.0,0.0,,,
2019-02-01,2.842,19.0,19.0,33.52,190.0,190.0,,,,0.0,0.0,0.0,,,
2019-03-01,4.107,25.0,25.0,28.849,164.0,164.0,,,,0.0,0.0,0.0,,,
2019-04-01,2.39,12.0,12.0,24.627,140.0,140.0,,,,0.0,0.0,0.0,,,
2019-05-01,4.21,25.0,25.0,66.833,381.0,381.0,,,,0.0,0.0,0.0,,,
2019-06-01,3.605,19.0,19.0,65.052,370.0,370.0,,,,0.0,0.0,0.0,,,
2019-07-01,2.152,12.0,12.0,71.689,408.0,408.0,,,,0.0,0.0,0.0,,,
2019-08-01,2.838,19.0,19.0,77.858,443.0,443.0,,,,0.0,0.0,0.0,,,
2019-09-01,3.258,19.0,19.0,57.908,330.0,330.0,,,,0.0,0.0,0.0,,,
2019-10-01,3.448,19.0,19.0,62.676,356.0,356.0,,,,0.0,0.0,0.0,,,
2019-11-01,3.017,19.0,19.0,34.465,196.0,196.0,,,,0.0,0.0,0.0,,,
2019-12-01,3.221,19.0,19.0,40.643,231.0,231.0,,,,0.0,0.0,0.0,,,
2020-01-01,7.391,87.0,87.0,88.071,1009.0,1009.0,,,,0.0,0.0,0.0,,,
2020-02-01,7.683,87.0,87.0,74.297,851.0,851.0,,,,0.0,0.0,0.0,,,
2020-03-01,6.565,74.0,74.0,63.846,732.0,732.0,,,,0.0,0.0,0.0,,,
2020-04-01,7.445,87.0,87.0,54.896,629.0,629.0,,,,0.0,0.0,0.0,,,
2020-05-01,8.58,99.0,99.0,50.727,581.0,581.0,,,,0.0,0.0,0.0,,,
2020-06-01,10.343,118.0,118.0,78.308,898.0,898.0,,,,0.0,0.0,0.0,,,
2020-07-01,5.277,62.0,62.0,114.206,1309.0,1309.0,,,,0.0,0.0,0.0,,,
2020-08-01,8.555,99.0,99.0,80.015,917.0,917.0,,,,0.0,0.0,0.0,,,
2020-09-01,6.552,74.0,74.0,54.05,619.0,619.0,,,,0.0,0.0,0.0,,,
2020-10-01,8.175,93.0,93.0,60.069,689.0,689.0,,,,0.0,0.0,0.0,,,
2020-11-01,10.98,124.0,124.0,46.546,534.0,534.0,,,,0.0,0.0,0.0,,,
2020-12-01,8.753,99.0,99.0,71.67,822.0,822.0,,,,0.0,0.0,0.0,,,
2021-01-01,32.0,347.0,347.0,92.776,1011.0,1011.0,,,,0.0,0.0,0.0,,,
