measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Other Biomass Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Other Biomass Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Other Biomass Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Tire-Derived Fuels-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Tire-Derived Fuels-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Tire-Derived Fuels-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2004-06-01,9596.0,180556.0,180556.0,0.0,0.0,0.0,418.0,7877.0,7877.0,0.0,0.0,0.0,,,,33.0,630.0,630.0
2004-07-01,35987.0,449210.0,449210.0,0.0,0.0,0.0,455.0,5909.0,5909.0,223.0,2080.0,2080.0,,,,555.0,7516.0,7516.0
2004-08-01,13816.0,140300.0,140300.0,0.0,0.0,0.0,211.0,2265.0,2265.0,0.0,0.0,0.0,,,,398.0,4547.0,4547.0
2004-09-01,-768.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2004-10-01,44001.0,524523.0,524523.0,0.0,0.0,0.0,331.0,4368.0,4368.0,279.0,2650.0,2650.0,,,,2098.0,28244.0,28244.0
2004-11-01,46109.0,515944.0,515944.0,0.0,0.0,0.0,231.0,2805.0,2805.0,154.0,1340.0,1340.0,,,,1605.0,19410.0,19410.0
2004-12-01,13630.0,181728.0,181728.0,0.0,0.0,0.0,182.0,2457.0,2457.0,31.0,320.0,320.0,,,,424.0,6060.0,6060.0
2005-01-01,23959.0,269544.57,269544.57,,,,320.0,3705.51,3705.51,24.0,200.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-02-01,20925.0,203164.86,203164.86,,,,289.0,2826.25,2826.25,0.0,0.0,0.0,0.0,0.0,0.0,224.0,2156.27,2156.27
2005-03-01,83911.0,1003169.48,1003169.48,,,,263.0,3283.25,3283.25,0.0,0.0,0.0,0.0,0.0,0.0,3129.0,38547.09,38547.09
2005-04-01,18221.0,185693.49,185693.49,,,,268.0,2791.5,2791.5,229.0,1720.0,1720.0,0.0,0.0,0.0,1533.0,15678.24,15678.24
2005-05-01,62051.0,686407.43,686407.43,,,,138.0,1691.12,1691.12,0.0,0.0,0.0,0.0,0.0,0.0,44.0,525.55,525.55
2005-06-01,60000.0,744314.3,744314.3,,,,146.0,1906.98,1906.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-07-01,64090.0,761367.5,761367.5,,,,372.0,4460.51,4460.51,0.0,0.0,0.0,0.0,0.0,0.0,3543.0,41351.82,41351.82
2005-08-01,69603.0,814460.54,814460.54,,,,256.0,3147.42,3147.42,0.0,0.0,0.0,0.0,0.0,0.0,1401.0,16702.6,16702.6
2005-09-01,73154.0,854939.57,854939.57,,,,289.0,3723.41,3723.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-10-01,55512.0,632275.62,632275.62,,,,363.0,5999.99,5999.99,0.0,0.0,0.0,0.0,0.0,0.0,660.0,10551.27,10551.27
2005-11-01,30797.0,369390.59,369390.59,,,,317.0,5700.94,5700.94,0.0,0.0,0.0,0.0,0.0,0.0,499.0,8693.7,8693.7
2005-12-01,57507.0,697121.41,697121.41,,,,194.0,3510.7,3510.7,0.0,0.0,0.0,0.0,0.0,0.0,182.0,3191.54,3191.54
2006-01-01,17749.0,174775.0,174775.0,,,,256.0,3887.0,3887.0,0.0,0.0,0.0,0.0,0.0,0.0,905.0,13313.0,13313.0
2006-02-01,77763.0,893324.0,893324.0,,,,353.0,5273.0,5273.0,0.0,0.0,0.0,0.0,0.0,0.0,1937.0,28070.0,28070.0
2006-03-01,85831.0,1010161.0,1010161.0,,,,567.0,8997.0,8997.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-04-01,95372.0,1042674.0,1042674.0,,,,196.0,2981.0,2981.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-05-01,28413.0,351804.0,351804.0,,,,161.0,2725.0,2725.0,0.0,0.0,0.0,0.0,0.0,0.0,298.0,4901.0,4901.0
2006-06-01,46265.0,565042.0,565042.0,,,,229.0,3812.0,3812.0,0.0,0.0,0.0,0.0,0.0,0.0,1016.0,16413.0,16413.0
2006-07-01,54249.0,669584.0,669584.0,,,,307.0,5224.0,5224.0,0.0,0.0,0.0,0.0,0.0,0.0,422.0,6960.0,6960.0
2006-08-01,88957.0,1052235.0,1052235.0,,,,397.0,5847.0,5847.0,0.0,0.0,0.0,0.0,0.0,0.0,1048.0,14963.0,14963.0
2006-09-01,14376.0,149709.0,149709.0,,,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,1218.0,1218.0
2006-10-01,58412.0,643890.0,643890.0,,,,393.0,5431.0,5431.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,29.0,29.0
2006-11-01,54141.0,647906.0,647906.0,,,,396.0,6534.0,6534.0,0.0,0.0,0.0,0.0,0.0,0.0,666.0,10555.0,10555.0
2006-12-01,29062.0,380766.0,380766.0,,,,267.0,4968.0,4968.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,1537.0,1537.0
2007-01-01,43676.222,523551.0,523551.0,,,,0.08900000000000001,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,188.69,2262.0,2262.0
2007-02-01,54928.551,685843.0,685843.0,,,,477.302,5960.0,5960.0,0.0,0.0,0.0,0.0,0.0,0.0,199.14700000000002,2487.0,2487.0
2007-03-01,61802.667,723499.0,723499.0,,,,546.333,6396.0,6396.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-04-01,31733.946,428831.0,428831.0,,,,473.05400000000003,6393.0,6393.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-05-01,82953.489,1058438.0,1058438.0,,,,304.511,3885.0,3885.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-06-01,67688.392,939880.0,939880.0,,,,368.608,5118.0,5118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-07-01,37624.006,451554.0,451554.0,,,,320.994,3852.0,3852.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-08-01,69216.24799999999,868154.0,868154.0,,,,386.752,4851.0,4851.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-09-01,43028.325,567837.0,567837.0,,,,556.675,7346.0,7346.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-10-01,64965.084,787581.0,787581.0,,,,603.916,7321.0,7321.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-11-01,60524.891,707805.0,707805.0,,,,324.10900000000004,3790.0,3790.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-12-01,56054.494,684043.0,684043.0,,,,371.50600000000003,4534.0,4534.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-01,0.0,0.0,0.0,,,,286.509,3495.0,3495.0,0.0,0.0,0.0,46528.388,567520.0,567520.0,49.103,599.0,599.0
2008-02-01,1147.813,14473.0,14473.0,,,,453.247,5715.0,5715.0,0.0,0.0,0.0,40649.712,512561.0,512561.0,755.2280000000001,9523.0,9523.0
2008-03-01,0.0,0.0,0.0,,,,568.114,7246.0,7246.0,0.0,0.0,0.0,60898.534,776772.0,776772.0,1251.352,15961.0,15961.0
2008-04-01,0.0,0.0,0.0,,,,380.34700000000004,4697.0,4697.0,0.0,0.0,0.0,72172.653,891276.0,891276.0,0.0,0.0,0.0
2008-05-01,0.0,0.0,0.0,,,,145.704,1804.0,1804.0,0.0,0.0,0.0,12386.296,153363.0,153363.0,0.0,0.0,0.0
2008-06-01,0.0,0.0,0.0,,,,420.124,5287.0,5287.0,0.0,0.0,0.0,53612.876000000004,674716.0,674716.0,0.0,0.0,0.0
2008-07-01,0.0,0.0,0.0,,,,433.33500000000004,5387.0,5387.0,0.0,0.0,0.0,76166.665,946895.0,946895.0,0.0,0.0,0.0
2008-08-01,0.0,0.0,0.0,,,,499.92600000000004,6562.0,6562.0,0.0,0.0,0.0,29720.074,390132.0,390132.0,0.0,0.0,0.0
2008-09-01,0.0,0.0,0.0,,,,342.29900000000004,3967.0,3967.0,0.0,0.0,0.0,16362.701000000001,189627.0,189627.0,0.0,0.0,0.0
2008-10-01,0.0,0.0,0.0,,,,108.26700000000001,1668.0,1668.0,0.0,0.0,0.0,5447.733,83914.0,83914.0,0.0,0.0,0.0
2008-11-01,0.0,0.0,0.0,,,,377.76800000000003,4926.0,4926.0,0.0,0.0,0.0,26829.232,349839.0,349839.0,0.0,0.0,0.0
2008-12-01,0.0,0.0,0.0,,,,289.805,3736.0,3736.0,0.0,0.0,0.0,44206.195,569919.0,569919.0,0.0,0.0,0.0
2009-01-01,0.0,0.0,0.0,,,,519.006,6065.0,6065.0,0.0,0.0,0.0,5785.973,67610.0,67610.0,77.021,900.0,900.0
2009-02-01,0.0,0.0,0.0,,,,344.648,4726.0,4726.0,0.0,0.0,0.0,7217.097000000001,98973.0,98973.0,131.255,1800.0,1800.0
2009-03-01,0.0,0.0,0.0,,,,125.16300000000001,2410.0,2410.0,0.0,0.0,0.0,2579.201,49672.0,49672.0,57.636,1110.0,1110.0
2009-04-01,0.0,0.0,0.0,,,,228.96,3128.0,3128.0,0.0,0.0,0.0,6038.89,82513.0,82513.0,125.15,1710.0,1710.0
2009-05-01,-148.6,0.0,0.0,,,,-148.6,0.0,0.0,-148.6,0.0,0.0,-148.6,0.0,0.0,-148.6,0.0,0.0
2009-06-01,0.0,0.0,0.0,,,,136.917,2437.0,2437.0,0.0,0.0,0.0,4877.713000000001,86837.0,86837.0,3.37,60.0,60.0
2009-07-01,0.0,0.0,0.0,,,,67.85,1473.0,1473.0,0.0,0.0,0.0,1140.15,24757.0,24757.0,0.0,0.0,0.0
2009-08-01,0.0,0.0,0.0,,,,253.96200000000002,4247.0,4247.0,0.0,0.0,0.0,11742.996,196391.0,196391.0,104.042,1740.0,1740.0
2009-09-01,0.0,0.0,0.0,,,,119.97200000000001,1909.0,1909.0,0.0,0.0,0.0,4666.3910000000005,74259.0,74259.0,71.637,1140.0,1140.0
2009-10-01,0.0,0.0,0.0,,,,257.366,3734.0,3734.0,0.0,0.0,0.0,21243.634,308219.0,308219.0,0.0,0.0,0.0
2009-11-01,0.0,0.0,0.0,,,,340.708,4696.0,4696.0,0.0,0.0,0.0,11612.292,160050.0,160050.0,0.0,0.0,0.0
2009-12-01,0.0,0.0,0.0,,,,491.99600000000004,3280.0,3280.0,0.0,0.0,0.0,461.004,3073.0,3073.0,0.0,0.0,0.0
2010-01-01,0.0,0.0,0.0,,,,330.319,5742.0,5742.0,0.0,0.0,0.0,21942.681,381448.0,381448.0,0.0,0.0,0.0
2010-02-01,0.0,0.0,0.0,,,,312.752,4970.0,4970.0,0.0,0.0,0.0,3616.248,57466.0,57466.0,0.0,0.0,0.0
2010-03-01,0.0,0.0,0.0,,,,104.952,1728.0,1728.0,0.0,0.0,0.0,3627.0480000000002,59728.0,59728.0,0.0,0.0,0.0
2010-04-01,0.0,0.0,0.0,,,,-583.0,612.0,612.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-01,0.0,0.0,0.0,,,,183.817,2306.0,2306.0,0.0,0.0,0.0,6986.183,87625.0,87625.0,0.0,0.0,0.0
2010-06-01,0.0,0.0,0.0,,,,256.319,4369.0,4369.0,0.0,0.0,0.0,9505.681,162026.0,162026.0,0.0,0.0,0.0
2010-07-01,0.0,0.0,0.0,,,,297.805,4450.0,4450.0,0.0,0.0,0.0,29694.889000000003,443724.0,443724.0,80.306,1200.0,1200.0
2010-08-01,0.0,0.0,0.0,,,,349.932,5392.0,5392.0,0.0,0.0,0.0,21917.93,337753.0,337753.0,68.138,1050.0,1050.0
2010-09-01,0.0,0.0,0.0,,,,163.965,2312.0,2312.0,0.0,0.0,0.0,7246.035000000001,102176.0,102176.0,0.0,0.0,0.0
2010-10-01,0.0,0.0,0.0,,,,-1181.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-11-01,0.0,0.0,0.0,,,,0.541,2979.0,2979.0,0.0,0.0,0.0,8.459,46565.0,46565.0,0.0,0.0,0.0
2010-12-01,0.0,0.0,0.0,,,,490.057,7322.0,7322.0,0.0,0.0,0.0,26885.896,401727.0,401727.0,12.047,180.0,180.0
2011-01-01,0.0,0.0,0.0,,,,592.405,8161.0,8161.0,0.0,0.0,0.0,42720.595,588553.0,588553.0,0.0,0.0,0.0
2011-02-01,0.0,0.0,0.0,,,,248.405,3190.0,3190.0,0.0,0.0,0.0,13789.595,177064.0,177064.0,0.0,0.0,0.0
2011-03-01,0.0,0.0,0.0,,,,449.716,7776.0,7776.0,0.0,0.0,0.0,6809.284,117743.0,117743.0,0.0,0.0,0.0
2011-04-01,0.0,0.0,0.0,,,,178.339,1797.0,1797.0,0.0,0.0,0.0,1439.661,14505.0,14505.0,0.0,0.0,0.0
2011-05-01,0.0,0.0,0.0,,,,120.157,2180.0,2180.0,0.0,0.0,0.0,7558.843,137130.0,137130.0,0.0,0.0,0.0
2011-06-01,0.0,0.0,0.0,,,,543.155,7946.0,7946.0,0.0,0.0,0.0,27582.845,403517.0,403517.0,0.0,0.0,0.0
2011-07-01,0.0,0.0,0.0,,,,909.885,13236.0,13236.0,0.0,0.0,0.0,39186.115,570050.0,570050.0,0.0,0.0,0.0
2011-08-01,0.0,0.0,0.0,,,,380.365,6352.0,6352.0,0.0,0.0,0.0,15200.635,253864.0,253864.0,0.0,0.0,0.0
2011-09-01,0.0,0.0,0.0,,,,198.383,3019.0,3019.0,0.0,0.0,0.0,5566.617,84699.0,84699.0,0.0,0.0,0.0
2011-10-01,0.0,0.0,0.0,,,,-752.0,53.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-11-01,0.0,0.0,0.0,,,,142.852,3775.0,3775.0,0.0,0.0,0.0,1034.148,27330.0,27330.0,0.0,0.0,0.0
2011-12-01,0.0,0.0,0.0,,,,238.391,5926.0,5926.0,0.0,0.0,0.0,2264.41,56289.0,56289.0,1.199,30.0,30.0
2012-01-01,0.0,0.0,0.0,,,,391.911,9081.0,9081.0,0.0,0.0,0.0,2372.089,54967.0,54967.0,0.0,0.0,0.0
2012-02-01,0.0,0.0,0.0,,,,277.117,4957.0,4957.0,0.0,0.0,0.0,1431.883,25616.0,25616.0,0.0,0.0,0.0
2012-03-01,0.0,0.0,0.0,,,,-603.0,673.0,673.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-04-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-05-01,0.0,0.0,0.0,,,,-348.0,561.0,561.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-06-01,0.0,0.0,0.0,,,,-8.038,0.0,0.0,0.0,0.0,0.0,-303.959,0.0,0.0,-0.003,0.0,0.0
2012-07-01,0.0,0.0,0.0,,,,1013.43,19746.0,19746.0,0.0,0.0,0.0,9489.57,184897.0,184897.0,0.0,0.0,0.0
2012-08-01,0.0,0.0,0.0,,,,1.823,1224.0,1224.0,0.0,0.0,0.0,13.177,8846.0,8846.0,0.0,0.0,0.0
2012-09-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
