measured_on,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed",Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,"Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed",Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed"
2008-12-01,29238.343,422023.0,422023.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,854.657,12336.0,12336.0
2009-01-01,35271.297,261663.0,261663.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,654.703,4857.0,4857.0
2009-02-01,11330.485,173413.0,173413.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,159.515,2441.0,2441.0
2009-03-01,10125.919,163386.0,163386.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,283.081,4568.0,4568.0
2009-04-01,9175.37,139940.0,139940.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,121.63,1855.0,1855.0
2009-05-01,6193.2570000000005,98805.0,98805.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1605.7430000000002,25618.0,25618.0
2009-06-01,17527.028,254265.0,254265.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,3218.972,46698.0,46698.0
2009-07-01,25971.106,297053.0,297053.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,858.894,9824.0,9824.0
2009-08-01,16268.785,247567.0,247567.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,169.215,2575.0,2575.0
2009-09-01,6698.504,111652.0,111652.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,49.496,825.0,825.0
2009-10-01,5798.126,102889.0,102889.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,117.87400000000001,2092.0,2092.0
2009-11-01,5445.04,98311.0,98311.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,175.96,3177.0,3177.0
2009-12-01,8747.045,149636.0,149636.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,133.955,2292.0,2292.0
2010-01-01,8450.918,142661.0,142661.0,,,,0.0,0.0,0.0,,,,45.082,761.0,761.0
2010-02-01,8483.989,140478.0,140478.0,,,,0.0,0.0,0.0,,,,211.01100000000002,3494.0,3494.0
2010-03-01,3099.759,60809.0,60809.0,,,,0.0,0.0,0.0,,,,218.241,4281.0,4281.0
2010-04-01,5619.651,103490.0,103490.0,,,,0.0,0.0,0.0,,,,416.34900000000005,7667.0,7667.0
2010-05-01,9363.363000000001,161104.0,161104.0,,,,0.0,0.0,0.0,,,,117.637,2024.0,2024.0
2010-06-01,18036.411,282401.0,282401.0,,,,0.0,0.0,0.0,,,,669.589,10484.0,10484.0
2010-07-01,16314.159,259059.0,259059.0,,,,0.0,0.0,0.0,,,,6347.841,100800.0,100800.0
2010-08-01,13317.288,208603.0,208603.0,,,,0.0,0.0,0.0,,,,5421.712,84926.0,84926.0
2010-09-01,5340.2880000000005,95101.0,95101.0,,,,0.0,0.0,0.0,,,,545.712,9718.0,9718.0
2010-10-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2010-11-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2010-12-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2011-01-01,2315.493,44277.0,44277.0,,,,0.0,0.0,0.0,,,,1021.507,19533.0,19533.0
2011-02-01,-450.861,0.0,0.0,,,,0.0,0.0,0.0,,,,-71.139,0.0,0.0
2011-03-01,-440.496,0.0,0.0,,,,0.0,0.0,0.0,,,,-69.504,0.0,0.0
2011-04-01,658.254,16817.0,16817.0,,,,0.0,0.0,0.0,,,,268.746,6866.0,6866.0
2011-05-01,1556.579,34518.0,34518.0,,,,0.0,0.0,0.0,,,,203.421,4511.0,4511.0
2011-06-01,25871.3,393767.0,393767.0,,,,0.0,0.0,0.0,,,,1303.7,19843.0,19843.0
2011-07-01,34090.308,502919.0,502919.0,,,,0.0,0.0,0.0,,,,17.692,261.0,261.0
2011-08-01,28395.195,431803.0,431803.0,,,,0.0,0.0,0.0,,,,163.805,2491.0,2491.0
2011-09-01,9446.067,161858.0,161858.0,,,,0.0,0.0,0.0,,,,217.933,3734.0,3734.0
2011-10-01,14279.733,222969.0,222969.0,,,,0.0,0.0,0.0,,,,296.267,4626.0,4626.0
2011-11-01,9043.834,145458.0,145458.0,,,,0.0,0.0,0.0,,,,130.166,2094.0,2094.0
2011-12-01,8470.74,151802.0,151802.0,,,,0.0,0.0,0.0,,,,210.26,3768.0,3768.0
2012-01-01,7510.194,128747.0,128747.0,,,,,,,,,,48.806,837.0,837.0
2012-02-01,4971.341,93154.0,93154.0,,,,,,,,,,93.659,1755.0,1755.0
2012-03-01,5171.093,99861.0,99861.0,,,,,,,,,,219.907,4247.0,4247.0
2012-04-01,5830.766,101108.0,101108.0,,,,,,,,,,426.234,7391.0,7391.0
2012-05-01,11761.435,196754.0,196754.0,,,,,,,,,,210.565,3522.0,3522.0
2012-06-01,12710.216,224433.0,224433.0,,,,,,,,,,132.784,2345.0,2345.0
2012-07-01,24905.727,390058.0,390058.0,,,,,,,,,,53.273,834.0,834.0
2012-08-01,16400.964,263080.0,263080.0,,,,,,,,,,101.036,1621.0,1621.0
2012-09-01,8807.354,150584.0,150584.0,,,,,,,,,,20.646,353.0,353.0
2012-10-01,2778.733,55761.0,55761.0,,,,,,,,,,36.267,728.0,728.0
2012-11-01,5203.091,100863.0,100863.0,,,,,,,,,,156.909,3042.0,3042.0
2012-12-01,5189.043,101515.0,101515.0,,,,0.0,0.0,0.0,,,,11.957,234.0,234.0
2013-01-01,7541.894,138607.0,138607.0,,,,0.0,0.0,0.0,,,,119.106,2189.0,2189.0
2013-02-01,14465.429,257763.0,257763.0,,,,0.0,0.0,0.0,,,,364.571,6496.0,6496.0
2013-03-01,10084.968,180860.0,180860.0,,,,0.0,0.0,0.0,,,,235.032,4215.0,4215.0
2013-04-01,5009.41,91246.0,91246.0,,,,0.0,0.0,0.0,,,,19.59,357.0,357.0
2013-05-01,5147.919,97382.0,97382.0,,,,0.0,0.0,0.0,,,,6.081,115.0,115.0
2013-06-01,5755.642,105316.0,105316.0,,,,0.0,0.0,0.0,,,,70.358,1287.0,1287.0
2013-07-01,9970.276,166028.0,166028.0,,,,0.0,0.0,0.0,,,,72.724,1211.0,1211.0
2013-08-01,7910.965,139679.0,139679.0,,,,0.0,0.0,0.0,,,,82.035,1448.0,1448.0
2013-09-01,7945.159,143494.0,143494.0,,,,0.0,0.0,0.0,,,,90.841,1641.0,1641.0
2013-10-01,4638.609,90293.0,90293.0,,,,0.0,0.0,0.0,,,,3.391,66.0,66.0
2013-11-01,273.723,13140.0,13140.0,,,,0.0,0.0,0.0,,,,113.277,5438.0,5438.0
2013-12-01,5387.02,105266.0,105266.0,,,,0.0,0.0,0.0,,,,7.98,156.0,156.0
2014-01-01,8066.195,141478.0,141478.0,,,,0.0,0.0,0.0,,,,89.805,1575.0,1575.0
2014-02-01,14515.982,216367.0,216367.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,200.018,2981.0,2981.0
2014-03-01,6066.136,95615.0,95615.0,,,,0.0,0.0,0.0,,,,107.864,1700.0,1700.0
2014-04-01,6572.156,100283.0,100283.0,,,,0.0,0.0,0.0,,,,94.844,1447.0,1447.0
2014-05-01,6444.333,101424.0,101424.0,,,,0.0,0.0,0.0,,,,111.667,1757.0,1757.0
2014-06-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2014-07-01,4304.33,71389.0,71389.0,,,,0.0,0.0,0.0,,,,152.67,2532.0,2532.0
2014-08-01,2416.419,43359.0,43359.0,,,,0.0,0.0,0.0,,,,57.581,1033.0,1033.0
2014-09-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2014-10-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2014-11-01,2096.39,39928.0,39928.0,,,,0.0,0.0,0.0,,,,82.61,1573.0,1573.0
2014-12-01,1013.362,20701.0,20701.0,,,,0.0,0.0,0.0,,,,94.638,1933.0,1933.0
2015-01-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2015-02-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2015-03-01,9975.925,138044.0,138044.0,,,,0.0,0.0,0.0,,,,2384.075,32990.0,32990.0
2015-04-01,12564.257,184837.0,184837.0,,,,0.0,0.0,0.0,,,,1576.743,23196.0,23196.0
2015-05-01,7177.977,110361.0,110361.0,,,,0.0,0.0,0.0,,,,496.023,7626.0,7626.0
2015-06-01,10373.612,154384.0,154384.0,,,,0.0,0.0,0.0,,,,114.388,1702.0,1702.0
2015-07-01,21611.353,301279.0,301279.0,,,,0.0,0.0,0.0,,,,2911.647,40591.0,40591.0
2015-08-01,24760.559,325248.0,325248.0,,,,0.0,0.0,0.0,,,,1041.441,13680.0,13680.0
2015-09-01,1721.638,40248.0,40248.0,,,,0.0,0.0,0.0,,,,12.362,289.0,289.0
2015-10-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2015-11-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,15.0,8009.0,8009.0
2015-12-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2016-01-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,492.0,7804.0,7804.0
2016-02-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,2392.0,31692.0,31692.0
2016-03-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2016-04-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,2623.0,38110.0,38110.0
2016-05-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2016-06-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,3428.0,52658.0,52658.0
2016-07-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,2387.0,33595.0,33595.0
2016-08-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,2788.0,38350.0,38350.0
2016-09-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,2733.0,35793.0,35793.0
2016-10-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,2268.0,31326.0,31326.0
2016-11-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,976.0,12934.0,12934.0
2016-12-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,1003.0,13320.0,13320.0
2017-01-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2017-02-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,596.346,8587.0,8587.0
2017-03-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,438.0,7894.0,7894.0
2017-04-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,178.0,3039.0,3039.0
2017-05-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,423.0,7977.0,7977.0
2017-06-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,998.0,13080.0,13080.0
2017-07-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,2768.0,38854.0,38854.0
2017-08-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,294.0,4125.0,4125.0
2017-09-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2017-10-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,137.0,2886.0,2886.0
2017-11-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,246.0,3677.0,3677.0
2017-12-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,80.0,3547.0,3547.0
2018-01-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,3536.0,46381.0,46381.0
2018-02-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2018-03-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2018-04-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,313.0,5761.0,5761.0
2018-05-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,4284.0,63727.0,63727.0
2018-06-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,1627.0,23982.0,23982.0
2018-07-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,3522.0,54392.0,54392.0
2018-08-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,825.0,12584.0,12584.0
2018-09-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,1358.0,18901.0,18901.0
2018-10-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,2281.0,32252.0,32252.0
2018-11-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,1683.0,23707.0,23707.0
2018-12-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2019-01-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,325.0,4999.0,4999.0
2019-02-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2019-03-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,1829.0,25793.0,25793.0
2019-04-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,1672.0,23188.0,23188.0
2019-05-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,3713.0,50086.0,50086.0
2019-06-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,2111.0,29478.0,29478.0
2019-07-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,3369.0,45096.0,45096.0
2019-08-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,3084.0,41688.0,41688.0
2019-09-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,3022.0,40239.0,40239.0
2019-10-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,1301.0,17596.0,17596.0
2019-11-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,377.0,5512.0,5512.0
2019-12-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2020-01-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2020-02-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,187.0,2863.0,2863.0
2020-03-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,192.0,2903.0,2903.0
2020-04-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,1131.0,15692.0,15692.0
2020-05-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,183.0,2666.0,2666.0
