measured_on,"Blast Furnace Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Generation","Blast Furnace Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Quantity Consumed For Electricity","Blast Furnace Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed"
2009-09-01,17741.438000000002,487516.0,487516.0,8849.172,243166.0,243166.0
2009-10-01,17446.227,555791.0,555791.0,4831.763,153927.0,153927.0
2009-11-01,12500.771,407461.0,407461.0,5024.219,163764.0,163764.0
2009-12-01,17915.919,477168.0,477168.0,5790.881,154233.0,154233.0
2010-01-01,14343.451000000001,420642.0,420642.0,6916.039000000001,202823.0,202823.0
2010-02-01,4348.962,37341.0,37341.0,16910.528,145199.0,145199.0
2010-03-01,21889.577,590595.0,590595.0,5136.563,138588.0,138588.0
2010-04-01,14287.726,646236.0,646236.0,3666.0040000000004,165814.0,165814.0
2010-05-01,23733.871,577210.0,577210.0,5922.909000000001,144046.0,144046.0
2010-06-01,21868.259,585163.0,585163.0,6230.701,166724.0,166724.0
2010-07-01,22440.165,632260.0,632260.0,6226.245,175427.0,175427.0
2010-08-01,22756.417,648637.0,648637.0,5934.243,169147.0,169147.0
2010-09-01,20088.708,538495.0,538495.0,7541.742,202163.0,202163.0
2010-10-01,13533.267,435777.0,435777.0,7308.153,235326.0,235326.0
2010-11-01,17498.857,490185.0,490185.0,5613.3330000000005,157243.0,157243.0
2010-12-01,19866.042999999998,582924.0,582924.0,5837.987,171302.0,171302.0
2011-01-01,20347.672,553002.0,553002.0,6525.208,177340.0,177340.0
2011-02-01,19842.033,527214.0,527214.0,5555.477,147612.0,147612.0
2011-03-01,3828.376,140159.0,140159.0,5083.014,186092.0,186092.0
2011-04-01,20044.537,589242.0,589242.0,6503.393,191178.0,191178.0
2011-05-01,22225.877,659245.0,659245.0,6138.863,182086.0,182086.0
2011-06-01,20582.51,612349.0,612349.0,6949.0,206739.0,206739.0
2011-07-01,12992.575,386495.0,386495.0,12388.445,368524.0,368524.0
2011-08-01,18683.242,550576.0,550576.0,7825.888,230621.0,230621.0
2011-09-01,19396.934,553410.0,553410.0,7718.446,220214.0,220214.0
2011-10-01,21120.424,598649.0,598649.0,6283.046,178090.0,178090.0
2011-11-01,21107.773,647241.0,647241.0,5143.337,157713.0,157713.0
2011-12-01,22595.871,657007.0,657007.0,5812.519,169007.0,169007.0
2012-01-01,23065.6,657393.0,657393.0,5975.23,170300.0,170300.0
2012-02-01,24437.378,663985.0,663985.0,5542.412,150592.0,150592.0
2012-03-01,26301.773,755035.0,755035.0,5355.147,153728.0,153728.0
2012-04-01,25256.068,674339.0,674339.0,6645.932,177447.0,177447.0
2012-05-01,23684.719,630296.0,630296.0,8831.621,235026.0,235026.0
2012-06-01,-2.289,651319.0,651319.0,-0.711,202418.0,202418.0
2012-07-01,0.0,665729.0,665729.0,0.0,232632.0,232632.0
2012-08-01,0.0,673678.0,673678.0,0.0,209371.0,209371.0
2012-09-01,0.0,678133.0,678133.0,0.0,168612.0,168612.0
2012-10-01,0.0,674238.0,674238.0,0.0,170822.0,170822.0
2012-11-01,0.0,595186.0,595186.0,0.0,172973.0,172973.0
2012-12-01,0.0,643880.0,643880.0,0.0,192792.0,192792.0
2013-01-01,17934.33,556770.0,556770.0,7389.46,229405.0,229405.0
2013-02-01,16643.485,489768.0,489768.0,8153.595,239936.0,239936.0
2013-03-01,17715.591,535283.0,535283.0,7723.629,233372.0,233372.0
2013-04-01,14894.985,436946.0,436946.0,8079.465,237012.0,237012.0
2013-05-01,23080.428,630263.0,630263.0,5672.312,154895.0,154895.0
2013-06-01,19693.058,557948.0,557948.0,7918.962,224362.0,224362.0
2013-07-01,24475.957,698963.0,698963.0,6458.313,184431.0,184431.0
2013-08-01,21283.056,660433.0,660433.0,6230.994,193354.0,193354.0
2013-09-01,21445.301,600945.0,600945.0,7323.929,205233.0,205233.0
2013-10-01,17722.807,496697.0,496697.0,6503.913,182278.0,182278.0
2013-11-01,18019.961,493947.0,493947.0,5546.189,152027.0,152027.0
2013-12-01,0.0,0.0,0.0,604.31,103164.0,103164.0
2014-01-01,10236.556,385809.0,385809.0,6358.204,239636.0,239636.0
2014-02-01,13831.265,499345.0,499345.0,4026.435,145365.0,145365.0
2014-03-01,9607.321,364140.0,364140.0,4450.889,168699.0,168699.0
2014-04-01,19600.339,637033.0,637033.0,3908.581,127033.0,127033.0
2014-05-01,17977.316,619825.0,619825.0,4031.014,138982.0,138982.0
2014-06-01,18262.927,586633.0,586633.0,6228.073,200055.0,200055.0
2014-07-01,20788.986,658552.0,658552.0,5991.744,189806.0,189806.0
2014-08-01,0.0,716608.0,716608.0,0.0,145566.0,145566.0
2014-09-01,0.0,540005.0,540005.0,0.0,208371.0,208371.0
2014-10-01,0.0,455149.0,455149.0,0.0,198100.0,198100.0
2014-11-01,15622.332,603595.0,603595.0,4077.398,157537.0,157537.0
2014-12-01,15279.838,483785.0,483785.0,6330.792,200443.0,200443.0
2015-01-01,0.0,381441.0,381441.0,0.0,208208.0,208208.0
2015-02-01,0.0,256802.0,256802.0,0.0,180910.0,180910.0
2015-03-01,0.0,0.0,0.0,0.0,189175.0,189175.0
2015-04-01,0.0,0.0,0.0,0.0,96198.0,96198.0
2015-05-01,0.0,0.0,0.0,0.0,105676.0,105676.0
2015-06-01,0.0,370266.0,370266.0,0.0,205410.0,205410.0
2015-08-01,2696.417,188264.0,188264.0,2241.853,156526.0,156526.0
2015-09-01,0.0,0.0,0.0,0.0,68417.0,68417.0
2015-10-01,0.0,0.0,0.0,0.0,64922.0,64922.0
2015-11-01,0.0,0.0,0.0,0.0,59955.0,59955.0
2015-12-01,0.0,0.0,0.0,0.0,59847.0,59847.0
2016-01-01,0.0,0.0,0.0,0.0,58438.0,58438.0
2016-02-01,0.0,0.0,0.0,0.0,58305.0,58305.0
2016-03-01,0.0,0.0,0.0,0.0,39731.0,39731.0
2016-04-01,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-01,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-01,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-01,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-01,0.0,0.0,0.0,0.0,0.0,0.0
2016-09-01,0.0,0.0,0.0,0.0,0.0,0.0
2016-10-01,0.0,0.0,0.0,0.0,0.0,0.0
2016-11-01,0.0,0.0,0.0,0.0,0.0,0.0
2016-12-01,0.0,0.0,0.0,0.0,0.0,0.0
