measured_on,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,Jet Fuel - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Generation,Jet Fuel - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Quantity Consumed For Electricity,Jet Fuel - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Total Fuel Consumed,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed
2017-02-01,0.0,0.0,0.0,0.0,0.0,0.0,37.857,681.0,681.0
2017-03-01,0.0,0.0,0.0,0.0,0.0,0.0,54.214,976.0,976.0
2017-04-01,0.0,0.0,0.0,0.0,0.0,0.0,24.862,448.0,448.0
2017-05-01,0.0,0.0,0.0,0.0,0.0,0.0,23.74,428.0,428.0
2017-06-01,0.0,0.0,0.0,0.0,0.0,0.0,44.7,805.0,805.0
2017-07-01,0.0,0.0,0.0,0.0,0.0,0.0,61.302,1104.0,1104.0
2017-08-01,0.0,0.0,0.0,0.0,0.0,0.0,53.516,963.0,963.0
2017-09-01,0.0,0.0,0.0,0.0,0.0,0.0,44.124,794.0,794.0
2017-10-01,0.0,0.0,0.0,0.0,0.0,0.0,43.517,784.0,784.0
2017-11-01,0.0,0.0,0.0,0.0,0.0,0.0,44.706,805.0,805.0
2017-12-01,0.0,0.0,0.0,0.0,0.0,0.0,47.946,863.0,863.0
2018-01-01,0.0,0.0,0.0,0.0,0.0,0.0,3.12,122.0,122.0
2018-02-01,0.0,0.0,0.0,0.0,0.0,0.0,3.337,131.0,131.0
2018-03-01,0.0,0.0,0.0,0.0,0.0,0.0,3.432,134.0,134.0
2018-04-01,0.0,0.0,0.0,0.0,0.0,0.0,1.678,66.0,66.0
2018-05-01,0.0,0.0,0.0,0.0,0.0,0.0,2.271,88.0,88.0
2018-06-01,0.0,0.0,0.0,0.0,0.0,0.0,2.775,108.0,108.0
2018-07-01,0.0,0.0,0.0,0.0,0.0,0.0,4.137,162.0,162.0
2018-08-01,0.0,0.0,0.0,0.0,0.0,0.0,4.23,165.0,165.0
2018-09-01,0.0,0.0,0.0,0.0,0.0,0.0,3.253,128.0,128.0
2018-10-01,0.0,0.0,0.0,0.0,0.0,0.0,3.078,120.0,120.0
2018-11-01,0.0,0.0,0.0,0.0,0.0,0.0,2.442,96.0,96.0
2018-12-01,0.0,0.0,0.0,0.0,0.0,0.0,3.247,126.0,126.0
2019-01-01,0.0,0.0,0.0,0.0,0.0,0.0,1.857,35.0,35.0
2019-02-01,0.0,0.0,0.0,0.0,0.0,0.0,1.733,32.0,32.0
2019-03-01,0.0,0.0,0.0,0.0,0.0,0.0,1.876,35.0,35.0
2019-04-01,0.0,0.0,0.0,0.0,0.0,0.0,1.924,35.0,35.0
2019-05-01,0.0,0.0,0.0,0.0,0.0,0.0,1.488,28.0,28.0
2019-06-01,0.0,0.0,0.0,0.0,0.0,0.0,1.935,37.0,37.0
2019-07-01,0.0,0.0,0.0,0.0,0.0,0.0,2.209,41.0,41.0
2019-08-01,0.0,0.0,0.0,0.0,0.0,0.0,2.156,40.0,40.0
2019-09-01,0.0,0.0,0.0,0.0,0.0,0.0,1.877,35.0,35.0
2019-10-01,0.0,0.0,0.0,0.0,0.0,0.0,2.014,38.0,38.0
2019-11-01,0.0,0.0,0.0,0.0,0.0,0.0,1.806,33.0,33.0
2019-12-01,0.0,0.0,0.0,0.0,0.0,0.0,2.125,40.0,40.0
2020-01-01,0.0,0.0,0.0,0.0,0.0,0.0,2.48,49.0,49.0
2020-02-01,0.0,0.0,0.0,0.0,0.0,0.0,2.251,44.0,44.0
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,2.38,47.0,47.0
2020-04-01,0.0,0.0,0.0,0.0,0.0,0.0,2.037,40.0,40.0
2020-05-01,0.0,0.0,0.0,0.0,0.0,0.0,2.006,40.0,40.0
2020-06-01,0.0,0.0,0.0,0.0,0.0,0.0,2.327,46.0,46.0
2020-07-01,0.0,0.0,0.0,0.0,0.0,0.0,2.297,45.0,45.0
2020-08-01,0.0,0.0,0.0,0.0,0.0,0.0,2.83,56.0,56.0
2020-09-01,0.0,0.0,0.0,0.0,0.0,0.0,1.791,36.0,36.0
2020-10-01,0.0,0.0,0.0,0.0,0.0,0.0,2.094,41.0,41.0
2020-11-01,0.0,0.0,0.0,0.0,0.0,0.0,1.57,32.0,32.0
2020-12-01,0.0,0.0,0.0,0.0,0.0,0.0,1.937,39.0,39.0
2021-01-01,0.0,0.0,0.0,0.0,0.0,0.0,1.142,32.0,32.0
2021-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.766,23.0,23.0
2021-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.929,28.0,28.0
2021-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.956,28.0,28.0
2021-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.786,24.0,24.0
2021-06-01,0.0,0.0,0.0,0.0,0.0,0.0,1.155,34.0,34.0
2021-07-01,0.0,0.0,0.0,0.0,0.0,0.0,1.236,36.0,36.0
2021-08-01,0.0,0.0,0.0,0.0,0.0,0.0,1.237,36.0,36.0
2021-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.887,26.0,26.0
2021-10-01,0.0,0.0,0.0,0.0,0.0,0.0,1.038,31.0,31.0
2021-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.894,27.0,27.0
2021-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.974,29.0,29.0
2022-01-01,0.0,0.0,0.0,0.0,0.0,0.0,3.553,49.0,49.0
2022-02-01,0.0,0.0,0.0,0.0,0.0,0.0,3.057,44.0,44.0
2022-03-01,0.0,0.0,0.0,0.0,0.0,0.0,2.473,35.0,35.0
2022-04-01,0.0,0.0,0.0,0.0,0.0,0.0,2.817,41.0,41.0
2022-05-01,0.0,0.0,0.0,0.0,0.0,0.0,2.681,38.0,38.0
2022-06-01,0.0,0.0,0.0,0.0,0.0,0.0,3.563,51.0,51.0
2022-07-01,0.0,0.0,0.0,0.0,0.0,0.0,3.957,57.0,57.0
2022-08-01,0.0,0.0,0.0,0.0,0.0,0.0,3.827,55.0,55.0
2022-09-01,0.0,0.0,0.0,0.0,0.0,0.0,2.54,36.0,36.0
2022-10-01,0.0,0.0,0.0,0.0,0.0,0.0,2.547,36.0,36.0
2022-11-01,0.0,0.0,0.0,0.0,0.0,0.0,1.811,26.0,26.0
2022-12-01,0.0,0.0,0.0,0.0,0.0,0.0,3.174,45.0,45.0
2023-01-01,0.0,0.0,0.0,0.0,0.0,0.0,6.312,103.0,103.0
2023-02-01,0.0,0.0,0.0,0.0,0.0,0.0,5.622,92.0,92.0
2023-03-01,0.0,0.0,0.0,0.0,0.0,0.0,5.598,92.0,92.0
2023-04-01,0.0,0.0,0.0,0.0,0.0,0.0,4.334,71.0,71.0
2023-05-01,0.0,0.0,0.0,0.0,0.0,0.0,4.52,75.0,75.0
2023-06-01,0.0,0.0,0.0,0.0,0.0,0.0,5.482,90.0,90.0
2023-07-01,0.0,0.0,0.0,0.0,0.0,0.0,6.244,103.0,103.0
2023-08-01,0.0,0.0,0.0,0.0,0.0,0.0,6.095,101.0,101.0
2023-09-01,0.0,0.0,0.0,0.0,0.0,0.0,5.006,83.0,83.0
2023-10-01,0.0,0.0,0.0,0.0,0.0,0.0,4.717,78.0,78.0
2023-11-01,0.0,0.0,0.0,0.0,0.0,0.0,5.199,86.0,86.0
2023-12-01,0.0,0.0,0.0,0.0,0.0,0.0,5.871,97.0,97.0
2024-01-01,0.0,0.0,0.0,0.0,0.0,0.0,7.495,147.0,147.0
2024-02-01,0.0,0.0,0.0,0.0,0.0,0.0,6.248,123.0,123.0
2024-03-01,0.0,0.0,0.0,0.0,0.0,0.0,7.017,138.0,138.0
2024-04-01,0.0,0.0,0.0,0.0,0.0,0.0,4.55,89.0,89.0
2024-05-01,0.0,0.0,0.0,0.0,0.0,0.0,6.874,135.0,135.0
2024-06-01,0.0,0.0,0.0,0.0,0.0,0.0,7.848,154.0,154.0
2024-07-01,0.0,0.0,0.0,0.0,0.0,0.0,8.325,163.0,163.0
2024-08-01,0.0,0.0,0.0,0.0,0.0,0.0,8.0,157.0,157.0
2024-09-01,0.0,0.0,0.0,0.0,0.0,0.0,6.879,135.0,135.0
2024-10-01,0.0,0.0,0.0,0.0,0.0,0.0,5.279,104.0,104.0
2024-11-01,0.0,0.0,0.0,0.0,0.0,0.0,6.258,123.0,123.0
2024-12-01,0.0,0.0,0.0,0.0,0.0,0.0,7.227,142.0,142.0
