measured_on,Other Biomass Gas Generation,Other Biomass Gas Quantity Consumed For Electricity,Other Biomass Gas Total Fuel Consumed,Other Biomass Solids Generation,Other Biomass Solids Quantity Consumed For Electricity,Other Biomass Solids Total Fuel Consumed
2019-07-01,150.469,6722.0,6722.0,,,
2019-08-01,146.575,6548.0,6548.0,,,
2019-09-01,137.763,6154.0,6154.0,,,
2019-10-01,143.002,6389.0,6389.0,,,
2019-11-01,140.81,6291.0,6291.0,,,
2019-12-01,156.245,6980.0,6980.0,,,
2020-01-01,4.815,1825.0,1825.0,,,
2020-02-01,4.312,1635.0,1635.0,,,
2020-03-01,4.906,1860.0,1860.0,,,
2020-04-01,4.713,1787.0,1787.0,,,
2020-05-01,4.635,1757.0,1757.0,,,
2020-06-01,4.333,1643.0,1643.0,,,
2020-07-01,4.241,1608.0,1608.0,,,
2020-08-01,4.197,1592.0,1592.0,,,
2020-09-01,4.198,1592.0,1592.0,,,
2020-10-01,4.563,1730.0,1730.0,,,
2020-11-01,4.321,1639.0,1639.0,,,
2020-12-01,4.766,1807.0,1807.0,,,
2021-01-01,0.0,0.0,0.0,,,
