measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Black Liquor-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Black Liquor-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Black Liquor-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2004-09-01,6572.8091,34826.51,566552.4,5338.9968499999995,28289.07,460202.24,101.08405,535.6,8713.08,,,
2004-10-01,7315.1809,38760.02,613103.25,6333.66891,33559.41,530840.32,108.85519,576.78,9123.42,,,
2004-11-01,6658.86263,35282.47,524728.04,6738.48945,35704.38,531002.75,147.40693,781.05,11615.88,,,
2004-12-01,7164.42475,37961.23,573724.37,6999.60377,37087.92,560525.57,182.39848,966.45,14606.4,,,
2005-01-01,6857.43977,36334.65,632077.42,5334.25426,28263.94,491679.37,189.38497,1003.47,17456.36,,,
2005-02-01,6009.63068,31842.47,552234.8,4815.41047,25514.81,442495.95,46.35285,245.6,4259.44,,,
2005-03-01,6506.46881,34475.0,598820.3,5132.53237,27195.1,472370.6,66.12982,350.39,6086.23,,,
2005-04-01,5563.48013,29478.51,504253.62,5132.80774,27196.56,465219.04,55.157129999999995,292.25,4999.24,,,
2005-05-01,6505.02743,34467.37,599555.06,5055.24488,26785.59,465931.57,56.08969,297.2,5169.67,,,
2005-06-01,6707.8730000000005,35542.16,617966.44,5236.87434,27747.96,482449.89,49.080659999999995,260.06,4521.58,,,
2005-07-01,7130.97731,37784.0,658427.9,5445.63357,28854.09,502814.26,142.86812,757.0,13191.51,,,
2005-08-01,7023.93658,37216.84,648386.96,5379.25038,28502.35,496564.25,172.96904,916.49,15966.95,,,
2005-09-01,6608.73901,35016.89,608388.82,5205.0693,27579.45,479169.47,143.19869,758.75,13182.62,,,
2005-10-01,6532.52724,34613.08,599213.94,5331.67204,28250.26,489062.21,60.59872,321.09,5558.58,,,
2005-11-01,6468.6841,34274.8,594757.54,5153.94037,27308.54,473874.57,60.58752,321.03,5570.67,,,
2005-12-01,6955.55186,36854.5,643349.46,5217.06095,27642.98,482548.82,135.84819,719.8,12565.19,,,
2006-01-01,7115.57067,37702.37,614780.46,6579.48427,34861.88,568462.96,143.45607,760.11,12394.51,,,
2006-02-01,6603.41359,34988.67,573883.38,5666.40901,30023.88,492451.05,172.68538999999998,914.99,15007.58,,,
2006-03-01,6496.33347,34421.3,561024.07,6059.14387,32104.82,523268.33,146.82366,777.96,12679.71,,,
2006-04-01,5902.34015,31273.98,505806.84,6103.9636,32342.3,523085.16,113.94125,603.73,9764.31,,,
2006-05-01,6577.26052,34850.1,569218.36,6003.59035,31810.46,519571.0,199.36013,1056.32,17253.3,,,
2006-06-01,7220.47338,38258.21,627981.48,6130.4388,32482.58,533178.62,186.65382,989.0,16233.72,,,
2006-07-01,7621.65265,40383.89,661280.76,6689.21215,35443.28,580379.02,197.59521,1046.97,17144.04,,,
2006-08-01,7707.53614,40838.95,671085.32,6535.93811,34631.15,569075.78,309.79675,1641.48,26973.61,,,
2006-09-01,6637.0523,35166.91,572432.36,6352.72189,33660.36,547909.44,204.00381,1080.93,17594.92,,,
2006-10-01,5658.34271,29981.15,483359.18,6115.91894,32405.65,522447.25,109.86135,582.11,9384.81,,,
2006-11-01,5593.78047,29639.06,477492.12,6087.20316,32253.49,519611.3,88.97837,471.46,7595.31,,,
2006-12-01,6733.95278,35680.34,580432.86,6462.36037,34241.29,557022.96,166.82283999999999,883.92,14379.29,,,
2007-01-01,5576.936000000001,28375.0,679700.0,4758.064,24205.0,579898.0,0.0,0.0,0.0,,,
2007-02-01,4700.91,23925.0,601300.0,4112.09,20919.0,525983.0,0.0,0.0,0.0,,,
2007-03-01,5251.927000000001,26725.0,606800.0,4432.073,22547.0,512075.0,0.0,0.0,0.0,,,
2007-04-01,4972.2660000000005,25300.0,590200.0,4727.734,24056.0,561174.0,0.0,0.0,0.0,,,
2007-05-01,5250.05,26725.0,552600.0,6083.95,30950.0,640373.0,0.0,0.0,0.0,,,
2007-06-01,5813.27,29575.0,723300.0,4807.73,24465.0,598188.0,0.0,0.0,0.0,,,
2007-07-01,5080.702,25850.0,540900.0,5810.298000000001,29562.0,618574.0,0.0,0.0,0.0,,,
2007-08-01,5572.534000000001,28350.0,538600.0,6409.466,32612.0,619492.0,0.0,0.0,0.0,,,
2007-09-01,3200.284,16275.0,312100.0,2799.7160000000003,14248.0,273036.0,0.0,0.0,0.0,,,
2007-10-01,6870.917,34950.0,588400.0,6634.0830000000005,33753.0,568118.0,0.0,0.0,0.0,,,
2007-11-01,6453.725,32850.0,616800.0,5935.275000000001,30194.0,567250.0,0.0,0.0,0.0,,,
2007-12-01,7053.602000000001,35900.0,679800.0,5718.398,29090.0,551118.0,0.0,0.0,0.0,,,
2008-01-01,5597.521000000001,28481.0,573556.0,5378.479,27367.0,551112.0,0.0,0.0,0.0,,,
2008-02-01,5244.862,26687.0,525120.0,4808.138,24465.0,481395.0,0.0,0.0,0.0,,,
2008-03-01,2542.091,12935.0,683488.0,2292.909,11667.0,616491.0,0.0,0.0,0.0,,,
2008-04-01,2683.902,13656.0,557990.0,2973.098,15128.0,618115.0,0.0,0.0,0.0,,,
2008-05-01,5652.8060000000005,28763.0,600196.0,5642.194,28709.0,599069.0,0.0,0.0,0.0,,,
2008-06-01,6601.926,33592.0,572774.0,5856.0740000000005,29797.0,508065.0,0.0,0.0,0.0,,,
2008-07-01,6337.063,32244.0,626390.0,6311.937,32117.0,623906.0,0.0,0.0,0.0,,,
2008-08-01,5955.027,30300.0,610529.0,6216.973,31633.0,637385.0,0.0,0.0,0.0,,,
2008-09-01,5629.088000000001,28642.0,470016.0,4495.912,22876.0,375398.0,0.0,0.0,0.0,,,
2008-10-01,4785.097000000001,24348.0,457900.0,6297.903,32045.0,602665.0,0.0,0.0,0.0,,,
2008-11-01,2089.65,10633.0,194834.0,6573.35,33447.0,612882.0,0.0,0.0,0.0,,,
2008-12-01,3475.377,17683.0,506000.0,4080.623,20763.0,594121.0,0.0,0.0,0.0,,,
2009-01-01,9532.76,48505.0,688156.0,8469.24,43093.0,611382.0,0.0,0.0,0.0,,,
2009-02-01,2741.21,13948.0,223171.0,2825.79,14378.0,230057.0,0.0,0.0,0.0,,,
2009-03-01,8113.659000000001,41284.0,600572.0,5351.341,27229.0,396106.0,0.0,0.0,0.0,,,
2009-04-01,7340.261,37349.0,561786.0,7600.7390000000005,38674.0,581721.0,0.0,0.0,0.0,,,
2009-05-01,5029.292,25590.0,428479.0,6720.7080000000005,34196.0,572582.0,0.0,0.0,0.0,,,
2009-06-01,5098.499,25942.0,425700.0,7014.501,35691.0,585677.0,0.0,0.0,0.0,,,
2009-07-01,3868.0170000000003,19681.0,336250.0,7029.983,35770.0,611122.0,0.0,0.0,0.0,,,
2009-08-01,3624.18,18441.0,330200.0,6680.82,33993.0,608691.0,0.0,0.0,0.0,,,
2009-09-01,3223.954,16404.0,259700.0,7772.046,39546.0,626064.0,0.0,0.0,0.0,,,
2009-10-01,4762.121,24231.0,389900.0,5199.879,26458.0,425742.0,0.0,0.0,0.0,,,
2009-11-01,4841.2080000000005,24633.0,397902.0,7439.792,37855.0,611481.0,0.0,0.0,0.0,,,
2009-12-01,5756.148,29289.0,443744.0,8456.852,43030.0,651942.0,0.0,0.0,0.0,,,
2010-01-01,7293.686000000001,37112.0,590000.0,7560.314,38469.0,611568.0,0.0,0.0,0.0,,,
2010-02-01,6016.286,30612.0,471474.0,7161.714,36440.0,561236.0,0.0,0.0,0.0,,,
2010-03-01,6137.839,31231.0,396800.0,5896.161,30001.0,381176.0,0.0,0.0,0.0,,,
2010-04-01,5763.541,29326.0,403005.0,8710.459,44321.0,609063.0,0.0,0.0,0.0,,,
2010-05-01,5359.086,27268.0,406368.0,8384.914,42664.0,635810.0,0.0,0.0,0.0,,,
2010-06-01,4910.267,24985.0,364956.0,4699.733,23913.0,349308.0,0.0,0.0,0.0,,,
2010-07-01,4780.28,24323.0,369974.0,7920.72,40302.0,613031.0,0.0,0.0,0.0,,,
2010-08-01,4747.972000000001,24159.0,366688.0,7596.028,38650.0,586644.0,0.0,0.0,0.0,,,
2010-09-01,3405.38,17327.0,246281.0,8820.62,44881.0,637918.0,0.0,0.0,0.0,,,
2010-10-01,4949.305,25183.0,387568.0,8129.695000000001,41366.0,636616.0,0.0,0.0,0.0,,,
2010-11-01,4297.892,21869.0,344022.0,6888.108,35048.0,551354.0,0.0,0.0,0.0,,,
2010-12-01,5867.218,29854.0,396701.0,9059.782000000001,46098.0,612560.0,0.0,0.0,0.0,,,
2011-01-01,7692.761,39142.0,535652.0,8552.239,43516.0,595498.0,0.0,0.0,0.0,,,
2011-02-01,6064.698,30859.0,417956.0,7814.302,39761.0,538532.0,0.0,0.0,0.0,,,
2011-03-01,3737.595,19018.0,258731.0,8850.405,45033.0,612659.0,0.0,0.0,0.0,,,
2011-04-01,2531.987,12883.0,216000.0,6577.013,33465.0,561075.0,0.0,0.0,0.0,,,
2011-05-01,2079.584,10581.0,206549.0,2804.416,14269.0,278541.0,0.0,0.0,0.0,,,
2011-06-01,1822.275,9272.0,144109.0,7552.725,38430.0,597283.0,0.0,0.0,0.0,,,
2011-07-01,2525.664,12851.0,211781.0,7260.336,36942.0,608790.0,0.0,0.0,0.0,,,
2011-08-01,2728.824,13885.0,240700.0,6751.176,34351.0,595498.0,0.0,0.0,0.0,,,
2011-09-01,2405.866,12242.0,212890.0,6723.134,34209.0,594915.0,0.0,0.0,0.0,,,
2011-10-01,2372.268,12071.0,211277.0,7084.732,36049.0,630974.0,0.0,0.0,0.0,,,
2011-11-01,2762.413,14056.0,241808.0,6408.587,32608.0,560976.0,0.0,0.0,0.0,,,
2011-12-01,2139.494,10886.0,210312.0,4009.506,20401.0,394134.0,0.0,0.0,0.0,,,
2012-01-01,1416.516,7208.0,161280.0,1569.484,7986.0,178696.0,0.0,0.0,0.0,,,
2012-02-01,3447.488,17542.0,289280.0,6589.512,33529.0,552928.0,0.0,0.0,0.0,,,
2012-03-01,1243.252,6326.0,129528.0,1753.748,8923.0,182714.0,0.0,0.0,0.0,,,
2012-04-01,3073.225,15637.0,241463.0,4993.775,25409.0,392361.0,0.0,0.0,0.0,,,
2012-05-01,2482.43,12631.0,207561.0,6962.57,35427.0,582155.0,0.0,0.0,0.0,,,
2012-06-01,2400.471,12214.0,189300.0,7348.529,37391.0,579502.0,0.0,0.0,0.0,,,
2012-07-01,2112.96,10751.0,185953.0,5580.04,28392.0,491077.0,0.0,0.0,0.0,,,
2012-08-01,980.033,4987.0,125299.0,1967.967,10013.0,251608.0,0.0,0.0,0.0,,,
2012-09-01,2218.31,11287.0,179600.0,7508.69,38206.0,607922.0,0.0,0.0,0.0,,,
2012-10-01,2547.979,12965.0,209459.0,7045.021,35847.0,579142.0,0.0,0.0,0.0,,,
2012-11-01,1453.968,7398.0,239072.0,3829.032,19483.0,629598.0,0.0,0.0,0.0,,,
2012-12-01,1555.986,7917.0,253400.0,3880.014,19742.0,631879.0,0.0,0.0,0.0,,,
2013-01-01,3979.535,20249.0,330904.0,6311.432,32114.0,524805.0,0.0,0.0,0.0,202.033,1028.0,16799.0
2013-02-01,3514.308,17882.0,306287.0,5894.363,29992.0,513720.0,0.0,0.0,0.0,74.329,378.0,6478.0
2013-03-01,3287.168,16726.0,282865.0,6953.557,35381.0,598362.0,0.0,0.0,0.0,284.275,1446.0,24462.0
2013-04-01,2594.329,13201.0,220226.0,4110.717,20916.0,348948.0,0.0,0.0,0.0,231.954,1180.0,19690.0
2013-05-01,3221.343,16391.0,264423.0,7405.448,37681.0,607873.0,0.0,0.0,0.0,92.209,469.0,7569.0
2013-06-01,2780.718,14149.0,233251.0,6851.797,34863.0,574740.0,0.0,0.0,0.0,170.485,867.0,14301.0
2013-07-01,2556.741,13009.0,232519.0,6590.389,33533.0,599354.0,0.0,0.0,0.0,107.87,549.0,9810.0
2013-08-01,2476.151,12599.0,204855.0,7808.884,39733.0,646040.0,0.0,0.0,0.0,12.965,66.0,1073.0
2013-09-01,2253.744,11468.0,177205.0,7887.371,40133.0,620161.0,0.0,0.0,0.0,59.885,305.0,4709.0
2013-10-01,2834.488,14422.0,247456.0,6992.987,35582.0,610502.0,0.0,0.0,0.0,150.525,766.0,13141.0
2013-11-01,3005.915,15295.0,261036.0,7067.67,35962.0,613763.0,0.0,0.0,0.0,87.415,445.0,7591.0
2013-12-01,2367.266,12045.0,183075.0,8071.134,41068.0,624191.0,0.0,0.0,0.0,100.6,512.0,7780.0
2014-01-01,3666.54,18656.0,407525.0,5284.34,26888.0,587338.0,36.347,185.0,4040.0,1224.773,6232.0,136130.0
2014-02-01,1807.59,9197.0,183322.0,5669.015,28845.0,574938.0,34.861,177.0,3536.0,2149.534,10937.0,218001.0
2014-03-01,1308.566,6658.0,113049.0,7407.578,37691.0,639952.0,4.428,23.0,383.0,2293.428,11669.0,198133.0
2014-04-01,0.0,0.0,0.0,3379.923,17198.0,287630.0,0.0,0.0,0.0,1766.077,8986.0,150293.0
2014-05-01,0.0,0.0,0.0,7239.228,36835.0,616999.0,0.0,0.0,0.0,1880.772,9570.0,160298.0
2014-06-01,0.0,0.0,0.0,7626.106,38803.0,651955.0,0.0,0.0,0.0,1436.894,7311.0,122840.0
2014-07-01,0.0,0.0,0.0,7973.77,40572.0,647937.0,0.0,0.0,0.0,1961.23,9979.0,159367.0
2014-08-01,0.0,0.0,0.0,9436.893,48017.0,693259.0,0.0,0.0,0.0,1950.107,9923.0,143260.0
2014-09-01,0.0,0.0,0.0,8204.954,41749.0,635302.0,0.0,0.0,0.0,2092.046,10645.0,161985.0
2014-10-01,0.0,0.0,0.0,7250.173,36890.0,585640.0,0.0,0.0,0.0,2407.827,12252.0,194495.0
2014-11-01,0.0,0.0,0.0,7778.31,39578.0,661143.0,0.0,0.0,0.0,2418.69,12307.0,205585.0
2014-12-01,0.0,0.0,0.0,6747.763,34334.0,636591.0,0.0,0.0,0.0,2843.237,14467.0,268234.0
2015-01-01,0.0,0.0,0.0,7880.668,40099.0,562873.0,0.0,0.0,0.0,4174.332,21240.0,298150.0
2015-02-01,0.0,0.0,0.0,6862.616,34919.0,480661.0,0.0,0.0,0.0,3975.384,20228.0,278438.0
2015-03-01,0.0,0.0,0.0,8557.47,43542.0,597668.0,0.0,0.0,0.0,3791.53,19292.0,264807.0
2015-04-01,0.0,0.0,0.0,4663.489,23729.0,339834.0,0.0,0.0,0.0,2336.511,11889.0,170265.0
2015-05-01,0.0,0.0,0.0,8608.529,43802.0,581585.0,0.0,0.0,0.0,2740.471,13944.0,185144.0
2015-06-01,0.0,0.0,0.0,8907.982,45326.0,621786.0,0.0,0.0,0.0,2067.018,10517.0,144280.0
2015-07-01,0.0,0.0,0.0,8086.424,41146.0,584697.0,0.0,0.0,0.0,2485.576,12647.0,179722.0
2015-08-01,0.0,0.0,0.0,8814.995,44853.0,653703.0,0.0,0.0,0.0,1980.005,10075.0,146833.0
2015-09-01,0.0,0.0,0.0,8282.313,42142.0,638798.0,0.0,0.0,0.0,1887.687,9605.0,145594.0
2015-10-01,0.0,0.0,0.0,7476.687,38043.0,548241.0,0.0,0.0,0.0,2976.313,15144.0,218243.0
2015-11-01,0.0,0.0,0.0,8224.133,41846.0,613515.0,0.0,0.0,0.0,3271.867,16648.0,244079.0
2015-12-01,0.0,0.0,0.0,8360.039,42538.0,627378.0,0.0,0.0,0.0,3382.961,17213.0,253874.0
2016-01-01,0.0,0.0,0.0,8770.25,34795.0,606360.0,0.0,0.0,0.0,4388.75,17412.0,303431.0
2016-02-01,0.0,0.0,0.0,8317.445,32999.0,554863.0,0.0,0.0,0.0,4441.555,17622.0,296299.0
2016-03-01,0.0,0.0,0.0,9474.726,37590.0,621587.0,0.0,0.0,0.0,4093.274,16240.0,268538.0
2016-04-01,0.0,0.0,0.0,3842.743,15246.0,274040.0,0.0,0.0,0.0,2748.257,10904.0,195988.0
2016-05-01,0.0,0.0,0.0,9053.35,35919.0,608158.0,0.0,0.0,0.0,3486.65,13833.0,234215.0
2016-06-01,0.0,0.0,0.0,8931.552,35435.0,615648.0,0.0,0.0,0.0,2784.448,11047.0,191931.0
2016-07-01,0.0,0.0,0.0,8799.458,34911.0,615090.0,0.0,0.0,0.0,2899.542,11504.0,202680.0
2016-08-01,0.0,0.0,0.0,7735.933,30692.0,594642.0,0.0,0.0,0.0,2609.067,10351.0,200553.0
2016-09-01,0.0,0.0,0.0,7726.534,30655.0,591666.0,0.0,0.0,0.0,2304.466,9143.0,176466.0
2016-10-01,0.0,0.0,0.0,7740.398,30710.0,585218.0,0.0,0.0,0.0,2809.602,11147.0,212422.0
2016-11-01,0.0,0.0,0.0,7915.814,31406.0,625692.0,0.0,0.0,0.0,2884.186,11443.0,227975.0
2016-12-01,0.0,0.0,0.0,7543.334,29928.0,611915.0,0.0,0.0,0.0,3481.666,13813.0,282433.0
2017-01-01,0.0,0.0,0.0,7245.595,28746.0,581957.0,0.0,0.0,0.0,3681.405,14606.0,295686.0
2017-02-01,0.0,0.0,0.0,7260.233,28805.0,554602.0,0.0,0.0,0.0,3414.767,13548.0,260851.0
2017-03-01,0.0,0.0,0.0,9007.863,35738.0,590885.0,0.0,0.0,0.0,3465.137,13748.0,227301.0
2017-04-01,0.0,0.0,0.0,795.98,3158.0,298493.0,0.0,0.0,0.0,461.02,1829.0,172883.0
2017-05-01,0.0,0.0,0.0,6008.024,23836.0,664243.0,0.0,0.0,0.0,1522.976,6042.0,168379.0
2017-06-01,0.0,0.0,0.0,9867.445,39149.0,635066.0,0.0,0.0,0.0,2954.555,11722.0,190154.0
2017-07-01,0.0,0.0,0.0,7698.836,30545.0,644292.0,0.0,0.0,0.0,1965.164,7797.0,164458.0
2017-08-01,0.0,0.0,0.0,8963.944,35564.0,622120.0,0.0,0.0,0.0,2845.056,11288.0,197454.0
2017-09-01,0.0,0.0,0.0,9802.897,38892.0,625816.0,0.0,0.0,0.0,2926.103,11609.0,186802.0
2017-10-01,0.0,0.0,0.0,8597.255,34109.0,590091.0,0.0,0.0,0.0,3158.745,12532.0,216807.0
2017-11-01,0.0,0.0,0.0,9316.74,36964.0,615251.0,0.0,0.0,0.0,3830.26,15196.0,252939.0
2017-12-01,0.0,0.0,0.0,9402.271,37303.0,627428.0,0.0,0.0,0.0,4348.729,17253.0,290197.0
2018-01-01,0.0,0.0,0.0,7833.158,31078.0,578051.0,0.0,0.0,0.0,4382.842,17389.0,323433.0
2018-02-01,0.0,0.0,0.0,8685.107,34458.0,583451.0,0.0,0.0,0.0,3400.893,13493.0,228466.0
2018-03-01,0.0,0.0,0.0,9298.259,36890.0,652367.0,0.0,0.0,0.0,3418.741,13564.0,239859.0
2018-04-01,0.0,0.0,0.0,7989.488,31698.0,527240.0,0.0,0.0,0.0,3580.512,14205.0,236284.0
2018-05-01,0.0,0.0,0.0,10526.885,41765.0,650473.0,0.0,0.0,0.0,3217.115,12764.0,198791.0
2018-06-01,0.0,0.0,0.0,11014.63,43700.0,641716.0,0.0,0.0,0.0,2918.37,11578.0,170025.0
2018-07-01,0.0,0.0,0.0,10044.329,39850.0,593992.0,0.0,0.0,0.0,3541.671,14051.0,209444.0
2018-08-01,0.0,0.0,0.0,10530.547,41779.0,645197.0,0.0,0.0,0.0,3480.453,13808.0,213244.0
2018-09-01,0.0,0.0,0.0,10008.351,39708.0,612577.0,0.0,0.0,0.0,2960.649,11746.0,181211.0
2018-10-01,0.0,0.0,0.0,5674.176,22512.0,337758.0,0.0,0.0,0.0,3098.824,12294.0,184459.0
2018-11-01,0.0,0.0,0.0,9896.416,39263.0,589527.0,0.0,0.0,0.0,3881.584,15400.0,231225.0
2018-12-01,0.0,0.0,0.0,9613.402,38141.0,609748.0,0.0,0.0,0.0,4398.598,17451.0,278989.0
2019-01-01,0.0,0.0,0.0,8694.743,34496.0,531102.0,0.0,0.0,0.0,4769.257,18922.0,291321.0
2019-02-01,0.0,0.0,0.0,8196.126,32518.0,493009.0,0.0,0.0,0.0,3888.874,15429.0,233921.0
2019-03-01,0.0,0.0,0.0,10256.621,40693.0,630978.0,0.0,0.0,0.0,3938.379,15625.0,242285.0
2019-04-01,0.0,0.0,0.0,9604.049,38104.0,601163.0,0.0,0.0,0.0,3104.951,12319.0,194353.0
2019-05-01,0.0,0.0,0.0,10243.743,40641.0,604816.0,0.0,0.0,0.0,3134.257,12435.0,185054.0
2019-06-01,0.0,0.0,0.0,10411.924,41309.0,644126.0,0.0,0.0,0.0,2758.076,10943.0,170626.0
2019-07-01,0.0,0.0,0.0,8881.252,35236.0,546440.0,0.0,0.0,0.0,2509.748,9957.0,154418.0
2019-08-01,0.0,0.0,0.0,10102.202,40080.0,582959.0,0.0,0.0,0.0,3567.798,14155.0,205884.0
2019-09-01,0.0,0.0,0.0,8735.648,34658.0,565554.0,0.0,0.0,0.0,2965.352,11765.0,191980.0
2019-10-01,0.0,0.0,0.0,9296.157,36882.0,602048.0,0.0,0.0,0.0,3409.843,13528.0,220832.0
2019-11-01,0.0,0.0,0.0,9066.089,35969.0,606796.0,0.0,0.0,0.0,4059.911,16107.0,271731.0
2019-12-01,0.0,0.0,0.0,9453.487,37506.0,629047.0,0.0,0.0,0.0,3943.513,15646.0,262406.0
2020-01-01,0.0,0.0,0.0,7766.733,30814.0,509060.0,0.0,0.0,0.0,4663.267,18501.0,305648.0
2020-02-01,0.0,0.0,0.0,8812.508,34963.0,571581.0,0.0,0.0,0.0,4120.492,16348.0,267256.0
2020-03-01,0.0,0.0,0.0,9413.132,37346.0,593450.0,0.0,0.0,0.0,4141.868,16433.0,261124.0
2020-04-01,0.0,0.0,0.0,8825.674,35015.0,595222.0,0.0,0.0,0.0,3561.326,14129.0,240183.0
2020-05-01,0.0,0.0,0.0,9349.821,37095.0,604656.0,0.0,0.0,0.0,4059.179,16105.0,262508.0
2020-06-01,0.0,0.0,0.0,8461.258,33570.0,563389.0,0.0,0.0,0.0,3216.742,12762.0,214185.0
2020-07-01,0.0,0.0,0.0,9452.064,37501.0,616476.0,0.0,0.0,0.0,3244.936,12874.0,211639.0
2020-08-01,0.0,0.0,0.0,5519.215,21897.0,341436.0,0.0,0.0,0.0,2977.785,11814.0,184215.0
2020-09-01,0.0,0.0,0.0,10165.115,40330.0,628961.0,0.0,0.0,0.0,3354.885,13310.0,207582.0
2020-10-01,0.0,0.0,0.0,9719.554,38562.0,598088.0,0.0,0.0,0.0,3832.446,15205.0,235828.0
2020-11-01,0.0,0.0,0.0,9614.312,38144.0,574976.0,0.0,0.0,0.0,4166.688,16531.0,249185.0
2020-12-01,0.0,0.0,0.0,9349.757,37095.0,615258.0,0.0,0.0,0.0,4311.243,17105.0,283700.0
2021-01-01,0.0,0.0,0.0,8820.458,34995.0,597608.0,0.0,0.0,0.0,4221.542,16749.0,286020.0
2021-02-01,0.0,0.0,0.0,6650.781,26387.0,507215.0,0.0,0.0,0.0,3320.219,13173.0,253213.0
2021-03-01,0.0,0.0,0.0,1230.983,4884.0,119814.0,0.0,0.0,0.0,1212.017,4809.0,117968.0
2021-04-01,0.0,0.0,0.0,8368.997,33204.0,508863.0,0.0,0.0,0.0,3920.003,15552.0,238349.0
2021-05-01,0.0,0.0,0.0,7315.784,29025.0,535136.0,0.0,0.0,0.0,3077.216,12209.0,225093.0
2021-06-01,0.0,0.0,0.0,9894.703,39257.0,643893.0,0.0,0.0,0.0,2822.297,11197.0,183660.0
2021-07-01,0.0,0.0,0.0,8542.878,33893.0,612761.0,0.0,0.0,0.0,3036.122,12046.0,217774.0
