measured_on,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed","Municiapl Landfill Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Municipal Landfill Gas - Generation","Municiapl Landfill Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Municipal Landfill Gas - Quantity Consumed For Electricity","Municiapl Landfill Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Municipal Landfill Gas - Total Fuel Consumed","Waste/Other Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Waste Oil - Generation","Waste/Other Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Waste Oil - Quantity Consumed For Electricity","Waste/Other Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Waste Oil - Total Fuel Consumed"
2010-08-01,35.024,354.0,354.0,411.514,4153.0,4153.0,157.071,1583.0,1583.0
2010-09-01,27.958000000000002,284.0,284.0,343.32800000000003,3465.0,3465.0,125.38000000000001,1264.0,1264.0
2010-10-01,6.075,64.0,64.0,310.04400000000004,3129.0,3129.0,27.243000000000002,273.0,273.0
2010-11-01,10.834000000000001,110.0,110.0,447.254,4514.0,4514.0,48.585,493.0,493.0
2010-12-01,68.693,696.0,696.0,386.369,3899.0,3899.0,308.06100000000004,3109.0,3109.0
2011-01-01,50.999,545.0,545.0,84.454,919.0,919.0,0.0,0.0,0.0
2011-02-01,6.856,75.0,75.0,75.663,823.0,823.0,0.0,0.0,0.0
2011-03-01,14.579,157.0,157.0,75.064,817.0,817.0,0.0,0.0,0.0
2011-04-01,6.206,70.0,70.0,78.557,855.0,855.0,0.0,0.0,0.0
2011-05-01,31.824,348.0,348.0,84.202,916.0,916.0,0.0,0.0,0.0
2011-06-01,37.272,406.0,406.0,86.475,941.0,941.0,0.0,0.0,0.0
2011-07-01,66.603,725.0,725.0,89.061,969.0,969.0,0.0,0.0,0.0
2011-08-01,44.564,487.0,487.0,89.606,975.0,975.0,0.0,0.0,0.0
2011-09-01,6.93,75.0,75.0,81.879,891.0,891.0,0.0,0.0,0.0
2011-10-01,14.135,157.0,157.0,81.214,884.0,884.0,0.0,0.0,0.0
2011-11-01,11.621,128.0,128.0,83.53,909.0,909.0,0.0,0.0,0.0
2011-12-01,10.231,110.0,110.0,91.475,995.0,995.0,0.0,0.0,0.0
2012-01-01,110.952,1160.0,1160.0,2591.121,27244.0,27244.0,0.0,0.0,0.0
2012-02-01,139.463,1467.0,1467.0,2491.512,26197.0,26197.0,0.0,0.0,0.0
2012-03-01,49.462,522.0,522.0,2596.956,27306.0,27306.0,0.0,0.0,0.0
2012-04-01,61.779,650.0,650.0,2646.009,27822.0,27822.0,0.0,0.0,0.0
2012-05-01,124.317,1305.0,1305.0,2774.32,29171.0,29171.0,0.0,0.0,0.0
2012-06-01,321.907,3387.0,3387.0,2994.859,31490.0,31490.0,0.0,0.0,0.0
2012-07-01,817.451,8596.0,8596.0,2896.378,30454.0,30454.0,0.0,0.0,0.0
2012-08-01,87.579,922.0,922.0,2793.787,29375.0,29375.0,0.0,0.0,0.0
2012-09-01,126.266,1328.0,1328.0,2452.609,25788.0,25788.0,0.0,0.0,0.0
2012-10-01,119.658,1259.0,1259.0,2311.938,24309.0,24309.0,0.0,0.0,0.0
2012-11-01,80.368,847.0,847.0,2823.705,29690.0,29690.0,0.0,0.0,0.0
2012-12-01,59.72,626.0,626.0,2830.884,29765.0,29765.0,0.0,0.0,0.0
2013-01-01,193.718,2235.0,2235.0,1905.135,21862.0,21862.0,0.0,0.0,0.0
2013-02-01,38.331,438.0,438.0,1748.986,20070.0,20070.0,0.0,0.0,0.0
2013-03-01,47.392,541.0,541.0,1804.736,20710.0,20710.0,0.0,0.0,0.0
2013-04-01,33.761,386.0,386.0,1829.852,20999.0,20999.0,0.0,0.0,0.0
2013-05-01,63.136,726.0,726.0,2410.094,27657.0,27657.0,0.0,0.0,0.0
2013-06-01,146.309,1676.0,1676.0,2176.368,24975.0,24975.0,0.0,0.0,0.0
2013-07-01,233.19,2678.0,2678.0,2405.604,27605.0,27605.0,0.0,0.0,0.0
2013-08-01,215.828,2477.0,2477.0,2195.922,25199.0,25199.0,0.0,0.0,0.0
2013-09-01,85.404,979.0,979.0,1966.268,22564.0,22564.0,0.0,0.0,0.0
2013-10-01,43.846,501.0,501.0,1900.892,21813.0,21813.0,0.0,0.0,0.0
2013-11-01,46.336,530.0,530.0,2070.431,23759.0,23759.0,0.0,0.0,0.0
2013-12-01,32.81,374.0,374.0,2116.651,24290.0,24290.0,0.0,0.0,0.0
2014-01-01,1798.687,22545.0,22545.0,3042.746,38134.0,38134.0,0.0,0.0,0.0
2014-02-01,197.884,2482.0,2482.0,2415.048,30267.0,30267.0,0.0,0.0,0.0
2014-03-01,265.141,3323.0,3323.0,2438.565,30562.0,30562.0,0.0,0.0,0.0
2014-04-01,29.784,371.0,371.0,3061.348,38367.0,38367.0,0.0,0.0,0.0
2014-05-01,39.9,499.0,499.0,3416.68,42821.0,42821.0,0.0,0.0,0.0
2014-06-01,35.15,441.0,441.0,3158.062,39579.0,39579.0,0.0,0.0,0.0
2014-07-01,231.08,2894.0,2894.0,3259.446,40850.0,40850.0,0.0,0.0,0.0
2014-08-01,128.157,1607.0,1607.0,3141.385,39370.0,39370.0,0.0,0.0,0.0
2014-09-01,46.131,580.0,580.0,2667.848,33436.0,33436.0,0.0,0.0,0.0
2014-10-01,75.502,945.0,945.0,2863.446,35887.0,35887.0,0.0,0.0,0.0
2014-11-01,146.646,1839.0,1839.0,2774.561,34773.0,34773.0,0.0,0.0,0.0
2014-12-01,71.44,893.0,893.0,3016.363,37804.0,37804.0,0.0,0.0,0.0
2015-01-01,312.235,3569.0,3569.0,3595.024,41086.0,41086.0,0.0,0.0,0.0
2015-02-01,1953.264,22320.0,22320.0,2953.255,33751.0,33751.0,0.0,0.0,0.0
2015-03-01,105.398,1207.0,1207.0,3178.179,36321.0,36321.0,0.0,0.0,0.0
2015-04-01,22.739,260.0,260.0,3303.214,37750.0,37750.0,0.0,0.0,0.0
2015-05-01,141.385,1617.0,1617.0,3498.04,39977.0,39977.0,0.0,0.0,0.0
2015-06-01,131.914,1507.0,1507.0,3496.353,39958.0,39958.0,0.0,0.0,0.0
2015-07-01,443.72,5070.0,5070.0,3491.709,39905.0,39905.0,0.0,0.0,0.0
2015-08-01,218.368,2495.0,2495.0,3943.918,45073.0,45073.0,0.0,0.0,0.0
2015-09-01,41.399,474.0,474.0,2665.587,30463.0,30463.0,0.0,0.0,0.0
2015-10-01,47.193,537.0,537.0,3336.453,38130.0,38130.0,0.0,0.0,0.0
2015-11-01,142.377,1629.0,1629.0,3767.11,43052.0,43052.0,0.0,0.0,0.0
2015-12-01,111.188,1271.0,1271.0,3519.978,40228.0,40228.0,0.0,0.0,0.0
2016-01-01,1068.088,11868.0,11868.0,3421.398,38027.0,38027.0,0.0,0.0,0.0
2016-02-01,358.831,3991.0,3991.0,3010.771,33463.0,33463.0,0.0,0.0,0.0
2016-03-01,178.389,1981.0,1981.0,3409.915,37899.0,37899.0,0.0,0.0,0.0
2016-04-01,87.07,970.0,970.0,3903.193,43382.0,43382.0,0.0,0.0,0.0
2016-05-01,158.402,1761.0,1761.0,3864.944,42957.0,42957.0,0.0,0.0,0.0
2016-06-01,273.671,3043.0,3043.0,4187.564,46543.0,46543.0,0.0,0.0,0.0
2016-07-01,409.005,4545.0,4545.0,4009.244,44561.0,44561.0,0.0,0.0,0.0
2016-08-01,362.735,4031.0,4031.0,4303.055,47826.0,47826.0,0.0,0.0,0.0
2016-09-01,206.236,2293.0,2293.0,3558.364,39549.0,39549.0,0.0,0.0,0.0
2016-10-01,72.197,803.0,803.0,3780.164,42015.0,42015.0,0.0,0.0,0.0
2016-11-01,67.996,757.0,757.0,4054.982,45069.0,45069.0,0.0,0.0,0.0
2016-12-01,76.035,843.0,843.0,4263.751,47389.0,47389.0,0.0,0.0,0.0
2017-01-01,368.89,3875.0,3875.0,4221.743,44308.0,44308.0,0.0,0.0,0.0
2017-02-01,484.858,5088.0,5088.0,4046.206,42465.0,42465.0,0.0,0.0,0.0
2017-03-01,236.154,2477.0,2477.0,4357.619,45733.0,45733.0,0.0,0.0,0.0
2017-04-01,87.852,924.0,924.0,4688.814,49209.0,49209.0,0.0,0.0,0.0
2017-05-01,269.135,2824.0,2824.0,4512.871,47362.0,47362.0,0.0,0.0,0.0
2017-06-01,233.87,2454.0,2454.0,4544.378,47693.0,47693.0,0.0,0.0,0.0
2017-07-01,163.898,1721.0,1721.0,4774.568,50109.0,50109.0,0.0,0.0,0.0
2017-08-01,195.519,2050.0,2050.0,4208.385,44167.0,44167.0,0.0,0.0,0.0
2017-09-01,168.571,1767.0,1767.0,4505.96,47290.0,47290.0,0.0,0.0,0.0
2017-10-01,689.005,7230.0,7230.0,4701.812,49345.0,49345.0,0.0,0.0,0.0
2017-11-01,337.899,3546.0,3546.0,4248.478,44588.0,44588.0,0.0,0.0,0.0
2017-12-01,556.788,5844.0,5844.0,4694.727,49271.0,49271.0,0.0,0.0,0.0
2018-01-01,1620.753,17452.0,17452.0,4720.178,50830.0,50830.0,0.0,0.0,0.0
2018-02-01,72.174,780.0,780.0,5101.42,54935.0,54935.0,0.0,0.0,0.0
2018-03-01,58.579,629.0,629.0,5715.895,61553.0,61553.0,0.0,0.0,0.0
2018-04-01,161.493,1738.0,1738.0,5442.174,58605.0,58605.0,0.0,0.0,0.0
2018-05-01,200.304,2160.0,2160.0,5499.247,59220.0,59220.0,0.0,0.0,0.0
2018-06-01,171.563,1848.0,1848.0,5822.527,62701.0,62701.0,0.0,0.0,0.0
2018-07-01,173.952,1871.0,1871.0,5535.164,59606.0,59606.0,0.0,0.0,0.0
2018-08-01,176.948,1906.0,1906.0,5783.657,62282.0,62282.0,0.0,0.0,0.0
2018-09-01,246.221,2651.0,2651.0,3953.365,42573.0,42573.0,0.0,0.0,0.0
2018-10-01,402.574,4337.0,4337.0,5536.839,59624.0,59624.0,0.0,0.0,0.0
2018-11-01,426.345,4591.0,4591.0,5449.064,58679.0,58679.0,0.0,0.0,0.0
2018-12-01,384.133,4135.0,4135.0,5842.431,62915.0,62915.0,0.0,0.0,0.0
2019-01-01,562.655,6480.0,6480.0,5075.442,58474.0,58474.0,0.0,0.0,0.0
2019-02-01,111.641,1288.0,1288.0,4615.122,53171.0,53171.0,0.0,0.0,0.0
2019-03-01,192.094,2212.0,2212.0,4797.004,55266.0,55266.0,0.0,0.0,0.0
2019-04-01,112.198,1294.0,1294.0,4532.499,52219.0,52219.0,0.0,0.0,0.0
2019-05-01,156.733,1808.0,1808.0,5205.449,59972.0,59972.0,0.0,0.0,0.0
2019-06-01,275.336,3170.0,3170.0,5156.988,59414.0,59414.0,0.0,0.0,0.0
2019-07-01,377.496,4349.0,4349.0,4850.789,55886.0,55886.0,0.0,0.0,0.0
2019-08-01,389.101,4481.0,4481.0,4712.394,54291.0,54291.0,0.0,0.0,0.0
2019-09-01,315.664,3638.0,3638.0,4834.825,55702.0,55702.0,0.0,0.0,0.0
2019-10-01,201.467,2322.0,2322.0,4970.153,57261.0,57261.0,0.0,0.0,0.0
2019-11-01,170.25,1964.0,1964.0,4268.104,49172.0,49172.0,0.0,0.0,0.0
2019-12-01,170.493,1964.0,1964.0,5236.103,60325.0,60325.0,0.0,0.0,0.0
2020-01-01,147.041,1686.0,1686.0,5374.074,61641.0,61641.0,0.0,0.0,0.0
2020-02-01,81.683,936.0,936.0,4823.291,55324.0,55324.0,0.0,0.0,0.0
2020-03-01,163.327,1871.0,1871.0,5327.145,61103.0,61103.0,0.0,0.0,0.0
2020-04-01,90.598,1040.0,1040.0,5094.139,58430.0,58430.0,0.0,0.0,0.0
2020-05-01,228.87,2628.0,2628.0,5330.442,61141.0,61141.0,0.0,0.0,0.0
2020-06-01,200.479,2298.0,2298.0,4747.883,54459.0,54459.0,0.0,0.0,0.0
2020-07-01,352.969,4048.0,4048.0,5263.746,60376.0,60376.0,0.0,0.0,0.0
2020-08-01,340.697,3910.0,3910.0,5386.445,61783.0,61783.0,0.0,0.0,0.0
2020-09-01,419.775,4816.0,4816.0,5188.938,59518.0,59518.0,0.0,0.0,0.0
2020-10-01,139.334,1600.0,1600.0,4981.084,57133.0,57133.0,0.0,0.0,0.0
2020-11-01,290.042,3326.0,3326.0,5236.021,60058.0,60058.0,0.0,0.0,0.0
2020-12-01,471.426,5405.0,5405.0,5410.551,62060.0,62060.0,0.0,0.0,0.0
2021-01-01,122.915,1415.0,1415.0,5143.871,59372.0,59372.0,0.0,0.0,0.0
2021-02-01,685.185,7906.0,7906.0,5264.404,60762.0,60762.0,0.0,0.0,0.0
2021-03-01,370.101,4274.0,4274.0,5558.918,64161.0,64161.0,0.0,0.0,0.0
2021-04-01,181.958,2102.0,2102.0,6046.691,69791.0,69791.0,0.0,0.0,0.0
2021-05-01,150.117,1733.0,1733.0,5685.65,65624.0,65624.0,0.0,0.0,0.0
2021-06-01,219.319,2529.0,2529.0,5858.049,67614.0,67614.0,0.0,0.0,0.0
2021-07-01,256.272,2957.0,2957.0,6223.247,71829.0,71829.0,0.0,0.0,0.0
2021-08-01,245.01,2830.0,2830.0,5907.141,68181.0,68181.0,0.0,0.0,0.0
2021-09-01,191.001,2206.0,2206.0,3592.456,41464.0,41464.0,0.0,0.0,0.0
2021-10-01,162.414,1877.0,1877.0,5603.339,64674.0,64674.0,0.0,0.0,0.0
2021-11-01,230.631,2662.0,2662.0,5688.661,65659.0,65659.0,0.0,0.0,0.0
2021-12-01,192.639,2223.0,2223.0,5894.011,68029.0,68029.0,0.0,0.0,0.0
2022-01-01,561.363,6618.0,6618.0,4014.684,47258.0,47258.0,0.0,0.0,0.0
2022-02-01,169.242,1992.0,1992.0,4599.351,54140.0,54140.0,0.0,0.0,0.0
2022-03-01,90.414,1063.0,1063.0,4970.806,58513.0,58513.0,0.0,0.0,0.0
2022-04-01,93.426,1097.0,1097.0,5005.587,58922.0,58922.0,0.0,0.0,0.0
2022-05-01,122.831,1444.0,1444.0,4993.868,58784.0,58784.0,0.0,0.0,0.0
2022-06-01,123.646,1455.0,1455.0,4648.266,54716.0,54716.0,0.0,0.0,0.0
2022-07-01,376.239,4429.0,4429.0,4866.727,57288.0,57288.0,0.0,0.0,0.0
2022-08-01,309.679,3644.0,3644.0,4901.278,57695.0,57695.0,0.0,0.0,0.0
2022-09-01,33.413,393.0,393.0,4520.733,53215.0,53215.0,0.0,0.0,0.0
2022-10-01,56.621,664.0,664.0,4946.599,58228.0,58228.0,0.0,0.0,0.0
2022-11-01,91.569,1080.0,1080.0,5028.323,59190.0,59190.0,0.0,0.0,0.0
2022-12-01,814.092,9581.0,9581.0,4691.243,55222.0,55222.0,0.0,0.0,0.0
2023-01-01,379.812,4349.0,4349.0,4141.933,47489.0,47489.0,0.0,0.0,0.0
2023-02-01,244.203,2801.0,2801.0,3856.88,44221.0,44221.0,0.0,0.0,0.0
2023-03-01,322.87,3702.0,3702.0,4248.427,48710.0,48710.0,0.0,0.0,0.0
2023-04-01,238.274,2732.0,2732.0,4703.689,53930.0,53930.0,0.0,0.0,0.0
2023-05-01,270.373,3101.0,3101.0,4629.898,53084.0,53084.0,0.0,0.0,0.0
2023-06-01,249.12,2859.0,2859.0,4428.459,50774.0,50774.0,0.0,0.0,0.0
2023-07-01,228.869,2622.0,2622.0,4355.483,49937.0,49937.0,0.0,0.0,0.0
2023-08-01,261.696,3003.0,3003.0,4306.765,49379.0,49379.0,0.0,0.0,0.0
2023-09-01,215.809,2472.0,2472.0,3589.572,41156.0,41156.0,0.0,0.0,0.0
2023-10-01,216.55,2483.0,2483.0,4027.01,46171.0,46171.0,0.0,0.0,0.0
2023-11-01,333.285,3823.0,3823.0,4181.473,47942.0,47942.0,0.0,0.0,0.0
2023-12-01,285.408,3274.0,3274.0,4282.142,49096.0,49096.0,0.0,0.0,0.0
2024-01-01,718.289,8114.0,8114.0,4159.542,47010.0,47010.0,0.0,0.0,0.0
2024-02-01,14.732,167.0,167.0,4016.985,45399.0,45399.0,0.0,0.0,0.0
2024-03-01,42.073,474.0,474.0,3893.025,43999.0,43999.0,0.0,0.0,0.0
2024-04-01,126.189,1426.0,1426.0,4088.845,46211.0,46211.0,0.0,0.0,0.0
2024-05-01,53.552,606.0,606.0,4181.316,47257.0,47257.0,0.0,0.0,0.0
2024-06-01,180.602,2039.0,2039.0,3826.559,43247.0,43247.0,0.0,0.0,0.0
2024-07-01,724.385,8189.0,8189.0,3336.999,37714.0,37714.0,0.0,0.0,0.0
2024-08-01,470.462,5319.0,5319.0,3774.516,42659.0,42659.0,0.0,0.0,0.0
2024-09-01,173.032,1958.0,1958.0,3419.317,38645.0,38645.0,0.0,0.0,0.0
2024-10-01,171.775,1940.0,1940.0,3645.543,41201.0,41201.0,0.0,0.0,0.0
2024-11-01,38.719,439.0,439.0,2907.569,32861.0,32861.0,0.0,0.0,0.0
2024-12-01,98.612,1115.0,1115.0,3794.362,42883.0,42883.0,0.0,0.0,0.0
