measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Waste/Other Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Waste/Other Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Waste/Other Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2008-08-01,50859.380000000005,569392.0,569392.0,101.62,1138.0,1138.0,,,
2008-09-01,19662.896,223242.0,223242.0,6.104,69.0,69.0,,,
2008-10-01,-213.0,0.0,0.0,-213.0,0.0,0.0,,,
2008-11-01,29470.671000000002,317722.0,317722.0,320.329,3453.0,3453.0,,,
2008-12-01,45663.256,487666.0,487666.0,175.744,1877.0,1877.0,,,
2009-01-01,54203.395000000004,574359.0,574359.0,37.605,398.0,398.0,,,
2009-02-01,43084.863,465732.0,465732.0,2.137,23.0,23.0,,,
2009-03-01,33976.807,375164.0,375164.0,61.193000000000005,676.0,676.0,,,
2009-04-01,20389.957,225693.0,225693.0,1.0430000000000001,12.0,12.0,,,
2009-05-01,-241.0,0.0,0.0,-241.0,0.0,0.0,,,
2009-06-01,-223.5,0.0,0.0,-223.5,0.0,0.0,,,
2009-07-01,-211.0,0.0,0.0,-211.0,0.0,0.0,,,
2009-08-01,25788.372,279193.0,279193.0,169.62800000000001,1836.0,1836.0,,,
2009-09-01,-226.5,0.0,0.0,-226.5,0.0,0.0,,,
2009-10-01,6645.352000000001,76166.0,76166.0,84.64800000000001,970.0,970.0,,,
2009-11-01,35814.64,388277.0,388277.0,87.36,947.0,947.0,,,
2009-12-01,23278.504,251134.0,251134.0,98.49600000000001,1063.0,1063.0,,,
2010-01-01,47349.506,498177.0,498177.0,5.494000000000001,58.0,58.0,,,
2010-02-01,38502.486000000004,428456.0,428456.0,40.514,451.0,451.0,,,
2010-03-01,13048.699,151985.0,151985.0,26.301000000000002,306.0,306.0,,,
2010-04-01,-249.437,0.0,0.0,-0.5630000000000001,0.0,0.0,,,
2010-05-01,-297.329,0.0,0.0,-0.671,0.0,0.0,,,
2010-06-01,28805.903,313730.0,313730.0,88.09700000000001,959.0,959.0,,,
2010-07-01,46852.742,501519.0,501519.0,37.258,399.0,399.0,,,
2010-08-01,43509.086,464393.0,464393.0,11.914,127.0,127.0,,,
2010-09-01,11471.284,122348.0,122348.0,15.716000000000001,168.0,168.0,,,
2010-10-01,1948.2830000000001,21840.0,21840.0,89.717,1006.0,1006.0,,,
2010-11-01,-278.37100000000004,0.0,0.0,-0.629,0.0,0.0,,,
2010-12-01,25902.823,279396.0,279396.0,122.177,1318.0,1318.0,,,
2013-01-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2013-02-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2013-03-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2013-04-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2013-05-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2013-06-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2013-07-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2013-08-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2013-09-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2013-10-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2013-11-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2013-12-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
