measured_on,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Other Biomass Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Generation","Other Biomass Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Quantity Consumed For Electricity","Other Biomass Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Total Fuel Consumed"
2007-01-01,6209.462,29854.0,325600.0,22.885,108.0,1200.0,,,
2007-02-01,6321.42,30404.0,250800.0,45.369,216.0,1800.0,,,
2007-03-01,5825.849,28006.0,312400.0,22.378,108.0,1200.0,,,
2007-04-01,5962.215,28666.0,180400.0,39.66,192.0,1200.0,,,
2007-05-01,5814.845,27962.0,112200.0,62.191,300.0,1200.0,,,
2007-06-01,6334.305,30470.0,332200.0,22.881,108.0,1200.0,,,
2007-07-01,6145.326,29546.0,250800.0,29.403000000000002,144.0,1200.0,,,
2007-08-01,5152.164000000001,24772.0,184800.0,33.456,162.0,1200.0,,,
2007-09-01,6134.415,29502.0,182600.0,40.314,192.0,1200.0,,,
2007-10-01,4396.974,21142.0,244200.0,10.803,54.0,600.0,,,
2007-11-01,5720.358,27500.0,215600.0,31.839000000000002,156.0,1200.0,,,
2007-12-01,5744.215,27632.0,272800.0,25.268,120.0,1200.0,,,
2008-01-01,4745.072,28546.0,198000.0,10.928,66.0,456.0,,,
2008-02-01,4269.534000000001,31674.0,136400.0,17.466,130.0,558.0,,,
2008-03-01,4390.218,26232.0,162800.0,12.782,76.0,474.0,,,
2008-04-01,4041.1890000000003,25243.0,226600.0,7.811,49.0,438.0,,,
2008-05-01,4799.173000000001,27726.0,182600.0,11.827,68.0,450.0,,,
2008-06-01,4871.714,28364.0,156200.0,13.286000000000001,77.0,426.0,,,
2008-07-01,4501.497,26802.0,319000.0,5.503,33.0,390.0,,,
2008-08-01,5061.693,27343.0,101200.0,21.307000000000002,115.0,426.0,,,
2008-09-01,4036.7470000000003,21794.0,187000.0,7.253,39.0,336.0,,,
2008-10-01,4718.67,26293.0,464200.0,4.33,24.0,426.0,,,
2008-11-01,4662.371,26910.0,275000.0,7.6290000000000004,44.0,450.0,,,
2008-12-01,4091.8610000000003,21072.0,334400.0,5.139,26.0,420.0,,,
2009-01-01,5971.6990000000005,28296.0,223100.0,80.301,380.0,3000.0,,,
2009-02-01,5435.653,26022.0,225400.0,72.34700000000001,346.0,3000.0,,,
2009-03-01,3435.739,15866.0,186300.0,44.261,204.0,2400.0,,,
2009-04-01,2557.204,11809.0,165600.0,27.796000000000003,128.0,1800.0,,,
2009-05-01,3748.5330000000004,17310.0,174800.0,51.467000000000006,238.0,2400.0,,,
2009-06-01,5028.705,23222.0,211600.0,71.295,329.0,3000.0,,,
2009-07-01,4208.827,19436.0,184000.0,41.173,190.0,1800.0,,,
2009-08-01,4381.755,20234.0,180550.0,58.245,269.0,2400.0,,,
2009-09-01,3712.1850000000004,17142.0,154100.0,57.815,267.0,2400.0,,,
2009-10-01,4213.592000000001,19458.0,163300.0,77.408,357.0,3000.0,,,
2009-11-01,3667.0640000000003,16934.0,174800.0,62.936,291.0,3000.0,,,
2009-12-01,4836.454000000001,22662.0,188600.0,61.54600000000001,288.0,2400.0,,,
2010-01-01,5035.492,24214.0,206080.0,73.304,352.0,3000.0,,,
2010-02-01,4742.3730000000005,22805.0,207000.0,68.73,331.0,3000.0,,,
2010-03-01,4169.804,20052.0,192100.0,65.119,313.0,3000.0,,,
2010-04-01,4474.719,21518.0,185490.0,57.897000000000006,278.0,2400.0,,,
2010-05-01,4100.008,19716.0,181700.0,67.694,326.0,3000.0,,,
2010-06-01,6218.688,29904.0,223680.0,100.086,481.0,3600.0,,,
2010-07-01,5261.896000000001,25303.0,199080.0,79.293,381.0,3000.0,,,
2010-08-01,5728.773,27548.0,189600.0,90.64500000000001,436.0,3000.0,,,
2010-09-01,5546.27,26671.0,165900.0,100.29400000000001,482.0,3000.0,,,
2010-10-01,2733.818,13146.0,128520.0,51.052,245.0,2400.0,,,
2010-11-01,3885.0240000000003,18682.0,178600.0,52.206,251.0,2400.0,,,
2010-12-01,4086.1310000000003,19649.0,196560.0,62.365,300.0,3000.0,,,
2011-01-01,4497.775,21629.0,214760.0,188.489,906.0,9000.0,,,
2011-02-01,5098.388,24517.0,241740.0,202.468,974.0,9600.0,,,
2011-03-01,4925.847,23687.0,204680.0,202.155,972.0,8400.0,,,
2011-04-01,4446.538,21382.0,145180.0,220.52,1060.0,7200.0,,,
2011-05-01,744.77,3581.0,38080.0,23.47,113.0,1200.0,,,
