measured_on,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Generation,Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Quantity Consumed For Electricity,Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Total Fuel Consumed,Jet Fuel - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Generation,Jet Fuel - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Quantity Consumed For Electricity,Jet Fuel - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Total Fuel Consumed,Other - Other - Other - Generation,Other - Other - Other - Quantity Consumed For Electricity,Other - Other - Other - Total Fuel Consumed
2008-04-01,0.0,0.0,0.0,1187.8410000000001,11705.0,11705.0,36.888000000000005,510.0,510.0,0.0,0.0,0.0
2008-05-01,0.0,0.0,0.0,872.581,8598.0,8598.0,33.203,459.0,459.0,0.0,0.0,0.0
2008-06-01,0.0,0.0,0.0,836.932,8247.0,8247.0,76.10000000000001,1053.0,1053.0,0.0,0.0,0.0
2008-07-01,0.0,0.0,0.0,838.0490000000001,8258.0,8258.0,63.368,879.0,879.0,0.0,0.0,0.0
2008-08-01,0.0,0.0,0.0,1061.653,10462.0,10462.0,16.216,224.0,224.0,0.0,0.0,0.0
2008-09-01,0.0,0.0,0.0,626.513,6174.0,6174.0,11.206000000000001,157.0,157.0,0.0,0.0,0.0
2008-10-01,0.0,0.0,0.0,608.835,5999.0,5999.0,12.757000000000001,179.0,179.0,0.0,0.0,0.0
2008-11-01,0.0,0.0,0.0,826.2620000000001,8142.0,8142.0,11.385,157.0,157.0,0.0,0.0,0.0
2008-12-01,0.0,0.0,0.0,938.517,9248.0,9248.0,88.988,1232.0,1232.0,0.0,0.0,0.0
2009-01-01,0.0,0.0,0.0,963.214,9401.0,9401.0,156.399,2161.0,2161.0,0.0,0.0,0.0
2009-02-01,0.0,0.0,0.0,807.3470000000001,7880.0,7880.0,3.101,45.0,45.0,0.0,0.0,0.0
2009-03-01,0.0,0.0,0.0,1083.287,10573.0,10573.0,12.894,178.0,178.0,0.0,0.0,0.0
2009-04-01,0.0,0.0,0.0,1194.084,11654.0,11654.0,11.512,156.0,156.0,0.0,0.0,0.0
2009-05-01,0.0,0.0,0.0,1065.726,10401.0,10401.0,3.011,39.0,39.0,0.0,0.0,0.0
2009-06-01,0.0,0.0,0.0,811.018,7916.0,7916.0,7.1530000000000005,100.0,100.0,0.0,0.0,0.0
2009-07-01,0.0,0.0,0.0,1102.4,10759.0,10759.0,22.177,306.0,306.0,0.0,0.0,0.0
2009-08-01,0.0,0.0,0.0,976.446,9530.0,9530.0,55.094,758.0,758.0,0.0,0.0,0.0
2009-09-01,0.0,0.0,0.0,528.7610000000001,5161.0,5161.0,5.676,78.0,78.0,0.0,0.0,0.0
2009-10-01,0.0,0.0,0.0,673.544,6574.0,6574.0,3.405,45.0,45.0,0.0,0.0,0.0
2009-11-01,0.0,0.0,0.0,838.2470000000001,8181.0,8181.0,5.434,72.0,72.0,0.0,0.0,0.0
2009-12-01,0.0,0.0,0.0,1049.9260000000002,10247.0,10247.0,18.144000000000002,251.0,251.0,0.0,0.0,0.0
2010-01-01,0.0,0.0,0.0,620.198,6051.0,6051.0,12.696,179.0,179.0,,,
2010-02-01,0.0,0.0,0.0,542.222,5290.0,5290.0,11.636000000000001,162.0,162.0,,,
2010-03-01,0.0,0.0,0.0,747.042,7288.0,7288.0,18.248,252.0,252.0,,,
2010-04-01,0.0,0.0,0.0,842.307,8218.0,8218.0,9.992,140.0,140.0,,,
2010-05-01,0.0,0.0,0.0,606.448,5917.0,5917.0,44.504000000000005,622.0,622.0,,,
2010-06-01,0.0,0.0,0.0,451.115,4401.0,4401.0,39.458,549.0,549.0,,,
2010-07-01,0.0,0.0,0.0,367.699,3587.0,3587.0,133.90900000000002,1870.0,1870.0,,,
2010-08-01,0.0,0.0,0.0,368.418,3594.0,3594.0,89.421,1249.0,1249.0,,,
2010-09-01,0.0,0.0,0.0,313.94300000000004,3063.0,3063.0,70.696,986.0,986.0,,,
2010-10-01,0.0,0.0,0.0,704.505,6873.0,6873.0,3.08,45.0,45.0,,,
2010-11-01,0.0,0.0,0.0,663.678,6475.0,6475.0,8.599,118.0,118.0,,,
2010-12-01,0.0,0.0,0.0,629.4250000000001,6141.0,6141.0,28.761000000000003,403.0,403.0,,,
2011-01-01,0.0,0.0,0.0,997.432,9691.0,9691.0,167.748,2196.0,2196.0,,,
2011-02-01,0.0,0.0,0.0,827.03,8035.0,8035.0,31.802,418.0,418.0,,,
2011-03-01,0.0,0.0,0.0,1156.575,11237.0,11237.0,18.415,240.0,240.0,,,
2011-04-01,0.0,0.0,0.0,1398.58,13589.0,13589.0,7.503,100.0,100.0,,,
2011-05-01,0.0,0.0,0.0,1598.391,15530.0,15530.0,2.066,28.0,28.0,,,
2011-06-01,0.0,0.0,0.0,942.132,9154.0,9154.0,65.331,858.0,858.0,,,
2011-07-01,0.0,0.0,0.0,616.829,5993.0,5993.0,110.207,1443.0,1443.0,,,
2011-08-01,0.0,0.0,0.0,651.975,6335.0,6335.0,66.619,875.0,875.0,,,
2011-09-01,0.0,0.0,0.0,995.962,9677.0,9677.0,36.968,485.0,485.0,,,
2011-10-01,0.0,0.0,0.0,1137.933,11056.0,11056.0,5.623,72.0,72.0,,,
2011-11-01,0.0,0.0,0.0,854.655,8304.0,8304.0,21.434,279.0,279.0,,,
2011-12-01,0.0,0.0,0.0,1096.506,10654.0,10654.0,13.284,173.0,173.0,,,
2012-01-01,0.0,0.0,0.0,698.233,6644.0,6644.0,2.005,28.0,28.0,,,
2012-02-01,0.0,0.0,0.0,571.964,5443.0,5443.0,1.876,28.0,28.0,,,
2012-03-01,0.0,0.0,0.0,796.433,7579.0,7579.0,4.315,62.0,62.0,,,
2012-04-01,0.0,0.0,0.0,608.418,5790.0,5790.0,1.983,28.0,28.0,,,
2012-05-01,0.0,0.0,0.0,814.321,7749.0,7749.0,5.235,73.0,73.0,,,
2012-06-01,0.0,0.0,0.0,666.755,6345.0,6345.0,21.94,313.0,313.0,,,
2012-07-01,0.0,0.0,0.0,472.401,4495.0,4495.0,17.613,252.0,252.0,,,
2012-08-01,0.0,0.0,0.0,396.238,3771.0,3771.0,8.735,123.0,123.0,,,
2012-09-01,0.0,0.0,0.0,409.205,3894.0,3894.0,1.617,22.0,22.0,,,
2012-10-01,0.0,0.0,0.0,613.358,5837.0,5837.0,5.594,78.0,78.0,,,
2012-11-01,0.0,0.0,0.0,590.078,5615.0,5615.0,3.248,45.0,45.0,,,
2012-12-01,0.0,0.0,0.0,700.596,6667.0,6667.0,2.839,39.0,39.0,,,
2013-01-01,0.0,0.0,0.0,691.577,6598.0,6598.0,73.138,1040.0,1040.0,,,
2013-02-01,0.0,0.0,0.0,680.856,6496.0,6496.0,52.287,747.0,747.0,,,
2013-03-01,0.0,0.0,0.0,732.439,6988.0,6988.0,2.23,34.0,34.0,,,
2013-04-01,0.0,0.0,0.0,869.434,8295.0,8295.0,1.064,17.0,17.0,,,
2013-05-01,0.0,0.0,0.0,786.899,7508.0,7508.0,0.986,17.0,17.0,,,
2013-06-01,0.0,0.0,0.0,901.501,8601.0,8601.0,4.099,56.0,56.0,,,
2013-07-01,0.0,0.0,0.0,804.449,7675.0,7675.0,30.3,433.0,433.0,,,
2013-08-01,0.0,0.0,0.0,475.723,4539.0,4539.0,5.607,79.0,79.0,,,
2013-09-01,0.0,0.0,0.0,539.942,5152.0,5152.0,3.544,51.0,51.0,,,
2013-10-01,0.0,0.0,0.0,481.99,4599.0,4599.0,0.531,6.0,6.0,,,
2013-11-01,0.0,0.0,0.0,531.0,5066.0,5066.0,3.569,51.0,51.0,,,
2013-12-01,0.0,0.0,0.0,593.19,5660.0,5660.0,68.645,978.0,978.0,,,
2014-01-01,0.0,0.0,0.0,737.253,7011.0,7011.0,67.624,926.0,926.0,,,
2014-02-01,0.0,0.0,0.0,543.655,5170.0,5170.0,20.218,281.0,281.0,,,
2014-03-01,0.0,0.0,0.0,494.458,4702.0,4702.0,22.672,314.0,314.0,,,
2014-04-01,0.0,0.0,0.0,897.078,8531.0,8531.0,0.213,6.0,6.0,,,
2014-05-01,0.0,0.0,0.0,1004.346,9551.0,9551.0,0.067,0.0,0.0,,,
2014-06-01,0.0,0.0,0.0,655.063,6230.0,6230.0,0.598,6.0,6.0,,,
2014-07-01,0.0,0.0,0.0,636.867,6057.0,6057.0,0.956,11.0,11.0,,,
2014-08-01,0.0,0.0,0.0,583.812,5552.0,5552.0,2.326,34.0,34.0,,,
2014-09-01,0.0,0.0,0.0,365.112,3472.0,3472.0,0.902,11.0,11.0,,,
2014-10-01,0.0,0.0,0.0,457.987,4355.0,4355.0,0.329,6.0,6.0,,,
2014-11-01,0.0,0.0,0.0,498.899,4745.0,4745.0,1.09,17.0,17.0,,,
2014-12-01,0.0,0.0,0.0,732.47,6966.0,6966.0,3.005,39.0,39.0,,,
2015-01-01,0.0,0.0,0.0,498.96,4650.0,4650.0,17.903,210.0,210.0,,,
2015-02-01,0.0,0.0,0.0,396.085,3691.0,3691.0,397.931,4812.0,4812.0,,,
2015-03-01,0.0,0.0,0.0,383.02,3569.0,3569.0,6.123,72.0,72.0,,,
2015-04-01,0.0,0.0,0.0,618.02,5759.0,5759.0,8.416,102.0,102.0,,,
2015-05-01,0.0,0.0,0.0,470.001,4380.0,4380.0,4.848,60.0,60.0,,,
2015-06-01,0.0,0.0,0.0,630.331,5874.0,5874.0,1.326,18.0,18.0,,,
2015-07-01,0.0,0.0,0.0,410.448,3825.0,3825.0,24.052,288.0,288.0,,,
2015-08-01,0.0,0.0,0.0,312.271,2910.0,2910.0,8.291,102.0,102.0,,,
2015-09-01,0.0,0.0,0.0,233.284,2174.0,2174.0,17.8,216.0,216.0,,,
2015-10-01,0.0,0.0,0.0,341.524,3183.0,3183.0,2.133,24.0,24.0,,,
2015-11-01,0.0,0.0,0.0,346.434,3228.0,3228.0,1.397,18.0,18.0,,,
2015-12-01,0.0,0.0,0.0,509.622,4749.0,4749.0,2.78,36.0,36.0,,,
2016-01-01,0.0,0.0,0.0,647.198,5975.0,5975.0,13.681,210.0,210.0,,,
2016-02-01,0.0,0.0,0.0,667.943,6166.0,6166.0,7.678,120.0,120.0,,,
2016-03-01,0.0,0.0,0.0,796.278,7351.0,7351.0,2.137,30.0,30.0,,,
2016-04-01,0.0,0.0,0.0,786.838,7264.0,7264.0,4.846,72.0,72.0,,,
2016-05-01,0.0,0.0,0.0,565.756,5223.0,5223.0,27.185,414.0,414.0,,,
2016-06-01,0.0,0.0,0.0,341.056,3149.0,3149.0,5.025,78.0,78.0,,,
2016-07-01,0.0,0.0,0.0,360.332,3327.0,3327.0,28.149,432.0,432.0,,,
2016-08-01,0.0,0.0,0.0,307.102,2835.0,2835.0,51.827,792.0,792.0,,,
2016-09-01,0.0,0.0,0.0,275.953,2548.0,2548.0,8.257,126.0,126.0,,,
2016-10-01,0.0,0.0,0.0,282.949,2612.0,2612.0,1.15,18.0,18.0,,,
2016-11-01,0.0,0.0,0.0,361.607,3338.0,3338.0,7.786,120.0,120.0,,,
2016-12-01,0.0,0.0,0.0,524.988,4847.0,4847.0,30.279,462.0,462.0,,,
2017-01-01,0.0,0.0,0.0,776.911,7158.0,7158.0,7.284,114.0,114.0,,,
2017-02-01,0.0,0.0,0.0,773.303,7124.0,7124.0,13.204,204.0,204.0,,,
2017-03-01,0.0,0.0,0.0,952.67,8777.0,8777.0,85.039,1314.0,1314.0,,,
2017-04-01,0.0,0.0,0.0,1324.975,12207.0,12207.0,14.972,228.0,228.0,,,
2017-05-01,0.0,0.0,0.0,1386.225,12771.0,12771.0,17.54,270.0,270.0,,,
2017-06-01,0.0,0.0,0.0,1059.104,9758.0,9758.0,15.566,240.0,240.0,,,
2017-07-01,0.0,0.0,0.0,881.971,8126.0,8126.0,19.346,300.0,300.0,,,
2017-08-01,0.0,0.0,0.0,554.679,5110.0,5110.0,17.074,264.0,264.0,,,
2017-09-01,0.0,0.0,0.0,418.35,3854.0,3854.0,20.031,306.0,306.0,,,
2017-10-01,0.0,0.0,0.0,402.544,3709.0,3709.0,15.189,234.0,234.0,,,
2017-11-01,0.0,0.0,0.0,953.013,8780.0,8780.0,30.872,474.0,474.0,,,
2017-12-01,0.0,0.0,0.0,738.255,6802.0,6802.0,150.883,2328.0,2328.0,,,
2018-01-01,0.0,0.0,0.0,926.94,8439.0,8439.0,190.581,2940.0,2940.0,,,
2018-02-01,0.0,0.0,0.0,991.967,9031.0,9031.0,7.335,114.0,114.0,,,
2018-03-01,0.0,0.0,0.0,1099.261,10008.0,10008.0,8.144,126.0,126.0,,,
2018-04-01,0.0,0.0,0.0,1317.874,11998.0,11998.0,6.243,96.0,96.0,,,
2018-05-01,0.0,0.0,0.0,1075.572,9792.0,9792.0,6.923,108.0,108.0,,,
2018-06-01,0.0,0.0,0.0,490.719,4468.0,4468.0,5.959,90.0,90.0,,,
2018-07-01,0.0,0.0,0.0,424.067,3861.0,3861.0,8.211,126.0,126.0,,,
2018-08-01,0.0,0.0,0.0,584.543,5322.0,5322.0,14.792,228.0,228.0,,,
2018-09-01,0.0,0.0,0.0,560.778,5105.0,5105.0,7.274,114.0,114.0,,,
2018-10-01,0.0,0.0,0.0,835.825,7609.0,7609.0,6.586,102.0,102.0,,,
2018-11-01,0.0,0.0,0.0,1150.276,10472.0,10472.0,14.163,216.0,216.0,,,
2018-12-01,0.0,0.0,0.0,1232.178,11218.0,11218.0,7.789,120.0,120.0,,,
2019-01-01,0.0,0.0,0.0,1017.753,9063.0,9063.0,35.858,558.0,558.0,,,
2019-02-01,0.0,0.0,0.0,945.271,8418.0,8418.0,22.429,354.0,354.0,,,
2019-03-01,0.0,0.0,0.0,997.693,8884.0,8884.0,23.378,366.0,366.0,,,
2019-04-01,0.0,0.0,0.0,1081.803,9633.0,9633.0,18.159,282.0,282.0,,,
2019-05-01,0.0,0.0,0.0,1149.239,10234.0,10234.0,9.285,144.0,144.0,,,
2019-06-01,0.0,0.0,0.0,818.767,7291.0,7291.0,11.309,180.0,180.0,,,
2019-07-01,0.0,0.0,0.0,497.216,4428.0,4428.0,15.377,240.0,240.0,,,
2019-08-01,0.0,0.0,0.0,279.649,2490.0,2490.0,29.327,462.0,462.0,,,
2019-09-01,0.0,0.0,0.0,248.516,2213.0,2213.0,14.127,222.0,222.0,,,
2019-10-01,0.0,0.0,0.0,542.378,4830.0,4830.0,22.221,348.0,348.0,,,
2019-11-01,0.0,0.0,0.0,661.499,5891.0,5891.0,30.713,480.0,480.0,,,
2019-12-01,0.0,0.0,0.0,897.216,7990.0,7990.0,34.817,546.0,546.0,,,
2020-01-01,0.0,0.0,0.0,913.107,8005.0,8005.0,32.451,528.0,528.0,,,
2020-02-01,0.0,0.0,0.0,778.204,6823.0,6823.0,34.637,558.0,558.0,,,
2020-03-01,0.0,0.0,0.0,1061.96,9310.0,9310.0,26.918,432.0,432.0,,,
2020-04-01,0.0,0.0,0.0,1145.796,10045.0,10045.0,29.906,480.0,480.0,,,
2020-05-01,0.0,0.0,0.0,1032.566,9053.0,9053.0,20.923,336.0,336.0,,,
2020-06-01,0.0,0.0,0.0,341.766,2996.0,2996.0,20.324,330.0,330.0,,,
2020-07-01,0.0,0.0,0.0,434.102,3806.0,3806.0,24.145,390.0,390.0,,,
2020-08-01,0.0,0.0,0.0,234.701,2058.0,2058.0,22.781,366.0,366.0,,,
2020-09-01,0.0,0.0,0.0,133.605,1171.0,1171.0,25.83,420.0,420.0,,,
2020-10-01,0.0,0.0,0.0,496.914,4356.0,4356.0,40.551,654.0,654.0,,,
2020-11-01,0.0,0.0,0.0,585.941,5137.0,5137.0,40.835,660.0,660.0,,,
2020-12-01,0.0,0.0,0.0,790.338,6929.0,6929.0,228.699,3696.0,3696.0,,,
2021-01-01,0.0,0.0,0.0,1098.43,9715.0,9715.0,18.86,282.0,282.0,,,
2021-02-01,0.0,0.0,0.0,705.553,6240.0,6240.0,25.673,384.0,384.0,,,
2021-03-01,0.0,0.0,0.0,1086.709,9611.0,9611.0,14.78,222.0,222.0,,,
2021-04-01,0.0,0.0,0.0,1340.701,11857.0,11857.0,20.741,312.0,312.0,,,
2021-05-01,0.0,0.0,0.0,1028.527,9096.0,9096.0,10.963,162.0,162.0,,,
2021-06-01,0.0,0.0,0.0,455.83,4031.0,4031.0,15.404,234.0,234.0,,,
2021-07-01,0.0,0.0,0.0,907.893,8029.0,8029.0,6.328,96.0,96.0,,,
2021-08-01,0.0,0.0,0.0,635.651,5622.0,5622.0,9.565,144.0,144.0,,,
2021-09-01,0.0,0.0,0.0,731.923,6473.0,6473.0,25.342,384.0,384.0,,,
2021-10-01,0.0,0.0,0.0,785.501,6947.0,6947.0,37.311,564.0,564.0,,,
2021-11-01,0.0,0.0,0.0,1109.48,9812.0,9812.0,13.494,204.0,204.0,,,
2021-12-01,0.0,0.0,0.0,1088.802,9629.0,9629.0,12.539,186.0,186.0,,,
2022-01-01,0.0,0.0,0.0,548.741,1872.0,1872.0,89.485,1368.0,1368.0,,,
2022-02-01,0.0,0.0,0.0,678.696,2316.0,2316.0,12.838,198.0,198.0,,,
2022-03-01,0.0,0.0,0.0,995.417,3396.0,3396.0,1.733,24.0,24.0,,,
2022-04-01,0.0,0.0,0.0,1140.11,3890.0,3890.0,0.87,12.0,12.0,,,
2022-05-01,0.0,0.0,0.0,830.85,2835.0,2835.0,0.606,12.0,12.0,,,
2022-06-01,0.0,0.0,0.0,391.819,1337.0,1337.0,4.547,72.0,72.0,,,
2022-07-01,0.0,0.0,0.0,223.032,761.0,761.0,2.798,42.0,42.0,,,
2022-08-01,0.0,0.0,0.0,195.451,667.0,667.0,0.834,12.0,12.0,,,
2022-09-01,0.0,0.0,0.0,365.217,1246.0,1246.0,1.672,24.0,24.0,,,
2022-10-01,0.0,0.0,0.0,478.659,1633.0,1633.0,1.299,18.0,18.0,,,
2022-11-01,0.0,0.0,0.0,531.619,1814.0,1814.0,1.471,24.0,24.0,,,
2022-12-01,0.0,0.0,0.0,769.389,2625.0,2625.0,30.847,474.0,474.0,,,
2023-01-01,0.0,0.0,0.0,1433.0,4889.0,4889.0,22.323,330.0,330.0,,,
2023-02-01,0.0,0.0,0.0,1227.0,4187.0,4187.0,27.659,414.0,414.0,,,
2023-03-01,0.0,0.0,0.0,1411.0,4814.0,4814.0,14.234,210.0,210.0,,,
2023-04-01,0.0,0.0,0.0,890.0,3037.0,3037.0,14.842,222.0,222.0,,,
2023-05-01,0.0,0.0,0.0,711.0,2426.0,2426.0,6.093,90.0,90.0,,,
2023-06-01,0.0,0.0,0.0,76.0,259.0,259.0,22.165,330.0,330.0,,,
2023-07-01,0.0,0.0,0.0,1142.0,3897.0,3897.0,35.468,528.0,528.0,,,
2023-08-01,0.0,0.0,0.0,811.0,2767.0,2767.0,11.166,168.0,168.0,,,
2023-09-01,0.0,0.0,0.0,802.0,2736.0,2736.0,19.477,288.0,288.0,,,
2023-10-01,0.0,0.0,0.0,1218.0,4156.0,4156.0,19.096,282.0,282.0,,,
2023-11-01,0.0,0.0,0.0,810.0,2764.0,2764.0,11.65,174.0,174.0,,,
2023-12-01,0.0,0.0,0.0,1148.0,3917.0,3917.0,14.827,222.0,222.0,,,
2024-01-01,0.0,0.0,0.0,1382.0,4715.0,4715.0,0.0,0.0,0.0,,,
2024-02-01,0.0,0.0,0.0,1340.0,4572.0,4572.0,0.0,0.0,0.0,,,
2024-03-01,0.0,0.0,0.0,1440.0,4913.0,4913.0,0.0,0.0,0.0,,,
2024-04-01,0.0,0.0,0.0,1280.0,4367.0,4367.0,0.0,0.0,0.0,,,
2024-05-01,0.0,0.0,0.0,1380.0,4709.0,4709.0,0.0,0.0,0.0,,,
2024-06-01,0.0,0.0,0.0,444.0,1515.0,1515.0,0.0,0.0,0.0,,,
2024-07-01,0.0,0.0,0.0,114.0,389.0,389.0,0.0,0.0,0.0,,,
2024-08-01,0.0,0.0,0.0,8.0,27.0,27.0,0.0,0.0,0.0,,,
2024-09-01,0.0,0.0,0.0,5.0,17.0,17.0,0.0,0.0,0.0,,,
2024-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2024-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2024-12-01,0.0,0.0,0.0,329.0,1123.0,1123.0,0.0,0.0,0.0,,,
