measured_on,"Agricultural By-Products-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Agricultural By-Products-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Agricultural By-Products-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2006-08-01,,,,1027017.0,10078677.0,10078677.0,292.0,2903.0,2903.0
2006-09-01,,,,814213.0,8117175.0,8117175.0,636.0,6381.0,6381.0
2006-10-01,,,,590392.0,5691304.0,5691304.0,508.0,4927.0,4927.0
2006-11-01,,,,601765.0,6021177.0,6021177.0,938.0,9435.0,9435.0
2006-12-01,,,,807508.0,7876001.0,7876001.0,1422.0,14083.0,14083.0
2007-01-01,,,,948536.478,9120577.0,9120577.0,1988.5220000000002,19120.0,19120.0
2007-02-01,,,,925957.541,8937343.0,8937343.0,961.4590000000001,9280.0,9280.0
2007-03-01,,,,887391.87,8509930.0,8509930.0,1671.13,16026.0,16026.0
2007-04-01,,,,865033.858,8428304.0,8428304.0,1496.143,14577.0,14577.0
2007-05-01,,,,957387.142,9313549.0,9313549.0,392.85900000000004,3822.0,3822.0
2007-06-01,,,,851013.56,8889742.0,8889742.0,1610.44,16823.0,16823.0
2007-07-01,,,,989385.175,9795156.0,9795156.0,716.825,7097.0,7097.0
2007-08-01,,,,966265.3,9652475.0,9652475.0,266.7,2664.0,2664.0
2007-09-01,,,,689512.923,6739275.0,6739275.0,629.076,6149.0,6149.0
2007-10-01,,,,720208.176,6977506.0,6977506.0,318.824,3089.0,3089.0
2007-11-01,,,,813843.614,7983378.0,7983378.0,2135.386,20947.0,20947.0
2007-12-01,,,,745176.777,7202565.0,7202565.0,1919.2240000000002,18550.0,18550.0
2008-01-01,,,,962614.308,9459989.0,9459989.0,1340.692,13176.0,13176.0
2008-02-01,,,,887312.164,8642760.0,8642760.0,846.836,8249.0,8249.0
2008-03-01,,,,757475.616,7290632.0,7290632.0,523.384,5038.0,5038.0
2008-04-01,,,,587373.425,5872953.0,5872953.0,1654.575,16544.0,16544.0
2008-05-01,,,,890691.422,8747716.0,8747716.0,815.5780000000001,8010.0,8010.0
2008-06-01,,,,967466.962,9568085.0,9568085.0,844.038,8347.0,8347.0
2008-07-01,,,,901518.186,8982649.0,8982649.0,900.8140000000001,8976.0,8976.0
2008-08-01,,,,915730.289,9104885.0,9104885.0,668.711,6649.0,6649.0
2008-09-01,,,,852273.222,8314118.0,8314118.0,196.77800000000002,1920.0,1920.0
2008-10-01,,,,696994.344,6831238.0,6831238.0,543.6560000000001,5328.0,5328.0
2008-11-01,,,,875248.013,8636334.0,8636334.0,720.9870000000001,7114.0,7114.0
2008-12-01,,,,848529.792,8148289.0,8148289.0,737.2080000000001,7079.0,7079.0
2009-01-01,,,,526411.692,5308845.0,5308845.0,355.308,3583.0,3583.0
2009-02-01,,,,358635.751,3629045.0,3629045.0,1215.249,12297.0,12297.0
2009-03-01,,,,318733.906,3155924.0,3155924.0,343.094,3397.0,3397.0
2009-04-01,,,,339429.255,3567073.0,3567073.0,1098.745,11547.0,11547.0
2009-05-01,,,,434049.696,4550226.0,4550226.0,1595.304,16724.0,16724.0
2009-06-01,,,,701891.232,7026406.0,7026406.0,897.768,8987.0,8987.0
2009-07-01,,,,904641.492,8938439.0,8938439.0,537.508,5311.0,5311.0
2009-08-01,,,,1063764.116,10372566.0,10372566.0,54.884,535.0,535.0
2009-09-01,,,,657997.9,6313966.0,6313966.0,537.1,5154.0,5154.0
2009-10-01,,,,439382.446,4434188.0,4434188.0,924.5540000000001,9330.0,9330.0
2009-11-01,,,,300634.122,3034114.0,3034114.0,168.87800000000001,1704.0,1704.0
2009-12-01,,,,378767.568,3881005.0,3881005.0,959.432,9831.0,9831.0
2010-01-01,,,,627592.993,6269925.0,6269925.0,853.0070000000001,8522.0,8522.0
2010-02-01,,,,454371.811,4525209.0,4525209.0,800.1890000000001,7969.0,7969.0
2010-03-01,,,,458888.925,4470960.0,4470960.0,631.075,6149.0,6149.0
2010-04-01,,,,257013.304,2687061.0,2687061.0,539.696,5642.0,5642.0
2010-05-01,,,,353102.445,3692977.0,3692977.0,1460.555,15275.0,15275.0
2010-06-01,,,,562414.013,5895916.0,5895916.0,747.9870000000001,7841.0,7841.0
2010-07-01,,,,621835.977,6424854.0,6424854.0,514.023,5311.0,5311.0
2010-08-01,,,,638392.453,6597468.0,6597468.0,828.547,8563.0,8563.0
2010-09-01,,,,604605.443,6066903.0,6066903.0,549.557,5515.0,5515.0
2010-10-01,,,,365724.541,3672343.0,3672343.0,1073.459,10779.0,10779.0
2010-11-01,40.782000000000004,416.0,416.0,265522.32,2708497.0,2708497.0,1163.8980000000001,11872.0,11872.0
2010-12-01,0.0,0.0,0.0,485864.445,5027162.0,5027162.0,2829.5550000000003,29277.0,29277.0
2011-01-01,171.899,1744.0,1744.0,546127.05,5540713.0,5540713.0,907.055,9202.0,9202.0
2011-02-01,0.0,0.0,0.0,387745.21,3848836.0,3848836.0,1568.789,15572.0,15572.0
2011-03-01,0.0,0.0,0.0,302056.28,3089455.0,3089455.0,1412.722,14449.0,14449.0
2011-04-01,0.0,0.0,0.0,292022.83,3071078.0,3071078.0,1808.173,19016.0,19016.0
2011-05-01,0.0,0.0,0.0,703364.28,7012095.0,7012095.0,1783.721,17783.0,17783.0
2011-06-01,0.0,0.0,0.0,779374.65,7759687.0,7759687.0,751.35,7481.0,7481.0
2011-07-01,0.0,0.0,0.0,808967.65,8195431.0,8195431.0,1438.355,14572.0,14572.0
2011-08-01,0.0,0.0,0.0,822715.2,8178306.0,8178306.0,915.798,9104.0,9104.0
2011-09-01,0.0,0.0,0.0,393522.97,3787971.0,3787971.0,649.033,6247.0,6247.0
2011-10-01,0.0,0.0,0.0,151877.69,1583968.0,1583968.0,1427.306,14886.0,14886.0
2011-11-01,0.0,0.0,0.0,162284.67,1519581.0,1519581.0,2087.334,19545.0,19545.0
2011-12-01,0.0,0.0,0.0,122599.78,1430326.0,1430326.0,2061.219,24047.0,24047.0
2012-01-01,0.0,0.0,0.0,124334.58,1249928.0,1249928.0,985.418,9906.0,9906.0
2012-02-01,0.0,0.0,0.0,108374.18,1236314.0,1236314.0,1070.817,12216.0,12216.0
2012-03-01,0.0,0.0,0.0,115846.53,1414898.0,1414898.0,1295.466,15822.0,15822.0
2012-04-01,0.0,0.0,0.0,280740.2,2773098.0,2773098.0,2290.804,22628.0,22628.0
2012-05-01,0.0,0.0,0.0,132821.28,1466448.0,1466448.0,945.724,10442.0,10442.0
2012-06-01,0.0,0.0,0.0,192670.2,2224288.0,2224288.0,1144.804,13216.0,13216.0
2012-07-01,0.0,0.0,0.0,592660.79,6020887.0,6020887.0,1934.213,19650.0,19650.0
2012-08-01,0.0,0.0,0.0,158285.82,1661494.0,1661494.0,728.178,7644.0,7644.0
2012-09-01,0.0,0.0,0.0,82591.571,814795.0,814795.0,476.429,4700.0,4700.0
2012-10-01,0.0,0.0,0.0,69373.068,781558.0,781558.0,155.932,1757.0,1757.0
2012-11-01,0.0,0.0,0.0,98436.072,961610.0,961610.0,1452.928,14193.0,14193.0
2012-12-01,0.0,0.0,0.0,130179.25,1351270.0,1351270.0,484.747,5032.0,5032.0
2013-01-01,0.0,0.0,0.0,69448.265,695541.0,695541.0,195.735,1960.0,1960.0
2013-02-01,0.0,0.0,0.0,-2399.437,72297.0,72297.0,-95.563,2879.0,2879.0
2013-03-01,0.0,0.0,0.0,55763.379,531536.0,531536.0,750.621,7155.0,7155.0
2013-04-01,0.0,0.0,0.0,259759.4,2800535.0,2800535.0,1481.596,15973.0,15973.0
2013-05-01,0.0,0.0,0.0,153259.91,1899498.0,1899498.0,1338.092,16584.0,16584.0
2013-06-01,0.0,0.0,0.0,637927.76,6455576.0,6455576.0,620.236,6277.0,6277.0
2013-07-01,0.0,0.0,0.0,573389.71,5971160.0,5971160.0,1180.293,12291.0,12291.0
2013-08-01,0.0,0.0,0.0,426280.28,4305693.0,4305693.0,1048.724,10593.0,10593.0
2013-09-01,0.0,0.0,0.0,269729.21,2531778.0,2531778.0,376.795,3537.0,3537.0
2013-10-01,0.0,0.0,0.0,-2634.572,0.0,0.0,-16.428,0.0,0.0
2013-11-01,0.0,0.0,0.0,171218.07,1757977.0,1757977.0,1416.932,14548.0,14548.0
2013-12-01,0.0,0.0,0.0,70182.409,856506.0,856506.0,865.591,10564.0,10564.0
2014-01-01,0.0,0.0,0.0,470297.13,4965098.0,4965098.0,2683.871,28335.0,28335.0
2014-02-01,0.0,0.0,0.0,570682.28,5637063.0,5637063.0,1001.717,9895.0,9895.0
2014-03-01,0.0,0.0,0.0,90495.145,673490.0,673490.0,490.855,3653.0,3653.0
2014-04-01,0.0,0.0,0.0,-2183.406,0.0,0.0,-7.594,0.0,0.0
2014-05-01,,,,-2403.0,118.0,118.0,0.0,0.0,0.0
2014-06-01,,,,320585.55,3657923.0,3657923.0,1504.45,17166.0,17166.0
2014-07-01,,,,392900.97,3914766.0,3914766.0,641.031,6387.0,6387.0
2014-08-01,0.0,0.0,0.0,164381.52,1795363.0,1795363.0,620.477,6777.0,6777.0
2014-09-01,0.0,0.0,0.0,117937.51,1141671.0,1141671.0,193.493,1873.0,1873.0
2014-10-01,0.0,0.0,0.0,85069.464,927401.0,927401.0,286.536,3124.0,3124.0
2014-11-01,0.0,0.0,0.0,214581.36,2130286.0,2130286.0,1098.638,10907.0,10907.0
2014-12-01,0.0,0.0,0.0,106792.73,1110188.0,1110188.0,209.274,2176.0,2176.0
2015-01-01,,,,199592.1,2087321.0,2087321.0,928.902,9714.0,9714.0
2015-02-01,,,,350909.21,3643337.0,3643337.0,1322.789,13734.0,13734.0
2015-03-01,,,,217809.62,2120317.0,2120317.0,1175.384,11442.0,11442.0
2015-04-01,,,,-803.231,0.0,0.0,-2.769,0.0,0.0
