measured_on,Natural Gas-Combined Cycle Single Shaft Generation,Natural Gas-Combined Cycle Single Shaft Quantity Consumed For Electricity,Natural Gas-Combined Cycle Single Shaft Total Fuel Consumed,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,Other Gases-Combustion (Gas) Turbine (including jet engine design) Generation,Other Gases-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Other Gases-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed
2006-02-01,,,,22826.16,107674.19,316897.66,0.0,0.0,0.0
2006-03-01,,,,23554.3,111108.92,337870.85,0.0,0.0,0.0
2006-04-01,,,,19407.18619,91546.41,295723.42,1462.89381,6900.67,22291.33
2006-05-01,,,,18876.68624,89043.97,277952.05,824.25376,3888.12,12136.82
2006-06-01,,,,21521.72153,101520.97,319070.11,49.05847,231.42,727.32
2006-07-01,,,,20378.36809,96127.61,305004.94,1495.23191,7053.22,22379.28
2006-08-01,,,,20075.64643,94699.63,283120.49,1781.29357,8402.61,25121.02
2006-09-01,,,,20519.97668,96795.6,307523.79,42.38332,199.93,635.18
2006-10-01,,,,19428.5,91646.95,291460.0,0.0,0.0,0.0
2006-11-01,,,,20192.83434,95252.42,292976.96,112.76566,531.93,1636.11
2006-12-01,,,,24158.02753,113956.79,334720.91,1342.55247,6333.01,18601.7
2007-01-01,,,,24732.935,116669.0,340391.0,379.565,1791.0,5224.0
2007-02-01,,,,17401.9,82087.0,247198.0,91.1,430.0,1294.0
2007-03-01,,,,12248.126,57776.0,181986.0,1265.094,5968.0,18797.0
2007-04-01,,,,18667.1,88056.0,273044.0,1887.42,8904.0,27607.0
2007-05-01,,,,17881.384,84349.0,268523.0,2868.156,13530.0,43071.0
2007-06-01,,,,15987.335,75414.0,246924.0,1513.505,7139.0,23376.0
2007-07-01,,,,16878.107,79617.0,272821.0,1419.473,6695.0,22945.0
2007-08-01,,,,18537.895,87446.0,287769.0,961.165,4534.0,14920.0
2007-09-01,,,,16778.228,79145.0,278025.0,1166.5520000000001,5503.0,19330.0
2007-10-01,,,,17186.886,81073.0,266461.0,1609.5140000000001,7593.0,24954.0
2007-11-01,,,,18079.976000000002,85286.0,283429.0,698.784,3296.0,10954.0
2007-12-01,,,,19696.04,92909.0,291555.0,0.0,0.0,0.0
2008-01-01,17541.472999999998,205675.0,242415.0,0.0,0.0,0.0,,,
2008-02-01,14823.207,173803.0,204851.0,0.0,0.0,0.0,,,
2008-03-01,17008.443,199425.0,235050.0,0.0,0.0,0.0,,,
2008-04-01,16538.97,193921.0,228563.0,0.0,0.0,0.0,,,
2008-05-01,20115.207,235853.0,277985.0,0.0,0.0,0.0,,,
2008-06-01,24433.645,286487.0,337663.0,0.0,0.0,0.0,,,
2008-07-01,26511.393,310848.0,366378.0,0.0,0.0,0.0,,,
2008-08-01,26114.183,306191.0,360888.0,0.0,0.0,0.0,,,
2008-09-01,17601.243000000002,206376.0,243242.0,0.0,0.0,0.0,,,
2008-10-01,16851.738,197588.0,232885.0,0.0,0.0,0.0,,,
2008-11-01,12953.155999999999,151877.0,179007.0,0.0,0.0,0.0,,,
2008-12-01,14356.252,168328.0,198398.0,0.0,0.0,0.0,,,
2009-01-01,16849.914,191640.0,230744.0,0.0,0.0,0.0,,,
2009-02-01,14378.385,163530.0,196899.0,0.0,0.0,0.0,,,
2009-03-01,18501.797,210427.0,253366.0,0.0,0.0,0.0,,,
2009-04-01,16137.399000000001,183536.0,220987.0,0.0,0.0,0.0,,,
2009-05-01,21603.873,245708.0,295846.0,0.0,0.0,0.0,,,
2009-06-01,28890.161,328577.0,395624.0,0.0,0.0,0.0,,,
2009-07-01,31868.174,362447.0,436406.0,0.0,0.0,0.0,,,
2009-08-01,31975.273,363665.0,437873.0,0.0,0.0,0.0,,,
2009-09-01,23926.58,272125.0,327653.0,0.0,0.0,0.0,,,
2009-10-01,19258.501,219033.0,263727.0,0.0,0.0,0.0,,,
2009-11-01,14815.366,168500.0,202883.0,0.0,0.0,0.0,,,
2009-12-01,19383.577,220456.0,265440.0,0.0,0.0,0.0,,,
2010-01-01,,,,20910.137,96663.0,290462.0,,,
2010-02-01,,,,19595.650999999998,90587.0,272203.0,,,
2010-03-01,,,,15540.033,71838.0,215867.0,,,
2010-04-01,,,,18219.316,84224.0,253085.0,,,
2010-05-01,,,,22258.263,102895.0,309190.0,,,
2010-06-01,,,,26782.935,123812.0,372042.0,,,
2010-07-01,,,,27975.619,129326.0,388609.0,,,
2010-08-01,,,,33153.627,153262.0,460538.0,,,
2010-09-01,,,,24113.99,111474.0,334968.0,,,
2010-10-01,,,,17924.382,82861.0,248988.0,,,
2010-11-01,,,,16192.158,74853.0,224926.0,,,
2010-12-01,,,,16897.889,78116.0,234729.0,,,
2011-01-01,,,,16540.868,76465.0,240216.0,,,
2011-02-01,,,,15019.031,69430.0,218115.0,,,
2011-03-01,,,,13511.484,62461.0,196221.0,,,
2011-04-01,,,,17427.821,80565.0,253096.0,,,
2011-05-01,,,,18560.5,85801.0,269546.0,,,
2011-06-01,,,,24092.894,111377.0,349891.0,,,
2011-07-01,,,,29219.116,135074.0,424337.0,,,
2011-08-01,,,,31448.424,145380.0,456711.0,,,
2011-09-01,,,,22128.237,102294.0,321359.0,,,
2011-10-01,,,,16887.817,78069.0,245254.0,,,
2011-11-01,,,,15581.644,72031.0,226285.0,,,
2011-12-01,,,,18717.164,86526.0,271821.0,,,
2012-01-01,,,,19455.577,89939.0,278812.0,,,
2012-02-01,,,,18134.394,83832.0,259878.0,,,
2012-03-01,,,,19899.218,91990.0,285169.0,,,
2012-04-01,,,,22391.192,103510.0,320881.0,,,
2012-05-01,,,,24056.097,111206.0,344740.0,,,
2012-06-01,,,,26726.846,123553.0,383013.0,,,
2012-07-01,,,,28834.5,133296.0,413218.0,,,
2012-08-01,,,,29906.364,138251.0,428578.0,,,
2012-09-01,,,,23103.059,106801.0,331082.0,,,
2012-10-01,,,,18145.541,83883.0,260037.0,,,
2012-11-01,,,,16436.049,75981.0,235539.0,,,
2012-12-01,,,,17687.163,81764.0,253469.0,,,
2013-01-01,,,,21334.006,98623.0,280825.0,0.0,0.0,0.0
2013-02-01,,,,16851.305,77900.0,221818.0,0.0,0.0,0.0
2013-03-01,,,,18140.333,83859.0,238786.0,0.0,0.0,0.0
2013-04-01,,,,19552.768,90388.0,257379.0,0.0,0.0,0.0
2013-05-01,,,,21047.359,97298.0,277051.0,0.0,0.0,0.0
2013-06-01,,,,25980.523,120103.0,341988.0,0.0,0.0,0.0
2013-07-01,,,,28811.367,133189.0,379251.0,0.0,0.0,0.0
2013-08-01,,,,32067.511,148242.0,422112.0,0.0,0.0,0.0
2013-09-01,,,,27130.943,125421.0,357132.0,0.0,0.0,0.0
2013-10-01,,,,21228.13,98133.0,279431.0,0.0,0.0,0.0
2013-11-01,,,,20752.338,95934.0,273169.0,0.0,0.0,0.0
2013-12-01,,,,22691.417,104898.0,298693.0,0.0,0.0,0.0
2014-01-01,,,,17547.075,81117.0,227411.0,0.0,0.0,0.0
2014-02-01,,,,15312.914,70788.0,198456.0,0.0,0.0,0.0
2014-03-01,,,,15540.601,71841.0,201407.0,0.0,0.0,0.0
2014-04-01,,,,16072.778,74301.0,208304.0,0.0,0.0,0.0
2014-05-01,,,,17786.746,82225.0,230517.0,0.0,0.0,0.0
2014-06-01,,,,20773.858,96033.0,269231.0,0.0,0.0,0.0
2014-07-01,,,,24135.176,111572.0,312793.0,0.0,0.0,0.0
2014-08-01,,,,26888.407,124300.0,348475.0,0.0,0.0,0.0
2014-09-01,,,,21859.437,101052.0,283299.0,0.0,0.0,0.0
2014-10-01,,,,19145.499,88506.0,248127.0,0.0,0.0,0.0
2014-11-01,,,,16607.615,76774.0,215236.0,0.0,0.0,0.0
2014-12-01,,,,18142.894,83871.0,235133.0,0.0,0.0,0.0
2015-01-01,,,,20676.727,95584.0,314592.0,0.0,0.0,0.0
2015-02-01,,,,18741.107,86636.0,285142.0,0.0,0.0,0.0
2015-03-01,,,,21245.888,98215.0,323252.0,0.0,0.0,0.0
2015-04-01,,,,19686.823,91008.0,299531.0,0.0,0.0,0.0
2015-05-01,,,,20471.601,94636.0,311471.0,0.0,0.0,0.0
2015-06-01,,,,24088.424,111356.0,366501.0,0.0,0.0,0.0
2015-07-01,,,,28564.153,132046.0,434597.0,0.0,0.0,0.0
2015-08-01,,,,29347.521,135668.0,446516.0,0.0,0.0,0.0
2015-09-01,,,,24607.297,113755.0,374395.0,0.0,0.0,0.0
2015-10-01,,,,21437.58,99102.0,326168.0,0.0,0.0,0.0
2015-11-01,,,,18619.698,86075.0,283295.0,0.0,0.0,0.0
2015-12-01,,,,20990.181,97033.0,319361.0,0.0,0.0,0.0
2016-01-01,,,,22856.554,90682.0,318505.0,0.0,0.0,0.0
2016-02-01,,,,19959.568,79188.0,278136.0,0.0,0.0,0.0
2016-03-01,,,,22465.779,89132.0,313060.0,0.0,0.0,0.0
2016-04-01,,,,21437.591,85052.0,298732.0,0.0,0.0,0.0
2016-05-01,,,,23955.84,95043.0,333824.0,0.0,0.0,0.0
2016-06-01,,,,26787.78,106279.0,373287.0,0.0,0.0,0.0
2016-07-01,,,,29944.011,118801.0,417269.0,0.0,0.0,0.0
2016-08-01,,,,30824.765,122295.0,429543.0,0.0,0.0,0.0
2016-09-01,,,,26040.198,103313.0,362869.0,0.0,0.0,0.0
2016-10-01,,,,20520.094,81412.0,285947.0,0.0,0.0,0.0
2016-11-01,,,,18351.53,72809.0,255728.0,0.0,0.0,0.0
2016-12-01,,,,17092.29,67813.0,238180.0,0.0,0.0,0.0
2017-01-01,,,,12194.038,48379.0,169823.0,0.0,0.0,0.0
2017-02-01,,,,10806.654,42875.0,150500.0,0.0,0.0,0.0
2017-03-01,,,,12732.724,50516.0,177324.0,0.0,0.0,0.0
2017-04-01,,,,12586.29,49935.0,175284.0,0.0,0.0,0.0
2017-05-01,,,,14363.791,56988.0,200039.0,0.0,0.0,0.0
2017-06-01,,,,18399.114,72997.0,256237.0,0.0,0.0,0.0
2017-07-01,,,,22571.082,89549.0,314339.0,0.0,0.0,0.0
2017-08-01,,,,21547.158,85487.0,300079.0,0.0,0.0,0.0
2017-09-01,,,,15890.728,63046.0,221304.0,0.0,0.0,0.0
2017-10-01,,,,14042.899,55714.0,195570.0,0.0,0.0,0.0
2017-11-01,,,,11678.909,46335.0,162648.0,0.0,0.0,0.0
2017-12-01,,,,15273.613,60597.0,212710.0,0.0,0.0,0.0
2018-01-01,,,,20178.335,80056.0,286308.0,0.0,0.0,0.0
2018-02-01,,,,18149.602,72007.0,257523.0,0.0,0.0,0.0
2018-03-01,,,,18349.572,72801.0,260361.0,0.0,0.0,0.0
2018-04-01,,,,17034.855,67585.0,241706.0,0.0,0.0,0.0
2018-05-01,,,,23050.111,91450.0,327056.0,0.0,0.0,0.0
2018-06-01,,,,25139.616,99740.0,356704.0,0.0,0.0,0.0
2018-07-01,,,,31262.145,124031.0,443576.0,0.0,0.0,0.0
2018-08-01,,,,29105.425,115474.0,412974.0,0.0,0.0,0.0
2018-09-01,,,,24692.539,97966.0,350361.0,0.0,0.0,0.0
2018-10-01,,,,20745.537,82307.0,294356.0,0.0,0.0,0.0
2018-11-01,,,,17909.003,71053.0,254109.0,0.0,0.0,0.0
2018-12-01,,,,19377.26,76878.0,274942.0,0.0,0.0,0.0
2019-01-01,,,,19757.679,78387.0,277659.0,0.0,0.0,0.0
2019-02-01,,,,15883.769,63018.0,223218.0,0.0,0.0,0.0
2019-03-01,,,,17067.343,67714.0,239851.0,0.0,0.0,0.0
2019-04-01,,,,15378.484,61013.0,216117.0,0.0,0.0,0.0
2019-05-01,,,,20918.89,82994.0,293978.0,0.0,0.0,0.0
2019-06-01,,,,24132.688,95745.0,339141.0,0.0,0.0,0.0
2019-07-01,,,,27769.184,110173.0,390246.0,0.0,0.0,0.0
2019-08-01,,,,29896.579,118613.0,420143.0,0.0,0.0,0.0
2019-09-01,,,,25838.742,102514.0,363117.0,0.0,0.0,0.0
2019-10-01,,,,20035.535,79490.0,281563.0,0.0,0.0,0.0
2019-11-01,,,,18173.378,72102.0,255394.0,0.0,0.0,0.0
2019-12-01,,,,20205.729,80165.0,283955.0,0.0,0.0,0.0
2020-01-01,,,,15485.434,61438.0,234696.0,0.0,0.0,0.0
2020-02-01,,,,14733.089,58453.0,223295.0,0.0,0.0,0.0
2020-03-01,,,,14356.823,56960.0,217592.0,0.0,0.0,0.0
2020-04-01,,,,12783.355,50717.0,193744.0,0.0,0.0,0.0
2020-05-01,,,,15304.014,60718.0,231947.0,0.0,0.0,0.0
2020-06-01,,,,18101.174,71815.0,274341.0,0.0,0.0,0.0
2020-07-01,,,,22022.914,87375.0,333778.0,0.0,0.0,0.0
2020-08-01,,,,21315.288,84567.0,323054.0,0.0,0.0,0.0
2020-09-01,,,,17588.966,69783.0,266578.0,0.0,0.0,0.0
2020-10-01,,,,15210.334,60346.0,230527.0,0.0,0.0,0.0
2020-11-01,,,,11913.894,47268.0,180567.0,0.0,0.0,0.0
2020-12-01,,,,13093.715,51949.0,198448.0,0.0,0.0,0.0
2021-01-01,,,,17559.272,69665.0,258992.0,0.0,0.0,0.0
2021-02-01,,,,17075.609,67746.0,251859.0,0.0,0.0,0.0
2021-03-01,,,,13307.974,52799.0,196287.0,0.0,0.0,0.0
2021-04-01,,,,15159.781,60146.0,223601.0,0.0,0.0,0.0
2021-05-01,,,,17351.979,68843.0,255935.0,0.0,0.0,0.0
2021-06-01,,,,23619.418,93709.0,348377.0,0.0,0.0,0.0
2021-07-01,,,,26020.261,103234.0,383788.0,0.0,0.0,0.0
2021-08-01,,,,26535.111,105277.0,391382.0,0.0,0.0,0.0
2021-09-01,,,,22422.623,88960.0,330725.0,0.0,0.0,0.0
2021-10-01,,,,18973.453,75276.0,279851.0,0.0,0.0,0.0
2021-11-01,,,,15606.054,61916.0,230183.0,0.0,0.0,0.0
2021-12-01,,,,16376.465,64973.0,241547.0,0.0,0.0,0.0
2022-01-01,,,,16541.052,65626.0,248142.0,0.0,0.0,0.0
2022-02-01,,,,14726.475,58426.0,220922.0,0.0,0.0,0.0
2022-03-01,,,,11726.855,46526.0,175922.0,0.0,0.0,0.0
2022-04-01,,,,12224.49,48500.0,183388.0,0.0,0.0,0.0
2022-05-01,,,,18058.852,71647.0,270913.0,0.0,0.0,0.0
2022-06-01,,,,21982.715,87215.0,329778.0,0.0,0.0,0.0
2022-07-01,,,,25904.25,102774.0,388607.0,0.0,0.0,0.0
2022-08-01,,,,26039.087,103309.0,390630.0,0.0,0.0,0.0
2022-09-01,,,,21949.387,87083.0,329278.0,0.0,0.0,0.0
2022-10-01,,,,16963.963,67304.0,254488.0,0.0,0.0,0.0
2022-11-01,,,,15899.908,63082.0,238525.0,0.0,0.0,0.0
2022-12-01,,,,17644.966,70005.0,264704.0,0.0,0.0,0.0
2023-01-01,,,,15972.022,63368.0,244391.0,0.0,0.0,0.0
2023-02-01,,,,15064.26,59767.0,230501.0,0.0,0.0,0.0
2023-03-01,,,,14867.266,58985.0,227487.0,0.0,0.0,0.0
2023-04-01,,,,14358.446,56966.0,219700.0,0.0,0.0,0.0
2023-05-01,,,,20499.472,81330.0,313665.0,0.0,0.0,0.0
2023-06-01,,,,23680.555,93951.0,362340.0,0.0,0.0,0.0
2023-07-01,,,,25970.386,103036.0,397376.0,0.0,0.0,0.0
2023-08-01,,,,28584.746,113408.0,437379.0,0.0,0.0,0.0
2023-09-01,,,,24080.82,95539.0,368464.0,0.0,0.0,0.0
2023-10-01,,,,17775.132,70522.0,271980.0,0.0,0.0,0.0
2023-11-01,,,,16480.223,65384.0,252166.0,0.0,0.0,0.0
2023-12-01,,,,17511.672,69477.0,267949.0,0.0,0.0,0.0
2024-01-01,,,,14631.88,58051.0,301972.0,5340.169,21187.0,110210.0
2024-02-01,,,,10102.125,40080.0,208486.0,3556.21,14109.0,73393.0
2024-03-01,,,,11464.031,45483.0,236593.0,5442.056,21591.0,112313.0
2024-04-01,,,,10770.73,42732.0,222285.0,4827.818,19154.0,99636.0
2024-05-01,,,,14390.884,57095.0,296997.0,4213.656,16717.0,86961.0
2024-06-01,,,,16235.483,64413.0,335066.0,4958.844,19674.0,102340.0
2024-07-01,,,,17549.268,69626.0,362179.0,4479.944,17774.0,92456.0
2024-08-01,,,,19829.493,78672.0,409239.0,4799.543,19042.0,99052.0
2024-09-01,,,,16453.1,65277.0,339557.0,4621.237,18334.0,95372.0
2024-10-01,,,,14252.006,56544.0,294131.0,5074.633,20133.0,104730.0
2024-11-01,,,,11417.738,45299.0,235638.0,4429.443,17574.0,91414.0
2024-12-01,,,,12248.411,48595.0,252781.0,4824.298,19140.0,99563.0
