measured_on,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed"
2005-02-01,49.355,520.0,520.0,,,,418.666,5950.77,5950.77
2005-03-01,54.704,576.35,576.35,,,,580.977,8257.79,8257.79
2005-04-01,66.263,698.12,698.12,,,,551.496,7838.76,7838.76
2005-05-01,61.541000000000004,648.38,648.38,,,,527.361,7495.72,7495.72
2005-06-01,79.87400000000001,841.54,841.54,,,,995.5070000000001,14149.77,14149.77
2005-07-01,81.302,856.57,856.57,,,,1310.538,18627.5,18627.5
2005-08-01,95.51,1006.27,1006.27,,,,1301.8890000000001,18504.56,18504.56
2005-09-01,62.522000000000006,658.71,658.71,,,,788.21,11203.33,11203.33
2005-10-01,69.432,731.51,731.51,,,,558.888,7943.82,7943.82
2005-11-01,55.817,588.07,588.07,,,,489.821,6962.13,6962.13
2005-12-01,118.024,1243.46,1243.46,,,,612.3190000000001,8703.27,8703.27
2006-01-01,23.975,248.0,248.0,,,,207.18900000000002,3594.0,3594.0
2006-02-01,12.545,130.0,130.0,,,,234.208,4062.0,4062.0
2006-03-01,10.538,109.0,109.0,,,,308.63100000000003,5353.0,5353.0
2006-04-01,20.186,209.0,209.0,,,,255.40300000000002,4430.0,4430.0
2006-05-01,18.869,196.0,196.0,,,,336.43100000000004,5835.0,5835.0
2006-06-01,17.151,178.0,178.0,,,,433.36100000000005,7516.0,7516.0
2006-07-01,24.843,257.0,257.0,,,,775.484,13450.0,13450.0
2006-08-01,24.098000000000003,250.0,250.0,,,,689.086,11952.0,11952.0
2006-09-01,11.071,115.0,115.0,,,,405.335,7030.0,7030.0
2006-10-01,11.694,121.0,121.0,,,,439.058,7615.0,7615.0
2006-11-01,13.771,143.0,143.0,,,,295.175,5120.0,5120.0
2006-12-01,15.258000000000001,158.0,158.0,,,,299.64,5197.0,5197.0
2007-01-01,10.316,100.0,100.0,,,,138.0,4453.0,4453.0
2007-02-01,20.57,195.0,195.0,,,,0.0,0.0,0.0
2007-03-01,13.272,124.0,124.0,,,,0.0,0.0,0.0
2007-04-01,13.893,130.0,130.0,,,,0.0,0.0,0.0
2007-05-01,12.168000000000001,118.0,118.0,,,,101.0,1047.0,1047.0
2007-06-01,11.954,112.0,112.0,,,,333.0,8028.0,8028.0
2007-07-01,12.766,124.0,124.0,,,,120.0,2459.0,2459.0
2007-08-01,15.134,142.0,142.0,,,,1116.0,19695.0,19695.0
2007-09-01,17.676000000000002,171.0,171.0,,,,216.0,4406.0,4406.0
2007-10-01,19.819000000000003,189.0,189.0,,,,140.0,3589.0,3589.0
2007-11-01,19.687,189.0,189.0,,,,512.0,9600.0,9600.0
2007-12-01,15.746,148.0,148.0,,,,0.0,0.0,0.0
2008-01-01,35.53,380.0,380.0,,,,70.0,1327.0,1327.0
2008-02-01,29.554000000000002,304.0,304.0,,,,34.0,651.0,651.0
2008-03-01,25.717000000000002,263.0,263.0,,,,416.0,7080.0,7080.0
2008-04-01,26.231,269.0,269.0,,,,516.0,8955.0,8955.0
2008-05-01,29.545,304.0,304.0,,,,517.0,9561.0,9561.0
2008-06-01,20.990000000000002,216.0,216.0,,,,516.0,8973.0,8973.0
2008-07-01,17.511,181.0,181.0,,,,516.0,9031.0,9031.0
2008-08-01,24.916,257.0,257.0,,,,517.0,12722.0,12722.0
2008-09-01,25.43,263.0,263.0,,,,519.0,9238.0,9238.0
2008-10-01,22.455000000000002,234.0,234.0,,,,519.0,9259.0,9259.0
2008-11-01,27.901,286.0,286.0,,,,508.0,9035.0,9035.0
2008-12-01,26.22,269.0,269.0,,,,170.0,1939.0,1939.0
2009-01-01,47.247,491.0,491.0,,,,510.0,9255.0,9255.0
2009-02-01,18.728,199.0,199.0,,,,509.0,9147.0,9147.0
2009-03-01,50.508,526.0,526.0,,,,509.0,9126.0,9126.0
2009-04-01,40.189,420.0,420.0,,,,509.0,9185.0,9185.0
2009-05-01,33.063,345.0,345.0,,,,509.0,8972.0,8972.0
2009-06-01,43.406,456.0,456.0,,,,499.0,9001.0,9001.0
2009-07-01,38.053000000000004,397.0,397.0,,,,510.0,9266.0,9266.0
2009-08-01,36.311,380.0,380.0,,,,505.0,9113.0,9113.0
2009-09-01,23.358,245.0,245.0,,,,509.0,9325.0,9325.0
2009-10-01,36.762,385.0,385.0,,,,511.0,8993.0,8993.0
2009-11-01,31.244,327.0,327.0,,,,253.0,4809.0,4809.0
2009-12-01,28.131,292.0,292.0,,,,260.0,4643.0,4643.0
2010-01-01,21.378,229.0,229.0,,,,221.0,4350.0,4350.0
2010-02-01,19.233,206.0,206.0,,,,250.0,4872.0,4872.0
2010-03-01,24.486,265.0,265.0,,,,0.0,0.0,0.0
2010-04-01,22.611,241.0,241.0,,,,253.0,4705.0,4705.0
2010-05-01,22.922,247.0,247.0,,,,253.0,4986.0,4986.0
2010-06-01,24.914,265.0,265.0,,,,260.0,4992.0,4992.0
2010-07-01,22.165000000000003,235.0,235.0,,,,630.0,11298.0,11298.0
2010-08-01,28.327,306.0,306.0,,,,177.0,3472.0,3472.0
2010-09-01,20.827,223.0,223.0,,,,196.0,3646.0,3646.0
2010-10-01,20.434,218.0,218.0,,,,382.0,7717.0,7717.0
2010-11-01,19.351000000000003,206.0,206.0,,,,0.0,0.0,0.0
2010-12-01,19.352,206.0,206.0,,,,255.0,5317.0,5317.0
2011-01-01,38.181,388.0,388.0,,,,344.0,8879.0,8879.0
2011-02-01,18.479,182.0,182.0,,,,251.0,4661.0,4661.0
2011-03-01,19.731,194.0,194.0,,,,283.0,5270.0,5270.0
2011-04-01,16.926,171.0,171.0,,,,256.0,4786.0,4786.0
2011-05-01,32.296,323.0,323.0,,,,256.0,4716.0,4716.0
2011-06-01,28.867,288.0,288.0,,,,197.0,3714.0,3714.0
2011-07-01,25.976,259.0,259.0,,,,547.0,15586.0,15586.0
2011-08-01,15.612,153.0,153.0,,,,295.0,5706.0,5706.0
2011-09-01,22.135,218.0,218.0,,,,260.0,4893.0,4893.0
2011-10-01,27.291,270.0,270.0,,,,281.0,5378.0,5378.0
2011-11-01,23.762,235.0,235.0,,,,285.0,5301.0,5301.0
2011-12-01,33.744,335.0,335.0,,,,0.0,0.0,0.0
2012-01-01,25.901,276.0,276.0,,,,114.0,2241.0,2241.0
2012-02-01,33.982,370.0,370.0,,,,226.0,4028.0,4028.0
2012-03-01,24.667,270.0,270.0,,,,283.0,5154.0,5154.0
2012-04-01,30.658,335.0,335.0,,,,167.0,3107.0,3107.0
2012-05-01,28.414,312.0,312.0,,,,113.0,2273.0,2273.0
2012-06-01,26.767,294.0,294.0,,,,483.0,8593.0,8593.0
2012-07-01,30.958,335.0,335.0,,,,27.0,561.0,561.0
2012-08-01,25.688,282.0,282.0,,,,360.0,7585.0,7585.0
2012-09-01,27.066,294.0,294.0,,,,114.0,1355.0,1355.0
2012-10-01,32.979,359.0,359.0,,,,325.0,5919.0,5919.0
2012-11-01,44.32,482.0,482.0,,,,0.0,0.0,0.0
2012-12-01,25.6,276.0,276.0,,,,0.0,0.0,0.0
2013-01-01,29.603,323.0,323.0,,,,119.0,1959.0,1959.0
2013-02-01,13.086,147.0,147.0,,,,364.0,6346.0,6346.0
2013-03-01,19.504,218.0,218.0,,,,118.0,1978.0,1978.0
2013-04-01,19.822,218.0,218.0,,,,133.0,2302.0,2302.0
2013-05-01,43.057,476.0,476.0,,,,139.0,2309.0,2309.0
2013-06-01,25.598,282.0,282.0,,,,199.0,3652.0,3652.0
2013-07-01,27.836,306.0,306.0,,,,141.0,2485.0,2485.0
2013-08-01,22.935,253.0,253.0,,,,348.0,6084.0,6084.0
2013-09-01,18.296,200.0,200.0,,,,103.0,1842.0,1842.0
2013-10-01,20.776,229.0,229.0,,,,289.0,5084.0,5084.0
2013-11-01,21.806,241.0,241.0,,,,116.0,2083.0,2083.0
2013-12-01,15.681,171.0,171.0,,,,0.0,0.0,0.0
2014-01-01,30.125,308.0,308.0,,,,129.0,2414.0,2414.0
2014-02-01,34.998,353.0,353.0,,,,154.0,1966.0,1966.0
2014-03-01,38.367,386.0,386.0,,,,125.0,2232.0,2232.0
2014-04-01,24.36,246.0,246.0,,,,83.0,1568.0,1568.0
2014-05-01,32.232,325.0,325.0,,,,154.0,2734.0,2734.0
2014-06-01,23.57,241.0,241.0,,,,320.0,3125.0,3125.0
2014-07-01,23.084,235.0,235.0,,,,153.0,2918.0,2918.0
2014-08-01,28.72,291.0,291.0,,,,423.0,4664.0,4664.0
2014-09-01,27.257,274.0,274.0,,,,122.0,2157.0,2157.0
2014-10-01,18.527,190.0,190.0,,,,252.0,4526.0,4526.0
2014-11-01,27.005,274.0,274.0,,,,79.0,1494.0,1494.0
2014-12-01,25.755,263.0,263.0,,,,174.0,3383.0,3383.0
2015-01-01,15.837,215.0,215.0,0.0,0.0,0.0,118.0,2167.0,2167.0
2015-02-01,16.948,238.0,238.0,0.0,0.0,0.0,149.0,2813.0,2813.0
2015-03-01,15.011,209.0,209.0,0.0,0.0,0.0,202.0,3747.0,3747.0
2015-04-01,16.402,226.0,226.0,0.0,0.0,0.0,123.0,2091.0,2091.0
2015-05-01,17.097,238.0,238.0,0.0,0.0,0.0,147.0,2616.0,2616.0
2015-06-01,20.663,284.0,284.0,0.0,0.0,0.0,136.0,2497.0,2497.0
2015-07-01,14.499,203.0,203.0,0.0,0.0,0.0,333.0,5993.0,5993.0
2015-08-01,17.603,244.0,244.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-09-01,24.127,336.0,336.0,0.0,0.0,0.0,149.0,2668.0,2668.0
2015-10-01,13.928,191.0,191.0,0.0,0.0,0.0,251.0,4480.0,4480.0
2015-11-01,20.811,290.0,290.0,0.0,0.0,0.0,83.0,1647.0,1647.0
2015-12-01,25.074,348.0,348.0,0.0,0.0,0.0,150.0,2612.0,2612.0
2016-01-01,26.066,481.0,481.0,0.0,0.0,0.0,90.0,1683.0,1683.0
2016-02-01,26.844,493.0,493.0,0.0,0.0,0.0,113.0,2114.0,2114.0
2016-03-01,19.257,354.0,354.0,0.0,0.0,0.0,131.0,2338.0,2338.0
2016-04-01,20.002,371.0,371.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-01,22.848,423.0,423.0,0.0,0.0,0.0,90.0,1629.0,1629.0
2016-06-01,13.787,255.0,255.0,0.0,0.0,0.0,290.0,5324.0,5324.0
2016-07-01,12.628,232.0,232.0,0.0,0.0,0.0,2066.0,35920.0,35920.0
2016-08-01,15.179,278.0,278.0,0.0,0.0,0.0,1107.0,19729.0,19729.0
2016-09-01,9.601,174.0,174.0,0.0,0.0,0.0,409.0,7227.0,7227.0
2016-10-01,11.432,209.0,209.0,0.0,0.0,0.0,260.0,4939.0,4939.0
2016-11-01,13.52,249.0,249.0,0.0,0.0,0.0,88.0,1929.0,1929.0
2016-12-01,18.836,348.0,348.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-01,25.914,296.0,296.0,0.0,0.0,0.0,162.0,2891.0,2891.0
2017-02-01,16.673,197.0,197.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-01,18.37,215.0,215.0,0.0,0.0,0.0,233.0,4171.0,4171.0
2017-04-01,19.906,232.0,232.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-01,29.16,342.0,342.0,0.0,0.0,0.0,355.0,8423.0,8423.0
2017-06-01,14.936,174.0,174.0,0.0,0.0,0.0,1122.0,18426.0,18426.0
2017-07-01,13.655,162.0,162.0,0.0,0.0,0.0,1917.0,32271.0,32271.0
2017-08-01,14.749,174.0,174.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-09-01,14.691,174.0,174.0,0.0,0.0,0.0,1001.0,30017.0,30017.0
2017-10-01,16.964,197.0,197.0,0.0,0.0,0.0,243.0,4532.0,4532.0
2017-11-01,11.818,139.0,139.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-01,20.164,238.0,238.0,0.0,0.0,0.0,199.0,3971.0,3971.0
2018-01-01,17.365,203.0,203.0,0.0,0.0,0.0,0.0,288.0,288.0
2018-02-01,12.142,133.0,133.0,0.0,0.0,0.0,0.0,80.0,80.0
2018-03-01,15.641,174.0,174.0,0.0,0.0,0.0,264.0,4893.0,4893.0
2018-04-01,20.461,226.0,226.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-01,17.124,191.0,191.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-06-01,12.989,145.0,145.0,0.0,0.0,0.0,729.0,13086.0,13086.0
2018-07-01,14.126,157.0,157.0,0.0,0.0,0.0,971.0,15193.0,15193.0
2018-08-01,16.553,186.0,186.0,0.0,0.0,0.0,766.0,14556.0,14556.0
2018-09-01,14.424,162.0,162.0,0.0,0.0,0.0,409.0,7241.0,7241.0
2018-10-01,25.142,278.0,278.0,0.0,0.0,0.0,265.0,5324.0,5324.0
2018-11-01,25.536,284.0,284.0,0.0,0.0,0.0,336.0,4045.0,4045.0
2018-12-01,21.497,238.0,238.0,0.0,0.0,0.0,12.0,449.0,449.0
2019-01-01,5.603,46.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-02-01,9.799,99.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-01,9.8,99.0,99.0,0.0,0.0,0.0,286.0,5325.0,5325.0
2019-04-01,8.825,87.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-05-01,9.302,93.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-01,11.485,110.0,110.0,0.0,0.0,0.0,0.0,6.0,6.0
2019-07-01,9.211,93.0,93.0,0.0,0.0,0.0,1397.0,22780.0,22780.0
2019-08-01,7.557,75.0,75.0,0.0,0.0,0.0,799.0,12728.0,12728.0
2019-09-01,7.875,75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-01,10.929,110.0,110.0,0.0,0.0,0.0,251.0,4747.0,4747.0
2019-11-01,8.683,87.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-01,8.931,87.0,87.0,0.0,0.0,0.0,0.0,46.0,46.0
2020-01-01,14.22,151.0,151.0,0.0,0.0,0.0,442.0,7785.0,7785.0
2020-02-01,22.772,249.0,249.0,0.0,0.0,0.0,0.0,143.0,143.0
2020-03-01,13.867,151.0,151.0,0.0,0.0,0.0,0.0,83.0,83.0
2020-04-01,10.086,110.0,110.0,0.0,0.0,0.0,0.0,97.0,97.0
2020-05-01,14.681,162.0,162.0,0.0,0.0,0.0,286.0,5163.0,5163.0
2020-06-01,25.579,278.0,278.0,0.0,0.0,0.0,548.0,6774.0,6774.0
2020-07-01,26.384,290.0,290.0,0.0,0.0,0.0,803.0,15956.0,15956.0
2020-08-01,16.845,186.0,186.0,0.0,0.0,0.0,1022.0,19023.0,19023.0
2020-09-01,19.186,209.0,209.0,0.0,0.0,0.0,12.0,575.0,575.0
2020-10-01,20.792,226.0,226.0,0.0,0.0,0.0,302.0,5692.0,5692.0
2020-11-01,18.468,203.0,203.0,0.0,0.0,0.0,0.0,26.0,26.0
2020-12-01,23.12,249.0,249.0,0.0,0.0,0.0,432.0,7872.0,7872.0
2021-01-01,21.664,232.0,232.0,0.0,0.0,0.0,0.0,197.0,197.0
2021-02-01,51.624,563.0,563.0,0.0,0.0,0.0,96.0,2114.0,2114.0
2021-03-01,21.368,232.0,232.0,0.0,0.0,0.0,0.0,221.0,221.0
2021-04-01,19.207,209.0,209.0,0.0,0.0,0.0,339.0,6671.0,6671.0
2021-05-01,16.182,180.0,180.0,0.0,0.0,0.0,0.0,55.0,55.0
2021-06-01,12.554,139.0,139.0,0.0,0.0,0.0,675.0,12515.0,12515.0
2021-07-01,20.289,220.0,220.0,0.0,0.0,0.0,960.0,17432.0,17432.0
2021-08-01,17.429,191.0,191.0,0.0,0.0,0.0,1532.0,27038.0,27038.0
2021-09-01,26.881,296.0,296.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-01,14.629,162.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-01,35.222,389.0,389.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-01,29.951,331.0,331.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01,34.357,360.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-01,11.855,128.0,128.0,0.0,0.0,0.0,314.0,6302.0,6302.0
2022-03-01,27.829,296.0,296.0,0.0,0.0,0.0,184.0,4442.0,4442.0
2022-04-01,15.159,162.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-01,18.556,197.0,197.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01,19.491,203.0,203.0,0.0,0.0,0.0,319.0,5825.0,5825.0
2022-07-01,7.937,81.0,81.0,0.0,0.0,0.0,773.0,12613.0,12613.0
2022-08-01,16.192,168.0,168.0,0.0,0.0,0.0,445.0,8267.0,8267.0
2022-09-01,12.448,133.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-10-01,14.366,151.0,151.0,0.0,0.0,0.0,203.0,2282.0,2282.0
2022-11-01,19.321,203.0,203.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-01,45.489,481.0,481.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01,24.088,261.0,261.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-01,27.037,296.0,296.0,0.0,0.0,0.0,31.0,1518.0,1518.0
2023-03-01,23.026,255.0,255.0,0.0,0.0,0.0,255.0,2641.0,2641.0
2023-04-01,13.025,145.0,145.0,0.0,0.0,0.0,45.0,1003.0,1003.0
2023-05-01,9.215,104.0,104.0,0.0,0.0,0.0,179.0,4499.0,4499.0
2023-06-01,9.296,104.0,104.0,0.0,0.0,0.0,65.0,401.0,401.0
2023-07-01,12.49,139.0,139.0,0.0,0.0,0.0,1630.0,25071.0,25071.0
2023-08-01,9.505,104.0,104.0,0.0,0.0,0.0,938.0,10024.0,10024.0
2023-09-01,19.004,209.0,209.0,0.0,0.0,0.0,359.0,5565.0,5565.0
2023-10-01,15.476,168.0,168.0,0.0,0.0,0.0,119.0,2033.0,2033.0
2023-11-01,24.761,273.0,273.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-01,16.077,180.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,8.67,99.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,18.297,191.0,191.0,0.0,0.0,0.0,150.0,2694.0,2694.0
2024-03-01,16.273,174.0,174.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01,18.197,191.0,191.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-01,27.94,296.0,296.0,0.0,0.0,0.0,135.0,42.0,42.0
2024-06-01,10.918,116.0,116.0,0.0,0.0,0.0,924.0,15081.0,15081.0
2024-07-01,22.992,244.0,244.0,0.0,0.0,0.0,373.0,10522.0,10522.0
2024-08-01,13.886,145.0,145.0,0.0,0.0,0.0,750.0,12944.0,12944.0
2024-09-01,23.287,244.0,244.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-01,12.935,139.0,139.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-01,22.152,232.0,232.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-01,26.453,278.0,278.0,0.0,0.0,0.0,114.0,1950.0,1950.0
