measured_on,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2005-01-01,5452.0,70163.22,70163.22,,,,22314.0,293417.45,293417.45,,,
2005-02-01,2336.0,40697.01,40697.01,,,,-542.0,6431.46,6431.46,,,
2005-03-01,-236.0,983.46,983.46,,,,-554.0,7053.07,7053.07,,,
2005-04-01,661.0,5971.03,5971.03,,,,-352.0,1016.69,1016.69,,,
2005-05-01,46.0,3311.8,3311.8,,,,785.0,21316.61,21316.61,,,
2005-06-01,2777.0,37320.1,37320.1,,,,44495.0,556102.12,556102.12,,,
2005-07-01,2445.0,36992.46,36992.46,,,,65259.0,791021.82,791021.82,,,
2005-08-01,6152.0,84021.31,84021.31,,,,53486.0,650805.46,650805.46,,,
2005-09-01,1586.0,24760.43,24760.43,,,,5143.0,71676.88,71676.88,,,
2005-10-01,1100.0,15739.96,15739.96,,,,-435.0,222.99,222.99,,,
2005-11-01,-66.0,0.0,0.0,,,,-346.0,991.87,991.87,,,
2005-12-01,2046.0,30605.03,30605.03,,,,-388.0,4362.92,4362.92,,,
2006-01-01,34.0,2148.0,2148.0,,,,-366.0,2898.0,2898.0,,,
2006-02-01,357.0,5967.0,5967.0,,,,-348.0,5142.0,5142.0,,,
2006-03-01,-43.0,995.0,995.0,,,,22622.0,297262.0,297262.0,,,
2006-04-01,-67.0,0.0,0.0,,,,55469.0,665377.0,665377.0,,,
2006-05-01,255.0,5132.0,5132.0,,,,-344.0,42.0,42.0,,,
2006-06-01,649.0,9313.0,9313.0,,,,40172.0,480702.0,480702.0,,,
2006-07-01,2453.0,35848.0,35848.0,,,,100870.0,1175196.0,1175196.0,,,
2006-08-01,5963.0,83282.0,83282.0,,,,87814.0,1019635.0,1019635.0,,,
2006-09-01,91.0,1341.0,1341.0,,,,28159.0,339613.0,339613.0,,,
2006-10-01,-29.0,744.0,744.0,,,,-370.0,47.0,47.0,,,
2006-11-01,109.0,2067.0,2067.0,,,,-303.0,83.0,83.0,,,
2006-12-01,410.0,6002.0,6002.0,,,,-374.0,4224.0,4224.0,,,
2007-01-01,834.0,13253.0,13253.0,,,,1823.0,32865.0,32865.0,,,
2007-02-01,160.0,1938.0,1938.0,,,,12.0,16182.0,16182.0,,,
2007-03-01,15.0,117.0,117.0,,,,3011.0,46385.0,46385.0,,,
2007-04-01,-16.0,0.0,0.0,,,,5334.0,73328.0,73328.0,,,
2007-05-01,-29.0,0.0,0.0,,,,11529.0,151731.0,151731.0,,,
2007-06-01,228.0,4156.0,4156.0,,,,29465.0,353920.0,353920.0,,,
2007-07-01,-65.0,0.0,0.0,,,,44188.0,559693.0,559693.0,,,
2007-08-01,1146.0,16082.0,16082.0,,,,53015.0,627436.0,627436.0,,,
2007-09-01,489.0,7276.0,7276.0,,,,24636.0,315509.0,315509.0,,,
2007-10-01,192.0,5755.0,5755.0,,,,36751.0,428810.0,428810.0,,,
2007-11-01,119.0,1439.0,1439.0,,,,-352.0,1802.0,1802.0,,,
2007-12-01,-88.0,147.0,147.0,,,,220.0,12714.0,12714.0,,,
2008-01-01,-78.0,0.0,0.0,,,,-419.0,4592.0,4592.0,,,
2008-02-01,606.0,8927.0,8927.0,,,,300.0,15830.0,15830.0,,,
2008-03-01,67.0,1739.0,1739.0,,,,7407.0,101765.0,101765.0,,,
2008-04-01,-56.0,0.0,0.0,,,,-347.0,60.0,60.0,,,
2008-05-01,115.0,2473.0,2473.0,,,,-271.0,2990.0,2990.0,,,
2008-06-01,-34.0,219.0,219.0,,,,19061.0,247054.0,247054.0,,,
2008-07-01,193.0,2928.0,2928.0,,,,46657.0,576242.0,576242.0,,,
2008-08-01,278.0,4752.0,4752.0,,,,14318.0,193462.0,193462.0,,,
2008-09-01,612.0,9427.0,9427.0,,,,8747.0,122224.0,122224.0,,,
2008-10-01,-34.0,320.0,320.0,,,,327.0,10837.0,10837.0,,,
2008-11-01,-59.0,0.0,0.0,,,,-419.0,0.0,0.0,,,
2008-12-01,-1.0,1832.0,1832.0,,,,-494.0,5009.0,5009.0,,,
2009-01-01,-16.0,1270.0,1270.0,,,,-540.0,5588.0,5588.0,,,
2009-02-01,-63.0,0.0,0.0,,,,-507.0,5284.0,5284.0,,,
2009-03-01,636.0,8702.0,8702.0,,,,1863.0,32680.0,32680.0,,,
2009-04-01,198.0,3935.0,3935.0,,,,-392.0,21.0,21.0,,,
2009-05-01,21.0,732.0,732.0,,,,-437.0,2267.0,2267.0,,,
2009-06-01,-18.0,686.0,686.0,,,,6536.0,91927.0,91927.0,,,
2009-07-01,24.0,159.0,159.0,,,,15960.0,203647.0,203647.0,,,
2009-08-01,7.0,652.0,652.0,,,,40660.0,498800.0,498800.0,,,
2009-09-01,226.0,4255.0,4255.0,,,,1933.0,29515.0,29515.0,,,
2009-10-01,-65.0,0.0,0.0,,,,-350.0,516.0,516.0,,,
2009-11-01,-60.0,0.0,0.0,,,,-350.0,3301.0,3301.0,,,
2009-12-01,-47.0,418.0,418.0,,,,762.0,19258.0,19258.0,,,
2010-01-01,-85.0,0.0,0.0,,,,-500.0,5426.0,5426.0,,,
2010-02-01,-83.0,0.0,0.0,,,,-488.0,4926.0,4926.0,,,
2010-03-01,194.0,4064.0,4064.0,,,,1611.0,27029.0,27029.0,,,
2010-04-01,69.0,5429.0,5429.0,,,,-422.0,426.0,426.0,,,
2010-05-01,-69.0,0.0,0.0,,,,2102.0,32375.0,32375.0,,,
2010-06-01,890.0,12243.0,12243.0,,,,29591.0,376739.0,376739.0,,,
2010-07-01,564.0,9055.0,9055.0,,,,80722.0,980335.0,980335.0,,,
2010-08-01,174.0,2977.0,2977.0,,,,31577.0,404044.0,404044.0,,,
2010-09-01,76.0,748.0,748.0,,,,9287.0,120250.0,120250.0,,,
2010-10-01,51.0,2945.0,2945.0,,,,-373.0,215.0,215.0,,,
2010-11-01,250.0,4456.0,4456.0,,,,-404.0,1548.0,1548.0,,,
2010-12-01,-85.0,0.0,0.0,,,,-525.0,4612.0,4612.0,,,
2011-01-01,-72.0,0.0,0.0,,,,-558.0,4737.0,4737.0,,,
2011-02-01,-71.0,0.0,0.0,,,,674.0,22065.0,22065.0,,,
2011-03-01,-26.0,0.0,0.0,,,,1617.0,32148.0,32148.0,,,
2011-04-01,-8.0,0.0,0.0,,,,3473.0,53782.0,53782.0,,,
2011-05-01,-55.0,0.0,0.0,,,,3761.0,54866.0,54866.0,,,
2011-06-01,68.0,3314.0,3314.0,,,,47354.0,591242.0,591242.0,,,
2011-07-01,1390.0,20471.0,20471.0,,,,81862.0,994674.0,994674.0,,,
2011-08-01,39.0,1707.0,1707.0,,,,48212.0,604216.0,604216.0,,,
2011-09-01,173.0,2994.0,2994.0,,,,52040.0,662721.0,662721.0,,,
2011-10-01,2.0,1031.0,1031.0,,,,7085.0,97093.0,97093.0,,,
2011-11-01,-52.0,758.0,758.0,,,,7272.0,100707.0,100707.0,,,
2011-12-01,-84.0,0.0,0.0,,,,17628.0,243101.0,243101.0,,,
2012-01-01,-39.0,540.0,540.0,,,,-548.0,4585.0,4585.0,,,
2012-02-01,6.0,1316.0,1316.0,,,,-479.0,3627.0,3627.0,,,
2012-03-01,327.0,5634.0,5634.0,,,,26679.0,368817.0,368817.0,,,
2012-04-01,-69.0,0.0,0.0,,,,24272.0,317232.0,317232.0,,,
2012-05-01,-59.0,388.0,388.0,,,,24185.0,302099.0,302099.0,,,
2012-06-01,527.0,8140.0,8140.0,,,,78422.0,953047.0,953047.0,,,
2012-07-01,474.0,8642.0,8642.0,,,,-336.0,500.0,500.0,,,
2012-08-01,-43.0,0.0,0.0,,,,-255.0,58.0,58.0,,,
2012-09-01,-40.0,0.0,0.0,,,,-184.0,8.0,8.0,,,
2012-10-01,1369.0,18552.0,18552.0,,,,-119.0,4.0,4.0,,,
2012-11-01,-59.0,0.0,0.0,,,,-119.0,0.0,0.0,,,
2012-12-01,1274.0,16280.0,16280.0,,,,-150.0,0.0,0.0,,,
2013-01-01,93.0,2897.0,2897.0,,,,-165.0,0.0,0.0,,,
2013-02-01,387.0,5728.0,5728.0,,,,-155.0,0.0,0.0,,,
2013-03-01,-63.0,411.0,411.0,,,,-134.0,0.0,0.0,,,
2013-04-01,-7.0,307.0,307.0,0.0,0.0,0.0,,,,,,
2013-05-01,198.0,3038.0,3038.0,0.0,0.0,0.0,,,,,,
2013-06-01,84.0,3028.0,3028.0,0.0,0.0,0.0,,,,,,
2013-07-01,272.0,4597.0,4597.0,0.0,0.0,0.0,,,,,,
2013-08-01,624.0,8484.0,8484.0,0.0,0.0,0.0,,,,,,
2013-09-01,230.0,4338.0,4338.0,0.0,0.0,0.0,,,,,,
2013-10-01,889.0,11567.0,11567.0,0.0,0.0,0.0,,,,,,
2013-11-01,-54.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2013-12-01,-56.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2014-01-01,3249.0,32770.0,32770.0,0.0,0.0,0.0,,,,,,
2014-02-01,427.0,13313.0,13313.0,0.0,0.0,0.0,,,,,,
2014-03-01,166.0,4603.0,4603.0,0.0,0.0,0.0,,,,,,
2014-04-01,9.0,1137.0,1137.0,0.0,0.0,0.0,,,,,,
2014-05-01,-14.0,45.0,45.0,0.0,0.0,0.0,,,,,,
2014-06-01,-24.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2014-07-01,-18.0,1717.0,1717.0,0.0,0.0,0.0,,,,,,
2014-08-01,8.0,1283.0,1283.0,0.0,0.0,0.0,,,,,,
2014-09-01,1141.0,15907.0,15907.0,0.0,0.0,0.0,,,,,,
2014-10-01,-32.0,191.0,191.0,0.0,0.0,0.0,,,,,,
2014-11-01,-68.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2014-12-01,172.0,3156.0,3156.0,0.0,0.0,0.0,,,,,,
2015-01-01,102.0,2543.0,2543.0,0.0,0.0,0.0,,,,,,
2015-02-01,1125.0,16329.0,16329.0,0.0,0.0,0.0,,,,,,
2015-03-01,386.0,5999.0,5999.0,0.0,0.0,0.0,,,,,,
2015-04-01,37.0,1672.0,1672.0,0.0,0.0,0.0,,,,,,
2015-05-01,-74.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2015-06-01,28.0,854.0,854.0,0.0,0.0,0.0,,,,,,
2015-07-01,2186.0,30987.0,30987.0,0.0,0.0,0.0,,,,,,
2015-08-01,760.0,11117.0,11117.0,0.0,0.0,0.0,,,,,,
2015-09-01,146.0,2834.0,2834.0,0.0,0.0,0.0,,,,,,
2015-10-01,-1.0,1058.0,1058.0,0.0,0.0,0.0,,,,,,
2015-11-01,-31.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2015-12-01,-49.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2016-01-01,-65.0,40.0,40.0,0.0,0.0,0.0,,,,,,
2016-02-01,39.0,2231.0,2231.0,0.0,0.0,0.0,,,,,,
2016-03-01,314.0,5170.0,5170.0,0.0,0.0,0.0,,,,,,
2016-04-01,-50.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2016-05-01,-47.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2016-06-01,-29.0,329.0,329.0,0.0,0.0,0.0,,,,,,
2016-07-01,851.0,12892.0,12892.0,0.0,0.0,0.0,,,,,,
2016-08-01,1391.0,19621.0,19621.0,0.0,0.0,0.0,,,,,,
2016-09-01,504.0,7049.0,7049.0,0.0,0.0,0.0,,,,,,
2016-10-01,197.0,3815.0,3815.0,0.0,0.0,0.0,,,,,,
2016-11-01,-20.0,752.0,752.0,0.0,0.0,0.0,,,,,,
2016-12-01,12.0,1635.0,1635.0,0.0,0.0,0.0,,,,,,
2017-01-01,37.67,1011.0,1011.0,0.0,0.0,0.0,,,,,,
2017-02-01,31.376,845.0,845.0,0.0,0.0,0.0,,,,,,
2017-03-01,47.834,1285.0,1285.0,0.0,0.0,0.0,,,,,,
2017-04-01,45.252,1216.0,1216.0,0.0,0.0,0.0,,,,,,
2017-05-01,23.278,628.0,628.0,0.0,0.0,0.0,,,,,,
2017-06-01,17.952,485.0,485.0,0.0,0.0,0.0,,,,,,
2017-07-01,16.969,457.0,457.0,0.0,0.0,0.0,,,,,,
2017-08-01,13.018,348.0,348.0,0.0,0.0,0.0,,,,,,
2017-09-01,14.14,383.0,383.0,0.0,0.0,0.0,,,,,,
2017-10-01,25.464,685.0,685.0,0.0,0.0,0.0,,,,,,
2017-11-01,29.551,794.0,794.0,0.0,0.0,0.0,,,,,,
2017-12-01,452.496,12176.0,12176.0,0.0,0.0,0.0,,,,,,
2018-01-01,3960.358,57107.0,57107.0,0.0,0.0,0.0,,,,,,
2018-02-01,83.089,1197.0,1197.0,0.0,0.0,0.0,,,,,,
2018-03-01,82.806,1197.0,1197.0,0.0,0.0,0.0,,,,,,
2018-04-01,65.85,947.0,947.0,0.0,0.0,0.0,,,,,,
2018-05-01,15.635,227.0,227.0,0.0,0.0,0.0,,,,,,
2018-06-01,40.262,578.0,578.0,0.0,0.0,0.0,,,,,,
2018-07-01,37.071,533.0,533.0,0.0,0.0,0.0,,,,,,
2018-08-01,31.931,459.0,459.0,0.0,0.0,0.0,,,,,,
2018-09-01,36.665,527.0,527.0,0.0,0.0,0.0,,,,,,
2018-10-01,39.69,573.0,573.0,0.0,0.0,0.0,,,,,,
2018-11-01,41.673,601.0,601.0,0.0,0.0,0.0,,,,,,
2018-12-01,76.97,1112.0,1112.0,0.0,0.0,0.0,,,,,,
2019-01-01,435.387,13031.0,13031.0,0.0,0.0,0.0,,,,,,
2019-02-01,90.077,2698.0,2698.0,0.0,0.0,0.0,,,,,,
2019-03-01,1.486,46.0,46.0,0.0,0.0,0.0,,,,,,
2019-04-01,0.746,23.0,23.0,0.0,0.0,0.0,,,,,,
2019-05-01,1.184,34.0,34.0,0.0,0.0,0.0,,,,,,
2019-06-01,0.784,23.0,23.0,0.0,0.0,0.0,,,,,,
2019-07-01,0.377,11.0,11.0,0.0,0.0,0.0,,,,,,
2019-08-01,0.716,23.0,23.0,0.0,0.0,0.0,,,,,,
2019-09-01,3.144,92.0,92.0,0.0,0.0,0.0,,,,,,
2019-10-01,0.83,23.0,23.0,0.0,0.0,0.0,,,,,,
2019-11-01,1.637,52.0,52.0,0.0,0.0,0.0,,,,,,
2019-12-01,61.632,1844.0,1844.0,0.0,0.0,0.0,,,,,,
2020-01-01,158.074,3423.0,3423.0,0.0,0.0,0.0,,,,,,
2020-02-01,118.522,2561.0,2561.0,0.0,0.0,0.0,,,,,,
2020-03-01,100.369,2169.0,2169.0,0.0,0.0,0.0,,,,,,
2020-04-01,71.315,1541.0,1541.0,0.0,0.0,0.0,,,,,,
2020-05-01,150.782,3265.0,3265.0,0.0,0.0,0.0,,,,,,
2020-06-01,62.509,1354.0,1354.0,0.0,0.0,0.0,,,,,,
2020-07-01,103.955,2251.0,2251.0,0.0,0.0,0.0,,,,,,
2020-08-01,42.071,908.0,908.0,0.0,0.0,0.0,,,,,,
2020-09-01,109.335,2368.0,2368.0,0.0,0.0,0.0,,,,,,
2020-10-01,62.508,1354.0,1354.0,0.0,0.0,0.0,,,,,,
2020-11-01,151.28,3270.0,3270.0,0.0,0.0,0.0,,,,,,
2020-12-01,177.28,3833.0,3833.0,0.0,0.0,0.0,,,,,,
2021-01-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2021-02-01,310.822,4854.0,4854.0,0.0,0.0,0.0,,,,,,
2021-03-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2021-04-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2021-05-01,32.212,501.0,501.0,0.0,0.0,0.0,,,,,,
2021-06-01,433.617,6768.0,6768.0,0.0,0.0,0.0,,,,,,
2021-07-01,286.588,4472.0,4472.0,0.0,0.0,0.0,,,,,,
2021-08-01,3058.606,47741.0,47741.0,0.0,0.0,0.0,,,,,,
2021-09-01,165.641,2586.0,2586.0,0.0,0.0,0.0,,,,,,
2021-10-01,210.513,3287.0,3287.0,0.0,0.0,0.0,,,,,,
2021-11-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2021-12-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2022-01-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2022-02-01,147.707,2550.0,2550.0,0.0,0.0,0.0,,,,,,
2022-03-01,154.729,2675.0,2675.0,0.0,0.0,0.0,,,,,,
2022-04-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2022-05-01,37.427,649.0,649.0,0.0,0.0,0.0,,,,,,
2022-06-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2022-07-01,1513.402,26149.0,26149.0,0.0,0.0,0.0,,,,,,
2022-08-01,297.956,5151.0,5151.0,0.0,0.0,0.0,,,,,,
2022-09-01,202.047,3489.0,3489.0,0.0,0.0,0.0,,,,,,
2022-10-01,178.077,3079.0,3079.0,0.0,0.0,0.0,,,,,,
2022-11-01,9.942,171.0,171.0,0.0,0.0,0.0,,,,,,
2022-12-01,2.714,46.0,46.0,0.0,0.0,0.0,,,,,,
2023-01-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2023-02-01,118.984,4673.0,4673.0,0.0,0.0,0.0,,,,,,
2023-03-01,61.16,2400.0,2400.0,0.0,0.0,0.0,,,,,,
2023-04-01,41.201,1619.0,1619.0,0.0,0.0,0.0,,,,,,
2023-05-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2023-06-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2023-07-01,7.731,304.0,304.0,0.0,0.0,0.0,,,,,,
2023-08-01,28.349,1114.0,1114.0,0.0,0.0,0.0,,,,,,
2023-09-01,304.104,11936.0,11936.0,0.0,0.0,0.0,,,,,,
2023-10-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2023-11-01,3.235,126.0,126.0,0.0,0.0,0.0,,,,,,
2023-12-01,3.235,126.0,126.0,0.0,0.0,0.0,,,,,,
2024-01-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2024-02-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2024-03-01,297.903,5394.0,5394.0,0.0,0.0,0.0,,,,,,
2024-04-01,616.885,11169.0,11169.0,0.0,0.0,0.0,,,,,,
2024-05-01,118.162,2138.0,2138.0,0.0,0.0,0.0,,,,,,
2024-06-01,325.537,5896.0,5896.0,0.0,0.0,0.0,,,,,,
2024-07-01,279.312,5054.0,5054.0,0.0,0.0,0.0,,,,,,
2024-08-01,501.816,9082.0,9082.0,0.0,0.0,0.0,,,,,,
2024-09-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2024-10-01,409.661,7417.0,7417.0,0.0,0.0,0.0,,,,,,
2024-11-01,2.283,40.0,40.0,0.0,0.0,0.0,,,,,,
2024-12-01,14.442,259.0,259.0,0.0,0.0,0.0,,,,,,
