measured_on,Municiapl Landfill Gas Generation,Municiapl Landfill Gas Quantity Consumed For Electricity,Municiapl Landfill Gas Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Solar Generation,Solar Quantity Consumed For Electricity,Solar Total Fuel Consumed
2017-08-01,4376.515,58638.0,58638.0,,,,,,
2017-09-01,4067.439,54497.0,54497.0,,,,,,
2017-10-01,4809.826,64443.0,64443.0,,,,,,
2017-11-01,4964.828,66520.0,66520.0,,,,,,
2017-12-01,5125.881,68678.0,68678.0,,,,,,
2018-01-01,4421.021,61430.0,61430.0,,,,,,
2018-02-01,4192.896,58261.0,58261.0,,,,,,
2018-03-01,4462.365,62005.0,62005.0,,,,,,
2018-04-01,4297.011,59708.0,59708.0,,,,,,
2018-05-01,3886.621,54005.0,54005.0,,,,,,
2018-06-01,4204.44,58421.0,58421.0,,,,,,
2018-07-01,4224.935,58706.0,58706.0,,,,,,
2018-08-01,4202.575,58395.0,58395.0,,,,,,
2018-09-01,3453.353,47985.0,47985.0,,,,,,
2018-10-01,4285.745,59551.0,59551.0,,,,,,
2018-11-01,4336.395,60255.0,60255.0,,,,,,
2018-12-01,4455.603,61911.0,61911.0,,,,,,
2019-01-01,3067.292,50310.0,50310.0,322.557,5291.0,5291.0,,,
2019-02-01,2702.458,44326.0,44326.0,313.355,5140.0,5140.0,,,
2019-03-01,2919.018,47878.0,47878.0,279.259,4580.0,4580.0,,,
2019-04-01,2746.629,45050.0,45050.0,278.6,4569.0,4569.0,,,
2019-05-01,2943.604,48281.0,48281.0,365.139,5989.0,5989.0,,,
2019-06-01,2846.415,46687.0,46687.0,396.734,6508.0,6508.0,,,
2019-07-01,2889.88,47400.0,47400.0,453.303,7435.0,7435.0,,,
2019-08-01,2796.925,45875.0,45875.0,431.551,7078.0,7078.0,,,
2019-09-01,2738.556,44918.0,44918.0,394.792,6476.0,6476.0,,,
2019-10-01,2881.166,47257.0,47257.0,305.443,5010.0,5010.0,,,
2019-11-01,2733.57,44836.0,44836.0,313.939,5149.0,5149.0,,,
2019-12-01,3049.538,50019.0,50019.0,356.277,5843.0,5843.0,,,
2020-01-01,3394.195,43867.0,51976.0,797.397,10306.0,12213.0,,,
2020-02-01,3245.955,41951.0,49706.0,783.069,10120.0,11991.0,,,
2020-03-01,3612.694,46691.0,55321.0,813.777,10517.0,12461.0,,,
2020-04-01,3349.79,43293.0,51296.0,809.335,10460.0,12393.0,,,
2020-05-01,3295.919,42597.0,50470.0,875.505,11315.0,13406.0,,,
2020-06-01,2909.041,37597.0,44546.0,798.241,10317.0,12223.0,,,
2020-07-01,3155.561,40783.0,48321.0,1064.815,13762.0,16306.0,,,
2020-08-01,3186.668,41185.0,48798.0,941.106,12163.0,14411.0,,,
2020-09-01,2945.143,38063.0,45099.0,738.926,9550.0,11316.0,,,
2020-10-01,2973.128,38425.0,45528.0,689.271,8908.0,10554.0,,,
2020-11-01,3078.025,39781.0,47134.0,620.832,8024.0,9507.0,,,
2020-12-01,3551.032,45894.0,54377.0,753.575,9739.0,11539.0,,,
2021-01-01,3248.178,41980.0,54682.0,403.686,5217.0,6793.0,,,
2021-02-01,3032.387,39191.0,51048.0,330.291,4269.0,5560.0,,,
2021-03-01,3229.182,41734.0,54361.0,249.581,3226.0,4202.0,,,
2021-04-01,3175.519,41041.0,53457.0,367.991,4756.0,6195.0,,,
2021-05-01,3203.622,41404.0,53931.0,382.181,4939.0,6434.0,,,
2021-06-01,2942.596,38030.0,49536.0,419.721,5425.0,7066.0,,,
2021-07-01,3035.459,39231.0,51100.0,498.477,6442.0,8392.0,,,
2021-08-01,2937.081,37959.0,49443.0,513.568,6637.0,8646.0,,,
2021-09-01,2703.929,34946.0,45518.0,455.488,5887.0,7668.0,,,
2021-10-01,2870.81,37103.0,48328.0,423.595,5475.0,7131.0,,,
2021-11-01,2864.155,37017.0,48216.0,339.883,4393.0,5722.0,,,
2021-12-01,3372.453,43586.0,56773.0,459.167,5934.0,7730.0,,,
2022-01-01,2410.337,31152.0,44174.0,221.985,2869.0,4068.0,,,
2022-02-01,2311.248,29871.0,42359.0,206.413,2668.0,3783.0,,,
2022-03-01,2466.906,31883.0,45212.0,167.692,2167.0,3073.0,,,
2022-04-01,2393.288,30931.0,43863.0,143.701,1857.0,2634.0,,,
2022-05-01,2187.147,28267.0,40085.0,224.412,2900.0,4113.0,,,
2022-06-01,2267.633,29307.0,41559.0,280.718,3628.0,5145.0,,,
2022-07-01,2493.307,32224.0,45696.0,313.894,4057.0,5753.0,,,
2022-08-01,2285.505,29538.0,41887.0,317.984,4110.0,5828.0,,,
2022-09-01,2087.698,26982.0,38262.0,261.968,3386.0,4801.0,,,
2022-10-01,2270.199,29340.0,41607.0,236.046,3051.0,4326.0,,,
2022-11-01,2258.128,29184.0,41385.0,182.293,2356.0,3341.0,,,
2022-12-01,2399.628,31013.0,43979.0,163.87,2118.0,3003.0,,,
2023-01-01,1732.895,16114.0,16114.0,920.476,8560.0,8560.0,,,
2023-02-01,1591.281,14797.0,14797.0,896.275,8335.0,8335.0,,,
2023-03-01,1600.102,14880.0,14880.0,978.648,9100.0,9100.0,,,
2023-04-01,1600.685,14885.0,14885.0,1032.648,9603.0,9603.0,,,
2023-05-01,1771.69,16475.0,16475.0,1113.511,10355.0,10355.0,,,
2023-06-01,1573.89,14636.0,14636.0,1043.097,9700.0,9700.0,,,
2023-07-01,1635.322,15207.0,15207.0,1243.786,11566.0,11566.0,,,
2023-08-01,1585.41,14743.0,14743.0,1208.211,11235.0,11235.0,,,
2023-09-01,1444.71,13435.0,13435.0,987.552,9183.0,9183.0,,,
2023-10-01,1624.129,15103.0,15103.0,922.49,8578.0,8578.0,,,
2023-11-01,1627.964,15138.0,15138.0,885.773,8237.0,8237.0,,,
2023-12-01,1745.236,16229.0,16229.0,964.219,8966.0,8966.0,,,
2024-01-01,1004.336,9846.0,9846.0,93.442,917.0,917.0,6.0,20.0,20.0
2024-02-01,945.091,9266.0,9266.0,95.295,934.0,934.0,0.0,0.0,0.0
2024-03-01,904.94,8873.0,8873.0,77.39,759.0,759.0,0.0,0.0,0.0
2024-04-01,914.043,8962.0,8962.0,63.6,623.0,623.0,0.0,0.0,0.0
2024-05-01,954.203,9355.0,9355.0,102.178,1002.0,1002.0,2.0,7.0,7.0
2024-06-01,818.588,8026.0,8026.0,100.467,985.0,985.0,9.0,31.0,31.0
2024-07-01,882.707,8655.0,8655.0,115.605,1133.0,1133.0,9.0,31.0,31.0
2024-08-01,914.867,8970.0,8970.0,133.199,1305.0,1305.0,11.0,38.0,38.0
2024-09-01,835.769,8194.0,8194.0,110.047,1079.0,1079.0,10.0,34.0,34.0
2024-10-01,896.332,8788.0,8788.0,119.472,1171.0,1171.0,0.0,0.0,0.0
2024-11-01,949.014,9305.0,9305.0,82.627,810.0,810.0,0.0,0.0,0.0
2024-12-01,919.856,9019.0,9019.0,92.932,911.0,911.0,0.0,0.0,0.0
