measured_on,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2011-12-01,86.125,1098.0,1098.0,0.0,0.0,0.0,,,
2012-01-01,115.459,1842.0,1842.0,0.0,0.0,0.0,,,
2012-02-01,41.18,653.0,653.0,0.0,0.0,0.0,,,
2012-03-01,56.387,891.0,891.0,0.0,0.0,0.0,,,
2012-04-01,51.367,811.0,811.0,0.0,0.0,0.0,,,
2012-05-01,54.698,866.0,866.0,0.0,0.0,0.0,,,
2012-06-01,77.255,1226.0,1226.0,0.0,0.0,0.0,,,
2012-07-01,43.527,689.0,689.0,0.0,0.0,0.0,,,
2012-08-01,44.723,708.0,708.0,0.0,0.0,0.0,,,
2012-09-01,44.435,702.0,702.0,0.0,0.0,0.0,,,
2012-10-01,86.768,1373.0,1373.0,0.0,0.0,0.0,,,
2012-11-01,53.246,842.0,842.0,0.0,0.0,0.0,,,
2012-12-01,80.955,1281.0,1281.0,0.0,0.0,0.0,,,
2013-01-01,90.231,793.0,793.0,0.0,0.0,0.0,,,
2013-02-01,83.218,726.0,726.0,0.0,0.0,0.0,,,
2013-03-01,52.301,458.0,458.0,0.0,0.0,0.0,,,
2013-04-01,69.481,610.0,610.0,0.0,0.0,0.0,,,
2013-05-01,58.065,506.0,506.0,0.0,0.0,0.0,,,
2013-06-01,68.34,598.0,598.0,0.0,0.0,0.0,,,
2013-07-01,53.87,470.0,470.0,0.0,0.0,0.0,,,
2013-08-01,48.532,427.0,427.0,0.0,0.0,0.0,,,
2013-09-01,43.577,378.0,378.0,0.0,0.0,0.0,,,
2013-10-01,58.207,506.0,506.0,0.0,0.0,0.0,,,
2013-11-01,47.956,421.0,421.0,0.0,0.0,0.0,,,
2013-12-01,67.222,586.0,586.0,0.0,0.0,0.0,,,
2014-01-01,236.415,2281.0,2281.0,0.0,0.0,0.0,,,
2014-02-01,67.513,647.0,647.0,0.0,0.0,0.0,,,
2014-03-01,40.75,390.0,390.0,0.0,0.0,0.0,,,
2014-04-01,70.545,677.0,677.0,0.0,0.0,0.0,,,
2014-05-01,38.166,366.0,366.0,0.0,0.0,0.0,,,
2014-06-01,54.768,525.0,525.0,0.0,0.0,0.0,,,
2014-07-01,18.31,177.0,177.0,0.0,0.0,0.0,,,
2014-08-01,24.617,238.0,238.0,0.0,0.0,0.0,,,
2014-09-01,47.362,458.0,458.0,0.0,0.0,0.0,,,
2014-10-01,20.516,195.0,195.0,0.0,0.0,0.0,,,
2014-11-01,55.264,531.0,531.0,0.0,0.0,0.0,,,
2014-12-01,49.774,482.0,482.0,0.0,0.0,0.0,,,
2015-01-01,170.984,1915.0,1915.0,0.0,0.0,0.0,,,
2015-02-01,84.86,952.0,952.0,0.0,0.0,0.0,,,
2015-03-01,89.175,1000.0,1000.0,0.0,0.0,0.0,,,
2015-04-01,56.119,628.0,628.0,0.0,0.0,0.0,,,
2015-05-01,64.44,720.0,720.0,0.0,0.0,0.0,,,
2015-06-01,56.73,634.0,634.0,0.0,0.0,0.0,,,
2015-07-01,51.382,573.0,573.0,0.0,0.0,0.0,,,
2015-08-01,47.937,537.0,537.0,0.0,0.0,0.0,,,
2015-09-01,46.844,525.0,525.0,0.0,0.0,0.0,,,
2015-10-01,46.696,525.0,525.0,0.0,0.0,0.0,,,
2015-11-01,59.009,659.0,659.0,0.0,0.0,0.0,,,
2015-12-01,101.824,1141.0,1141.0,0.0,0.0,0.0,,,
2016-01-01,162.007,1714.0,1714.0,0.0,0.0,0.0,,,
2016-02-01,59.81,634.0,634.0,0.0,0.0,0.0,,,
2016-03-01,95.233,1007.0,1007.0,0.0,0.0,0.0,,,
2016-04-01,23.112,244.0,244.0,0.0,0.0,0.0,,,
2016-05-01,47.56,500.0,500.0,0.0,0.0,0.0,,,
2016-06-01,57.989,616.0,616.0,0.0,0.0,0.0,,,
2016-07-01,44.151,470.0,470.0,0.0,0.0,0.0,,,
2016-08-01,38.651,409.0,409.0,0.0,0.0,0.0,,,
2016-09-01,32.451,342.0,342.0,0.0,0.0,0.0,,,
2016-10-01,44.741,476.0,476.0,0.0,0.0,0.0,,,
2016-11-01,34.822,366.0,366.0,0.0,0.0,0.0,,,
2016-12-01,54.473,573.0,573.0,0.0,0.0,0.0,,,
2017-01-01,65.478,238.0,238.0,0.0,0.0,0.0,,,
2017-02-01,7.294,24.0,24.0,0.0,0.0,0.0,,,
2017-03-01,32.51,116.0,116.0,0.0,0.0,0.0,,,
2017-04-01,27.722,98.0,98.0,0.0,0.0,0.0,,,
2017-05-01,39.428,140.0,140.0,0.0,0.0,0.0,,,
2017-06-01,39.986,140.0,140.0,0.0,0.0,0.0,,,
2017-07-01,36.954,128.0,128.0,0.0,0.0,0.0,,,
2017-08-01,35.137,122.0,122.0,0.0,0.0,0.0,,,
2017-09-01,16.314,55.0,55.0,0.0,0.0,0.0,,,
2017-10-01,17.558,61.0,61.0,0.0,0.0,0.0,,,
2017-11-01,26.255,92.0,92.0,0.0,0.0,0.0,,,
2017-12-01,78.364,275.0,275.0,0.0,0.0,0.0,,,
2018-01-01,76.019,891.0,891.0,0.0,0.0,0.0,,,
2018-02-01,46.428,549.0,549.0,0.0,0.0,0.0,,,
2018-03-01,65.695,781.0,781.0,0.0,0.0,0.0,,,
2018-04-01,44.068,525.0,525.0,0.0,0.0,0.0,,,
2018-05-01,61.631,732.0,732.0,0.0,0.0,0.0,,,
2018-06-01,54.873,653.0,653.0,0.0,0.0,0.0,,,
2018-07-01,50.381,598.0,598.0,0.0,0.0,0.0,,,
2018-08-01,68.502,811.0,811.0,0.0,0.0,0.0,,,
2018-09-01,88.519,1049.0,1049.0,0.0,0.0,0.0,,,
2018-10-01,83.08,982.0,982.0,0.0,0.0,0.0,,,
2018-11-01,62.964,744.0,744.0,0.0,0.0,0.0,,,
2018-12-01,70.84,842.0,842.0,0.0,0.0,0.0,,,
2019-01-01,130.578,1641.0,1641.0,0.0,0.0,0.0,,,
2019-02-01,73.609,927.0,927.0,0.0,0.0,0.0,,,
2019-03-01,96.103,1214.0,1214.0,0.0,0.0,0.0,,,
2019-04-01,68.402,860.0,860.0,0.0,0.0,0.0,,,
2019-05-01,81.631,1031.0,1031.0,0.0,0.0,0.0,,,
2019-06-01,107.771,1360.0,1360.0,0.0,0.0,0.0,,,
2019-07-01,77.687,982.0,982.0,0.0,0.0,0.0,,,
2019-08-01,57.62,726.0,726.0,0.0,0.0,0.0,,,
2019-09-01,63.181,799.0,799.0,0.0,0.0,0.0,,,
2019-10-01,70.92,897.0,897.0,0.0,0.0,0.0,,,
2019-11-01,63.247,799.0,799.0,0.0,0.0,0.0,,,
2019-12-01,88.251,1110.0,1110.0,0.0,0.0,0.0,,,
2020-01-01,91.727,988.0,988.0,0.0,0.0,0.0,,,
2020-02-01,73.885,799.0,799.0,0.0,0.0,0.0,,,
2020-03-01,72.495,781.0,781.0,0.0,0.0,0.0,,,
2020-04-01,40.064,433.0,433.0,0.0,0.0,0.0,,,
2020-05-01,95.885,1037.0,1037.0,0.0,0.0,0.0,,,
2020-06-01,73.155,787.0,787.0,0.0,0.0,0.0,,,
2020-07-01,64.201,695.0,695.0,0.0,0.0,0.0,,,
2020-08-01,91.463,988.0,988.0,0.0,0.0,0.0,,,
2020-09-01,47.994,519.0,519.0,0.0,0.0,0.0,,,
2020-10-01,45.331,488.0,488.0,0.0,0.0,0.0,,,
2020-11-01,62.586,677.0,677.0,0.0,0.0,0.0,,,
2020-12-01,102.214,1104.0,1104.0,0.0,0.0,0.0,,,
2021-01-01,33.98,628.0,628.0,0.0,0.0,0.0,,,
2021-02-01,36.523,671.0,671.0,0.0,0.0,0.0,,,
2021-03-01,46.713,854.0,854.0,0.0,0.0,0.0,,,
2021-04-01,27.383,500.0,500.0,0.0,0.0,0.0,,,
2021-05-01,56.186,1031.0,1031.0,0.0,0.0,0.0,,,
2021-06-01,38.528,708.0,708.0,0.0,0.0,0.0,,,
2021-07-01,20.067,366.0,366.0,0.0,0.0,0.0,,,
2021-08-01,38.595,708.0,708.0,0.0,0.0,0.0,,,
2021-09-01,35.158,647.0,647.0,0.0,0.0,0.0,,,
2021-10-01,22.754,415.0,415.0,0.0,0.0,0.0,,,
2021-11-01,37.414,683.0,683.0,0.0,0.0,0.0,,,
2021-12-01,52.699,964.0,964.0,0.0,0.0,0.0,,,
2022-01-01,40.979,586.0,586.0,0.0,0.0,0.0,,,
2022-02-01,21.373,299.0,299.0,0.0,0.0,0.0,,,
2022-03-01,23.351,329.0,329.0,0.0,0.0,0.0,,,
2022-04-01,20.413,287.0,287.0,0.0,0.0,0.0,,,
2022-05-01,29.012,409.0,409.0,0.0,0.0,0.0,,,
2022-06-01,32.94,464.0,464.0,0.0,0.0,0.0,,,
2022-07-01,20.502,287.0,287.0,0.0,0.0,0.0,,,
2022-08-01,21.582,305.0,305.0,0.0,0.0,0.0,,,
2022-09-01,22.441,317.0,317.0,0.0,0.0,0.0,,,
2022-10-01,9.415,134.0,134.0,0.0,0.0,0.0,,,
2022-11-01,25.174,354.0,354.0,0.0,0.0,0.0,,,
2022-12-01,118.818,1678.0,1678.0,0.0,0.0,0.0,,,
