measured_on,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Residual Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Residual Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Residual Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2005-07-01,87.48,1886.98,1886.98,480.838,9070.93,9070.93,,,,0.0,0.0,0.0
2005-08-01,86.903,1874.53,1874.53,477.665,9011.06,9011.06,,,,0.0,0.0,0.0
2005-09-01,52.614000000000004,1134.91,1134.91,289.195,5455.62,5455.62,,,,0.0,0.0,0.0
2005-10-01,37.307,804.72,804.72,205.05700000000002,3868.36,3868.36,,,,0.0,0.0,0.0
2005-11-01,32.696000000000005,705.27,705.27,179.716,3390.31,3390.31,,,,0.0,0.0,0.0
2005-12-01,40.873000000000005,881.65,881.65,224.661,4238.18,4238.18,,,,0.0,0.0,0.0
2006-01-01,27.1,605.0,605.0,77.225,1492.0,1492.0,,,,0.0,0.0,0.0
2006-02-01,30.634,684.0,684.0,87.296,1686.0,1686.0,,,,0.0,0.0,0.0
2006-03-01,40.368,902.0,902.0,115.036,2222.0,2222.0,,,,0.0,0.0,0.0
2006-04-01,33.406,746.0,746.0,95.196,1839.0,1839.0,,,,0.0,0.0,0.0
2006-05-01,44.004000000000005,983.0,983.0,125.397,2422.0,2422.0,,,,0.0,0.0,0.0
2006-06-01,56.682,1266.0,1266.0,161.526,3120.0,3120.0,,,,0.0,0.0,0.0
2006-07-01,101.43100000000001,2265.0,2265.0,289.046,5584.0,5584.0,,,,0.0,0.0,0.0
2006-08-01,90.131,2013.0,2013.0,256.843,4962.0,4962.0,,,,0.0,0.0,0.0
2006-09-01,53.017,1184.0,1184.0,151.08,2919.0,2919.0,,,,0.0,0.0,0.0
2006-10-01,57.428000000000004,1283.0,1283.0,163.65,3161.0,3161.0,,,,0.0,0.0,0.0
2006-11-01,38.608000000000004,862.0,862.0,110.02,2125.0,2125.0,,,,0.0,0.0,0.0
2006-12-01,39.192,875.0,875.0,111.68400000000001,2158.0,2158.0,,,,0.0,0.0,0.0
2007-01-01,56.743,1320.0,1320.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-02-01,104.16900000000001,2424.0,2424.0,878.0,13798.0,13798.0,,,,0.0,0.0,0.0
2007-03-01,59.602000000000004,1387.0,1387.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-04-01,76.015,1769.0,1769.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,38.938,906.0,906.0,517.0,6278.0,6278.0,,,,0.0,0.0,0.0
2007-06-01,74.17,1726.0,1726.0,1194.0,14562.0,14562.0,,,,0.0,0.0,0.0
2007-07-01,74.93900000000001,1744.0,1744.0,1696.0,20732.0,20732.0,,,,0.0,0.0,0.0
2007-08-01,84.658,1970.0,1970.0,244.0,2928.0,2928.0,,,,0.0,0.0,0.0
2007-09-01,46.899,1091.0,1091.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-10-01,49.187000000000005,1144.0,1144.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-11-01,49.894000000000005,1161.0,1161.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-12-01,84.467,1965.0,1965.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2008-01-01,2.3760000000000003,69.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2008-02-01,2.351,69.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2008-03-01,3.8070000000000004,112.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2008-04-01,1.248,37.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2008-05-01,2.7510000000000003,81.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2008-06-01,1.7750000000000001,52.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2008-07-01,3.9210000000000003,115.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2008-08-01,3.241,96.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2008-09-01,1.8940000000000001,56.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2008-10-01,1.4040000000000001,41.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2008-11-01,2.419,71.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2008-12-01,5.1530000000000005,152.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2009-01-01,13.334000000000001,353.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2009-02-01,8.417,222.0,222.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2009-03-01,7.628,201.0,201.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2009-04-01,7.651000000000001,202.0,202.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2009-05-01,6.0360000000000005,160.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2009-06-01,13.541,358.0,358.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2009-07-01,5.98,157.0,157.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2009-08-01,12.296000000000001,325.0,325.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2009-09-01,16.257,429.0,429.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2009-10-01,9.892000000000001,261.0,261.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2009-11-01,6.84,180.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2009-12-01,13.648000000000001,360.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2010-01-01,3.089,86.0,86.0,,,,0.0,0.0,0.0,,,
2010-02-01,2.218,61.0,61.0,,,,0.0,0.0,0.0,,,
2010-03-01,1.194,34.0,34.0,,,,0.0,0.0,0.0,,,
2010-04-01,1.5370000000000001,43.0,43.0,,,,0.0,0.0,0.0,,,
2010-05-01,4.437,123.0,123.0,,,,0.0,0.0,0.0,,,
2010-06-01,3.1830000000000003,89.0,89.0,,,,0.0,0.0,0.0,,,
2010-07-01,7.093,197.0,197.0,,,,0.0,0.0,0.0,,,
2010-08-01,7.445,207.0,207.0,,,,0.0,0.0,0.0,,,
2010-09-01,1.649,46.0,46.0,,,,0.0,0.0,0.0,,,
2010-10-01,2.914,81.0,81.0,,,,0.0,0.0,0.0,,,
2010-11-01,2.297,64.0,64.0,,,,0.0,0.0,0.0,,,
2010-12-01,2.144,59.0,59.0,,,,0.0,0.0,0.0,,,
2011-01-01,6.773,166.0,166.0,,,,0.0,0.0,0.0,,,
2011-02-01,4.518,110.0,110.0,,,,0.0,0.0,0.0,,,
2011-03-01,5.622,137.0,137.0,,,,0.0,0.0,0.0,,,
2011-04-01,4.148,101.0,101.0,,,,0.0,0.0,0.0,,,
2011-05-01,2.315,56.0,56.0,,,,0.0,0.0,0.0,,,
2011-06-01,5.082,123.0,123.0,,,,0.0,0.0,0.0,,,
2011-07-01,20.259,493.0,493.0,,,,0.0,0.0,0.0,,,
2011-08-01,11.38,276.0,276.0,,,,0.0,0.0,0.0,,,
2011-09-01,3.738,91.0,91.0,,,,0.0,0.0,0.0,,,
2011-10-01,3.934,96.0,96.0,,,,0.0,0.0,0.0,,,
2011-11-01,2.363,57.0,57.0,,,,0.0,0.0,0.0,,,
2011-12-01,5.868,143.0,143.0,,,,0.0,0.0,0.0,,,
2012-01-01,1.769,44.0,44.0,,,,0.0,0.0,0.0,,,
2012-02-01,3.462,88.0,88.0,,,,0.0,0.0,0.0,,,
2012-03-01,3.698,94.0,94.0,,,,0.0,0.0,0.0,,,
2012-04-01,4.46,112.0,112.0,,,,0.0,0.0,0.0,,,
2012-05-01,5.558,141.0,141.0,,,,0.0,0.0,0.0,,,
2012-06-01,6.211,157.0,157.0,,,,0.0,0.0,0.0,,,
2012-07-01,10.523,265.0,265.0,,,,0.0,0.0,0.0,,,
2012-08-01,5.042,128.0,128.0,,,,0.0,0.0,0.0,,,
2012-09-01,2.224,56.0,56.0,,,,0.0,0.0,0.0,,,
2012-10-01,1.735,44.0,44.0,,,,0.0,0.0,0.0,,,
2012-11-01,2.848,71.0,71.0,,,,0.0,0.0,0.0,,,
2012-12-01,4.47,113.0,113.0,,,,0.0,0.0,0.0,,,
2013-01-01,0.0,1.0,1.0,,,,0.0,0.0,0.0,,,
2013-02-01,0.0,1.0,1.0,,,,0.0,0.0,0.0,,,
2013-03-01,0.0,1.0,1.0,,,,0.0,0.0,0.0,,,
2013-04-01,0.0,1.0,1.0,,,,0.0,0.0,0.0,,,
2013-05-01,0.0,1.0,1.0,,,,0.0,0.0,0.0,,,
2013-06-01,0.0,1.0,1.0,,,,0.0,0.0,0.0,,,
2013-07-01,0.0,1.0,1.0,,,,0.0,0.0,0.0,,,
2013-08-01,0.0,1.0,1.0,,,,0.0,0.0,0.0,,,
2013-09-01,0.0,1.0,1.0,,,,0.0,0.0,0.0,,,
2013-10-01,0.0,1.0,1.0,,,,0.0,0.0,0.0,,,
2013-11-01,0.0,1.0,1.0,,,,0.0,0.0,0.0,,,
2013-12-01,0.0,1.0,1.0,,,,0.0,0.0,0.0,,,
