measured_on,"Gaseous Propane-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Gaseous Propane-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Gaseous Propane-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2007-06-01,,,,2.8920000000000003,15.0,47.0,1155.194,5950.0,19047.0
2007-07-01,,,,3.67,19.0,61.0,978.6990000000001,5039.0,16136.0
2007-08-01,,,,3.871,20.0,64.0,1175.652,6052.0,19387.0
2007-09-01,,,,3.115,17.0,52.0,909.692,4685.0,15001.0
2007-10-01,,,,3.06,15.0,51.0,703.8140000000001,3624.0,11608.0
2007-11-01,,,,2.853,14.0,47.0,697.606,3590.0,11506.0
2007-12-01,,,,2.6140000000000003,13.0,43.0,1304.627,6718.0,21515.0
2008-01-01,,,,31.158,46.0,46.0,1936.019,2842.0,2842.0
2008-02-01,,,,30.951,45.0,45.0,1619.487,2387.0,2387.0
2008-03-01,,,,34.611000000000004,51.0,51.0,1389.583,2047.0,2047.0
2008-04-01,,,,43.83,65.0,65.0,756.081,1115.0,1115.0
2008-05-01,,,,34.529,51.0,51.0,696.789,1027.0,1027.0
2008-06-01,,,,49.068000000000005,73.0,73.0,1581.547,2332.0,2332.0
2008-07-01,,,,64.857,96.0,96.0,1449.78,2135.0,2135.0
2008-08-01,,,,48.014,70.0,70.0,1201.2540000000001,1768.0,1768.0
2008-09-01,,,,44.300000000000004,65.0,65.0,1528.2160000000001,2251.0,2251.0
2008-10-01,,,,43.705000000000005,65.0,65.0,875.361,1292.0,1292.0
2008-11-01,,,,45.208000000000006,67.0,67.0,1065.842,1571.0,1571.0
2008-12-01,,,,39.889,58.0,58.0,1722.7810000000002,2536.0,2536.0
2009-01-01,,,,1205.858,6209.0,56024.0,71.744,369.0,3339.0
2009-02-01,,,,1048.0,5396.0,48692.0,29.742,153.0,1380.0
2009-03-01,,,,1220.582,6285.0,56709.0,31.023000000000003,160.0,1442.0
2009-04-01,,,,1222.42,6294.0,56795.0,3.9970000000000003,21.0,184.0
2009-05-01,,,,950.918,4896.0,44180.0,6.34,33.0,292.0
2009-06-01,,,,1149.997,5921.0,53430.0,2.7840000000000003,14.0,129.0
2009-07-01,,,,1602.1670000000001,8250.0,74438.0,2.153,11.0,102.0
2009-08-01,,,,2121.678,10925.0,98575.0,9.53,49.0,442.0
2009-09-01,,,,1627.8990000000001,8382.0,75634.0,1.266,7.0,61.0
2009-10-01,,,,1698.7830000000001,8747.0,78927.0,1.564,8.0,75.0
2009-11-01,,,,1434.9470000000001,7389.0,66669.0,3.71,19.0,170.0
2009-12-01,,,,1479.222,7617.0,68726.0,9.876000000000001,51.0,456.0
2010-01-01,,,,1107.835,6013.0,50930.0,0.68,4.0,27.0
2010-02-01,,,,945.4770000000001,5132.0,43467.0,0.29400000000000004,2.0,14.0
2010-03-01,,,,984.658,5345.0,45267.0,0.745,4.0,34.0
2010-04-01,,,,1089.7540000000001,5915.0,50098.0,0.306,2.0,14.0
2010-05-01,,,,1411.565,7662.0,64893.0,0.663,4.0,27.0
2010-06-01,,,,1522.67,8265.0,70001.0,0.5780000000000001,3.0,27.0
2010-07-01,,,,1987.438,10788.0,91368.0,3.21,17.0,150.0
2010-08-01,,,,1792.7040000000002,9731.0,82415.0,0.9620000000000001,5.0,48.0
2010-09-01,,,,1477.008,8017.0,67902.0,1.2950000000000002,7.0,61.0
2010-10-01,,,,1175.016,6378.0,54019.0,1.204,7.0,54.0
2010-11-01,,,,1152.249,6254.0,52972.0,0.273,1.0,14.0
2010-12-01,,,,1216.5320000000002,6603.0,55927.0,0.884,5.0,41.0
2011-01-01,,,,1131.729,5876.0,51719.0,4.751,25.0,211.0
2011-02-01,,,,1009.31,5240.0,46125.0,1.837,10.0,87.0
2011-03-01,,,,1079.586,5605.0,49336.0,0.709,4.0,31.0
2011-04-01,,,,1427.095,7409.0,65217.0,0.396,2.0,19.0
2011-05-01,,,,1147.456,5958.0,52438.0,0.406,2.0,19.0
2011-06-01,,,,1341.807,6967.0,61320.0,0.685,4.0,31.0
2011-07-01,,,,1841.455,9561.0,84153.0,2.666,14.0,124.0
2011-08-01,,,,1786.519,9275.0,81642.0,0.855,4.0,37.0
2011-09-01,,,,1437.725,7465.0,65703.0,0.571,3.0,25.0
2011-10-01,,,,1471.087,7638.0,67228.0,0.49,3.0,25.0
2011-11-01,,,,1167.64,6062.0,53360.0,0.379,2.0,19.0
2011-12-01,,,,989.187,5136.0,45206.0,0.659,3.0,31.0
2012-01-01,,,,1002.707,5487.0,51508.0,2.08,11.0,112.0
2012-02-01,,,,1004.154,5495.0,51583.0,0.221,1.0,12.0
2012-03-01,,,,1121.019,6134.0,57587.0,0.498,3.0,25.0
2012-04-01,,,,1028.076,5626.0,52812.0,0.447,2.0,25.0
2012-05-01,,,,1225.999,6709.0,62979.0,0.415,2.0,19.0
2012-06-01,,,,1389.395,7603.0,71374.0,2.848,16.0,149.0
2012-07-01,,,,1920.145,10507.0,98638.0,1.426,8.0,74.0
2012-08-01,,,,1919.267,10502.0,98593.0,0.897,5.0,43.0
2012-09-01,,,,1540.857,8432.0,79154.0,0.634,3.0,31.0
2012-10-01,,,,1307.777,7156.0,67180.0,0.589,3.0,31.0
2012-11-01,,,,998.951,5466.0,51316.0,0.777,4.0,37.0
2012-12-01,,,,709.429,3882.0,36443.0,0.392,2.0,19.0
2013-01-01,82.906,447.0,4018.0,1075.276,5795.0,52114.0,0.0,0.0,0.0
2013-02-01,68.535,369.0,3323.0,683.334,3683.0,33119.0,0.0,0.0,0.0
2013-03-01,80.39,433.0,3895.0,934.72,5037.0,45302.0,0.0,0.0,0.0
2013-04-01,61.19,330.0,2965.0,1462.246,7880.0,70869.0,0.0,0.0,0.0
2013-05-01,71.808,387.0,3480.0,1653.834,8913.0,80155.0,0.0,0.0,0.0
2013-06-01,70.396,379.0,3413.0,1447.672,7802.0,70162.0,0.0,0.0,0.0
2013-07-01,86.038,464.0,4170.0,2336.564,12592.0,113244.0,0.0,0.0,0.0
2013-08-01,100.582,542.0,4875.0,2069.422,11153.0,100296.0,0.0,0.0,0.0
2013-09-01,84.478,455.0,4095.0,1513.366,8156.0,73347.0,0.0,0.0,0.0
2013-10-01,84.668,456.0,4103.0,1505.868,8115.0,72983.0,0.0,0.0,0.0
2013-11-01,80.602,434.0,3908.0,994.689,5361.0,48209.0,0.0,0.0,0.0
2013-12-01,82.842,446.0,4015.0,682.574,3679.0,33081.0,0.0,0.0,0.0
2014-01-01,66.838,357.0,3318.0,898.379,4805.0,44590.0,8.187,44.0,404.0
2014-02-01,54.567,292.0,2708.0,928.99,4969.0,46108.0,1.757,9.0,87.0
2014-03-01,69.177,370.0,3433.0,697.958,3733.0,34641.0,2.334,12.0,118.0
2014-04-01,74.223,397.0,3685.0,1378.849,7375.0,68434.0,0.048,0.0,0.0
2014-05-01,87.606,469.0,4348.0,1509.065,8071.0,74898.0,0.064,0.0,6.0
2014-06-01,83.34,446.0,4138.0,1628.939,8713.0,80847.0,0.02,0.0,0.0
2014-07-01,94.741,507.0,4703.0,2244.144,12003.0,111381.0,0.208,1.0,12.0
2014-08-01,93.955,503.0,4663.0,2019.351,10801.0,100224.0,0.157,1.0,6.0
2014-09-01,81.693,437.0,4055.0,1714.551,9171.0,85096.0,0.042,0.0,0.0
2014-10-01,74.762,400.0,3710.0,1676.609,8968.0,83213.0,0.054,0.0,0.0
2014-11-01,84.354,451.0,4188.0,969.151,5184.0,48101.0,0.078,0.0,6.0
2014-12-01,80.608,431.0,4000.0,811.012,4338.0,40252.0,0.189,1.0,12.0
2015-01-01,0.754,4.0,35.0,590.046,3153.0,26839.0,1.385,7.0,62.0
2015-02-01,0.64,3.0,30.0,652.435,3486.0,29677.0,8.876,47.0,404.0
2015-03-01,0.565,3.0,25.0,792.733,4236.0,36059.0,0.395,2.0,19.0
2015-04-01,0.409,2.0,18.0,1121.663,5993.0,51021.0,0.061,0.0,0.0
2015-05-01,0.46,2.0,20.0,1534.756,8201.0,69812.0,0.14,1.0,6.0
2015-06-01,0.595,3.0,28.0,1504.199,8037.0,68421.0,0.077,0.0,6.0
2015-07-01,0.757,4.0,35.0,2360.478,12613.0,107370.0,0.243,1.0,12.0
2015-08-01,0.668,4.0,30.0,2373.045,12680.0,107942.0,0.139,1.0,6.0
2015-09-01,0.745,4.0,35.0,1704.256,9106.0,77521.0,0.413,2.0,19.0
2015-10-01,0.496,3.0,23.0,1429.428,7638.0,65020.0,0.063,0.0,0.0
2015-11-01,0.493,3.0,23.0,857.341,4581.0,38997.0,0.097,1.0,6.0
2015-12-01,0.618,3.0,28.0,934.406,4993.0,42503.0,0.125,1.0,6.0
2016-01-01,,,,983.532,4394.0,44194.0,0.732,3.0,37.0
2016-02-01,,,,1031.873,4610.0,46365.0,1.541,7.0,68.0
2016-03-01,,,,1118.339,4997.0,50250.0,0.054,0.0,0.0
2016-04-01,,,,1224.922,5473.0,55040.0,0.115,1.0,6.0
2016-05-01,,,,1617.92,7229.0,72698.0,0.168,1.0,6.0
2016-06-01,,,,1845.46,8246.0,82922.0,0.28,1.0,12.0
2016-07-01,,,,2254.815,10075.0,101316.0,1.202,5.0,56.0
2016-08-01,,,,2251.352,10059.0,101160.0,0.835,4.0,37.0
2016-09-01,,,,1493.637,6674.0,67113.0,1.562,7.0,68.0
2016-10-01,,,,964.575,4310.0,43341.0,2.404,11.0,106.0
2016-11-01,,,,739.869,3306.0,33244.0,6.336,28.0,286.0
2016-12-01,0.334,1.0,15.0,1138.958,5089.0,51176.0,2.185,10.0,99.0
2017-01-01,0.054,0.0,3.0,1460.946,6491.0,67623.0,0.0,0.0,0.0
2017-02-01,0.038,0.0,3.0,932.962,4410.0,60666.0,0.0,0.0,0.0
2017-03-01,0.0,0.0,0.0,1453.0,6416.0,65613.0,0.0,0.0,0.0
2017-04-01,0.0,0.0,0.0,1348.0,6033.0,60603.0,0.0,0.0,0.0
2017-05-01,0.0,0.0,0.0,1220.0,5492.0,58857.0,0.0,0.0,0.0
2017-06-01,0.0,0.0,0.0,956.0,4415.0,57077.0,0.0,0.0,0.0
2017-07-01,0.0,0.0,0.0,998.0,4594.0,59266.0,0.0,0.0,0.0
2017-08-01,0.0,0.0,0.0,1199.0,5413.0,58298.0,0.0,0.0,0.0
2017-09-01,0.052,0.0,3.0,1155.948,5255.0,55710.0,0.0,0.0,0.0
2017-10-01,0.052,0.0,3.0,1203.948,5471.0,57666.0,0.0,0.0,0.0
2017-11-01,0.056,0.0,3.0,1374.051,6093.0,61551.0,12.893,57.0,578.0
2017-12-01,0.0,0.0,0.0,1322.0,5854.0,63403.0,0.0,0.0,0.0
2018-01-01,0.0,0.0,0.0,1412.0,6150.0,72257.0,0.0,0.0,0.0
2018-02-01,0.0,0.0,0.0,1265.0,5792.0,65425.0,0.0,0.0,0.0
2018-03-01,0.053,0.0,3.0,1547.947,6811.0,73642.0,0.0,0.0,0.0
2018-04-01,0.051,0.0,3.0,1347.949,6033.0,65594.0,0.0,0.0,0.0
2018-05-01,0.0,0.0,0.0,1084.0,4927.0,56393.0,0.0,0.0,0.0
2018-06-01,0.0,0.0,0.0,1127.0,5126.0,59438.0,0.0,0.0,0.0
2018-07-01,0.0,0.0,0.0,1239.0,5592.0,56793.0,0.0,0.0,0.0
2018-08-01,0.0,0.0,0.0,1343.0,6050.0,59919.0,0.0,0.0,0.0
2018-09-01,0.0,0.0,0.0,1238.0,5534.0,56098.0,0.0,0.0,0.0
2018-10-01,0.0,0.0,0.0,1412.0,6150.0,61066.0,0.0,0.0,0.0
2018-11-01,0.055,0.0,3.0,1421.945,6170.0,64139.0,0.0,0.0,0.0
2018-12-01,0.0,0.0,0.0,1586.0,6891.0,70307.0,0.0,0.0,0.0
2019-01-01,0.0,0.0,0.0,1666.0,7211.0,73580.0,0.0,0.0,0.0
2019-02-01,0.053,0.0,3.0,1342.947,5992.0,63086.0,0.0,0.0,0.0
2019-03-01,0.0,0.0,0.0,1310.0,5834.0,63171.0,0.0,0.0,0.0
2019-04-01,0.051,0.0,3.0,1293.949,5813.0,63813.0,0.0,0.0,0.0
2019-05-01,0.0,0.0,0.0,1288.0,5850.0,64024.0,0.0,0.0,0.0
2019-06-01,0.0,0.0,0.0,1178.0,5393.0,59438.0,0.0,0.0,0.0
2019-07-01,0.0,0.0,0.0,1287.0,5871.0,61382.0,0.0,0.0,0.0
2019-08-01,0.0,0.0,0.0,1238.0,5671.0,58614.0,0.0,0.0,0.0
2019-09-01,0.053,0.0,3.0,1194.947,5392.0,55908.0,0.0,0.0,0.0
2019-10-01,0.058,0.0,3.0,1314.942,5933.0,57161.0,0.0,0.0,0.0
2019-11-01,0.06,0.0,3.0,1702.94,7531.0,71422.0,0.0,0.0,0.0
2019-12-01,0.057,0.0,3.0,1695.943,7448.0,74822.0,0.0,0.0,0.0
2020-01-01,0.052,0.0,3.0,1514.948,6670.0,72170.0,0.0,0.0,0.0
2020-02-01,0.0,0.0,0.0,1647.0,6907.0,67065.0,0.0,0.0,0.0
2020-03-01,0.0,0.0,0.0,1595.0,6691.0,65329.0,0.0,0.0,0.0
2020-04-01,0.0,0.0,0.0,1590.0,6670.0,63360.0,0.0,0.0,0.0
2020-05-01,0.0,0.0,0.0,1282.0,5351.0,60634.0,0.0,0.0,0.0
2020-06-01,0.0,0.0,0.0,1137.0,4752.0,59438.0,0.0,0.0,0.0
2020-07-01,0.0,0.0,0.0,1304.0,5451.0,55983.0,0.0,0.0,0.0
2020-08-01,0.0,0.0,0.0,1390.0,5813.0,57435.0,0.0,0.0,0.0
2020-09-01,0.062,0.0,3.0,1400.938,5850.0,56130.0,0.0,0.0,0.0
2020-10-01,0.062,0.0,3.0,1504.938,6291.0,60498.0,0.0,0.0,0.0
2020-11-01,0.066,0.0,3.0,1615.934,6749.0,61666.0,0.0,0.0,0.0
2020-12-01,0.064,0.0,3.0,1764.936,7369.0,68854.0,0.0,0.0,0.0
2021-01-01,0.0,0.0,0.0,1892.0,7910.0,72696.0,0.0,0.0,0.0
2021-02-01,0.0,0.0,0.0,1670.0,6990.0,65371.0,0.0,0.0,0.0
2021-03-01,0.0,0.0,0.0,1738.0,7269.0,68338.0,0.0,0.0,0.0
2021-04-01,0.0,0.0,0.0,1536.0,6433.0,60161.0,0.0,0.0,0.0
2021-05-01,0.037,0.0,3.0,802.963,3391.0,54014.0,0.0,0.0,0.0
2021-06-01,0.0,0.0,0.0,1087.0,4577.0,58066.0,0.0,0.0,0.0
2021-07-01,0.049,0.0,3.0,1181.951,4935.0,59813.0,0.0,0.0,0.0
2021-08-01,0.0,0.0,0.0,1124.0,4694.0,58655.0,0.0,0.0,0.0
2021-09-01,0.0,0.0,0.0,1114.0,4652.0,57225.0,0.0,0.0,0.0
2021-10-01,0.0,0.0,0.0,1047.0,4377.0,60424.0,0.0,0.0,0.0
2021-11-01,0.043,0.0,3.0,1097.957,4831.0,64171.0,0.0,0.0,0.0
2021-12-01,0.049,0.0,3.0,1338.951,5992.0,68433.0,0.0,0.0,0.0
2022-01-01,0.0,0.0,0.0,1390.0,6092.0,71286.0,0.0,0.0,0.0
2022-02-01,0.0,0.0,0.0,1519.0,6591.0,64728.0,0.0,0.0,0.0
2022-03-01,0.059,0.0,3.0,1374.941,6012.0,58530.0,0.0,0.0,0.0
2022-04-01,0.057,0.0,3.0,1393.943,6133.0,61055.0,0.0,0.0,0.0
2022-05-01,0.0,0.0,0.0,1577.0,6891.0,64518.0,0.0,0.0,0.0
2022-06-01,0.0,0.0,0.0,1298.0,5713.0,56393.0,0.0,0.0,0.0
2022-07-01,0.0,0.0,0.0,1262.0,5592.0,56424.0,0.0,0.0,0.0
2022-08-01,0.048,0.0,3.0,1104.952,4972.0,57604.0,0.0,0.0,0.0
2022-09-01,0.0,0.0,0.0,1160.0,5172.0,57618.0,0.0,0.0,0.0
2022-10-01,0.054,0.0,3.0,1321.946,5892.0,60835.0,0.0,0.0,0.0
2022-11-01,0.054,0.0,3.0,1264.946,5551.0,58635.0,0.0,0.0,0.0
2022-12-01,0.0,0.0,0.0,1485.0,6491.0,69907.0,0.0,0.0,0.0
2023-01-01,0.054,0.0,3.0,1422.946,5992.0,66444.0,0.0,0.0,0.0
2023-02-01,0.054,0.0,3.0,1363.946,5750.0,62708.0,0.0,0.0,0.0
2023-03-01,0.054,0.0,3.0,1454.946,6133.0,67013.0,0.0,0.0,0.0
2023-04-01,0.0,0.0,0.0,1383.0,5792.0,59519.0,0.0,0.0,0.0
2023-05-01,0.058,0.0,3.0,1390.942,5833.0,60456.0,0.0,0.0,0.0
2023-06-01,0.0,0.0,0.0,1295.0,5434.0,57445.0,0.0,0.0,0.0
2023-07-01,0.0,0.0,0.0,1304.0,5472.0,59024.0,0.0,0.0,0.0
2023-08-01,0.0,0.0,0.0,1399.0,5871.0,61803.0,0.0,0.0,0.0
2023-09-01,0.0,0.0,0.0,1168.0,4914.0,55162.0,0.0,0.0,0.0
2023-10-01,0.0,0.0,0.0,1201.0,5014.0,56362.0,0.0,0.0,0.0
2023-11-01,0.032,0.0,3.0,115.968,499.0,9030.0,0.0,0.0,0.0
2023-12-01,0.0,0.0,3.0,0.0,0.0,2947.0,0.0,0.0,0.0
2024-01-01,0.0,0.0,3.0,0.0,0.0,1463.0,0.0,0.0,0.0
