measured_on,"Municiapl Landfill Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Municipal Landfill Gas - Generation","Municiapl Landfill Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Municipal Landfill Gas - Quantity Consumed For Electricity","Municiapl Landfill Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Municipal Landfill Gas - Total Fuel Consumed","Municiapl Landfill Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Municipal Landfill Gas - Generation","Municiapl Landfill Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Municipal Landfill Gas - Quantity Consumed For Electricity","Municiapl Landfill Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Municipal Landfill Gas - Total Fuel Consumed"
2010-03-01,1700.4180000000001,18080.0,18080.0,,,
2010-04-01,778.2990000000001,8276.0,8276.0,,,
2010-05-01,1229.146,13069.0,13069.0,,,
2010-06-01,2326.7400000000002,24740.0,24740.0,,,
2010-07-01,2108.986,22425.0,22425.0,,,
2010-08-01,2048.545,21782.0,21782.0,,,
2010-09-01,1600.2,17014.0,17014.0,,,
2010-10-01,1307.0420000000001,13897.0,13897.0,,,
2010-11-01,1487.8310000000001,15820.0,15820.0,,,
2010-12-01,1046.6770000000001,11129.0,11129.0,,,
2011-01-01,1395.953,14621.0,14621.0,,,
2011-02-01,1451.188,15199.0,15199.0,,,
2011-03-01,1539.961,16129.0,16129.0,,,
2011-04-01,2444.077,25598.0,25598.0,,,
2011-05-01,1863.529,19518.0,19518.0,,,
2011-06-01,2105.079,22048.0,22048.0,,,
2011-07-01,2159.807,22621.0,22621.0,,,
2011-08-01,1724.96,18066.0,18066.0,,,
2011-09-01,1974.935,20685.0,20685.0,,,
2011-10-01,1618.428,16951.0,16951.0,,,
2011-11-01,1754.817,18380.0,18380.0,,,
2011-12-01,1682.266,17620.0,17620.0,,,
2012-01-01,1812.568,18566.0,18566.0,,,
2012-02-01,2011.181,20599.0,20599.0,,,
2012-03-01,2275.394,23305.0,23305.0,,,
2012-04-01,1443.951,14789.0,14789.0,,,
2012-05-01,2308.64,23646.0,23646.0,,,
2012-06-01,1953.176,20005.0,20005.0,,,
2012-07-01,1947.702,19949.0,19949.0,,,
2012-08-01,2342.347,23991.0,23991.0,,,
2012-09-01,2236.476,22906.0,22906.0,,,
2012-10-01,2012.281,20610.0,20610.0,,,
2012-11-01,2090.826,21415.0,21415.0,,,
2012-12-01,1924.458,19710.0,19710.0,,,
2013-01-01,1669.204,17989.0,17989.0,,,
2013-02-01,1404.905,15141.0,15141.0,,,
2013-03-01,1480.337,15954.0,15954.0,,,
2013-04-01,1306.564,14081.0,14081.0,,,
2013-05-01,1367.812,14742.0,14742.0,,,
2013-06-01,1424.271,15350.0,15350.0,,,
2013-07-01,1335.293,14391.0,14391.0,,,
2013-08-01,1318.115,14206.0,14206.0,,,
2013-09-01,1071.548,11548.0,11548.0,,,
2013-10-01,1298.844,13998.0,13998.0,,,
2013-11-01,1061.986,11446.0,11446.0,,,
2013-12-01,1114.121,12007.0,12007.0,,,
2014-01-01,1251.396,11971.0,11971.0,,,
2014-02-01,1251.342,11970.0,11970.0,,,
2014-03-01,1484.951,14205.0,14205.0,,,
2014-04-01,1515.945,14501.0,14501.0,,,
2014-05-01,1497.595,14326.0,14326.0,,,
2014-06-01,1639.185,15680.0,15680.0,,,
2014-07-01,1801.543,17233.0,17233.0,,,
2014-08-01,1624.249,15537.0,15537.0,,,
2014-09-01,1539.802,14729.0,14729.0,,,
2014-10-01,1477.559,14134.0,14134.0,,,
2014-11-01,1401.539,13407.0,13407.0,,,
2014-12-01,1369.894,13104.0,13104.0,,,
2015-01-01,1556.175,15317.0,15317.0,,,
2015-02-01,1455.477,14326.0,14326.0,,,
2015-03-01,1558.615,15341.0,15341.0,,,
2015-04-01,1631.21,16056.0,16056.0,,,
2015-05-01,1443.682,14210.0,14210.0,,,
2015-06-01,1380.839,13591.0,13591.0,,,
2015-07-01,1135.47,11176.0,11176.0,,,
2015-08-01,1151.066,11329.0,11329.0,,,
2015-09-01,972.122,9568.0,9568.0,,,
2015-10-01,1002.703,9869.0,9869.0,,,
2015-11-01,834.182,8210.0,8210.0,,,
2015-12-01,950.459,9355.0,9355.0,,,
2016-01-01,1063.721,10849.0,10849.0,,,
2016-02-01,1096.52,11183.0,11183.0,,,
2016-03-01,1228.926,12533.0,12533.0,,,
2016-04-01,1056.219,10772.0,10772.0,,,
2016-05-01,1006.218,10262.0,10262.0,,,
2016-06-01,1165.943,11891.0,11891.0,,,
2016-07-01,1072.736,10940.0,10940.0,,,
2016-08-01,1214.048,12382.0,12382.0,,,
2016-09-01,1253.42,12783.0,12783.0,,,
2016-10-01,1300.326,13262.0,13262.0,,,
2016-11-01,1012.92,10330.0,10330.0,,,
2016-12-01,1103.003,11249.0,11249.0,,,
2017-01-01,907.095,9260.0,9260.0,,,
2017-02-01,850.047,8677.0,8677.0,,,
2017-03-01,884.051,9025.0,9025.0,,,
2017-04-01,904.125,9230.0,9230.0,,,
2017-05-01,871.064,8892.0,8892.0,,,
2017-06-01,1004.57,10255.0,10255.0,,,
2017-07-01,952.542,9724.0,9724.0,,,
2017-08-01,990.133,10108.0,10108.0,,,
2017-09-01,854.094,8719.0,8719.0,,,
2017-10-01,819.052,8361.0,8361.0,,,
2017-11-01,800.37,8170.0,8170.0,,,
2017-12-01,769.857,7859.0,7859.0,,,
2018-01-01,815.883,8980.0,8980.0,,,
2018-02-01,793.809,8737.0,8737.0,,,
2018-03-01,943.699,10386.0,10386.0,,,
2018-04-01,857.713,9440.0,9440.0,,,
2018-05-01,1049.144,11547.0,11547.0,,,
2018-06-01,984.849,10839.0,10839.0,,,
2018-07-01,1064.578,11717.0,11717.0,,,
2018-08-01,1053.907,11600.0,11600.0,,,
2018-09-01,902.723,9936.0,9936.0,,,
2018-10-01,887.966,9773.0,9773.0,,,
2018-11-01,971.288,10690.0,10690.0,,,
2018-12-01,924.441,10175.0,10175.0,,,
2019-01-01,983.295,10734.0,10734.0,,,
2019-02-01,735.727,8032.0,8032.0,,,
2019-03-01,779.356,8508.0,8508.0,,,
2019-04-01,774.325,8453.0,8453.0,,,
2019-05-01,793.626,8664.0,8664.0,,,
2019-06-01,892.19,9740.0,9740.0,,,
2019-07-01,846.108,9237.0,9237.0,,,
2019-08-01,972.369,10615.0,10615.0,,,
2019-09-01,872.682,9527.0,9527.0,,,
2019-10-01,890.92,9726.0,9726.0,,,
2019-11-01,848.909,9267.0,9267.0,,,
2019-12-01,786.493,8586.0,8586.0,,,
2020-01-01,1068.157,10354.0,10354.0,,,
2020-02-01,1095.306,10617.0,10617.0,,,
2020-03-01,1167.859,11320.0,11320.0,,,
2020-04-01,1217.153,11798.0,11798.0,,,
2020-05-01,1251.525,12131.0,12131.0,,,
2020-06-01,1214.555,11773.0,11773.0,,,
2020-07-01,1280.551,12413.0,12413.0,,,
2020-08-01,1354.395,13128.0,13128.0,,,
2020-09-01,1142.07,11071.0,11071.0,,,
2020-10-01,1188.702,11523.0,11523.0,,,
2020-11-01,1153.408,11180.0,11180.0,,,
2020-12-01,1101.319,10675.0,10675.0,,,
2021-01-01,1040.747,10585.0,10585.0,,,
2021-02-01,856.546,8711.0,8711.0,,,
2021-03-01,980.302,9969.0,9969.0,,,
2021-04-01,1050.041,10679.0,10679.0,,,
2021-05-01,1075.422,10937.0,10937.0,,,
2021-06-01,1121.378,11404.0,11404.0,,,
2021-07-01,1010.37,10275.0,10275.0,,,
2021-08-01,1171.482,11914.0,11914.0,,,
2021-09-01,1141.851,11613.0,11613.0,,,
2021-10-01,961.298,9776.0,9776.0,,,
2021-11-01,1113.927,11329.0,11329.0,,,
2021-12-01,1049.636,10675.0,10675.0,,,
2022-01-01,303.39,3133.0,3133.0,,,
2022-02-01,277.574,2867.0,2867.0,,,
2022-03-01,295.065,3047.0,3047.0,,,
2022-04-01,273.998,2830.0,2830.0,,,
2022-05-01,341.584,3528.0,3528.0,,,
2022-06-01,313.846,3241.0,3241.0,,,
2022-07-01,306.105,3161.0,3161.0,,,
2022-08-01,322.922,3335.0,3335.0,,,
2022-09-01,303.599,3136.0,3136.0,,,
2022-10-01,267.244,2760.0,2760.0,,,
2022-11-01,281.643,2909.0,2909.0,,,
2022-12-01,270.03,2789.0,2789.0,,,
2023-01-01,150.036,1537.0,1537.0,,,
2023-02-01,127.945,1311.0,1311.0,,,
2023-03-01,138.553,1420.0,1420.0,,,
2023-04-01,126.675,1298.0,1298.0,,,
2023-05-01,146.499,1500.0,1500.0,,,
2023-06-01,162.07,1660.0,1660.0,,,
2023-07-01,160.888,1648.0,1648.0,,,
2023-08-01,172.748,1770.0,1770.0,,,
2023-09-01,161.298,1652.0,1652.0,,,
2023-10-01,160.59,1645.0,1645.0,,,
2023-11-01,163.361,1674.0,1674.0,,,
2023-12-01,165.337,1693.0,1693.0,,,
2024-01-01,0.0,0.0,0.0,,,
2024-02-01,0.0,0.0,0.0,,,
2024-03-01,0.0,0.0,0.0,,,
2024-04-01,0.0,0.0,0.0,,,
2024-05-01,0.0,0.0,0.0,,,
2024-06-01,0.0,0.0,0.0,,,
2024-07-01,0.0,0.0,0.0,,,
2024-08-01,0.0,0.0,0.0,,,
2024-09-01,0.0,0.0,0.0,,,
2024-10-01,0.0,0.0,0.0,,,
2024-11-01,0.0,0.0,0.0,,,
2024-12-01,0.0,0.0,0.0,,,
