measured_on,Bituminous Coal-Combustion (Gas) Turbine (including jet engine design) Generation,Bituminous Coal-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Bituminous Coal-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2008-02-01,,,,107999.906,1201883.0,1201883.0,-42.0,0.0,0.0,56.094,624.0,624.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-01,,,,112586.059,1253521.0,1253521.0,-42.0,0.0,0.0,40.941,456.0,456.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2008-04-01,,,,96933.807,1084916.0,1084916.0,-26.0,0.0,0.0,139.193,1558.0,1558.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2008-05-01,,,,40549.476,508469.0,508469.0,-38.0,0.0,0.0,67.524,847.0,847.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2008-06-01,,,,76292.865,898665.0,898665.0,-40.0,0.0,0.0,105.135,1238.0,1238.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2008-07-01,,,,75471.266,878627.0,878627.0,0.0,0.0,0.0,86.73400000000001,1010.0,1010.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2008-08-01,,,,44691.933,536049.0,536049.0,,,,78.06700000000001,936.0,936.0,-41.0,0.0,0.0,,,,0.0,0.0,0.0
2008-09-01,,,,29407.459000000003,368262.0,368262.0,,,,47.541000000000004,595.0,595.0,-38.0,0.0,0.0,,,,0.0,0.0,0.0
2008-10-01,,,,43934.92,476808.0,476808.0,,,,71.08,771.0,771.0,-36.0,0.0,0.0,,,,0.0,0.0,0.0
2008-11-01,,,,36487.002,448400.0,448400.0,,,,100.998,1241.0,1241.0,-17.0,0.0,0.0,,,,0.0,0.0,0.0
2008-12-01,,,,104832.459,1061141.0,1061141.0,,,,56.153000000000006,568.0,568.0,-55.0,0.0,0.0,,,,8912.388,90213.0,90213.0
2009-01-01,,,,50853.898,625130.0,625130.0,,,,75.102,923.0,923.0,-78.0,0.0,0.0,,,,0.0,0.0,0.0
2009-02-01,,,,32230.274,378269.0,378269.0,,,,41.726,490.0,490.0,-71.0,0.0,0.0,,,,0.0,0.0,0.0
2009-03-01,,,,8227.589,126553.0,126553.0,,,,3.411,52.0,52.0,-80.0,0.0,0.0,,,,,,
2009-04-01,,,,-380.0,0.0,0.0,-43.0,407.0,407.0,-380.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2009-05-01,,,,-368.0,0.0,0.0,-14.0,0.0,0.0,-368.0,0.0,0.0,-14.0,0.0,0.0,,,,,,
2009-06-01,,,,28819.674,351304.0,351304.0,-21.5,0.0,0.0,146.326,1784.0,1784.0,-21.5,0.0,0.0,,,,,,
2009-07-01,,,,23818.083,262189.0,262189.0,-20.0,613.0,613.0,129.917,1430.0,1430.0,0.0,0.0,0.0,,,,,,
2009-08-01,,,,38517.228,419417.0,419417.0,-26.5,0.0,0.0,132.77200000000002,1446.0,1446.0,-26.5,0.0,0.0,,,,,,
2009-09-01,,,,12803.305,140364.0,140364.0,-21.5,0.0,0.0,132.695,1455.0,1455.0,-21.5,0.0,0.0,,,,,,
2009-10-01,,,,32713.682,367119.0,367119.0,-24.5,0.0,0.0,82.318,924.0,924.0,-24.5,0.0,0.0,,,,,,
2009-11-01,,,,11282.969000000001,134175.0,134175.0,-27.0,0.0,0.0,20.031000000000002,238.0,238.0,-27.0,0.0,0.0,,,,,,
2009-12-01,,,,44515.509,521484.0,521484.0,-32.5,0.0,0.0,148.491,1740.0,1740.0,-32.5,0.0,0.0,,,,,,
2010-01-01,,,,78307.793,895514.0,895514.0,-71.0,0.0,0.0,165.20700000000002,1889.0,1889.0,0.0,0.0,0.0,,,,,,
2010-02-01,,,,92122.208,1042108.0,1042108.0,-59.0,0.0,0.0,48.792,552.0,552.0,0.0,0.0,0.0,,,,,,
2010-03-01,,,,16136.115000000002,191382.0,191382.0,-75.0,0.0,0.0,3.8850000000000002,46.0,46.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2010-04-01,,,,16607.311,186545.0,186545.0,-56.0,0.0,0.0,47.689,536.0,536.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2010-05-01,,,,14028.086,189216.0,189216.0,-50.0,0.0,0.0,23.914,323.0,323.0,0.0,0.0,0.0,,,,,,
2010-06-01,,,,64726.401,813496.0,813496.0,-47.0,0.0,0.0,130.59900000000002,1641.0,1641.0,0.0,0.0,0.0,,,,,,
2010-07-01,,,,37600.445999999996,425775.0,425775.0,104.0,2994.0,2994.0,208.554,2362.0,2362.0,0.0,0.0,0.0,,,,,,
2010-08-01,,,,69970.249,790574.0,790574.0,-49.0,0.0,0.0,140.751,1590.0,1590.0,0.0,0.0,0.0,,,,,,
2010-09-01,,,,11086.435,138763.0,138763.0,-46.0,0.0,0.0,47.565000000000005,595.0,595.0,0.0,0.0,0.0,,,,,,
2010-10-01,,,,-841.303,0.0,0.0,-38.0,0.0,0.0,-2.697,0.0,0.0,0.0,0.0,0.0,,,,,,
2010-11-01,,,,-1100.473,0.0,0.0,-18.0,0.0,0.0,-3.527,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2010-12-01,,,,25022.568,363016.0,363016.0,-72.0,0.0,0.0,92.432,1341.0,1341.0,0.0,0.0,0.0,,,,,,
2011-01-01,,,,29754.809,366088.0,366088.0,-30.0,1526.0,1526.0,129.191,1590.0,1590.0,0.0,0.0,0.0,,,,,,
2011-02-01,,,,8336.212,130975.0,130975.0,-51.0,0.0,0.0,36.788,578.0,578.0,0.0,0.0,0.0,,,,,,
2011-03-01,,,,5004.777,60330.0,60330.0,121.0,2867.0,2867.0,53.223,642.0,642.0,0.0,0.0,0.0,,,,,,
2011-04-01,,,,9714.304,118764.0,118764.0,-52.0,0.0,0.0,48.696,595.0,595.0,0.0,0.0,0.0,,,,,,
2011-05-01,,,,2226.0,39367.0,39367.0,107.0,2890.0,2890.0,67.0,1185.0,1185.0,0.0,0.0,0.0,,,,,,
2011-06-01,,,,25443.171,273590.0,273590.0,-25.0,324.0,324.0,97.829,1052.0,1052.0,0.0,0.0,0.0,,,,,,
2011-07-01,,,,46268.845,483849.0,483849.0,18.0,1505.0,1505.0,143.155,1497.0,1497.0,0.0,0.0,0.0,,,,,,
2011-08-01,,,,29817.628,344258.0,344258.0,224.0,4587.0,4587.0,122.372,1413.0,1413.0,0.0,0.0,0.0,,,,,,
2011-09-01,,,,23493.227,286041.0,286041.0,147.0,3283.0,3283.0,48.773,594.0,594.0,0.0,0.0,0.0,,,,,,
2011-10-01,,,,-866.141,0.0,0.0,-47.0,0.0,0.0,-1.859,0.0,0.0,0.0,0.0,0.0,,,,,,
2011-11-01,,,,1735.518,30530.0,30530.0,-68.0,0.0,0.0,39.482,695.0,695.0,0.0,0.0,0.0,,,,,,
2011-12-01,,,,-1281.25,0.0,0.0,-72.0,0.0,0.0,-2.75,0.0,0.0,0.0,0.0,0.0,,,,,,
2012-01-01,,,,1372.005,33484.0,33484.0,-74.0,0.0,0.0,11.995,293.0,293.0,0.0,0.0,0.0,,,,,,
2012-02-01,,,,-1118.857,0.0,0.0,-69.0,0.0,0.0,-5.143,0.0,0.0,0.0,0.0,0.0,,,,,,
2012-03-01,,,,-913.8,0.0,0.0,-62.0,0.0,0.0,-4.2,0.0,0.0,0.0,0.0,0.0,,,,,,
2012-04-01,,,,-784.395,0.0,0.0,-35.0,0.0,0.0,-3.605,0.0,0.0,0.0,0.0,0.0,,,,,,
2012-05-01,,,,-625.127,0.0,0.0,-23.0,0.0,0.0,-2.873,0.0,0.0,0.0,0.0,0.0,,,,,,
2012-06-01,,,,8407.594,101546.0,101546.0,115.0,2460.0,2460.0,59.406,718.0,718.0,0.0,0.0,0.0,,,,,,
2012-07-01,,,,23897.364,299397.0,299397.0,252.0,4694.0,4694.0,61.636,772.0,772.0,0.0,0.0,0.0,,,,,,
2012-08-01,,,,6544.867,85549.0,85549.0,107.0,2132.0,2132.0,34.133,446.0,446.0,0.0,0.0,0.0,,,,,,
2012-09-01,,,,8151.317,104253.0,104253.0,157.0,2893.0,2893.0,2.683,34.0,34.0,0.0,0.0,0.0,,,,,,
2012-10-01,,,,-431.019,0.0,0.0,165.0,2731.0,2731.0,-1.981,0.0,0.0,0.0,0.0,0.0,,,,,,
2012-11-01,,,,0.0,0.0,0.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2012-12-01,,,,0.0,0.0,0.0,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2013-01-01,,,,0.0,0.0,0.0,-45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2013-02-01,,,,0.0,0.0,0.0,-41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2013-03-01,,,,0.0,0.0,0.0,-29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2013-04-01,0.0,0.0,0.0,,,,-17.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,
2013-05-01,0.0,0.0,0.0,,,,-19.0,523.0,523.0,,,,0.0,0.0,0.0,,,,,,
2013-06-01,0.0,0.0,0.0,,,,14.0,930.0,930.0,,,,0.0,0.0,0.0,,,,,,
2013-07-01,0.0,0.0,0.0,,,,304.0,6623.0,6623.0,,,,0.0,0.0,0.0,,,,,,
2013-08-01,0.0,0.0,0.0,,,,-48.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,
2013-09-01,0.0,0.0,0.0,,,,248.0,4997.0,4997.0,,,,0.0,0.0,0.0,,,,,,
2013-10-01,0.0,0.0,0.0,,,,-35.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,
2013-11-01,0.0,0.0,0.0,,,,-60.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,
2013-12-01,0.0,0.0,0.0,,,,-1.0,116.0,116.0,,,,0.0,0.0,0.0,,,,,,
2014-01-01,0.0,0.0,0.0,,,,377.0,6623.0,6623.0,,,,0.0,0.0,0.0,,,,,,
2014-02-01,0.0,0.0,0.0,,,,-50.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,
2014-03-01,0.0,0.0,0.0,,,,-15.0,615.0,615.0,,,,0.0,0.0,0.0,,,,,,
2014-04-01,0.0,0.0,0.0,,,,-80.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,
2014-05-01,0.0,0.0,0.0,,,,-124.0,286.0,286.0,,,,0.0,0.0,0.0,,,,,,
2014-06-01,0.0,0.0,0.0,,,,-59.0,724.0,724.0,,,,0.0,0.0,0.0,,,,,,
2014-07-01,0.0,0.0,0.0,,,,-85.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,
2014-08-01,0.0,0.0,0.0,,,,-108.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,
2014-09-01,0.0,0.0,0.0,,,,-114.0,57.0,57.0,,,,0.0,0.0,0.0,,,,,,
2014-10-01,0.0,0.0,0.0,,,,-119.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,
2014-11-01,0.0,0.0,0.0,,,,-126.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,
2014-12-01,0.0,0.0,0.0,,,,-18.0,749.0,749.0,,,,0.0,0.0,0.0,,,,,,
2015-01-01,0.0,0.0,0.0,,,,-123.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,
2015-02-01,0.0,0.0,0.0,,,,-65.0,518.0,518.0,,,,0.0,0.0,0.0,,,,,,
2015-03-01,0.0,0.0,0.0,,,,-44.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,
2015-04-01,0.0,0.0,0.0,,,,-51.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,
2015-05-01,0.0,0.0,0.0,,,,-30.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,
2015-06-01,0.0,0.0,0.0,,,,12.0,633.0,633.0,,,,0.0,0.0,0.0,,,,,,
2015-07-01,0.0,0.0,0.0,,,,-36.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,
2015-08-01,0.0,0.0,0.0,,,,-37.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,
2015-09-01,0.0,0.0,0.0,,,,-19.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,
2015-10-01,0.0,0.0,0.0,,,,90.0,1878.0,1878.0,,,,0.0,0.0,0.0,,,,,,
2015-11-01,0.0,0.0,0.0,,,,-35.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,
2015-12-01,0.0,0.0,0.0,,,,-37.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,
2016-01-01,0.0,0.0,0.0,,,,0.0,758.0,758.0,,,,0.0,0.0,0.0,,,,,,
2016-02-01,0.0,0.0,0.0,,,,-20.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,
2016-03-01,0.0,0.0,0.0,,,,-16.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,
2016-04-01,0.0,0.0,0.0,,,,-7.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,
2016-05-01,0.0,0.0,0.0,,,,-16.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,
2016-06-01,0.0,0.0,0.0,,,,-26.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,
2016-07-01,0.0,0.0,0.0,,,,-31.0,641.0,641.0,,,,0.0,0.0,0.0,,,,,,
2016-08-01,0.0,0.0,0.0,,,,-13.0,758.0,758.0,,,,0.0,0.0,0.0,,,,,,
2016-09-01,0.0,0.0,0.0,,,,-28.0,117.0,117.0,,,,0.0,0.0,0.0,,,,,,
2016-10-01,0.0,0.0,0.0,,,,-9.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,
2016-11-01,0.0,0.0,0.0,,,,-33.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,
2016-12-01,0.0,0.0,0.0,,,,-55.0,292.0,292.0,,,,0.0,0.0,0.0,,,,,,
2017-01-01,0.0,0.0,0.0,,,,-25.275,80.0,80.0,,,,0.0,0.0,0.0,,,,,,
2017-02-01,0.0,0.0,0.0,,,,-19.919,57.0,57.0,,,,0.0,0.0,0.0,,,,,,
2017-03-01,0.0,0.0,0.0,,,,-26.209,80.0,80.0,,,,0.0,0.0,0.0,,,,,,
2017-04-01,0.0,0.0,0.0,,,,-19.954,57.0,57.0,,,,0.0,0.0,0.0,,,,,,
2017-05-01,0.0,0.0,0.0,,,,-29.159,85.0,85.0,,,,0.0,0.0,0.0,,,,,,
2017-06-01,0.0,0.0,0.0,,,,-29.272,85.0,85.0,,,,0.0,0.0,0.0,,,,,,
2017-07-01,0.0,0.0,0.0,,,,-27.255,80.0,80.0,,,,0.0,0.0,0.0,,,,,,
2017-08-01,0.0,0.0,0.0,,,,-22.714,68.0,68.0,,,,0.0,0.0,0.0,,,,,,
2017-09-01,0.0,0.0,0.0,,,,-21.755,63.0,63.0,,,,0.0,0.0,0.0,,,,,,
2017-10-01,0.0,0.0,0.0,,,,-20.253,57.0,57.0,,,,0.0,0.0,0.0,,,,,,
2017-11-01,0.0,0.0,0.0,,,,-43.42,125.0,125.0,,,,0.0,0.0,0.0,,,,,,
2017-12-01,0.0,0.0,0.0,,,,-24.815,74.0,74.0,,,,0.0,0.0,0.0,,,,,,
2018-01-01,0.0,0.0,0.0,,,,-32.691,74.0,74.0,,,,0.0,0.0,0.0,,,,,,
2018-02-01,0.0,0.0,0.0,,,,-19.617,40.0,40.0,,,,0.0,0.0,0.0,,,,,,
2018-03-01,0.0,0.0,0.0,,,,-19.554,40.0,40.0,,,,0.0,0.0,0.0,,,,,,
2018-04-01,0.0,0.0,0.0,,,,-27.449,57.0,57.0,,,,0.0,0.0,0.0,,,,,,
2018-05-01,0.0,0.0,0.0,,,,-42.296,86.0,86.0,,,,0.0,0.0,0.0,,,,,,
2018-06-01,0.0,0.0,0.0,,,,-26.442,57.0,57.0,,,,0.0,0.0,0.0,,,,,,
2018-07-01,0.0,0.0,0.0,,,,-19.959,40.0,40.0,,,,0.0,0.0,0.0,,,,,,
2018-08-01,0.0,0.0,0.0,,,,-22.694,46.0,46.0,,,,0.0,0.0,0.0,,,,,,
2018-09-01,0.0,0.0,0.0,,,,-29.602,63.0,63.0,,,,0.0,0.0,0.0,,,,,,
2018-10-01,0.0,0.0,0.0,,,,-25.41,51.0,51.0,,,,0.0,0.0,0.0,,,,,,
2018-11-01,0.0,0.0,0.0,,,,-32.154,68.0,68.0,,,,0.0,0.0,0.0,,,,,,
2018-12-01,0.0,0.0,0.0,,,,-31.132,63.0,63.0,,,,0.0,0.0,0.0,,,,,,
