measured_on,Solar Generation,Solar Quantity Consumed For Electricity,Solar Total Fuel Consumed,Wind Generation,Wind Quantity Consumed For Electricity,Wind Total Fuel Consumed
2021-10-01,0.0,0.0,0.0,820.976,7261.0,7261.0
2021-11-01,0.0,0.0,0.0,882.85,7808.0,7808.0
2021-12-01,0.0,0.0,0.0,1133.276,10023.0,10023.0
2022-01-01,0.0,0.0,0.0,1044.675,3564.0,3564.0
2022-02-01,0.0,0.0,0.0,1017.218,3471.0,3471.0
2022-03-01,0.0,0.0,0.0,1206.251,4116.0,4116.0
2022-04-01,0.0,0.0,0.0,962.464,3284.0,3284.0
2022-05-01,0.0,0.0,0.0,791.427,2700.0,2700.0
2022-06-01,0.0,0.0,0.0,651.003,2221.0,2221.0
2022-07-01,0.0,0.0,0.0,560.48,1912.0,1912.0
2022-08-01,0.0,0.0,0.0,391.462,1336.0,1336.0
2022-09-01,0.0,0.0,0.0,669.729,2285.0,2285.0
2022-10-01,0.0,0.0,0.0,812.484,2772.0,2772.0
2022-11-01,0.0,0.0,0.0,1086.73,3708.0,3708.0
2022-12-01,0.0,0.0,0.0,778.077,2655.0,2655.0
2023-01-01,0.0,0.0,0.0,591.0,2016.0,2016.0
2023-02-01,0.0,0.0,0.0,623.0,2126.0,2126.0
2023-03-01,0.0,0.0,0.0,874.0,2982.0,2982.0
2023-04-01,0.0,0.0,0.0,891.0,3040.0,3040.0
2023-05-01,0.0,0.0,0.0,960.0,3276.0,3276.0
2023-06-01,0.0,0.0,0.0,948.0,3235.0,3235.0
2023-07-01,0.0,0.0,0.0,937.0,3197.0,3197.0
2023-08-01,0.0,0.0,0.0,874.0,2982.0,2982.0
2023-09-01,0.0,0.0,0.0,833.0,2842.0,2842.0
2023-10-01,0.0,0.0,0.0,905.0,3088.0,3088.0
2023-11-01,0.0,0.0,0.0,759.0,2590.0,2590.0
2023-12-01,0.0,0.0,0.0,600.0,2047.0,2047.0
2024-01-01,627.0,2139.0,2139.0,,,
2024-02-01,763.0,2603.0,2603.0,,,
2024-03-01,835.0,2849.0,2849.0,,,
2024-04-01,952.0,3248.0,3248.0,,,
2024-05-01,948.0,3235.0,3235.0,,,
2024-06-01,1002.0,3419.0,3419.0,,,
2024-07-01,902.0,3078.0,3078.0,,,
2024-08-01,993.0,3388.0,3388.0,,,
2024-09-01,696.0,2375.0,2375.0,,,
2024-10-01,947.0,3231.0,3231.0,,,
2024-11-01,646.0,2204.0,2204.0,,,
2024-12-01,597.0,2037.0,2037.0,,,
