measured_on,"Waste heat not directly attributed to a fuel source - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Generation","Waste heat not directly attributed to a fuel source - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Quantity Consumed For Electricity","Waste heat not directly attributed to a fuel source - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Total Fuel Consumed"
2017-07-01,773.09,7122.0,7122.0
2017-08-01,1384.19,12753.0,12753.0
2017-09-01,35.89,331.0,331.0
2017-10-01,286.15,2636.0,2636.0
2017-11-01,609.16,5612.0,5612.0
2017-12-01,648.93,5979.0,5979.0
2018-01-01,649.9,5917.0,5917.0
2018-02-01,95.06,865.0,865.0
2018-03-01,704.22,6411.0,6411.0
2018-04-01,736.23,6703.0,6703.0
2018-05-01,1118.41,10182.0,10182.0
2018-06-01,1582.07,14403.0,14403.0
2018-07-01,1399.71,12743.0,12743.0
2018-08-01,1044.69,9511.0,9511.0
2018-09-01,1187.28,10809.0,10809.0
2018-10-01,0.0,0.0,0.0
2018-11-01,1488.95,13555.0,13555.0
2018-12-01,1364.79,12425.0,12425.0
2019-01-01,1421.05,12654.0,12654.0
2019-02-01,1346.36,11989.0,11989.0
2019-03-01,1715.93,15280.0,15280.0
2019-04-01,883.67,7869.0,7869.0
2019-05-01,1081.55,9631.0,9631.0
2019-06-01,1139.75,10149.0,10149.0
2019-07-01,1210.56,10780.0,10780.0
2019-08-01,1233.84,10987.0,10987.0
2019-09-01,1589.83,14157.0,14157.0
2019-10-01,0.0,0.0,0.0
2019-11-01,0.97,9.0,9.0
2019-12-01,0.0,0.0,0.0
2020-01-01,990.37,8683.0,8683.0
2020-02-01,935.08,8198.0,8198.0
2020-03-01,428.74,3759.0,3759.0
2020-04-01,0.97,9.0,9.0
2020-05-01,0.0,0.0,0.0
2020-06-01,759.51,6659.0,6659.0
2020-07-01,208.55,1828.0,1828.0
2020-08-01,1759.58,15426.0,15426.0
2020-09-01,124.16,1089.0,1089.0
2020-10-01,84.39,740.0,740.0
2020-11-01,125.13,1097.0,1097.0
2020-12-01,6.79,60.0,60.0
2021-01-01,48.5,429.0,429.0
2021-02-01,135.8,1201.0,1201.0
2021-03-01,150.35,1330.0,1330.0
2021-04-01,147.44,1304.0,1304.0
2021-05-01,162.96,1441.0,1441.0
2021-06-01,161.99,1433.0,1433.0
2021-07-01,196.91,1741.0,1741.0
2021-08-01,163.93,1450.0,1450.0
2021-09-01,72.75,643.0,643.0
2021-10-01,0.0,0.0,0.0
2021-11-01,117.37,1038.0,1038.0
2021-12-01,135.8,1201.0,1201.0
2022-01-01,840.99,2869.0,2869.0
2022-02-01,2302.78,7857.0,7857.0
2022-03-01,1307.56,4461.0,4461.0
2022-04-01,439.41,1499.0,1499.0
2022-05-01,1619.9,5527.0,5527.0
2022-06-01,1435.6,4898.0,4898.0
2022-07-01,1870.16,6381.0,6381.0
2022-08-01,1517.08,5176.0,5176.0
2022-09-01,0.0,0.0,0.0
2022-10-01,1260.03,4299.0,4299.0
2022-11-01,1365.76,4660.0,4660.0
2022-12-01,383.15,1307.0,1307.0
2023-01-01,404.49,1380.0,1380.0
2023-02-01,1276.52,4355.0,4355.0
2023-03-01,944.78,3224.0,3224.0
2023-04-01,840.99,2869.0,2869.0
2023-05-01,614.98,2098.0,2098.0
2023-06-01,550.96,1880.0,1880.0
2023-07-01,1054.39,3598.0,3598.0
2023-08-01,45.59,156.0,156.0
2023-09-01,754.66,2575.0,2575.0
2023-10-01,979.7,3343.0,3343.0
2023-11-01,1153.33,3935.0,3935.0
2023-12-01,272.57,930.0,930.0
2024-01-01,0.0,0.0,0.0
2024-02-01,0.0,0.0,0.0
2024-03-01,0.0,0.0,0.0
