measured_on,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Petroleum Coke - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Petroleum Coke - Generation","Petroleum Coke - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Petroleum Coke - Quantity Consumed For Electricity","Petroleum Coke - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Petroleum Coke - Total Fuel Consumed","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed"
2006-04-01,1589976.0,15545601.0,15545601.0,2491.0,24872.0,24872.0,0.0,0.0,0.0,,,
2006-05-01,1691178.0,16759410.0,16759410.0,2491.0,24872.0,24872.0,0.0,0.0,0.0,,,
2006-06-01,1617063.0,16466591.0,16466591.0,1411.0,14090.0,14090.0,0.0,0.0,0.0,,,
2006-07-01,1707669.0,17448091.0,17448091.0,1296.0,12937.0,12937.0,0.0,0.0,0.0,,,
2006-08-01,1647697.0,16540321.0,16540321.0,1797.0,17946.0,17946.0,0.0,0.0,0.0,,,
2006-09-01,1150562.0,11498519.0,11498519.0,958.0,9567.0,9567.0,0.0,0.0,0.0,,,
2006-10-01,1147818.0,11752798.0,11752798.0,328.0,3278.0,3278.0,0.0,0.0,0.0,,,
2006-11-01,1515192.0,15144881.0,15144881.0,8118.0,81057.0,81057.0,0.0,0.0,0.0,,,
2006-12-01,1596321.0,15846126.0,15846126.0,4055.0,40491.0,40491.0,0.0,0.0,0.0,,,
2007-01-01,903895.661,9186181.0,9186181.0,5038.339,51204.0,51204.0,0.0,0.0,0.0,,,
2007-02-01,1430721.103,14174305.0,14174305.0,1862.8970000000002,18456.0,18456.0,0.0,0.0,0.0,,,
2007-03-01,1767753.628,17657535.0,17657535.0,304.372,3040.0,3040.0,0.0,0.0,0.0,,,
2007-04-01,1699102.63,16843082.0,16843082.0,1109.37,10997.0,10997.0,0.0,0.0,0.0,,,
2007-05-01,1691540.216,16826626.0,16826626.0,2453.784,24409.0,24409.0,0.0,0.0,0.0,,,
2007-06-01,1670757.007,16877021.0,16877021.0,2643.993,26708.0,26708.0,0.0,0.0,0.0,,,
2007-07-01,1611853.095,16350966.0,16350966.0,4896.905000000001,49675.0,49675.0,0.0,0.0,0.0,,,
2007-08-01,1718978.295,17096352.0,17096352.0,1795.705,17859.0,17859.0,0.0,0.0,0.0,,,
2007-09-01,1081924.934,10763649.0,10763649.0,1532.065,15242.0,15242.0,0.0,0.0,0.0,,,
2007-10-01,1186652.93,11765961.0,11765961.0,1008.07,9995.0,9995.0,0.0,0.0,0.0,,,
2007-11-01,1556773.911,15413234.0,15413234.0,4623.089,45772.0,45772.0,0.0,0.0,0.0,,,
2007-12-01,1461827.82,14506451.0,14506451.0,3615.18,35875.0,35875.0,0.0,0.0,0.0,,,
2008-01-01,1798432.779,17603197.0,17603197.0,3102.221,30365.0,30365.0,0.0,0.0,0.0,,,
2008-02-01,1542399.674,15242824.0,15242824.0,4200.326,41510.0,41510.0,0.0,0.0,0.0,,,
2008-03-01,1298044.846,14996971.0,14996971.0,2298.154,26552.0,26552.0,0.0,0.0,0.0,,,
2008-04-01,1181517.396,11520635.0,11520635.0,4696.604,45795.0,45795.0,0.0,0.0,0.0,,,
2008-05-01,1099155.707,10796621.0,10796621.0,2704.293,26563.0,26563.0,0.0,0.0,0.0,,,
2008-06-01,1435157.001,14498897.0,14498897.0,7926.999000000001,80084.0,80084.0,0.0,0.0,0.0,,,
2008-07-01,1802672.732,17504410.0,17504410.0,754.268,7324.0,7324.0,0.0,0.0,0.0,,,
2008-08-01,1615714.427,15902299.0,15902299.0,2867.5730000000003,28223.0,28223.0,0.0,0.0,0.0,,,
2008-09-01,1718535.21,16692704.0,16692704.0,1040.79,10110.0,10110.0,0.0,0.0,0.0,,,
2008-10-01,1771696.597,17568107.0,17568107.0,986.403,9781.0,9781.0,0.0,0.0,0.0,,,
2008-11-01,1683457.739,15859649.0,15859649.0,1521.261,14332.0,14332.0,0.0,0.0,0.0,,,
2008-12-01,1574146.763,15588737.0,15588737.0,3706.237,36703.0,36703.0,0.0,0.0,0.0,,,
2009-01-01,1699256.36,16531063.0,16531063.0,2053.64,19979.0,19979.0,,,,,,
2009-02-01,1283687.712,12572626.0,12572626.0,2494.288,24429.0,24429.0,,,,,,
2009-03-01,1484940.453,14306497.0,14306497.0,2120.547,20430.0,20430.0,,,,,,
2009-04-01,1369473.843,13581152.0,13581152.0,1526.1570000000002,15135.0,15135.0,,,,,,
2009-05-01,1307071.925,13093080.0,13093080.0,3889.0750000000003,38957.0,38957.0,,,,,,
2009-06-01,1350172.355,13512320.0,13512320.0,2748.645,27508.0,27508.0,,,,,,
2009-07-01,1446139.062,14289146.0,14289146.0,2767.938,27350.0,27350.0,,,,,,
2009-08-01,1352928.519,13907985.0,13907985.0,2425.481,24934.0,24934.0,,,,,,
2009-09-01,1397026.197,13819182.0,13819182.0,4996.803,49428.0,49428.0,,,,,,
2009-10-01,1455004.334,14347800.0,14347800.0,3983.666,39283.0,39283.0,,,,,,
2009-11-01,1550212.916,14931922.0,14931922.0,1889.084,18196.0,18196.0,,,,,,
2009-12-01,1662010.021,16493471.0,16493471.0,1793.979,17803.0,17803.0,,,,,,
2010-01-01,1502892.857,14731680.0,14731680.0,5095.143,49944.0,49944.0,,,,0.0,0.0,0.0
2010-02-01,1492331.018,14616726.0,14616726.0,836.9820000000001,8198.0,8198.0,,,,0.0,0.0,0.0
2010-03-01,1459528.273,14180017.0,14180017.0,2352.7270000000003,22858.0,22858.0,,,,0.0,0.0,0.0
2010-04-01,995126.438,9803463.0,9803463.0,3056.5620000000004,30112.0,30112.0,,,,0.0,0.0,0.0
2010-05-01,1322777.587,13164542.0,13164542.0,6993.4130000000005,69600.0,69600.0,,,,0.0,0.0,0.0
2010-06-01,1582429.268,15806749.0,15806749.0,4418.732,44138.0,44138.0,,,,0.0,0.0,0.0
2010-07-01,1464213.864,14474020.0,14474020.0,5423.136,53609.0,53609.0,,,,0.0,0.0,0.0
2010-08-01,1604406.642,15809175.0,15809175.0,4291.358,42285.0,42285.0,,,,0.0,0.0,0.0
2010-09-01,1551111.006,14989996.0,14989996.0,3164.994,30587.0,30587.0,,,,0.0,0.0,0.0
2010-10-01,1676246.997,15882024.0,15882024.0,2311.003,21896.0,21896.0,,,,0.0,0.0,0.0
2010-11-01,1673510.354,16134900.0,16134900.0,2476.646,23878.0,23878.0,,,,0.0,0.0,0.0
2010-12-01,1696462.973,16391154.0,16391154.0,5478.027,52928.0,52928.0,,,,0.0,0.0,0.0
2011-01-01,1722614.3,16459779.0,16459779.0,2116.661,20225.0,20225.0,,,,0.0,0.0,0.0
2011-02-01,1560756.3,15122914.0,15122914.0,1108.713,10743.0,10743.0,,,,0.0,0.0,0.0
2011-03-01,1186224.7,11445785.0,11445785.0,5205.264,50225.0,50225.0,,,,0.0,0.0,0.0
2011-04-01,1023862.9,10120309.0,10120309.0,4727.063,46724.0,46724.0,,,,0.0,0.0,0.0
2011-05-01,1527240.5,14993688.0,14993688.0,6915.546,67893.0,67893.0,,,,0.0,0.0,0.0
2011-06-01,1648377.8,16007433.0,16007433.0,2481.219,24095.0,24095.0,,,,0.0,0.0,0.0
2011-07-01,1698557.2,16635162.0,16635162.0,2769.827,27127.0,27127.0,,,,0.0,0.0,0.0
2011-08-01,1667483.1,16162877.0,16162877.0,3312.917,32112.0,32112.0,,,,0.0,0.0,0.0
2011-09-01,1452626.3,14191171.0,14191171.0,1716.705,16771.0,16771.0,,,,0.0,0.0,0.0
2011-10-01,1500560.7,14605379.0,14605379.0,3294.301,32064.0,32064.0,,,,0.0,0.0,0.0
2011-11-01,1440626.4,14344509.0,14344509.0,4606.568,45868.0,45868.0,,,,0.0,0.0,0.0
2011-12-01,1575813.5,15089772.0,15089772.0,2569.518,24605.0,24605.0,,,,0.0,0.0,0.0
2012-01-01,1472649.5,13572107.0,13572107.0,1475.526,13599.0,13599.0,,,,0.0,0.0,0.0
2012-02-01,1357357.8,14571243.0,14571243.0,1207.213,12959.0,12959.0,,,,0.0,0.0,0.0
2012-03-01,1517718.8,14866900.0,14866900.0,1570.23,15381.0,15381.0,,,,0.0,0.0,0.0
2012-04-01,1479886.9,14155547.0,14155547.0,5119.059,48965.0,48965.0,,,,0.0,0.0,0.0
2012-05-01,1579449.5,15249268.0,15249268.0,4426.486,42737.0,42737.0,,,,0.0,0.0,0.0
2012-06-01,1613736.3,15824969.0,15824969.0,3153.725,30927.0,30927.0,,,,0.0,0.0,0.0
2012-07-01,1691168.1,17098948.0,17098948.0,2156.937,21808.0,21808.0,,,,0.0,0.0,0.0
2012-08-01,1476932.0,14835369.0,14835369.0,2002.981,20119.0,20119.0,,,,0.0,0.0,0.0
2012-09-01,1048687.8,10478045.0,10478045.0,1987.224,19856.0,19856.0,,,,0.0,0.0,0.0
2012-10-01,1501433.8,15143768.0,15143768.0,4705.175,47457.0,47457.0,,,,0.0,0.0,0.0
2012-11-01,1449468.4,14478194.0,14478194.0,3969.166,39647.0,39647.0,,,,11561.479,115483.0,115483.0
2012-12-01,1596393.5,15508155.0,15508155.0,2383.148,23151.0,23151.0,,,,9138.353,88774.0,88774.0
2013-01-01,1435860.7,14416871.0,14416871.0,4626.277,46450.0,46450.0,,,,0.0,0.0,0.0
2013-02-01,1489386.4,14669625.0,14669625.0,3034.569,29889.0,29889.0,,,,0.0,0.0,0.0
2013-03-01,1614202.7,15760629.0,15760629.0,4178.308,40796.0,40796.0,,,,0.0,0.0,0.0
2013-04-01,1609887.3,15813203.0,15813203.0,3029.742,29760.0,29760.0,,,,68.912,677.0,677.0
2013-05-01,1603410.2,15556945.0,15556945.0,905.974,8790.0,8790.0,,,,92314.822,895676.0,895676.0
2013-06-01,1388719.5,13784138.0,13784138.0,2965.146,29431.0,29431.0,,,,140887.4,1398419.0,1398419.0
2013-07-01,1443415.0,14809874.0,14809874.0,6350.765,65161.0,65161.0,,,,107481.24,1102790.0,1102790.0
2013-08-01,1408467.5,14096178.0,14096178.0,3118.274,31208.0,31208.0,,,,141188.21,1413035.0,1413035.0
2013-09-01,1380850.3,13643830.0,13643830.0,2536.523,25063.0,25063.0,,,,140156.18,1384847.0,1384847.0
2013-10-01,612679.37,8644560.0,8644560.0,3906.719,55122.0,55122.0,,,,65040.916,917691.0,917691.0
2013-11-01,1028758.5,10458793.0,10458793.0,6257.134,63613.0,63613.0,,,,75800.414,770619.0,770619.0
2013-12-01,1649318.2,16348579.0,16348579.0,2978.047,29519.0,29519.0,,,,17587.724,174335.0,174335.0
2014-01-01,1705397.7,17116004.0,17116004.0,2848.34,28587.0,28587.0,,,,0.0,0.0,0.0
2014-02-01,1436516.7,14511963.0,14511963.0,4507.336,45534.0,45534.0,,,,0.0,0.0,0.0
2014-03-01,1517708.5,15264056.0,15264056.0,3390.487,34099.0,34099.0,,,,0.0,0.0,0.0
2014-04-01,1481156.7,15001427.0,15001427.0,3308.283,33507.0,33507.0,,,,0.0,0.0,0.0
2014-05-01,1252960.5,13048313.0,13048313.0,6229.453,64873.0,64873.0,,,,0.0,0.0,0.0
2014-06-01,1436510.4,14823051.0,14823051.0,3712.597,38310.0,38310.0,,,,0.0,0.0,0.0
2014-07-01,1474731.2,15415159.0,15415159.0,3456.85,36134.0,36134.0,,,,0.0,0.0,0.0
2014-08-01,1488275.6,15358822.0,15358822.0,3372.408,34803.0,34803.0,,,,0.0,0.0,0.0
2014-09-01,1423014.4,14313976.0,14313976.0,3840.578,38632.0,38632.0,,,,0.0,0.0,0.0
2014-10-01,1151390.9,11391214.0,11391214.0,3168.068,31343.0,31343.0,,,,0.0,0.0,0.0
2014-11-01,1373187.3,14158396.0,14158396.0,2854.732,29434.0,29434.0,,,,0.0,0.0,0.0
2014-12-01,1353302.4,13555418.0,13555418.0,7898.638,79117.0,79117.0,,,,0.0,0.0,0.0
2015-01-01,1362936.4,13704358.0,13704358.0,2841.584,28572.0,28572.0,,,,0.0,0.0,0.0
2015-02-01,1055136.1,10732020.0,10732020.0,6289.929,63976.0,63976.0,,,,0.0,0.0,0.0
2015-03-01,893556.76,9256360.0,9256360.0,6170.244,63918.0,63918.0,,,,0.0,0.0,0.0
2015-04-01,719572.94,7343625.0,7343625.0,5385.06,54957.0,54957.0,,,,0.0,0.0,0.0
2015-05-01,1249498.9,12892474.0,12892474.0,3374.121,34815.0,34815.0,,,,0.0,0.0,0.0
2015-06-01,1034463.9,10923911.0,10923911.0,4022.07,42473.0,42473.0,,,,0.0,0.0,0.0
2015-07-01,1216577.7,12422625.0,12422625.0,7071.283,72206.0,72206.0,,,,0.0,0.0,0.0
2015-08-01,1334064.8,13656653.0,13656653.0,3411.209,34920.0,34920.0,,,,0.0,0.0,0.0
2015-09-01,1384519.1,14017638.0,14017638.0,2767.93,28024.0,28024.0,,,,0.0,0.0,0.0
2015-10-01,1110589.5,11148108.0,11148108.0,7987.487,80178.0,80178.0,,,,0.0,0.0,0.0
2015-11-01,1113954.6,11433545.0,11433545.0,5686.363,58364.0,58364.0,,,,0.0,0.0,0.0
2015-12-01,1073468.1,11015008.0,11015008.0,7470.911,76660.0,76660.0,,,,0.0,0.0,0.0
2016-01-01,0.0,0.0,0.0,5050.202,51421.0,51421.0,,,,0.0,0.0,0.0
2016-02-01,0.0,0.0,0.0,4686.375,48959.0,48959.0,,,,0.0,0.0,0.0
2016-03-01,0.0,0.0,0.0,3983.085,51738.0,51738.0,,,,0.0,0.0,0.0
2016-04-01,0.0,0.0,0.0,9227.077,96662.0,96662.0,,,,0.0,0.0,0.0
2016-05-01,0.0,0.0,0.0,7866.075,80982.0,80982.0,,,,0.0,0.0,0.0
2016-06-01,0.0,0.0,0.0,4686.567,47680.0,47680.0,,,,0.0,0.0,0.0
2016-07-01,0.0,0.0,0.0,5332.353,54834.0,54834.0,,,,0.0,0.0,0.0
2016-08-01,0.0,0.0,0.0,4004.235,41071.0,41071.0,,,,0.0,0.0,0.0
2016-09-01,0.0,0.0,0.0,3402.739,34123.0,34123.0,,,,0.0,0.0,0.0
2016-10-01,0.0,0.0,0.0,3328.625,34416.0,34416.0,,,,0.0,0.0,0.0
2016-11-01,0.0,0.0,0.0,2904.971,29455.0,29455.0,,,,0.0,0.0,0.0
2016-12-01,0.0,0.0,0.0,8339.253,87790.0,87790.0,,,,0.0,0.0,0.0
2017-01-01,0.0,0.0,0.0,2525.645,26312.0,26312.0,,,,0.0,0.0,0.0
2017-02-01,0.0,0.0,0.0,4923.741,51380.0,51380.0,,,,0.0,0.0,0.0
2017-03-01,0.0,0.0,0.0,8779.199,97571.0,97571.0,,,,0.0,0.0,0.0
2017-04-01,0.0,0.0,0.0,3577.256,37870.0,37870.0,,,,0.0,0.0,0.0
2017-05-01,0.0,0.0,0.0,6015.449,65741.0,65741.0,,,,0.0,0.0,0.0
2017-06-01,0.0,0.0,0.0,2881.448,31015.0,31015.0,,,,0.0,0.0,0.0
2017-07-01,0.0,0.0,0.0,5913.544,65038.0,65038.0,,,,0.0,0.0,0.0
2017-08-01,0.0,0.0,0.0,8907.737,99911.0,99911.0,,,,0.0,0.0,0.0
2017-09-01,0.0,0.0,0.0,6516.971,72690.0,72690.0,,,,0.0,0.0,0.0
2017-10-01,0.0,0.0,0.0,6106.356,71605.0,71605.0,,,,0.0,0.0,0.0
2017-11-01,0.0,0.0,0.0,8508.178,94563.0,94563.0,,,,0.0,0.0,0.0
2017-12-01,0.0,0.0,0.0,6508.582,71699.0,71699.0,,,,0.0,0.0,0.0
2018-01-01,0.0,0.0,0.0,10966.692,133377.0,133377.0,,,,0.0,0.0,0.0
2018-02-01,0.0,0.0,0.0,1154.214,14877.0,14877.0,,,,0.0,0.0,0.0
2018-03-01,0.0,0.0,0.0,5179.98,57051.0,57051.0,,,,0.0,0.0,0.0
2018-04-01,0.0,0.0,0.0,5915.631,64645.0,64645.0,,,,0.0,0.0,0.0
2018-05-01,0.0,0.0,0.0,3932.949,48830.0,48830.0,,,,0.0,0.0,0.0
2018-06-01,0.0,0.0,0.0,3520.639,46472.0,46472.0,,,,0.0,0.0,0.0
2018-07-01,0.0,0.0,0.0,8015.811,101207.0,101207.0,,,,0.0,0.0,0.0
2018-08-01,0.0,0.0,0.0,5849.412,77428.0,77428.0,,,,0.0,0.0,0.0
2018-09-01,0.0,0.0,0.0,2520.926,33542.0,33542.0,,,,0.0,0.0,0.0
2018-10-01,0.0,0.0,0.0,-12552.0,1282.0,1282.0,,,,0.0,0.0,0.0
2018-11-01,0.0,0.0,0.0,4272.447,49398.0,49398.0,,,,0.0,0.0,0.0
2018-12-01,0.0,0.0,0.0,2380.576,28616.0,28616.0,,,,0.0,0.0,0.0
2019-01-01,0.0,0.0,0.0,3450.859,40608.0,40608.0,,,,0.0,0.0,0.0
2019-02-01,0.0,0.0,0.0,677.394,9488.0,9488.0,,,,0.0,0.0,0.0
2019-03-01,0.0,0.0,0.0,2376.068,27860.0,27860.0,,,,0.0,0.0,0.0
2019-04-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2019-05-01,0.0,0.0,0.0,-34.512,0.0,0.0,,,,0.0,0.0,0.0
2019-06-01,0.0,0.0,0.0,-160.351,0.0,0.0,,,,0.0,0.0,0.0
2019-07-01,0.0,0.0,0.0,5028.672,83480.0,83480.0,,,,0.0,0.0,0.0
2019-08-01,0.0,0.0,0.0,2205.668,36286.0,36286.0,,,,0.0,0.0,0.0
2019-09-01,119754.34,1572289.0,1572289.0,2354.66,30915.0,30915.0,,,,0.0,0.0,0.0
2019-10-01,0.0,0.0,0.0,-8559.0,313.0,313.0,,,,0.0,0.0,0.0
2019-11-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2019-12-01,0.0,0.0,0.0,0.0,191.0,191.0,,,,0.0,0.0,0.0
2020-01-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
