measured_on,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed",Residual Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Residual Fuel Oil - Generation,Residual Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Residual Fuel Oil - Quantity Consumed For Electricity,Residual Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Residual Fuel Oil - Total Fuel Consumed,"Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Generation","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Quantity Consumed For Electricity","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Total Fuel Consumed"
2007-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1908.0,1908.0,,,,0.0,0.0,0.0
2007-05-01,0.0,0.0,0.0,0.0,0.0,0.0,27.002000000000002,476.0,476.0,,,,1464.998,25804.0,25804.0
2007-06-01,332.0,4814.0,4814.0,0.0,0.0,0.0,15.036000000000001,197.0,197.0,,,,5614.964,73639.0,73639.0
2007-07-01,0.0,0.0,0.0,0.0,0.0,0.0,14.07,168.0,168.0,,,,6341.93,75814.0,75814.0
2007-08-01,276.0,4014.0,4014.0,5.0,93.0,93.0,36.313,412.0,412.0,,,,15966.687,181064.0,181064.0
2007-09-01,86.0,1288.0,1288.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,7254.0,88760.0,88760.0
2007-10-01,591.0,8108.0,8108.0,0.0,0.0,0.0,11.781,168.0,168.0,,,,3245.219,46333.0,46333.0
2007-11-01,6.0,104.0,104.0,0.0,0.0,0.0,86.34100000000001,2564.0,2564.0,,,,196.65900000000002,5839.0,5839.0
2007-12-01,213.0,2830.0,2830.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,549.0,7608.0,7608.0
2008-01-01,74.0,1032.0,1032.0,0.0,0.0,0.0,30.068,365.0,365.0,,,,1247.932,15165.0,15165.0
2008-02-01,0.0,0.0,0.0,0.0,0.0,0.0,29.412000000000003,342.0,342.0,,,,1838.5880000000002,21391.0,21391.0
2008-03-01,0.0,6.0,6.0,0.0,0.0,0.0,0.0,829.0,829.0,,,,0.0,0.0,0.0
2008-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,719.0,719.0,,,,0.0,0.0,0.0
2008-05-01,4.0,81.0,81.0,0.0,0.0,0.0,8.744,99.0,99.0,,,,133.256,1503.0,1503.0
2008-06-01,226.0,3242.0,3242.0,0.0,0.0,0.0,14.233,168.0,168.0,,,,5068.767,59900.0,59900.0
2008-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,963.0,7747.0,7747.0
2008-08-01,0.0,0.0,0.0,0.0,0.0,0.0,12.347000000000001,157.0,157.0,,,,1310.653,16623.0,16623.0
2008-09-01,220.0,3091.0,3091.0,0.0,0.0,0.0,3.822,52.0,52.0,,,,1144.178,15628.0,15628.0
2008-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2616.0,2616.0,,,,0.0,0.0,0.0
2008-11-01,1.0,52.0,52.0,0.0,0.0,0.0,113.364,1375.0,1375.0,,,,6840.636,82946.0,82946.0
2008-12-01,0.0,0.0,0.0,0.0,0.0,0.0,62.588,719.0,719.0,,,,9144.412,105079.0,105079.0
2009-01-01,0.0,0.0,0.0,0.0,0.0,0.0,140.362,1937.0,1937.0,,,,2163.638,29861.0,29861.0
2009-02-01,0.0,0.0,0.0,0.0,0.0,0.0,68.615,615.0,615.0,,,,5431.385,48666.0,48666.0
2009-03-01,0.0,0.0,0.0,0.0,0.0,0.0,33.406,574.0,574.0,,,,3305.594,56819.0,56819.0
2009-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1090.0,1090.0,,,,0.0,0.0,0.0
2009-05-01,0.0,0.0,0.0,0.0,0.0,0.0,8.683,116.0,116.0,,,,870.317,11628.0,11628.0
