measured_on,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Other Biomass Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Generation","Other Biomass Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Quantity Consumed For Electricity","Other Biomass Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Total Fuel Consumed"
2005-07-01,57638.51243,570474.5,731472.87,325.19257,3218.58,4126.92,,,
2005-08-01,56777.09989,561948.73,720317.75,393.73411,3896.97,4995.21,,,
2005-09-01,53263.98454,527177.82,675882.5,325.00946,3216.77,4124.14,,,
2005-10-01,52416.71365,518792.0,665689.61,136.92635,1355.22,1738.96,,,
2005-11-01,52027.20298,514936.84,660738.89,137.22802000000001,1358.21,1742.78,,,
2005-12-01,56316.64403,557391.38,714721.79,309.74097,3065.65,3930.96,,,
2006-01-01,77979.39216,771797.44,930091.71,161.72184,1600.63,1928.92,,,
2006-02-01,72785.8269,720394.36,868219.12,195.7981,1937.9,2335.56,,,
2006-03-01,71158.42927,704287.27,848764.6,165.43673,1637.4,1973.3,,,
2006-04-01,64157.84119,634999.27,765227.46,127.40581,1260.99,1519.6,,,
2006-05-01,72189.94584,714496.65,861161.64,225.08816,2227.8,2685.1,,,
2006-06-01,79647.43689,788306.81,950063.15,211.79910999999998,2096.27,2526.42,,,
2006-07-01,83870.75473,830106.91,1000441.56,223.67227,2213.79,2668.05,,,
2006-08-01,85097.21898,842245.79,1015274.35,351.84702,3482.39,4197.8,,,
2006-09-01,72597.12873,718526.72,866023.97,229.54327,2271.89,2738.26,,,
2006-10-01,61310.43382,606817.19,731266.57,122.45118,1211.95,1460.51,,,
2006-11-01,60569.21822,599481.04,722390.46,99.10878,980.92,1182.04,,,
2006-12-01,73617.91936,728629.96,878127.58,187.60564,1856.82,2237.79,,,
2007-01-01,92136.0,942507.0,992602.0,0.0,0.0,0.0,,,
2007-02-01,85588.0,876119.0,893772.0,0.0,0.0,0.0,,,
2007-03-01,87655.0,897237.0,953218.0,0.0,0.0,0.0,,,
2007-04-01,44103.0,452250.0,453645.0,0.0,0.0,0.0,,,
2007-05-01,93107.0,922013.0,922013.0,0.0,0.0,0.0,,,
2007-06-01,94138.0,966818.0,972525.0,0.0,0.0,0.0,,,
2007-07-01,65057.0,670888.0,713599.0,0.0,0.0,0.0,,,
2007-08-01,77487.0,801619.0,881142.0,0.0,0.0,0.0,,,
2007-09-01,67160.0,705435.0,753040.0,0.0,0.0,0.0,,,
2007-10-01,14999.0,154486.0,168688.0,0.0,0.0,0.0,,,
2007-11-01,15233.0,156537.0,161522.0,0.0,0.0,0.0,,,
2007-12-01,91761.0,941039.0,992456.0,0.0,0.0,0.0,,,
2008-01-01,89479.068,917589.0,945238.0,211.93200000000002,2173.0,2239.0,,,
2008-02-01,86086.819,879324.0,879324.0,219.181,2239.0,2239.0,,,
2008-03-01,88055.911,905630.0,961240.0,205.089,2109.0,2239.0,,,
2008-04-01,64845.323000000004,669875.0,709293.0,204.67700000000002,2114.0,2239.0,,,
2008-05-01,81810.23300000001,843909.0,869000.0,210.767,2174.0,2239.0,,,
2008-06-01,79514.227,821604.0,873600.0,203.773,2106.0,2239.0,,,
2008-07-01,80435.947,832152.0,900160.0,200.053,2070.0,2239.0,,,
2008-08-01,83826.208,872488.0,988820.0,189.792,1975.0,2239.0,,,
2008-09-01,72396.996,753159.0,857562.0,189.00400000000002,1966.0,2239.0,,,
2008-10-01,53186.653,554837.0,625563.0,190.347,1986.0,2239.0,,,
2008-11-01,0.0,0.0,0.0,0.0,0.0,2239.0,,,
2008-12-01,30109.563,311565.0,334642.0,201.437,2084.0,2239.0,,,
2009-01-01,48810.362,506901.0,524548.0,331.63800000000003,3444.0,3564.0,,,
2009-02-01,75002.825,776690.0,815619.0,55.175,571.0,600.0,,,
2009-03-01,49961.566,516024.0,516024.0,437.434,4518.0,4518.0,,,
2009-04-01,57396.095,599070.0,663474.0,51.905,542.0,600.0,,,
2009-05-01,64745.962,673981.0,750587.0,340.038,3540.0,3942.0,,,
2009-06-01,65486.569,682034.0,735256.0,216.431,2254.0,2430.0,,,
2009-07-01,54873.013,576122.0,611088.0,242.98700000000002,2551.0,2706.0,,,
2009-08-01,72265.484,753807.0,816909.0,155.51600000000002,1622.0,1758.0,,,
2009-09-01,65173.284,688196.0,750410.0,54.716,578.0,630.0,,,
2009-10-01,81427.204,845944.0,888384.0,41.796,434.0,456.0,,,
2009-11-01,26431.762000000002,277693.0,308786.0,141.238,1484.0,1650.0,,,
2009-12-01,60398.769,627632.0,695448.0,339.231,3525.0,3906.0,,,
2010-01-01,70088.592,726015.0,752979.0,393.408,4075.0,4226.0,,,
2010-02-01,64683.448000000004,666248.0,715902.0,184.55200000000002,1901.0,2043.0,,,
2010-03-01,83047.78,858820.0,929014.0,53.22,550.0,595.0,,,
2010-04-01,25466.379,264613.0,283338.0,296.62100000000004,3082.0,3300.0,,,
2010-05-01,69579.098,720519.0,827768.0,257.902,2671.0,3068.0,,,
2010-06-01,78658.918,806106.0,903867.0,115.08200000000001,1179.0,1322.0,,,
2010-07-01,71913.224,748133.0,814371.0,252.776,2630.0,2863.0,,,
2010-08-01,73162.02,757638.0,803301.0,162.98,1688.0,1789.0,,,
2010-09-01,28221.470999999998,294202.0,334711.0,253.52900000000002,2643.0,3007.0,,,
2010-10-01,6035.584000000001,63174.0,77697.0,107.41600000000001,1124.0,1383.0,,,
2010-11-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2010-12-01,26802.069,277398.0,287230.0,204.931,2121.0,2196.0,,,
2011-01-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2011-02-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2011-03-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2011-04-01,7516.483,76177.0,83313.0,146.517,1485.0,1624.0,,,
2011-05-01,12224.88,127633.0,142674.0,144.12,1505.0,1682.0,,,
2011-06-01,6455.231,67641.0,79180.0,160.769,1685.0,1972.0,,,
2011-07-01,16849.461,178071.0,195092.0,188.539,1993.0,2183.0,,,
2011-08-01,1552.033,16525.0,18518.0,2.967,32.0,35.0,,,
2011-09-01,1874.318,20610.0,24701.0,139.682,1536.0,1841.0,,,
2011-10-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2011-11-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2011-12-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2012-01-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2012-02-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2012-03-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2012-04-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2012-05-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2012-06-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2012-07-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2012-08-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2012-09-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2012-10-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2012-11-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2012-12-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2013-01-01,0.0,0.0,0.0,-110.0,0.0,0.0,-110.0,0.0,0.0
2013-02-01,0.0,0.0,0.0,-85.0,0.0,0.0,-85.0,0.0,0.0
2013-03-01,0.0,0.0,0.0,-117.0,0.0,0.0,-117.0,0.0,0.0
2013-04-01,0.0,0.0,0.0,-75.0,0.0,0.0,-75.0,0.0,0.0
2013-05-01,0.0,0.0,0.0,-76.0,0.0,0.0,-76.0,0.0,0.0
2013-06-01,0.0,0.0,0.0,-75.5,0.0,0.0,-75.5,0.0,0.0
2013-07-01,0.0,0.0,0.0,-80.5,0.0,0.0,-80.5,0.0,0.0
2013-08-01,0.0,0.0,0.0,-110.0,0.0,0.0,-110.0,0.0,0.0
2013-09-01,0.0,0.0,0.0,-601.5,0.0,0.0,-601.5,0.0,0.0
2013-10-01,0.0,0.0,0.0,263.874,6351.0,6351.0,2064.126,49680.0,49680.0
2013-11-01,0.0,0.0,0.0,160.602,2917.0,2917.0,11071.398,201116.0,201116.0
2013-12-01,0.0,0.0,0.0,255.152,4373.0,4373.0,11676.848,200137.0,200137.0
2014-01-01,0.0,0.0,0.0,107.842,1837.0,1837.0,15377.158,261985.0,261985.0
2014-02-01,0.0,0.0,0.0,129.187,1901.0,1901.0,14674.813,215952.0,215952.0
2014-03-01,0.0,0.0,0.0,114.84,1617.0,1617.0,18792.16,264615.0,264615.0
2014-04-01,0.0,0.0,0.0,2.644,35.0,35.0,9867.356,129791.0,129791.0
2014-05-01,0.0,0.0,0.0,183.276,2405.0,2405.0,25304.724,332103.0,332103.0
2014-06-01,0.0,0.0,0.0,114.828,1571.0,1571.0,22927.172,313618.0,313618.0
2014-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-01,0.0,0.0,0.0,41.755,1499.0,1499.0,4443.245,159524.0,159524.0
2015-03-01,0.0,0.0,0.0,5.117,165.0,165.0,6437.883,207982.0,207982.0
2015-04-01,0.0,0.0,0.0,53.414,1294.0,1294.0,10999.586,266456.0,266456.0
2015-05-01,0.0,0.0,0.0,79.886,2024.0,2024.0,17793.114,450695.0,450695.0
2015-06-01,0.0,0.0,0.0,32.249,895.0,895.0,14514.751,402785.0,402785.0
2015-07-01,0.0,0.0,0.0,133.15,3870.0,3870.0,22293.85,648022.0,648022.0
2015-08-01,0.0,0.0,0.0,144.972,5084.0,5084.0,24337.028,853541.0,853541.0
2015-09-01,0.0,0.0,0.0,117.252,3773.0,3773.0,25099.748,807758.0,807758.0
2015-10-01,0.0,0.0,0.0,559.761,16570.0,16570.0,23049.239,682298.0,682298.0
2015-11-01,0.0,0.0,0.0,1173.337,31042.0,31042.0,29482.663,780003.0,780003.0
2015-12-01,0.0,0.0,0.0,1293.171,28095.0,28095.0,21831.829,474316.0,474316.0
2016-01-01,0.0,0.0,0.0,387.626,6629.0,6629.0,22967.374,392783.0,392783.0
2016-02-01,0.0,0.0,0.0,117.342,1972.0,1972.0,27871.658,468449.0,468449.0
2016-03-01,0.0,0.0,0.0,70.382,1254.0,1254.0,24425.618,435191.0,435191.0
2016-04-01,0.0,0.0,0.0,10.181,188.0,188.0,27172.819,502041.0,502041.0
2016-05-01,0.0,0.0,0.0,209.813,2833.0,2833.0,20940.187,282735.0,282735.0
2016-06-01,0.0,0.0,0.0,214.088,3010.0,3010.0,30498.912,428746.0,428746.0
2016-07-01,0.0,0.0,0.0,282.589,3745.0,3745.0,26425.411,350193.0,350193.0
2016-08-01,0.0,0.0,0.0,219.117,3990.0,3990.0,30415.883,553858.0,553858.0
2016-09-01,0.0,0.0,0.0,215.691,2742.0,2742.0,37416.309,475608.0,475608.0
2016-10-01,0.0,0.0,0.0,86.697,1260.0,1260.0,30808.303,447640.0,447640.0
2016-11-01,0.0,0.0,0.0,105.087,1476.0,1476.0,28098.913,394744.0,394744.0
2016-12-01,0.0,0.0,0.0,53.426,718.0,718.0,27677.574,372066.0,372066.0
2017-01-01,0.0,0.0,0.0,90.673,1938.0,1938.0,36621.327,782724.0,782724.0
2017-02-01,0.0,0.0,0.0,45.487,992.0,992.0,36502.513,795906.0,795906.0
2017-03-01,0.0,0.0,0.0,146.667,3363.0,3363.0,32797.333,752026.0,752026.0
2017-04-01,0.0,0.0,0.0,105.083,2115.0,2115.0,31886.917,641697.0,641697.0
2017-05-01,0.0,0.0,0.0,173.327,3870.0,3870.0,30191.673,674164.0,674164.0
2017-06-01,0.0,0.0,0.0,187.113,5010.0,5010.0,24746.887,662643.0,662643.0
2017-07-01,0.0,0.0,0.0,75.334,2098.0,2098.0,33316.666,927670.0,927670.0
2017-08-01,0.0,0.0,0.0,91.722,2434.0,2434.0,28310.278,751230.0,751230.0
2017-09-01,0.0,0.0,0.0,130.686,3511.0,3511.0,24310.314,653157.0,653157.0
2017-10-01,0.0,0.0,0.0,96.332,2326.0,2326.0,32417.668,782610.0,782610.0
2017-11-01,0.0,0.0,0.0,113.35,2445.0,2445.0,34800.65,750756.0,750756.0
2017-12-01,0.0,0.0,0.0,74.119,1642.0,1642.0,22994.881,509291.0,509291.0
2018-01-01,0.0,0.0,0.0,165.315,4172.0,4172.0,28563.685,720921.0,720921.0
2018-02-01,0.0,0.0,0.0,60.807,1368.0,1368.0,34403.193,773981.0,773981.0
2018-03-01,0.0,0.0,0.0,94.354,2024.0,2024.0,31980.646,685853.0,685853.0
2018-04-01,0.0,0.0,0.0,102.404,2195.0,2195.0,35114.596,752500.0,752500.0
2018-05-01,0.0,0.0,0.0,243.663,5335.0,5335.0,30746.337,673215.0,673215.0
2018-06-01,0.0,0.0,0.0,39.114,1134.0,1134.0,24058.886,697711.0,697711.0
2018-07-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
