measured_on,Jet Fuel-Combined Cycle Combustion Turbine Part Generation,Jet Fuel-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Jet Fuel-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Jet Fuel-Combined Cycle Steam Part Generation,Jet Fuel-Combined Cycle Steam Part Quantity Consumed For Electricity,Jet Fuel-Combined Cycle Steam Part Total Fuel Consumed,Natural Gas-Combined Cycle Combustion Turbine Part Generation,Natural Gas-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Natural Gas-Combined Cycle Steam Part Generation,Natural Gas-Combined Cycle Steam Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Steam Part Total Fuel Consumed
2007-01-01,0.0,0.0,0.0,0.0,0.0,0.0,15281.38,190534.0,190534.0,3453.2,0.0,0.0
2007-02-01,0.0,0.0,0.0,0.0,0.0,0.0,10693.28,133031.0,133031.0,2490.96,0.0,0.0
2007-03-01,0.0,0.0,0.0,0.0,0.0,0.0,11269.46,145354.0,145354.0,3015.73,0.0,0.0
2007-04-01,0.0,0.0,0.0,0.0,0.0,0.0,15524.85,199912.0,199912.0,4200.1,0.0,0.0
2007-05-01,0.0,0.0,0.0,0.0,0.0,0.0,15026.27,182810.0,182810.0,3420.22,0.0,0.0
2007-06-01,0.0,0.0,0.0,0.0,0.0,0.0,15090.29,184427.0,184427.0,3654.96,0.0,0.0
2007-07-01,0.0,0.0,0.0,0.0,0.0,0.0,14429.72,177918.0,177918.0,3660.78,0.0,0.0
2007-08-01,0.0,0.0,0.0,0.0,0.0,0.0,14608.2,181579.0,181579.0,3752.93,0.0,0.0
2007-09-01,0.0,0.0,0.0,0.0,0.0,0.0,12223.94,151421.0,151421.0,3138.92,0.0,0.0
2007-10-01,0.0,0.0,0.0,0.0,0.0,0.0,15124.24,185241.0,185241.0,3646.23,0.0,0.0
2007-11-01,0.0,0.0,0.0,0.0,0.0,0.0,13500.46,176672.0,176672.0,3942.08,0.0,0.0
2007-12-01,0.0,0.0,0.0,0.0,0.0,0.0,15975.9,207639.0,207639.0,4188.46,0.0,0.0
2008-01-01,0.0,0.0,0.0,0.0,0.0,0.0,14965.0,195363.0,195363.0,3814.0,0.0,0.0
2008-02-01,0.0,0.0,0.0,0.0,0.0,0.0,14860.0,194604.0,194604.0,3910.0,0.0,0.0
2008-03-01,0.0,0.0,0.0,0.0,0.0,0.0,14470.0,193059.0,193059.0,4092.0,0.0,0.0
2008-04-01,0.0,0.0,0.0,0.0,0.0,0.0,14563.0,196088.0,196088.0,4178.0,0.0,0.0
2008-05-01,0.0,0.0,0.0,0.0,0.0,0.0,6803.0,89570.0,89570.0,1691.0,0.0,0.0
2008-06-01,0.0,0.0,0.0,0.0,0.0,0.0,9014.0,119071.0,119071.0,2431.0,0.0,0.0
2008-07-01,0.0,0.0,0.0,0.0,0.0,0.0,9807.0,128747.0,128747.0,2711.0,0.0,0.0
2008-08-01,0.0,0.0,0.0,0.0,0.0,0.0,9041.0,118267.0,118267.0,2499.0,0.0,0.0
2008-09-01,0.0,0.0,0.0,0.0,0.0,0.0,9173.0,120147.0,120147.0,2593.0,0.0,0.0
2008-10-01,0.0,0.0,0.0,0.0,0.0,0.0,8839.0,115966.0,115966.0,2437.0,0.0,0.0
2008-11-01,0.0,0.0,0.0,0.0,0.0,0.0,14357.0,193298.0,193298.0,4366.0,0.0,0.0
2008-12-01,1.715,23.0,23.0,0.446,0.0,0.0,14770.285,195331.0,195331.0,3844.554,0.0,0.0
2009-01-01,0.0,0.0,0.0,0.0,0.0,0.0,14934.0,198452.0,198452.0,4027.0,0.0,0.0
2009-02-01,0.0,0.0,0.0,0.0,0.0,0.0,11468.0,143197.0,147821.0,1868.0,0.0,0.0
2009-03-01,0.0,0.0,0.0,0.0,0.0,0.0,12948.0,170020.0,171626.0,2935.0,0.0,0.0
2009-04-01,0.0,0.0,0.0,0.0,0.0,0.0,14317.0,182253.0,184333.0,2674.0,0.0,0.0
2009-05-01,0.0,0.0,0.0,0.0,0.0,0.0,2116.0,27775.0,27943.0,465.0,0.0,0.0
2009-06-01,0.0,0.0,0.0,0.0,0.0,0.0,10576.0,140706.0,140706.0,2805.0,0.0,0.0
2009-07-01,0.0,0.0,0.0,0.0,0.0,0.0,11442.0,150754.0,150754.0,3006.0,0.0,0.0
2009-08-01,0.0,0.0,0.0,0.0,0.0,0.0,14085.0,183679.0,183679.0,3631.0,0.0,0.0
2009-09-01,0.0,0.0,0.0,0.0,0.0,0.0,12695.0,168946.0,168946.0,3285.0,0.0,0.0
2009-10-01,0.0,0.0,0.0,0.0,0.0,0.0,14142.0,185564.0,185564.0,3548.0,0.0,0.0
2009-11-01,0.0,0.0,0.0,0.0,0.0,0.0,10951.0,135295.0,135295.0,2269.0,0.0,0.0
2009-12-01,0.0,0.0,0.0,0.0,0.0,0.0,14191.0,173782.0,173782.0,2367.0,0.0,0.0
2010-01-01,0.0,0.0,0.0,0.0,0.0,0.0,13692.0,168406.0,168406.0,2423.0,0.0,0.0
2010-02-01,0.0,0.0,0.0,0.0,0.0,0.0,9737.0,119246.0,119246.0,1767.0,0.0,0.0
2010-03-01,0.0,0.0,0.0,0.0,0.0,0.0,8645.0,106496.0,106496.0,1553.0,0.0,0.0
2010-04-01,0.0,0.0,0.0,0.0,0.0,0.0,10529.0,130662.0,130662.0,2012.0,0.0,0.0
2010-05-01,0.0,0.0,0.0,0.0,0.0,0.0,14478.0,185832.0,185832.0,3341.0,0.0,0.0
2010-06-01,0.0,0.0,0.0,0.0,0.0,0.0,13950.0,180218.0,180218.0,3450.0,0.0,0.0
2010-07-01,0.0,0.0,0.0,0.0,0.0,0.0,14455.0,185829.0,185829.0,3653.0,0.0,0.0
2010-08-01,0.0,0.0,0.0,0.0,0.0,0.0,14533.0,187217.0,187217.0,3718.0,0.0,0.0
2010-09-01,17.763,232.0,232.0,4.688000000000001,0.0,0.0,12457.237000000001,163027.0,163027.0,3287.3120000000004,0.0,0.0
2010-10-01,0.438,6.0,6.0,0.113,0.0,0.0,14260.562,184489.0,184489.0,3664.887,0.0,0.0
2010-11-01,5.069,62.0,62.0,1.0170000000000001,0.0,0.0,13884.931,170840.0,170840.0,2785.983,0.0,0.0
2010-12-01,0.0,0.0,0.0,0.0,0.0,0.0,12362.0,150753.0,150753.0,2210.0,0.0,0.0
2011-01-01,0.0,0.0,0.0,0.0,0.0,0.0,15183.0,182475.0,182475.0,2432.0,0.0,0.0
2011-02-01,0.946,11.0,11.0,0.14,0.0,0.0,12618.054,151221.0,151221.0,1863.86,0.0,0.0
2011-03-01,0.0,0.0,0.0,0.0,0.0,0.0,9777.0,117726.0,117726.0,1662.0,0.0,0.0
2011-04-01,0.0,0.0,0.0,0.0,0.0,0.0,12314.0,147913.0,147913.0,2240.0,0.0,0.0
2011-05-01,0.0,0.0,0.0,0.0,0.0,0.0,13181.0,162038.0,162038.0,2648.0,0.0,0.0
2011-06-01,0.0,0.0,0.0,0.0,0.0,0.0,14686.0,180301.0,180301.0,3166.0,0.0,0.0
2011-07-01,0.0,0.0,0.0,0.0,0.0,0.0,14479.0,177344.0,177344.0,3189.0,0.0,0.0
2011-08-01,0.0,0.0,0.0,0.0,0.0,0.0,14770.0,180909.0,180909.0,3385.0,0.0,0.0
2011-09-01,0.0,0.0,0.0,0.0,0.0,0.0,12413.0,155628.0,155628.0,2851.0,0.0,0.0
2011-10-01,0.0,0.0,0.0,0.0,0.0,0.0,15195.0,187475.0,187475.0,3725.0,0.0,0.0
2011-11-01,0.0,0.0,0.0,0.0,0.0,0.0,11377.0,135745.0,135745.0,2198.0,0.0,0.0
2011-12-01,0.0,0.0,0.0,0.0,0.0,0.0,15085.0,179850.0,179850.0,2510.0,0.0,0.0
2012-01-01,0.0,0.0,0.0,0.0,0.0,0.0,11564.0,137332.0,137332.0,2040.0,0.0,0.0
2012-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
