measured_on,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed",Hydroelectric-Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) Generation,Hydroelectric-Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) Quantity Consumed For Electricity,Hydroelectric-Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) Total Fuel Consumed
2009-04-01,0.778,6.0,6.0,12.454,122.0,122.0
2009-05-01,1.5030000000000001,17.0,17.0,13.102,128.0,128.0
2009-06-01,1.064,6.0,6.0,15.993,156.0,156.0
2009-07-01,0.79,6.0,6.0,16.775,164.0,164.0
2009-08-01,1.081,6.0,6.0,16.018,156.0,156.0
2009-09-01,0.46900000000000003,6.0,6.0,12.962,127.0,127.0
2009-10-01,0.638,6.0,6.0,15.614,152.0,152.0
2009-11-01,0.76,6.0,6.0,16.012,156.0,156.0
2009-12-01,1.0470000000000002,6.0,6.0,11.556000000000001,113.0,113.0
2010-01-01,1.284,12.0,12.0,12.358,121.0,121.0
2010-02-01,0.8240000000000001,6.0,6.0,9.524000000000001,93.0,93.0
2010-03-01,0.499,6.0,6.0,7.9430000000000005,77.0,77.0
2010-04-01,0.446,6.0,6.0,17.255000000000003,168.0,168.0
2010-05-01,0.547,6.0,6.0,12.837,125.0,125.0
2010-06-01,0.393,6.0,6.0,17.556,171.0,171.0
2010-07-01,0.5940000000000001,6.0,6.0,18.75,183.0,183.0
2010-08-01,1.6600000000000001,17.0,17.0,16.541,161.0,161.0
2010-09-01,1.461,17.0,17.0,9.179,90.0,90.0
2010-10-01,0.738,6.0,6.0,14.018,137.0,137.0
2010-11-01,0.458,6.0,6.0,17.818,174.0,174.0
2010-12-01,1.096,12.0,12.0,13.221,129.0,129.0
2011-01-01,0.328,6.0,6.0,21.774,212.0,212.0
2011-02-01,0.504,6.0,6.0,15.167,147.0,147.0
2011-03-01,0.593,6.0,6.0,5.147,50.0,50.0
2011-04-01,0.98,6.0,6.0,7.141,69.0,69.0
2011-05-01,0.723,6.0,6.0,8.266,80.0,80.0
2011-06-01,1.003,12.0,12.0,27.636,269.0,269.0
2011-07-01,1.324,12.0,12.0,28.79,280.0,280.0
2011-08-01,1.046,12.0,12.0,25.882,251.0,251.0
2011-09-01,0.446,6.0,6.0,23.111,225.0,225.0
2011-10-01,0.286,6.0,6.0,23.509,228.0,228.0
2011-11-01,0.727,6.0,6.0,17.463,170.0,170.0
2011-12-01,1.04,12.0,12.0,10.114,98.0,98.0
2012-01-01,0.537,6.0,6.0,6.483,62.0,62.0
2012-02-01,0.502,6.0,6.0,11.627,111.0,111.0
2012-03-01,0.332,6.0,6.0,8.334,79.0,79.0
2012-04-01,0.207,0.0,0.0,16.826,160.0,160.0
2012-05-01,0.634,6.0,6.0,10.297,98.0,98.0
2012-06-01,0.758,17.0,17.0,13.07,124.0,124.0
2012-07-01,2.353,29.0,29.0,13.326,127.0,127.0
2012-08-01,0.389,6.0,6.0,11.979,114.0,114.0
2012-09-01,0.85,12.0,12.0,12.37,118.0,118.0
2012-10-01,0.758,12.0,12.0,13.504,129.0,129.0
2012-11-01,1.318,17.0,17.0,14.501,138.0,138.0
2012-12-01,0.362,6.0,6.0,9.683,92.0,92.0
2013-01-01,0.0,0.0,0.0,10.633,101.0,101.0
2013-02-01,0.0,0.0,0.0,10.159,97.0,97.0
2013-03-01,0.0,0.0,0.0,9.806,94.0,94.0
2013-04-01,0.0,0.0,0.0,10.816,103.0,103.0
2013-05-01,0.0,0.0,0.0,14.555,139.0,139.0
2013-06-01,0.0,0.0,0.0,14.112,135.0,135.0
2013-07-01,0.0,0.0,0.0,9.955,95.0,95.0
2013-08-01,0.0,0.0,0.0,16.158,154.0,154.0
2013-09-01,0.0,0.0,0.0,14.113,135.0,135.0
2013-10-01,0.0,0.0,0.0,14.866,142.0,142.0
2013-11-01,0.0,0.0,0.0,13.502,129.0,129.0
2013-12-01,6.0,58.0,58.0,4.325,41.0,41.0
2014-01-01,2.801,24.0,24.0,10.762,102.0,102.0
2014-02-01,1.168,12.0,12.0,8.074,77.0,77.0
2014-03-01,2.075,24.0,24.0,15.454,147.0,147.0
2014-04-01,0.523,6.0,6.0,13.619,130.0,130.0
2014-05-01,0.96,12.0,12.0,14.072,134.0,134.0
2014-06-01,0.325,6.0,6.0,17.697,168.0,168.0
2014-07-01,1.31,12.0,12.0,22.055,210.0,210.0
2014-08-01,1.093,12.0,12.0,17.3,165.0,165.0
2014-09-01,0.385,6.0,6.0,19.832,189.0,189.0
2014-10-01,0.796,6.0,6.0,17.749,169.0,169.0
2014-11-01,1.735,18.0,18.0,18.117,172.0,172.0
2014-12-01,0.829,6.0,6.0,14.269,136.0,136.0
2015-01-01,1.039,17.0,17.0,12.162,113.0,113.0
2015-02-01,0.512,6.0,6.0,13.117,122.0,122.0
2015-03-01,0.654,12.0,12.0,5.29,49.0,49.0
2015-04-01,0.331,6.0,6.0,5.788,54.0,54.0
2015-05-01,0.597,6.0,6.0,18.852,176.0,176.0
2015-06-01,0.171,0.0,0.0,15.459,144.0,144.0
2015-07-01,0.219,6.0,6.0,13.063,122.0,122.0
2015-08-01,0.764,12.0,12.0,18.312,171.0,171.0
2015-09-01,0.428,6.0,6.0,13.16,123.0,123.0
2015-10-01,0.426,6.0,6.0,18.559,173.0,173.0
2015-11-01,0.463,6.0,6.0,25.351,236.0,236.0
2015-12-01,0.396,6.0,6.0,17.887,167.0,167.0
2016-01-01,0.916,6.0,6.0,15.251,141.0,141.0
2016-02-01,1.732,17.0,17.0,7.121,66.0,66.0
2016-03-01,1.031,12.0,12.0,11.352,105.0,105.0
2016-04-01,1.084,12.0,12.0,14.91,138.0,138.0
2016-05-01,0.735,6.0,6.0,10.761,99.0,99.0
2016-06-01,0.61,6.0,6.0,14.927,138.0,138.0
2016-07-01,1.166,12.0,12.0,15.617,144.0,144.0
2016-08-01,1.755,17.0,17.0,16.489,152.0,152.0
2016-09-01,1.304,12.0,12.0,9.794,90.0,90.0
2016-10-01,0.576,6.0,6.0,14.451,133.0,133.0
2016-11-01,0.418,6.0,6.0,16.563,153.0,153.0
2016-12-01,0.673,6.0,6.0,11.764,109.0,109.0
2017-01-01,1.28,6.0,6.0,15.248,140.0,140.0
2017-02-01,0.938,12.0,12.0,14.254,131.0,131.0
2017-03-01,1.048,12.0,12.0,15.215,140.0,140.0
2017-04-01,1.192,12.0,12.0,12.145,112.0,112.0
2017-05-01,1.462,12.0,12.0,11.959,110.0,110.0
2017-06-01,1.313,12.0,12.0,12.207,112.0,112.0
2017-07-01,1.103,12.0,12.0,13.116,121.0,121.0
2017-08-01,1.114,12.0,12.0,12.862,118.0,118.0
2017-09-01,1.061,12.0,12.0,11.732,108.0,108.0
2017-10-01,1.234,12.0,12.0,12.111,112.0,112.0
2017-11-01,1.747,17.0,17.0,13.154,121.0,121.0
2017-12-01,1.508,17.0,17.0,11.997,111.0,111.0
2018-01-01,0.0,0.0,0.0,10.62,97.0,97.0
2018-02-01,0.0,0.0,0.0,9.363,85.0,85.0
2018-03-01,0.0,0.0,0.0,9.659,88.0,88.0
2018-04-01,0.0,0.0,0.0,9.854,90.0,90.0
2018-05-01,0.0,0.0,0.0,10.688,97.0,97.0
2018-06-01,0.0,0.0,0.0,10.498,96.0,96.0
2018-07-01,0.0,0.0,0.0,9.504,87.0,87.0
2018-08-01,0.0,0.0,0.0,8.878,81.0,81.0
2018-09-01,0.0,0.0,0.0,10.575,96.0,96.0
2018-10-01,0.0,0.0,0.0,11.299,103.0,103.0
2018-11-01,0.0,0.0,0.0,12.216,111.0,111.0
2018-12-01,8.0,87.0,87.0,12.846,117.0,117.0
2019-01-01,3.416,41.0,41.0,2.436,22.0,22.0
2019-02-01,3.27,35.0,35.0,1.993,18.0,18.0
2019-03-01,4.218,46.0,46.0,2.457,22.0,22.0
2019-04-01,3.303,35.0,35.0,2.113,19.0,19.0
2019-05-01,2.962,29.0,29.0,2.201,20.0,20.0
2019-06-01,4.604,46.0,46.0,1.945,17.0,17.0
2019-07-01,3.567,35.0,35.0,2.152,19.0,19.0
2019-08-01,2.747,29.0,29.0,2.169,19.0,19.0
2019-09-01,3.04,29.0,29.0,2.186,19.0,19.0
2019-10-01,3.068,29.0,29.0,2.452,22.0,22.0
2019-11-01,3.893,41.0,41.0,2.477,22.0,22.0
2019-12-01,2.912,29.0,29.0,2.419,22.0,22.0
2020-01-01,1.628,17.0,17.0,9.39,82.0,82.0
2020-02-01,1.185,12.0,12.0,8.325,73.0,73.0
2020-03-01,1.358,12.0,12.0,9.209,81.0,81.0
2020-04-01,0.961,12.0,12.0,8.921,78.0,78.0
2020-05-01,1.547,17.0,17.0,9.393,82.0,82.0
2020-06-01,1.814,17.0,17.0,9.167,80.0,80.0
2020-07-01,2.003,17.0,17.0,9.103,80.0,80.0
2020-08-01,1.949,17.0,17.0,8.588,75.0,75.0
2020-09-01,1.082,12.0,12.0,9.075,80.0,80.0
2020-10-01,1.369,12.0,12.0,9.051,79.0,79.0
2020-11-01,1.5,17.0,17.0,9.55,84.0,84.0
2020-12-01,1.604,17.0,17.0,10.228,90.0,90.0
2021-01-01,1.591,12.0,12.0,19.01,168.0,168.0
2021-02-01,2.356,23.0,23.0,15.084,133.0,133.0
2021-03-01,1.44,12.0,12.0,16.678,148.0,148.0
2021-04-01,1.662,17.0,17.0,17.213,152.0,152.0
2021-05-01,2.791,29.0,29.0,16.148,143.0,143.0
2021-06-01,2.587,23.0,23.0,15.717,139.0,139.0
2021-07-01,1.756,17.0,17.0,15.414,136.0,136.0
2021-08-01,1.883,17.0,17.0,16.597,147.0,147.0
2021-09-01,1.673,17.0,17.0,14.222,126.0,126.0
2021-10-01,1.7,17.0,17.0,15.324,136.0,136.0
2021-11-01,2.368,23.0,23.0,15.01,133.0,133.0
2021-12-01,2.193,23.0,23.0,16.583,147.0,147.0
2022-01-01,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-01,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-01,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-01,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-01,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-01,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-01,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-01,0.0,0.0,0.0,0.0,0.0,0.0
2022-10-01,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-01,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-01,8.0,87.0,87.0,0.0,0.0,0.0
2023-01-01,0.619,6.0,6.0,0.0,0.0,0.0
2023-02-01,0.359,6.0,6.0,0.0,0.0,0.0
2023-03-01,0.641,6.0,6.0,0.0,0.0,0.0
2023-04-01,0.499,6.0,6.0,0.0,0.0,0.0
2023-05-01,0.779,6.0,6.0,0.0,0.0,0.0
2023-06-01,0.621,6.0,6.0,0.0,0.0,0.0
2023-07-01,0.585,6.0,6.0,0.0,0.0,0.0
2023-08-01,0.44,6.0,6.0,0.0,0.0,0.0
2023-09-01,0.52,6.0,6.0,0.0,0.0,0.0
2023-10-01,0.791,6.0,6.0,3.0,10.0,10.0
2023-11-01,0.467,6.0,6.0,0.0,0.0,0.0
2023-12-01,0.679,6.0,6.0,0.0,0.0,0.0
2024-01-01,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-01,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-01,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-01,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-01,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-01,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-01,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-01,0.0,0.0,0.0,4.0,14.0,14.0
2024-11-01,0.0,0.0,0.0,1.0,3.0,3.0
2024-12-01,3.0,35.0,35.0,16.0,55.0,55.0
