measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Waste/Other Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Waste/Other Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Waste/Other Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2019-10-01,0.0,0.0,0.0,73.492,1216.0,1216.0,0.0,0.0,0.0,,,,32222.508,533206.0,533206.0
2019-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,8279.0,133875.0,133875.0
2019-12-01,0.0,0.0,0.0,215.733,3534.0,3534.0,0.0,0.0,0.0,,,,19567.267,320515.0,320515.0
2020-01-01,0.0,0.0,0.0,95.677,1506.0,1506.0,0.0,0.0,0.0,,,,29619.323,466278.0,466278.0
2020-02-01,0.0,0.0,0.0,80.74,1274.0,1274.0,0.0,0.0,0.0,,,,32179.26,507942.0,507942.0
2020-03-01,0.0,0.0,0.0,165.46,2839.0,2839.0,0.0,0.0,0.0,,,,26334.54,451786.0,451786.0
2020-04-01,0.0,0.0,0.0,85.419,1564.0,1564.0,0.0,0.0,0.0,,,,1830.581,33520.0,33520.0
2020-05-01,0.0,0.0,0.0,175.399,3180.0,3180.0,0.0,0.0,0.0,,,,10673.601,193535.0,193535.0
2020-06-01,0.0,0.0,0.0,141.567,2474.0,2474.0,0.0,0.0,0.0,,,,28646.433,500541.0,500541.0
2020-07-01,0.0,0.0,0.0,133.798,2398.0,2398.0,0.0,0.0,0.0,,,,26553.202,475960.0,475960.0
2020-08-01,0.0,0.0,0.0,33.417,579.0,579.0,0.0,0.0,0.0,,,,34848.583,604111.0,604111.0
2020-09-01,0.0,0.0,0.0,6.006,98.0,98.0,0.0,0.0,0.0,,,,34223.994,561174.0,561174.0
2020-10-01,0.0,0.0,0.0,179.698,3244.0,3244.0,0.0,0.0,0.0,,,,2979.302,53785.0,53785.0
2020-11-01,0.0,0.0,0.0,112.409,1912.0,1912.0,0.0,0.0,0.0,,,,26675.591,453662.0,453662.0
2020-12-01,0.0,0.0,0.0,156.852,2931.0,2931.0,0.0,0.0,0.0,,,,16268.148,304020.0,304020.0
2021-01-01,0.0,0.0,0.0,143.426,2509.0,2509.0,0.0,0.0,0.0,,,,28027.574,490256.0,490256.0
2021-02-01,0.0,0.0,0.0,102.559,1767.0,1767.0,0.0,0.0,0.0,,,,25528.441,439874.0,439874.0
2021-03-01,0.0,0.0,0.0,81.337,1472.0,1472.0,0.0,0.0,0.0,,,,29245.663,529161.0,529161.0
2021-04-01,0.0,0.0,0.0,162.466,3007.0,3007.0,0.0,0.0,0.0,,,,10009.534,185267.0,185267.0
2021-05-01,0.0,0.0,0.0,25.606,446.0,446.0,0.0,0.0,0.0,,,,34648.394,603674.0,603674.0
2021-06-01,0.0,0.0,0.0,97.086,1680.0,1680.0,0.0,0.0,0.0,,,,29574.914,511852.0,511852.0
2021-07-01,0.0,0.0,0.0,68.267,1170.0,1170.0,0.0,0.0,0.0,,,,32993.733,565650.0,565650.0
2021-08-01,0.0,0.0,0.0,82.523,1454.0,1454.0,0.0,0.0,0.0,,,,29275.477,515920.0,515920.0
2021-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,34305.0,592879.0,592879.0
2021-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,23906.0,414950.0,414950.0
2021-11-01,0.0,0.0,0.0,112.997,1912.0,1912.0,0.0,0.0,0.0,,,,5855.003,99073.0,99073.0
2021-12-01,0.0,0.0,0.0,14.246,249.0,249.0,0.0,0.0,0.0,,,,34518.754,602449.0,602449.0
2022-01-01,0.0,0.0,0.0,115.854,2081.0,2081.0,0.0,0.0,0.0,,,,31792.146,571002.0,571002.0
2022-02-01,0.0,0.0,0.0,17.388,283.0,283.0,0.0,0.0,0.0,,,,31093.612,505592.0,505592.0
2022-03-01,0.0,0.0,0.0,42.025,675.0,675.0,0.0,0.0,0.0,,,,32379.975,520149.0,520149.0
2022-04-01,0.0,0.0,0.0,177.278,2948.0,2948.0,0.0,0.0,0.0,,,,8065.722,134148.0,134148.0
2022-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,35247.0,578097.0,578097.0
2022-06-01,0.0,0.0,0.0,147.611,2568.0,2568.0,0.0,0.0,0.0,,,,27795.389,483491.0,483491.0
2022-07-01,0.0,0.0,0.0,12.746,230.0,230.0,0.0,0.0,0.0,,,,33967.254,614020.0,614020.0
2022-08-01,0.0,0.0,0.0,84.264,1500.0,1500.0,0.0,0.0,0.0,,,,32459.736,577898.0,577898.0
2022-09-01,0.0,0.0,0.0,19.802,346.0,346.0,0.0,0.0,0.0,,,,32338.198,565369.0,565369.0
2022-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,24608.0,411867.0,411867.0
2022-11-01,0.0,0.0,0.0,118.24,1973.0,1973.0,0.0,0.0,0.0,,,,12558.76,209596.0,209596.0
2022-12-01,0.0,0.0,0.0,76.567,1227.0,1227.0,0.0,0.0,0.0,,,,32091.433,514221.0,514221.0
2023-01-01,0.0,0.0,0.0,42.375,691.0,691.0,0.0,0.0,0.0,,,,30141.625,491658.0,491658.0
2023-02-01,0.0,0.0,0.0,67.236,1043.0,1043.0,0.0,0.0,0.0,,,,29433.764,456402.0,456402.0
2023-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,28318.0,429290.0,429290.0
2023-04-01,0.0,0.0,0.0,108.335,1754.0,1754.0,0.0,0.0,0.0,,,,23632.665,382644.0,382644.0
2023-05-01,0.0,0.0,0.0,34.806,577.0,577.0,0.0,0.0,0.0,,,,35645.194,590919.0,590919.0
2023-06-01,0.0,0.0,0.0,12.294,208.0,208.0,0.0,0.0,0.0,,,,33034.706,559140.0,559140.0
2023-07-01,0.0,0.0,0.0,120.182,2002.0,2002.0,0.0,0.0,0.0,,,,24559.818,409157.0,409157.0
2023-08-01,0.0,0.0,0.0,53.852,922.0,922.0,0.0,0.0,0.0,,,,32431.148,555015.0,555015.0
2023-09-01,0.0,0.0,0.0,38.3,721.0,721.0,0.0,0.0,0.0,,,,5271.7,99274.0,99274.0
2023-10-01,0.0,0.0,0.0,82.815,1419.0,1419.0,0.0,0.0,0.0,,,,30173.185,517157.0,517157.0
2023-11-01,0.0,0.0,0.0,62.393,1010.0,1010.0,0.0,0.0,0.0,,,,30784.607,498211.0,498211.0
2023-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,35955.0,597045.0,597045.0
2024-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,34378.0,524468.0,524468.0
2024-02-01,0.0,0.0,0.0,90.401,1385.0,1385.0,0.0,0.0,0.0,,,,24360.599,373167.0,373167.0
2024-03-01,0.0,0.0,0.0,135.205,2135.0,2135.0,0.0,0.0,0.0,,,,15724.795,248296.0,248296.0
2024-04-01,0.0,0.0,0.0,8.287,133.0,133.0,0.0,0.0,0.0,,,,35153.713,562994.0,562994.0
2024-05-01,0.0,0.0,0.0,69.812,1179.0,1179.0,0.0,0.0,0.0,,,,32873.188,555050.0,555050.0
2024-06-01,0.0,0.0,0.0,2.786,46.0,46.0,0.0,0.0,0.0,,,,35505.214,588232.0,588232.0
2024-07-01,0.0,0.0,0.0,99.401,1751.0,1751.0,0.0,0.0,0.0,,,,24988.599,440196.0,440196.0
2024-08-01,0.0,0.0,0.0,100.001,1549.0,1549.0,0.0,0.0,0.0,,,,30397.999,470993.0,470993.0
2024-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,7028.0,106671.0,106671.0
2024-10-01,0.0,0.0,0.0,267.949,4884.0,4884.0,0.0,0.0,0.0,,,,16848.051,307125.0,307125.0
2024-11-01,0.0,0.0,0.0,79.787,1417.0,1417.0,0.0,0.0,0.0,,,,31193.213,553966.0,553966.0
2024-12-01,0.0,0.0,0.0,86.227,1446.0,1446.0,0.0,0.0,0.0,,,,29070.773,487429.0,487429.0
