measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Petroleum Coke-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Petroleum Coke-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Petroleum Coke-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2006-09-01,0.0,0.0,0.0,3.588,42.0,42.0,1.472,17.0,17.0,13781.533,159273.0,159273.0
2006-10-01,0.0,0.0,0.0,4.618,54.0,54.0,1.332,15.0,15.0,13530.108,156368.0,156368.0
2006-11-01,0.0,0.0,0.0,4.031000000000001,47.0,47.0,0.99,11.0,11.0,11418.322,131962.0,131962.0
2006-12-01,0.0,0.0,0.0,4.485,52.0,52.0,1.032,12.0,12.0,11919.159,137750.0,137750.0
2007-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14424.0,164389.0,164389.0
2007-02-01,0.0,0.0,0.0,18.101000000000003,212.0,212.0,21.164,248.0,248.0,10404.735,121678.0,121678.0
2007-03-01,0.0,0.0,0.0,7.386,82.0,82.0,0.0,0.0,0.0,13512.614,150604.0,150604.0
2007-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13913.0,157753.0,157753.0
2007-05-01,0.0,0.0,0.0,2.553,29.0,29.0,0.0,0.0,0.0,14418.447,166032.0,166032.0
2007-06-01,0.0,0.0,0.0,0.525,6.0,6.0,0.0,0.0,0.0,13843.475,154900.0,154900.0
2007-07-01,0.0,0.0,0.0,3.0740000000000003,35.0,35.0,0.0,0.0,0.0,14343.926,164619.0,164619.0
2007-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14444.0,161766.0,161766.0
2007-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13869.0,159416.0,159416.0
2007-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14468.0,162063.0,162063.0
2007-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14032.0,156157.0,156157.0
2007-12-01,0.0,0.0,0.0,11.993,135.0,135.0,0.0,0.0,0.0,14367.007000000001,162010.0,162010.0
2008-01-01,0.0,0.0,0.0,5.199,59.0,59.0,0.0,0.0,0.0,14323.801,161990.0,161990.0
2008-02-01,0.0,0.0,0.0,4.174,47.0,47.0,0.0,0.0,0.0,12428.826000000001,140080.0,140080.0
2008-03-01,0.0,0.0,0.0,17.638,206.0,206.0,26.431,308.0,308.0,12997.931,151662.0,151662.0
2008-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14029.0,165095.0,165095.0
2008-05-01,0.0,0.0,0.0,39.124,453.0,453.0,19.492,226.0,226.0,11285.384,130599.0,130599.0
2008-06-01,0.0,0.0,0.0,54.036,623.0,623.0,32.127,371.0,371.0,8155.838000000001,94074.0,94074.0
2008-07-01,0.0,0.0,0.0,22.02,265.0,265.0,4.7330000000000005,57.0,57.0,12017.247,144404.0,144404.0
2008-08-01,0.0,0.0,0.0,27.703000000000003,335.0,335.0,15.184000000000001,184.0,184.0,12060.113000000001,145906.0,145906.0
2008-09-01,0.0,0.0,0.0,19.632,241.0,241.0,28.798000000000002,354.0,354.0,10001.57,122817.0,122817.0
2008-10-01,0.0,0.0,0.0,43.069,553.0,553.0,71.373,916.0,916.0,3845.558,49351.0,49351.0
2008-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13982.0,158749.0,158749.0
2008-12-01,0.0,0.0,0.0,3.0300000000000002,35.0,35.0,0.0,0.0,0.0,14403.970000000001,167728.0,167728.0
2009-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14341.0,160362.0,160362.0
2009-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.17700000000000002,2.0,2.0,12140.823,141154.0,141154.0
2009-03-01,0.0,0.0,0.0,15.739,188.0,188.0,42.258,505.0,505.0,12459.003,148946.0,148946.0
2009-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12877.0,148038.0,148038.0
2009-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13265.0,152808.0,152808.0
2009-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13312.0,154062.0,154062.0
2009-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13775.0,156807.0,156807.0
2009-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12372.0,143776.0,143776.0
2009-09-01,0.0,0.0,0.0,10.755,123.0,123.0,27.578000000000003,317.0,317.0,12620.667,144898.0,144898.0
2009-10-01,0.0,0.0,0.0,17.872,206.0,206.0,68.157,785.0,785.0,8010.9710000000005,92249.0,92249.0
2009-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13242.0,160191.0,160191.0
2009-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13696.0,159929.0,159929.0
2010-01-01,0.0,0.0,0.0,2.517,29.0,29.0,0.0,0.0,0.0,13335.483,155755.0,155755.0
2010-02-01,0.0,0.0,0.0,4.5760000000000005,53.0,53.0,0.0,0.0,0.0,11947.424,138161.0,138161.0
2010-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13284.0,154109.0,154109.0
2010-04-01,0.0,0.0,0.0,16.519000000000002,188.0,188.0,47.511,541.0,541.0,12877.970000000001,146686.0,146686.0
2010-05-01,0.0,0.0,0.0,24.967000000000002,294.0,294.0,32.045,377.0,377.0,11986.988,141153.0,141153.0
2010-06-01,0.0,0.0,0.0,20.830000000000002,235.0,235.0,30.464000000000002,344.0,344.0,12458.706,140679.0,140679.0
2010-07-01,0.0,0.0,0.0,60.818000000000005,676.0,676.0,142.291,1582.0,1582.0,7734.8910000000005,86000.0,86000.0
2010-08-01,0.0,0.0,0.0,73.346,853.0,853.0,95.07900000000001,1105.0,1105.0,8939.575,103916.0,103916.0
2010-09-01,0.0,0.0,0.0,2.0940000000000003,24.0,24.0,0.0,0.0,0.0,12795.905999999999,143715.0,143715.0
2010-10-01,0.0,0.0,0.0,19.577,218.0,218.0,22.588,251.0,251.0,12017.835,133555.0,133555.0
2010-11-01,0.0,0.0,0.0,0.0,0.0,0.0,37.53,423.0,423.0,11284.47,127224.0,127224.0
2010-12-01,0.0,0.0,0.0,10.339,118.0,118.0,0.0,0.0,0.0,11883.661,135164.0,135164.0
2011-01-01,0.0,0.0,0.0,26.767,300.0,300.0,0.0,0.0,0.0,7263.233,81374.0,81374.0
2011-02-01,0.0,0.0,0.0,4.753,53.0,53.0,33.693,375.0,375.0,9807.554,109200.0,109200.0
2011-03-01,0.0,0.0,0.0,5.288,59.0,59.0,0.0,0.0,0.0,13242.712,147262.0,147262.0
2011-04-01,0.0,0.0,0.0,0.0,0.0,0.0,29.324,329.0,329.0,12282.676,137817.0,137817.0
2011-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13248.0,139357.0,139357.0
2011-06-01,0.0,0.0,0.0,0.0,0.0,0.0,41.69,459.0,459.0,10542.31,116120.0,116120.0
2011-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13266.0,152541.0,152541.0
2011-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13266.0,155056.0,155056.0
2011-09-01,0.0,0.0,0.0,3.059,35.0,35.0,0.0,0.0,0.0,12794.941,147575.0,147575.0
2011-10-01,0.0,0.0,0.0,5.573,65.0,65.0,244.097,2833.0,2833.0,12296.33,142717.0,142717.0
2011-11-01,0.0,0.0,0.0,22.067,218.0,218.0,46.258,456.0,456.0,6753.675,66586.0,66586.0
2011-12-01,0.0,0.0,0.0,0.0,0.0,0.0,367.817,4236.0,4236.0,12574.183,144809.0,144809.0
2012-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6022.0,66430.0,66430.0
2012-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3672.0,45581.0,45581.0
2012-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-04-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-05-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-06-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-07-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-08-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-09-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-10-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-11-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-12-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
