measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2009-03-01,,,,454.024,5452.0,5452.0,64936.976,779767.0,779767.0
2009-04-01,,,,378.22700000000003,4538.0,4538.0,60470.773,725521.0,725521.0
2009-05-01,,,,0.0,0.0,0.0,67952.0,809472.0,809472.0
2009-06-01,,,,754.493,9154.0,9154.0,55616.507,674748.0,674748.0
2009-07-01,,,,0.0,0.0,0.0,68284.0,800864.0,800864.0
2009-08-01,,,,204.887,2426.0,2426.0,67056.113,794099.0,794099.0
2009-09-01,,,,218.205,2581.0,2581.0,64725.795,765500.0,765500.0
2009-10-01,,,,419.435,5049.0,5049.0,66085.565,795456.0,795456.0
2009-11-01,,,,226.565,2750.0,2750.0,64452.435,782431.0,782431.0
2009-12-01,,,,595.025,7187.0,7187.0,57946.975,699903.0,699903.0
2010-01-01,,,,102.855,1219.0,1219.0,66821.145,791845.0,791845.0
2010-02-01,,,,0.081,1.0,1.0,59189.919,700693.0,700693.0
2010-03-01,,,,337.401,4066.0,4066.0,49972.599,602215.0,602215.0
2010-04-01,0.0,0.0,0.0,0.0,0.0,0.0,66461.0,781560.0,781560.0
2010-05-01,,,,147.36100000000002,1785.0,1785.0,66716.639,807981.0,807981.0
2010-06-01,,,,1059.544,13070.0,13070.0,47090.456,580880.0,580880.0
2010-07-01,,,,389.69800000000004,4667.0,4667.0,64738.302,775252.0,775252.0
2010-08-01,,,,102.021,1225.0,1225.0,63810.979,766159.0,766159.0
2010-09-01,,,,560.6460000000001,6733.0,6733.0,61253.354,735646.0,735646.0
2010-10-01,,,,317.945,3839.0,3839.0,56897.055,686978.0,686978.0
2010-11-01,,,,43.094,529.0,529.0,58949.906,723204.0,723204.0
2010-12-01,,,,223.68800000000002,2698.0,2698.0,63832.312,769950.0,769950.0
2011-01-01,,,,0.0,0.0,0.0,64322.0,780704.0,780704.0
2011-02-01,,,,841.693,10712.0,10712.0,46937.307,597382.0,597382.0
2011-03-01,,,,157.369,1928.0,1928.0,59112.631,724096.0,724096.0
2011-04-01,,,,0.0,0.0,0.0,56037.0,678317.0,678317.0
2011-05-01,,,,0.079,1.0,1.0,56595.921,689685.0,689685.0
2011-06-01,,,,85.017,1005.0,1005.0,56476.983,667527.0,667527.0
2011-07-01,,,,6.116,74.0,74.0,57108.884,688958.0,688958.0
2011-08-01,,,,1.032,12.0,12.0,57171.968,691653.0,691653.0
2011-09-01,,,,143.976,1787.0,1787.0,56211.024,697834.0,697834.0
2011-10-01,,,,439.486,5467.0,5467.0,46376.514,576929.0,576929.0
2011-11-01,,,,12.756,150.0,150.0,57084.244,669513.0,669513.0
2011-12-01,,,,0.654,8.0,8.0,59395.346,697706.0,697706.0
2012-01-01,,,,7.506,91.0,91.0,61404.494,742203.0,742203.0
2012-02-01,,,,435.38,5333.0,5333.0,53201.62,651669.0,651669.0
2012-03-01,,,,19.648,242.0,242.0,12083.352,148867.0,148867.0
2012-04-01,,,,684.015,8379.0,8379.0,37587.985,460452.0,460452.0
2012-05-01,,,,0.0,0.0,0.0,59469.0,704536.0,704536.0
2012-06-01,,,,1.548,18.0,18.0,56581.452,672916.0,672916.0
2012-07-01,,,,160.285,1954.0,1954.0,46556.715,567700.0,567700.0
2012-08-01,,,,385.492,4690.0,4690.0,52728.508,641504.0,641504.0
2012-09-01,,,,5.578,67.0,67.0,55262.422,661093.0,661093.0
2012-10-01,,,,230.838,2765.0,2765.0,42318.162,506845.0,506845.0
2012-11-01,,,,14.579,174.0,174.0,57389.421,683040.0,683040.0
2012-12-01,,,,277.85,3352.0,3352.0,51026.15,615551.0,615551.0
2013-01-01,,,,144.278,1726.0,1726.0,57690.722,690185.0,690185.0
2013-02-01,,,,14.512,173.0,173.0,54417.488,647669.0,647669.0
2013-03-01,,,,0.0,0.0,0.0,60045.0,712871.0,712871.0
2013-04-01,,,,34.207,410.0,410.0,56272.793,673712.0,673712.0
2013-05-01,,,,493.752,6072.0,6072.0,38838.248,477605.0,477605.0
2013-06-01,,,,82.154,981.0,981.0,59662.846,712222.0,712222.0
2013-07-01,,,,1.232,15.0,15.0,61056.768,766921.0,766921.0
2013-08-01,,,,6.326,79.0,79.0,62067.674,777750.0,777750.0
2013-09-01,,,,0.0,0.0,0.0,62471.0,737749.0,737749.0
2013-10-01,,,,0.815,10.0,10.0,61957.185,726022.0,726022.0
2013-11-01,,,,46.729,557.0,557.0,56208.271,670336.0,670336.0
2013-12-01,,,,277.734,3346.0,3346.0,56528.266,681020.0,681020.0
2014-01-01,,,,108.357,1313.0,1313.0,57453.643,695934.0,695934.0
2014-02-01,,,,0.087,1.0,1.0,53090.913,639294.0,639294.0
2014-03-01,,,,160.751,1945.0,1945.0,58975.249,713572.0,713572.0
2014-04-01,,,,43.631,526.0,526.0,51952.369,626413.0,626413.0
2014-05-01,,,,356.538,4333.0,4333.0,54265.462,659451.0,659451.0
2014-06-01,,,,5.775,69.0,69.0,56293.225,673929.0,673929.0
2014-07-01,,,,340.768,4133.0,4133.0,54590.232,662080.0,662080.0
2014-08-01,,,,0.0,0.0,0.0,62363.0,744234.0,744234.0
2014-09-01,,,,0.0,0.0,0.0,59309.0,703526.0,703526.0
2014-10-01,,,,202.775,2447.0,2447.0,60233.225,727008.0,727008.0
2014-11-01,,,,157.24,1865.0,1865.0,60988.76,723297.0,723297.0
2014-12-01,,,,0.0,0.0,0.0,66399.0,782255.0,782255.0
2015-01-01,,,,161.988,1924.0,1924.0,65431.012,777109.0,777109.0
2015-02-01,,,,0.0,0.0,0.0,61325.0,728975.0,728975.0
2015-03-01,,,,28.557,339.0,339.0,67749.443,803719.0,803719.0
2015-04-01,,,,37.187,446.0,446.0,58629.813,702768.0,702768.0
2015-05-01,,,,91.251,1082.0,1082.0,61580.749,730466.0,730466.0
2015-06-01,,,,108.36,1294.0,1294.0,59634.64,712368.0,712368.0
2015-07-01,,,,172.034,2064.0,2064.0,60303.966,723411.0,723411.0
2015-08-01,,,,20.806,250.0,250.0,61020.194,734137.0,734137.0
2015-09-01,,,,545.235,6707.0,6707.0,20824.765,256171.0,256171.0
2015-10-01,,,,563.469,6870.0,6870.0,46965.531,572644.0,572644.0
2015-11-01,,,,343.61,4158.0,4158.0,61153.39,739956.0,739956.0
2015-12-01,,,,0.09,1.0,1.0,63921.91,755577.0,755577.0
2016-01-01,,,,53.045,628.0,628.0,64351.955,761686.0,761686.0
2016-02-01,,,,460.588,5500.0,5500.0,56538.412,675185.0,675185.0
2016-03-01,,,,401.063,4850.0,4850.0,57887.937,699958.0,699958.0
2016-04-01,,,,93.039,1115.0,1115.0,56868.961,681412.0,681412.0
2016-05-01,,,,8.789,105.0,105.0,63076.211,753594.0,753594.0
2016-06-01,,,,0.0,0.0,0.0,60034.0,718958.0,718958.0
2016-07-01,,,,0.0,0.0,0.0,63898.0,767610.0,767610.0
2016-08-01,,,,225.91,2725.0,2725.0,62010.09,748089.0,748089.0
2016-09-01,,,,10.011,120.0,120.0,62594.989,749672.0,749672.0
2016-10-01,,,,0.0,0.0,0.0,64623.0,769500.0,769500.0
2016-11-01,,,,224.919,2705.0,2705.0,57228.081,688200.0,688200.0
2016-12-01,,,,21.399,258.0,258.0,63743.601,767299.0,767299.0
2017-01-01,,,,180.539,2169.0,2169.0,60323.461,724609.0,724609.0
2017-02-01,,,,10.52,126.0,126.0,60784.48,726074.0,726074.0
2017-03-01,,,,165.881,1982.0,1982.0,62630.119,748271.0,748271.0
2017-04-01,,,,74.905,903.0,903.0,61777.095,744512.0,744512.0
2017-05-01,,,,5.749,68.0,68.0,67880.251,805807.0,805807.0
2017-06-01,,,,251.105,2990.0,2990.0,46735.895,556577.0,556577.0
2017-07-01,,,,12.231,147.0,147.0,68017.769,815489.0,815489.0
2017-08-01,,,,0.0,0.0,0.0,67948.0,807281.0,807281.0
2017-09-01,,,,13.25,157.0,157.0,65832.75,781505.0,781505.0
2017-10-01,,,,33.88,400.0,400.0,64903.12,766357.0,766357.0
2017-11-01,,,,6.054,72.0,72.0,63765.946,759158.0,759158.0
2017-12-01,,,,470.969,5735.0,5735.0,53539.031,651900.0,651900.0
2018-01-01,,,,0.0,0.0,0.0,67767.0,805812.0,805812.0
2018-02-01,,,,3.884,47.0,47.0,60887.116,731095.0,731095.0
2018-03-01,,,,0.0,0.0,0.0,67855.0,797346.0,797346.0
2018-04-01,,,,249.505,2979.0,2979.0,47810.495,570756.0,570756.0
2018-05-01,,,,158.628,1891.0,1891.0,66832.372,796729.0,796729.0
2018-06-01,,,,0.0,0.0,0.0,65601.0,787547.0,787547.0
2018-07-01,,,,29.09,353.0,353.0,66974.91,812681.0,812681.0
2018-08-01,,,,15.817,191.0,191.0,67539.183,816255.0,816255.0
2018-09-01,,,,0.0,0.0,0.0,65922.0,788580.0,788580.0
2018-10-01,,,,368.684,4431.0,4431.0,60159.316,722995.0,722995.0
2018-11-01,,,,33.639,395.0,395.0,66745.361,784292.0,784292.0
2018-12-01,,,,228.837,2725.0,2725.0,64367.163,766593.0,766593.0
2019-01-01,,,,73.063,869.0,869.0,66964.937,796835.0,796835.0
2019-02-01,,,,19.337,233.0,233.0,59190.663,713826.0,713826.0
2019-03-01,,,,427.307,5219.0,5219.0,48953.693,597896.0,597896.0
2019-04-01,,,,28.246,335.0,335.0,65179.754,772587.0,772587.0
2019-05-01,,,,14.345,173.0,173.0,66608.655,801901.0,801901.0
2019-06-01,,,,465.165,5242.0,5242.0,52342.835,589849.0,589849.0
2019-07-01,,,,79.11,957.0,957.0,59703.89,721901.0,721901.0
2019-08-01,,,,0.0,0.0,0.0,63068.0,757875.0,757875.0
2019-09-01,,,,417.493,5078.0,5078.0,51386.507,625045.0,625045.0
2019-10-01,,,,30.59,366.0,366.0,67502.41,806984.0,806984.0
2019-11-01,,,,0.0,0.0,0.0,66541.0,793050.0,793050.0
2019-12-01,,,,226.918,2717.0,2717.0,61496.082,736424.0,736424.0
2020-01-01,,,,312.314,3751.0,3751.0,61455.686,738186.0,738186.0
2020-02-01,,,,220.626,2678.0,2678.0,54240.374,658431.0,658431.0
2020-03-01,,,,351.449,4244.0,4244.0,50753.551,612900.0,612900.0
2020-04-01,,,,215.321,2635.0,2635.0,39288.679,480712.0,480712.0
2020-05-01,,,,0.0,0.0,0.0,68157.0,819857.0,819857.0
2020-06-01,,,,7.252,82.0,82.0,65356.748,735604.0,735604.0
2020-07-01,,,,175.166,2133.0,2133.0,63653.834,775014.0,775014.0
2020-08-01,,,,0.0,0.0,0.0,67080.0,810899.0,810899.0
2020-09-01,,,,183.041,2204.0,2204.0,61812.959,744385.0,744385.0
2020-10-01,,,,32.349,391.0,391.0,57921.651,700023.0,700023.0
2020-11-01,,,,14.978,181.0,181.0,58622.022,707732.0,707732.0
2020-12-01,,,,62.87,750.0,750.0,66871.13,798236.0,798236.0
2021-01-01,,,,153.072,1844.0,1844.0,65890.928,793572.0,793572.0
2021-02-01,,,,502.66,6179.0,6179.0,53625.34,659222.0,659222.0
2021-03-01,,,,409.559,6887.0,6887.0,1516.441,25499.0,25499.0
2021-04-01,,,,442.097,5373.0,5373.0,53621.903,651690.0,651690.0
2021-05-01,,,,6.05,73.0,73.0,59856.95,719870.0,719870.0
2021-06-01,,,,53.032,648.0,648.0,58075.968,709266.0,709266.0
2021-07-01,,,,26.212,321.0,321.0,62297.788,763346.0,763346.0
2021-08-01,,,,270.271,3337.0,3337.0,56209.729,693989.0,693989.0
2021-09-01,,,,24.154,294.0,294.0,61364.846,746331.0,746331.0
2021-10-01,,,,496.672,5967.0,5967.0,58404.328,701714.0,701714.0
2021-11-01,,,,362.389,4429.0,4429.0,51355.611,627613.0,627613.0
2021-12-01,,,,122.627,1467.0,1467.0,63931.373,764892.0,764892.0
2022-01-01,,,,308.439,3766.0,3766.0,62777.561,766587.0,766587.0
2022-02-01,,,,0.0,0.0,0.0,53837.0,664217.0,664217.0
2022-03-01,,,,296.674,3743.0,3743.0,40650.326,512848.0,512848.0
2022-04-01,,,,124.808,1515.0,1515.0,61125.192,742036.0,742036.0
2022-05-01,,,,14.766,177.0,177.0,65106.234,780520.0,780520.0
2022-06-01,,,,195.976,2377.0,2377.0,60678.024,736027.0,736027.0
2022-07-01,,,,45.106,547.0,547.0,65141.894,789641.0,789641.0
2022-08-01,,,,19.058,231.0,231.0,64985.942,788095.0,788095.0
2022-09-01,,,,42.078,509.0,509.0,59565.922,720084.0,720084.0
2022-10-01,,,,129.17,1554.0,1554.0,62457.83,751237.0,751237.0
2022-11-01,,,,177.817,2164.0,2164.0,57949.183,705116.0,705116.0
2022-12-01,,,,0.0,0.0,0.0,64944.0,783442.0,783442.0
2023-01-01,,,,10.145,122.0,122.0,65350.855,786176.0,786176.0
2023-02-01,,,,16.346,199.0,199.0,56342.654,686288.0,686288.0
2023-03-01,,,,42.559,523.0,523.0,53138.441,652652.0,652652.0
2023-04-01,,,,529.695,6647.0,6647.0,41016.305,514726.0,514726.0
2023-05-01,,,,0.0,0.0,0.0,56137.0,696861.0,696861.0
2023-06-01,,,,0.0,0.0,0.0,55022.0,682152.0,682152.0
2023-07-01,,,,276.337,3457.0,3457.0,54454.663,681248.0,681248.0
2023-08-01,,,,155.167,1922.0,1922.0,54140.833,670447.0,670447.0
2023-09-01,,,,2.037,25.0,25.0,59079.963,724098.0,724098.0
2023-10-01,,,,34.85,429.0,429.0,58022.15,714370.0,714370.0
2023-11-01,,,,6.861,85.0,85.0,57109.139,703656.0,703656.0
2023-12-01,,,,251.306,3150.0,3150.0,52232.694,654732.0,654732.0
2024-01-01,,,,103.079,1280.0,1280.0,59347.921,737195.0,737195.0
2024-02-01,,,,490.213,6257.0,6257.0,40907.787,522123.0,522123.0
2024-03-01,,,,418.052,5332.0,5332.0,43393.948,553432.0,553432.0
2024-04-01,,,,237.588,3183.0,3183.0,20093.412,269228.0,269228.0
2024-05-01,,,,204.202,2592.0,2592.0,42387.798,537958.0,537958.0
2024-06-01,,,,162.818,2044.0,2044.0,50894.182,638857.0,638857.0
2024-07-01,,,,451.292,5765.0,5765.0,48241.708,616271.0,616271.0
2024-08-01,,,,175.494,2204.0,2204.0,56276.506,706897.0,706897.0
2024-09-01,,,,172.136,2170.0,2170.0,51361.864,647574.0,647574.0
2024-10-01,,,,13.853,176.0,176.0,52865.147,671659.0,671659.0
2024-11-01,,,,12.811,162.0,162.0,52637.189,664373.0,664373.0
2024-12-01,,,,0.088,1.0,1.0,60621.912,753637.0,753637.0
