measured_on,Bituminous Coal Generation,Bituminous Coal Quantity Consumed For Electricity,Bituminous Coal Total Fuel Consumed,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Subbituminous Coal Generation,Subbituminous Coal Quantity Consumed For Electricity,Subbituminous Coal Total Fuel Consumed
2010-08-01,42700.266,461496.0,461496.0,,,,4547.548,49149.0,49149.0,125270.186,1353896.0,1353896.0
2010-09-01,35392.666,368786.0,368786.0,,,,1173.424,12227.0,12227.0,129218.91,1346441.0,1346441.0
2010-10-01,33205.776,348363.0,348363.0,,,,1072.143,11248.0,11248.0,125835.081,1320139.0,1320139.0
2010-11-01,30644.219,309504.0,309504.0,,,,1021.0840000000001,10313.0,10313.0,116713.697,1178798.0,1178798.0
2010-12-01,38351.998999999996,382911.0,382911.0,,,,1218.075,12161.0,12161.0,132874.926,1326641.0,1326641.0
2011-01-01,40195.838,407921.0,407921.0,,,,1304.815,13242.0,13242.0,145055.35,1472072.0,1472072.0
2011-02-01,33339.515,348292.0,348292.0,,,,1039.371,10858.0,10858.0,118900.11,1242128.0,1242128.0
2011-03-01,21529.096,234724.0,234724.0,,,,1234.341,13458.0,13458.0,81300.563,886390.0,886390.0
2011-04-01,32515.466,333940.0,333940.0,,,,1651.911,16965.0,16965.0,123240.62,1265704.0,1265704.0
2011-05-01,24684.478,252970.0,252970.0,,,,1241.001,12718.0,12718.0,126838.52,1299857.0,1299857.0
2011-06-01,25229.182,266059.0,266059.0,,,,1101.993,11621.0,11621.0,120715.83,1273032.0,1273032.0
2011-07-01,38844.291,402136.0,402136.0,,,,1613.773,16707.0,16707.0,132291.94,1369555.0,1369555.0
2011-08-01,29962.301,338053.0,338053.0,,,,1564.428,17651.0,17651.0,102489.27,1156347.0,1156347.0
2011-09-01,17415.031,182065.0,182065.0,,,,738.986,7726.0,7726.0,70459.983,736621.0,736621.0
2011-10-01,11638.586,125288.0,125288.0,,,,635.57,6842.0,6842.0,53238.844,573109.0,573109.0
2011-11-01,1051.15,12029.0,12029.0,,,,864.416,9892.0,9892.0,38603.434,441779.0,441779.0
2011-12-01,1859.643,19680.0,19680.0,,,,1676.213,17739.0,17739.0,95418.144,1009780.0,1009780.0
2012-01-01,0.0,0.0,0.0,,,,1752.037,16989.0,16989.0,108246.96,1049637.0,1049637.0
2012-02-01,30.29,295.0,295.0,,,,1400.404,13648.0,13648.0,129248.31,1259608.0,1259608.0
2012-03-01,908.416,8339.0,8339.0,,,,1735.058,15928.0,15928.0,100283.53,920619.0,920619.0
2012-04-01,723.272,7232.0,7232.0,,,,1207.5,12074.0,12074.0,118812.23,1188070.0,1188070.0
2012-05-01,2352.627,22583.0,22583.0,,,,2812.379,26996.0,26996.0,141086.99,1354290.0,1354290.0
2012-06-01,19965.531,205312.0,205312.0,,,,1365.585,14043.0,14043.0,114653.88,1179021.0,1179021.0
2012-07-01,39990.679,407720.0,407720.0,,,,2083.149,21239.0,21239.0,117712.17,1200121.0,1200121.0
2012-08-01,17050.888,171954.0,171954.0,,,,1243.15,12537.0,12537.0,136339.96,1374955.0,1374955.0
2012-09-01,624.204,6863.0,6863.0,,,,1073.199,11800.0,11800.0,68758.597,756032.0,756032.0
2012-10-01,0.0,0.0,0.0,,,,1458.937,16215.0,16215.0,123744.06,1375285.0,1375285.0
2012-11-01,9126.367,96407.0,96407.0,,,,1907.107,20146.0,20146.0,136103.53,1437745.0,1437745.0
2012-12-01,8350.11,90700.0,90700.0,,,,1158.416,12583.0,12583.0,151016.47,1640364.0,1640364.0
2013-01-01,13925.33,151684.0,151684.0,,,,1561.364,17007.0,17007.0,131660.31,1434128.0,1434128.0
2013-02-01,11538.864,127895.0,127895.0,,,,1820.173,20175.0,20175.0,110041.96,1219692.0,1219692.0
2013-03-01,12895.886,140835.0,140835.0,,,,1358.358,14835.0,14835.0,160997.76,1758244.0,1758244.0
2013-04-01,14344.014,154685.0,154685.0,,,,1660.489,17907.0,17907.0,156675.5,1689577.0,1689577.0
2013-05-01,15771.395,166714.0,166714.0,,,,1424.077,15053.0,15053.0,152939.53,1616673.0,1616673.0
2013-06-01,14148.899,157784.0,157784.0,,,,1294.929,14441.0,14441.0,134540.17,1500353.0,1500353.0
2013-07-01,31020.925,337315.0,337315.0,,,,1072.035,11657.0,11657.0,137238.04,1492298.0,1492298.0
2013-08-01,28419.421,306688.0,306688.0,,,,1147.8,12386.0,12386.0,146230.78,1578050.0,1578050.0
2013-09-01,20889.345,231830.0,231830.0,,,,1017.652,11294.0,11294.0,111885.0,1241702.0,1241702.0
2013-10-01,17528.022,191855.0,191855.0,,,,1025.838,11228.0,11228.0,76848.14,841152.0,841152.0
2013-11-01,15193.52,160416.0,160416.0,,,,2914.499,30772.0,30772.0,146176.98,1543365.0,1543365.0
2013-12-01,0.0,0.0,0.0,,,,1448.196,16250.0,16250.0,122204.8,1371273.0,1371273.0
2014-01-01,4337.248,48757.0,48757.0,,,,1958.899,22021.0,22021.0,156149.85,1755369.0,1755369.0
2014-02-01,27336.57,304668.0,304668.0,,,,3142.871,35028.0,35028.0,105909.56,1180369.0,1180369.0
2014-03-01,23510.025,262453.0,262453.0,,,,1497.553,16718.0,16718.0,141726.42,1582157.0,1582157.0
2014-04-01,10576.461,115555.0,115555.0,,,,1374.803,15021.0,15021.0,142049.74,1551995.0,1551995.0
2014-05-01,20766.377,228802.0,228802.0,,,,2046.206,22545.0,22545.0,137849.42,1518810.0,1518810.0
2014-06-01,44936.79,493756.0,493756.0,,,,1361.821,14963.0,14963.0,139691.39,1534901.0,1534901.0
2014-07-01,38458.351,424132.0,424132.0,,,,919.076,10136.0,10136.0,109847.57,1211436.0,1211436.0
2014-08-01,49146.926,525266.0,525266.0,,,,946.458,10115.0,10115.0,147294.62,1574235.0,1574235.0
2014-09-01,22398.355,241226.0,241226.0,,,,1507.173,16232.0,16232.0,139529.47,1502703.0,1502703.0
2014-10-01,15429.501,164838.0,164838.0,,,,3305.822,35317.0,35317.0,119318.68,1274715.0,1274715.0
2014-11-01,40364.11,430187.0,430187.0,,,,6616.047,70512.0,70512.0,104279.84,1111378.0,1111378.0
2014-12-01,28799.599,309019.0,309019.0,,,,1973.669,21177.0,21177.0,92322.732,990619.0,990619.0
2015-01-01,29357.501,300492.0,300492.0,,,,1246.051,12754.0,12754.0,151582.45,1551539.0,1551539.0
2015-02-01,32531.05,336444.0,336444.0,,,,2132.467,22055.0,22055.0,98013.483,1013680.0,1013680.0
2015-03-01,41806.38,442236.0,442236.0,,,,5424.007,57376.0,57376.0,132434.61,1400919.0,1400919.0
2015-04-01,31584.138,329958.0,329958.0,,,,2840.609,29676.0,29676.0,132872.25,1388111.0,1388111.0
2015-05-01,30127.256,323910.0,323910.0,,,,1060.744,11404.0,11404.0,102067.0,1097361.0,1097361.0
2015-06-01,34562.501,349805.0,349805.0,,,,1878.732,19015.0,19015.0,102357.77,1035956.0,1035956.0
2015-07-01,45184.884,470585.0,470585.0,,,,1928.856,20088.0,20088.0,134388.26,1399606.0,1399606.0
2015-08-01,46971.012,480812.0,480812.0,,,,1148.587,11757.0,11757.0,139623.4,1429234.0,1429234.0
2015-09-01,40540.324,417920.0,417920.0,,,,1450.955,14958.0,14958.0,127723.72,1316670.0,1316670.0
2015-10-01,28825.82,302751.0,302751.0,,,,1293.811,13589.0,13589.0,84703.369,889621.0,889621.0
2015-11-01,29029.475,301877.0,301877.0,,,,1018.488,10591.0,10591.0,90947.037,945756.0,945756.0
2015-12-01,0.0,0.0,0.0,,,,3208.792,34725.0,34725.0,113333.21,1226488.0,1226488.0
2016-01-01,0.0,0.0,0.0,,,,3934.567,43005.0,43005.0,157195.43,1718143.0,1718143.0
2016-02-01,1339.522,14502.0,14502.0,,,,2549.871,27606.0,27606.0,154109.61,1668466.0,1668466.0
2016-03-01,9900.539,105889.0,105889.0,,,,6196.865,66277.0,66277.0,149691.6,1600990.0,1600990.0
2016-04-01,0.0,0.0,0.0,,,,3967.676,43917.0,43917.0,67108.324,742808.0,742808.0
