measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Municipal Solid Waste-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Municipal Solid Waste-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Municipal Solid Waste-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2005-12-01,0.0,0.0,0.0,22.63561,208.06,806.2,7971.094195,73269.275,283902.09500000003
2006-01-01,0.0,0.0,0.0,100.46595,923.47,3875.0,,,
2006-02-01,0.0,0.0,0.0,80.78237,742.54,3630.8,,,
2006-03-01,0.0,0.0,0.0,88.66047999999999,814.96,3874.4,,,
2006-04-01,0.0,0.0,0.0,44.67841,410.68,1867.6,,,
2006-05-01,0.0,0.0,0.0,12.97284,119.24,522.0,,,
2006-06-01,0.0,0.0,0.0,21.477159999999998,197.42,835.2,,,
2006-07-01,0.0,0.0,0.0,46.37668,426.29,1982.4,,,
2006-08-01,0.0,0.0,0.0,56.65689,520.78,2301.0,,,
2006-09-01,0.0,0.0,0.0,228.74497,2102.59,18791.5,,,
2006-10-01,0.0,0.0,0.0,74.15198,681.6,3575.4,,,
2006-11-01,0.0,0.0,0.0,58.911939999999994,541.51,2566.5,,,
2006-12-01,0.0,0.0,0.0,34.913289999999996,320.92,1496.4,,,
2007-01-01,0.0,0.0,0.0,241.495,2218.0,7381.0,,,
2007-02-01,0.0,0.0,0.0,120.233,1108.0,4309.0,,,
2007-03-01,0.0,0.0,0.0,159.477,1467.0,5063.0,,,
2007-04-01,0.0,0.0,0.0,193.417,1781.0,5858.0,,,
2007-05-01,0.0,0.0,0.0,97.486,893.0,3028.0,,,
2007-06-01,0.0,0.0,0.0,144.84300000000002,1334.0,3799.0,,,
2007-07-01,0.0,0.0,0.0,139.576,1285.0,3054.0,,,
2007-08-01,0.0,0.0,0.0,128.325,1180.0,3218.0,,,
2007-09-01,0.0,0.0,0.0,150.762,1384.0,2902.0,,,
2007-10-01,0.0,0.0,0.0,140.81900000000002,1296.0,3113.0,,,
2007-11-01,0.0,0.0,0.0,145.58100000000002,1337.0,3446.0,,,
2007-12-01,0.0,0.0,0.0,205.67,1892.0,4584.0,,,
2008-01-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2008-02-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2008-03-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2008-04-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2008-05-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2008-06-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2008-07-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2008-08-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2008-09-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2008-10-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2008-11-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2008-12-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2009-01-01,,,,82.4,1026.0,2931.0,,,
2009-02-01,,,,84.962,1075.0,2931.0,,,
2009-03-01,,,,145.351,1797.0,4709.0,,,
2009-04-01,,,,45.224000000000004,536.0,1451.0,,,
2009-05-01,,,,60.194,722.0,1866.0,,,
2009-06-01,,,,102.95,1196.0,2867.0,,,
2009-07-01,,,,77.665,913.0,2299.0,,,
2009-08-01,,,,56.671,758.0,2276.0,,,
2009-09-01,,,,130.50400000000002,1750.0,5095.0,,,
2009-10-01,,,,129.705,1685.0,4376.0,,,
2009-11-01,,,,76.53200000000001,1107.0,2902.0,,,
2009-12-01,,,,72.269,977.0,3083.0,,,
2010-01-01,,,,107.42500000000001,1455.0,3773.0,,,
2010-02-01,,,,92.119,1282.0,4077.0,,,
2010-03-01,,,,51.008,702.0,2334.0,,,
2010-04-01,,,,56.981,720.0,2065.0,,,
2010-05-01,,,,82.536,969.0,2761.0,,,
2010-06-01,,,,78.89500000000001,883.0,2322.0,,,
2010-07-01,,,,55.439,622.0,1591.0,,,
2010-08-01,,,,47.016000000000005,522.0,1246.0,,,
2010-09-01,,,,44.986000000000004,468.0,1088.0,,,
2010-10-01,,,,122.733,1365.0,3305.0,,,
2010-11-01,,,,110.37100000000001,1865.0,2931.0,,,
2010-12-01,,,,188.699,2600.0,6201.0,,,
2011-01-01,,,,102.027,1213.0,3065.0,,,
2011-02-01,,,,72.612,828.0,2112.0,,,
2011-03-01,,,,241.596,2721.0,6938.0,,,
2011-04-01,,,,138.709,1498.0,3405.0,,,
2011-05-01,,,,142.9,1562.0,3317.0,,,
2011-06-01,,,,105.418,1210.0,2779.0,,,
2011-07-01,,,,184.726,2097.0,4891.0,,,
2011-08-01,,,,101.776,1159.0,2779.0,,,
2011-09-01,,,,59.405,651.0,1568.0,,,
2011-10-01,,,,67.79,761.0,1761.0,,,
2011-11-01,,,,65.522,747.0,2112.0,,,
2011-12-01,,,,70.694,804.0,2036.0,,,
2012-01-01,,,,98.945,1164.0,2902.0,,,
2012-02-01,,,,40.077,445.0,1059.0,,,
2012-03-01,,,,88.226,939.0,2358.0,,,
2012-04-01,,,,95.532,1011.0,2387.0,,,
2012-05-01,,,,92.55,1019.0,2732.0,,,
2012-06-01,,,,59.593,619.0,1521.0,,,
2012-07-01,,,,77.809,843.0,2194.0,,,
2012-08-01,,,,35.538,378.0,1024.0,,,
2012-09-01,,,,88.366,917.0,2252.0,,,
2012-10-01,,,,56.502,637.0,1492.0,,,
2012-11-01,,,,29.578,327.0,819.0,,,
2012-12-01,,,,18.651,208.0,491.0,,,
2013-01-01,,,,50.489,573.0,1427.0,,,
2013-02-01,,,,25.396,266.0,708.0,,,
2013-03-01,,,,28.731,300.0,708.0,,,
2013-04-01,,,,34.188,355.0,813.0,,,
2013-05-01,,,,24.707,261.0,644.0,,,
2013-06-01,,,,30.762,317.0,761.0,,,
2013-07-01,,,,25.236,263.0,626.0,,,
2013-08-01,,,,37.66,390.0,948.0,,,
2013-09-01,,,,57.741,600.0,1316.0,,,
2013-10-01,,,,37.887,399.0,901.0,,,
2013-11-01,,,,25.711,280.0,597.0,,,
2013-12-01,,,,20.054,222.0,509.0,,,
2014-01-01,,,,55.251,623.0,1521.0,,,
2014-02-01,,,,32.345,365.0,895.0,,,
2014-03-01,,,,54.463,607.0,1416.0,,,
2014-04-01,,,,63.915,664.0,1492.0,,,
2014-05-01,,,,31.283,288.0,638.0,,,
2014-06-01,,,,65.343,676.0,1357.0,,,
2014-07-01,,,,51.726,544.0,1252.0,,,
2014-08-01,,,,61.408,637.0,1433.0,,,
2014-09-01,,,,92.674,966.0,2340.0,,,
2014-10-01,,,,47.042,479.0,1065.0,,,
2014-11-01,,,,60.901,639.0,1468.0,,,
2014-12-01,,,,41.588,446.0,1135.0,,,
2015-01-01,,,,64.813,723.0,1761.0,,,
2015-02-01,,,,85.734,949.0,2527.0,,,
2015-03-01,,,,78.389,818.0,1983.0,,,
2015-04-01,,,,57.605,595.0,1451.0,,,
2015-05-01,,,,44.714,463.0,1100.0,,,
2015-06-01,,,,59.192,618.0,1363.0,,,
2015-07-01,,,,39.248,415.0,913.0,,,
2015-08-01,,,,44.74,460.0,948.0,,,
2015-09-01,,,,65.734,685.0,1404.0,,,
2015-10-01,,,,83.09,854.0,1825.0,,,
2015-11-01,,,,47.78,496.0,1076.0,,,
2015-12-01,,,,25.611,278.0,620.0,,,
2016-01-01,,,,59.446,1185.0,1702.0,,,
2016-02-01,,,,42.392,867.0,1246.0,,,
2016-03-01,,,,49.235,938.0,1176.0,,,
2016-04-01,,,,51.052,969.0,1211.0,,,
2016-05-01,,,,30.852,582.0,708.0,,,
2016-06-01,,,,47.278,889.0,1135.0,,,
2016-07-01,,,,34.704,660.0,837.0,,,
2016-08-01,,,,40.303,766.0,959.0,,,
2016-09-01,,,,113.514,2259.0,3188.0,,,
2016-10-01,,,,209.168,4068.0,5967.0,,,
2016-11-01,,,,60.189,1145.0,1544.0,,,
2016-12-01,,,,70.635,1379.0,1866.0,,,
2017-01-01,,,,2210.827,43409.0,71124.0,,,
2017-02-01,,,,1550.189,29959.0,43863.0,,,
2017-03-01,,,,1588.943,30488.0,43875.0,,,
2017-04-01,,,,673.897,12808.0,18925.0,,,
2017-05-01,,,,2958.261,56375.0,89037.0,,,
2017-06-01,,,,2546.074,48034.0,72224.0,,,
2017-07-01,,,,2945.331,55854.0,80742.0,,,
2017-08-01,,,,3889.828,75882.0,120855.0,,,
2017-09-01,,,,2429.714,46471.0,66503.0,,,
2017-10-01,,,,2636.325,49834.0,66503.0,,,
2017-11-01,,,,2482.58,48090.0,70335.0,,,
2017-12-01,,,,2336.375,44446.0,66509.0,,,
2018-01-01,,,,7556.338,145905.0,386656.0,,,
2018-02-01,,,,1637.208,34147.0,57289.0,,,
2018-03-01,,,,645.155,13139.0,20902.0,,,
2018-04-01,,,,2465.141,47245.0,70686.0,,,
2018-05-01,,,,4064.166,77036.0,117690.0,,,
2018-06-01,,,,4221.738,80502.0,125681.0,,,
2018-07-01,,,,7220.179,121250.0,238598.0,,,
2018-08-01,,,,5397.788,105000.0,187522.0,,,
2018-09-01,,,,3584.252,71402.0,110226.0,,,
2018-10-01,,,,2881.362,57167.0,84807.0,,,
2018-11-01,,,,3767.995,74974.0,130397.0,,,
2018-12-01,,,,3396.416,69676.0,147865.0,,,
2019-01-01,,,,2717.555,54966.0,99315.0,,,
2019-02-01,,,,829.455,17198.0,26343.0,,,
2019-03-01,,,,2115.423,42891.0,71569.0,,,
2019-04-01,,,,2379.713,47224.0,74652.0,,,
2019-05-01,,,,3124.949,60422.0,91237.0,,,
2019-06-01,,,,3103.893,61046.0,105119.0,,,
2019-07-01,,,,4635.431,96989.0,202270.0,,,
2019-08-01,,,,3135.669,64299.0,111443.0,,,
2019-09-01,,,,5791.938,115086.0,242436.0,,,
2019-10-01,,,,4197.0,83571.0,136872.0,,,
2019-11-01,,,,3978.519,82988.0,169679.0,,,
2019-12-01,,,,3419.941,69722.0,131607.0,,,
2020-01-01,,,,2982.742,61546.0,114800.0,,,
2020-02-01,,,,1647.469,34080.0,59144.0,,,
2020-03-01,,,,3348.166,68012.0,128355.0,,,
2020-04-01,,,,1815.907,37235.0,66321.0,,,
2020-05-01,,,,4850.482,95083.0,189177.0,,,
2020-06-01,,,,4147.908,83718.0,154411.0,,,
2020-07-01,,,,4759.505,96108.0,174816.0,,,
2020-08-01,,,,4372.058,90296.0,181982.0,,,
2020-09-01,,,,4950.176,98752.0,195098.0,,,
2020-10-01,,,,2846.701,55733.0,91196.0,,,
2020-11-01,,,,4391.375,89223.0,178963.0,,,
2020-12-01,,,,3364.378,69999.0,132742.0,,,
2021-01-01,,,,4156.479,86696.0,187516.0,,,
2021-02-01,,,,2294.458,52096.0,119200.0,,,
2021-03-01,,,,4860.805,100848.0,234819.0,,,
2021-04-01,,,,5208.129,105517.0,225447.0,,,
2021-05-01,,,,4367.15,91725.0,181005.0,,,
2021-06-01,,,,4309.507,89218.0,163718.0,,,
2021-07-01,,,,4793.402,102309.0,208242.0,,,
2021-08-01,,,,4310.675,90060.0,178618.0,,,
2021-09-01,,,,2957.502,67205.0,128255.0,,,
2021-10-01,,,,4483.411,105540.0,215590.0,,,
2021-11-01,,,,3206.429,64412.0,112852.0,,,
2021-12-01,,,,3329.289,74123.0,148754.0,,,
2022-01-01,,,,4493.662,111536.0,396975.0,,,
2022-02-01,,,,2326.584,55643.0,135422.0,,,
2022-03-01,,,,2214.4,48885.0,108202.0,,,
2022-04-01,,,,3319.496,66141.0,122733.0,,,
2022-05-01,,,,3574.955,79318.0,205265.0,,,
2022-06-01,,,,3210.054,68137.0,143091.0,,,
2022-07-01,,,,3556.871,88706.0,275611.0,,,
2022-08-01,,,,3580.513,75649.0,204885.0,,,
2022-09-01,,,,1348.074,30242.0,56499.0,,,
2022-10-01,,,,1943.729,42229.0,79934.0,,,
2022-11-01,,,,1561.948,35833.0,68106.0,,,
2022-12-01,,,,3781.286,108899.0,686509.0,,,
2023-01-01,,,,1751.555,59891.0,297092.0,,,
2023-02-01,,,,934.642,21456.0,58465.0,,,
2023-03-01,,,,1035.598,27850.0,99409.0,,,
2023-04-01,,,,330.95,8820.0,16169.0,,,
2023-05-01,,,,799.306,23331.0,46876.0,,,
2023-06-01,,,,938.113,28779.0,68895.0,,,
2023-07-01,,,,884.667,27449.0,72429.0,,,
2023-08-01,,,,1330.559,37975.0,97455.0,,,
2023-09-01,,,,1381.269,41074.0,122751.0,,,
2023-10-01,,,,1315.515,37798.0,99117.0,,,
2023-11-01,,,,1476.086,48600.0,204902.0,,,
2023-12-01,,,,1740.478,61740.0,428325.0,,,
2024-01-01,,,,1148.874,49128.0,340763.0,,,
2024-02-01,,,,743.0,34964.0,203995.0,,,
2024-03-01,,,,1162.391,45678.0,346285.0,,,
2024-04-01,,,,1546.268,52967.0,231145.0,,,
2024-05-01,,,,1708.406,59775.0,360003.0,,,
2024-06-01,,,,2988.124,84936.0,434637.0,,,
2024-07-01,,,,7.71,340.0,450.0,,,
2024-08-01,,,,0.0,0.0,0.0,,,
