measured_on,Bituminous Coal Generation,Bituminous Coal Quantity Consumed For Electricity,Bituminous Coal Total Fuel Consumed,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Other Biomass Solids Generation,Other Biomass Solids Quantity Consumed For Electricity,Other Biomass Solids Total Fuel Consumed,Other Generation,Other Quantity Consumed For Electricity,Other Total Fuel Consumed,Subbituminous Coal Generation,Subbituminous Coal Quantity Consumed For Electricity,Subbituminous Coal Total Fuel Consumed,Tire-Derived Fuels Generation,Tire-Derived Fuels Quantity Consumed For Electricity,Tire-Derived Fuels Total Fuel Consumed,Waste Coal Generation,Waste Coal Quantity Consumed For Electricity,Waste Coal Total Fuel Consumed,Waste/Other Oil Generation,Waste/Other Oil Quantity Consumed For Electricity,Waste/Other Oil Total Fuel Consumed
2002-01-01,,,,3.0,31.0,34.0,,,,,,,123989.0,1244146.0,1266361.0,389.0,3898.0,3968.0,108.0,1080.0,1098.0,402.0,4038.0,4111.0
2002-02-01,,,,188.0,1904.0,1962.0,,,,,,,106795.0,1083756.0,1116326.0,1281.0,13001.0,13392.0,505.0,5121.0,5275.0,0.0,0.0,0.0
2002-03-01,,,,181.0,1802.0,1848.0,,,,,,,120453.0,1196762.0,1227246.0,560.0,5563.0,5704.0,0.0,0.0,0.0,1175.0,11673.0,11971.0
2002-04-01,,,,139.0,1401.0,1423.0,,,,,,,120655.0,1212816.0,1232197.0,1572.0,15806.0,16058.0,681.0,6847.0,6957.0,1454.0,14616.0,14850.0
2002-05-01,,,,81.0,834.0,856.0,,,,,,,130315.0,1344521.0,1380981.0,796.0,8210.0,8432.0,147.0,1521.0,1562.0,1191.0,12285.0,12619.0
2002-06-01,,,,101.0,1003.0,1032.0,,,,,,,123504.0,1225526.0,1260666.0,750.0,7443.0,7657.0,299.0,2966.0,3051.0,1261.0,12512.0,12871.0
2002-07-01,,,,3.0,33.0,34.0,,,,,,,130886.0,1298941.0,1332382.0,1800.0,17861.0,18321.0,0.0,0.0,0.0,1105.0,10967.0,11249.0
2002-08-01,,,,264.0,2612.0,2676.0,,,,,,,123814.0,1223426.0,1253325.0,1207.0,11923.0,12214.0,0.0,0.0,0.0,606.0,5989.0,6135.0
2002-09-01,,,,77.0,759.0,777.0,,,,,,,124112.0,1226549.0,1253837.0,1068.0,10553.0,10788.0,0.0,0.0,0.0,528.0,5214.0,5330.0
2002-10-01,,,,246.0,2537.0,2569.0,,,,,,,99805.0,1028956.0,1041422.0,859.0,8852.0,8959.0,0.0,0.0,0.0,0.0,0.0,0.0
2002-11-01,,,,1.0,10.0,11.0,,,,,,,126909.0,1236353.0,1260814.0,592.0,5838.0,5952.0,0.0,0.0,0.0,1515.0,14947.0,15239.0
2002-12-01,,,,243.0,2391.0,2438.0,,,,,,,122946.0,1210640.0,1234816.0,750.0,7386.0,7533.0,0.0,0.0,0.0,1116.0,10985.0,11204.0
2003-01-01,,,,1.0,11.0,11.0,,,,427.0,4151.0,4247.0,128841.0,1252603.0,1281579.0,1686.0,16392.0,16771.0,,,,1154.0,11222.0,11482.0
2003-02-01,,,,2.0,17.0,17.0,,,,0.0,0.0,0.0,115337.0,1131894.0,1158860.0,1259.0,12354.0,12648.0,,,,1196.0,11740.0,12020.0
2003-03-01,,,,2.0,23.0,23.0,,,,0.0,0.0,0.0,132045.0,1293997.0,1323828.0,526.0,5151.0,5270.0,,,,1124.0,11018.0,11272.0
2003-04-01,,,,2.0,17.0,17.0,,,,547.0,5402.0,5492.0,125694.0,1242177.0,1262788.0,555.0,5489.0,5580.0,,,,954.0,9432.0,9588.0
2003-05-01,,,,2.0,17.0,17.0,,,,0.0,0.0,0.0,131452.0,1300130.0,1321009.0,1644.0,16262.0,16523.0,,,,939.0,9286.0,9435.0
2003-06-01,,,,0.0,0.0,0.0,,,,108.0,1072.0,1098.0,126245.0,1258882.0,1289617.0,2713.0,27054.0,27714.0,,,,554.0,5524.0,5659.0
2003-07-01,,,,3.0,28.0,28.0,,,,338.0,3347.0,3417.0,132804.0,1315281.0,1342582.0,224.0,2217.0,2263.0,,,,558.0,5527.0,5642.0
2003-08-01,,,,13.0,134.0,136.0,,,,108.0,1076.0,1098.0,130073.0,1291729.0,1318291.0,3019.0,29981.0,30597.0,,,,813.0,8078.0,8244.0
2003-09-01,,,,190.0,1885.0,1922.0,,,,236.0,2346.0,2392.0,115844.0,1151083.0,1173805.0,2741.0,27239.0,27776.0,,,,692.0,6872.0,7008.0
2003-10-01,,,,1.0,11.0,11.0,,,,251.0,2499.0,2563.0,130615.0,1301973.0,1335161.0,2717.0,27086.0,27776.0,,,,428.0,4268.0,4377.0
2003-11-01,,,,1.0,6.0,6.0,,,,41.0,404.0,415.0,126379.0,1248930.0,1285191.0,1369.0,13527.0,13919.0,,,,437.0,4315.0,4440.0
2003-12-01,,,,1.0,11.0,11.0,,,,106.0,1063.0,1098.0,132236.0,1321985.0,1364990.0,1063.0,10628.0,10974.0,,,,0.0,0.0,0.0
2004-01-01,,,,2106.24374,20276.31,22884.12,,,,,,,120051.80216,1155710.22,1304350.39,1132.73055,10904.53,12307.0,0.0,0.0,0.0,1458.08846,14036.67,15841.98
2004-02-01,,,,0.52956,5.1,5.67,,,,,,,116534.57872,1121849.87,1247729.76,1392.6470000000002,13406.67,14911.0,0.0,0.0,0.0,1986.38945,19122.49,21268.17
2004-03-01,,,,2.67122,25.72,28.35,,,,,,,118358.8914,1139411.97,1256160.15,1997.89966,19233.29,21204.0,103.49900000000001,996.36,1098.45,1493.20951,14374.76,15847.65
2004-04-01,,,,315.2557,3034.88,3458.7,,,,,,,99261.18699,955560.78,1089003.84,1424.10589,13709.48,15624.0,0.0,0.0,0.0,1176.26553,11323.59,12904.92
2004-05-01,,,,0.0,0.0,0.0,,,,,,,126726.39678,1219963.23,1467944.17,1024.98619,9867.28,11873.0,0.0,0.0,0.0,852.68526,8208.59,9877.14
2004-06-01,,,,1.6291099999999998,15.68,17.01,,,,,,,119280.20315,1148281.4,1245439.93,2443.47058,23522.69,25513.0,0.0,0.0,0.0,1896.82484,18260.27,19805.31
2004-07-01,,,,338.19566,3255.72,3623.13,,,,,,,122843.0053,1182577.99,1316031.6,2997.82008,28859.24,32116.0,453.42449,4365.0,4857.59,1666.1032,16039.15,17849.16
2004-08-01,,,,42.83979,412.41,419.58,,,,,,,132508.28863,1275626.13,1297808.08,3639.92224,35040.68,35650.0,194.39941,1871.44,1903.98,2239.8264,21562.28,21937.23
2004-09-01,,,,0.0,0.0,0.0,,,,,,,131509.69863,1266016.12,1275857.1,2108.92618,20302.19,20460.0,113.22336,1089.98,1098.45,1980.66203,19067.42,19215.63
2004-10-01,,,,0.58032,5.59,5.67,,,,,,,136384.95389,1312949.76,1332547.38,1995.70406,19212.23,19499.0,0.0,0.0,0.0,851.90843,8201.15,8323.56
2004-11-01,,,,2.27932,21.94,22.68,,,,,,,132618.52793,1276688.32,1319596.56,775.75408,7468.01,7719.0,252.67835,2432.48,2514.23,1180.12004,11360.75,11742.57
2004-12-01,,,,0.57887,5.57,5.67,,,,,,,134622.45427,1295980.24,1318620.96,1610.93125,15508.07,15779.0,299.05189,2878.91,2929.2,1609.25691,15491.96,15762.6
2005-01-01,,,,217.19672,2090.93,2131.92,,,,,,,129687.7871,1248491.54,1272965.76,1288.55872,12404.83,12648.0,348.15944,3351.7,3417.4,1508.82402,14525.3,14810.04
2005-02-01,,,,2.9697299999999998,28.35,28.35,,,,,,,116779.30421,1114814.44,1114814.44,3312.26567,31620.0,31620.0,0.0,0.0,0.0,1772.33239,16919.28,16919.28
2005-03-01,,,,16.883969999999998,158.76,158.76,,,,,,,134571.21711,1265373.55,1265373.55,1038.49803,9765.0,9765.0,0.0,0.0,0.0,1632.9209,15354.36,15354.36
2005-04-01,,,,2.395,22.68,22.68,,,,,,,130480.48509,1235616.58,1235616.58,2075.4524499999998,19654.0,19654.0,373.76413,3539.45,3539.45,2168.66934,20536.74,20536.74
2005-05-01,,,,4.81149,45.36,45.36,,,,,,,137325.88808,1294631.52,1294631.52,618.19542,5828.0,5828.0,0.0,0.0,0.0,2024.43301,19085.22,19085.22
2005-06-01,,,,4.191409999999999,39.69,39.69,,,,,,,133661.09397,1265685.05,1265685.05,0.0,0.0,0.0,116.00044,1098.45,1098.45,1919.66717,18178.02,18178.02
2005-07-01,,,,4.2068,39.69,39.69,,,,,,,136638.9209,1289151.54,1289151.54,1728.29506,16306.0,16306.0,543.32229,5126.1,5126.1,1451.34495,13693.05,13693.05
2005-08-01,,,,118.93585,1134.0,1134.0,,,,,,,133155.45235,1269577.53,1269577.53,2366.97025,22568.0,22568.0,0.0,0.0,0.0,1600.87654,15263.64,15263.64
2005-09-01,,,,264.84656,2511.81,2511.81,,,,,,,126742.39217,1202027.35,1202027.35,513.17902,4867.0,4867.0,442.69414,4198.52,4198.52,1323.0371,12547.71,12547.71
2005-10-01,,,,0.5851799999999999,5.63,5.67,,,,,,,136336.12689,1312494.45,1321004.09,2917.85242,28089.88,28272.0,0.0,0.0,0.0,1353.52251,13030.23,13114.71
2005-11-01,,,,2.3733299999999997,22.68,22.68,,,,,,,132702.81588,1268131.8,1268131.8,1518.18009,14508.0,14508.0,306.5242,2929.2,2929.2,1218.11349,11640.51,11640.51
2005-12-01,,,,1.2005000000000001,11.34,11.34,,,,,,,134757.11061,1272925.8,1272925.8,3554.17454,33573.0,33573.0,0.0,0.0,0.0,1199.89835,11334.33,11334.33
2006-01-01,,,,1.18065,11.34,11.34,,,,,,,95228.55194,914656.5,914656.5,1994.61612,19158.0,19158.0,0.0,0.0,0.0,515.94528,4955.58,4955.58
2006-02-01,,,,661.63256,6369.47,6378.75,,,,,,,97014.42154,933948.28,935308.78,1530.5585,14734.54,14756.0,0.0,0.0,0.0,1289.7424,12416.22,12434.31
2006-03-01,,,,82.18973,791.23,799.47,,,,,,,132265.32363,1273305.24,1286561.75,2332.85711,22458.19,22692.0,0.0,0.0,0.0,1396.05954,13439.73,13579.65
2006-04-01,,,,77.06017,741.85,754.11,,,,,,,129852.59896,1250078.18,1270736.18,161.5575,1555.3,1581.0,0.0,0.0,0.0,1494.85138,14390.79,14628.6
2006-05-01,,,,312.82095,2897.37,2897.37,,,,,,,123562.82397,1144447.72,1144447.72,2978.81524,27590.0,27590.0,472.96547,4380.64,4380.64,831.33238,7699.86,7699.86
2006-06-01,,,,18.99323,181.44,181.44,,,,,,,130506.09687,1246708.94,1246708.94,3030.91877,28954.0,28954.0,159.89525,1527.46,1527.46,686.72387,6560.19,6560.19
2006-07-01,,,,3.57694,34.02,34.02,,,,,,,137756.19978,1310187.52,1310187.52,1450.43877,13795.0,13795.0,0.0,0.0,0.0,563.3685,5358.15,5358.15
2006-08-01,,,,4.17026,39.69,39.69,,,,,,,136295.55678,1297179.15,1297179.15,1791.4559000000002,17050.0,17050.0,219.54003,2089.45,2089.45,1471.50503,14004.9,14004.9
2006-09-01,,,,3.5356699999999996,34.02,34.02,,,,,,,131710.9945,1267313.67,1267313.67,2622.5514000000003,25234.0,25234.0,149.76209,1441.0,1441.0,885.68634,8522.01,8522.01
2006-10-01,,,,268.65818,2586.35,2636.55,,,,,,,129771.46799,1249297.14,1273547.52,3263.06765,31413.23,32023.0,484.55378,4664.75,4755.3,948.1034000000001,9127.3,9304.47
2006-11-01,,,,51.34776,494.32,498.96,,,,,,,131538.16406,1266304.92,1278191.7,2864.7967399999998,27579.12,27838.0,0.0,0.0,0.0,442.87444,4263.51,4303.53
2006-12-01,,,,295.66684,2846.36,2857.68,,,,,,,131297.07389,1263983.99,1269012.88,2970.03589,28592.24,28706.0,89.45492,861.17,864.6,1135.14946,10927.97,10971.45
2007-01-01,138937.465,1337548.0,1337766.0,2.944,28.0,28.0,,,,,,,0.0,0.0,0.0,817.7760000000001,7874.0,7874.0,0.0,0.0,0.0,429.28900000000004,4133.0,4133.0
2007-02-01,123505.388,1150604.0,1150604.0,79.12,737.0,737.0,,,,,,,,,,1331.011,12400.0,12400.0,0.0,0.0,0.0,481.415,4485.0,4485.0
2007-03-01,137194.229,1309189.0,1309189.0,2.3770000000000002,23.0,23.0,,,,,,,0.0,0.0,0.0,1773.7320000000002,16926.0,16926.0,0.0,0.0,0.0,502.675,4797.0,4797.0
2007-04-01,132928.516,1264492.0,1264492.0,0.596,6.0,6.0,,,,,,,0.0,0.0,0.0,1740.2230000000002,16554.0,16554.0,181.78,1729.0,1729.0,627.048,5965.0,5965.0
2007-05-01,137485.069,1323551.0,1323769.0,1.1780000000000002,11.0,11.0,,,,,,,,,,1986.507,19127.0,19127.0,127.21100000000001,1225.0,1225.0,872.719,8403.0,8403.0
2007-06-01,135065.509,1274947.0,1274947.0,0.601,6.0,6.0,,,,,,,0.0,0.0,0.0,1159.281,10943.0,10943.0,0.0,0.0,0.0,157.375,1486.0,1486.0
2007-07-01,133162.821,1270949.0,1270949.0,187.726,1792.0,1792.0,,,,,,,0.0,0.0,0.0,376.76800000000003,3596.0,3596.0,209.86200000000002,2003.0,2003.0,436.642,4167.0,4167.0
2007-08-01,135051.997,1300134.0,1307966.0,276.916,2665.0,2682.0,,,,,,,0.0,0.0,0.0,1181.116,11377.0,11439.0,68.443,663.0,663.0,1031.558,9928.0,9991.0
2007-09-01,134461.239,1293012.0,1293012.0,5.307,51.0,51.0,,,,,,,0.0,0.0,0.0,1482.9080000000001,14260.0,14260.0,0.0,0.0,0.0,658.024,6328.0,6328.0
2007-10-01,85136.737,819603.0,855715.0,623.352,5999.0,6265.0,,,,,,,0.0,0.0,0.0,1714.843,16523.0,17236.0,51.612,490.0,519.0,0.0,0.0,0.0
2007-11-01,85602.677,824099.0,1306875.0,353.197,3402.0,5392.0,,,,,,,0.0,0.0,0.0,1332.045,12834.0,20336.0,245.40900000000002,2363.0,3747.0,310.115,2988.0,4734.0
2007-12-01,137599.298,1324661.0,1368236.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,1259.5,12121.0,12524.0,79.70400000000001,764.0,793.0,660.308,6356.0,6566.0
2008-01-01,133286.949,1283140.0,1331847.0,3.4050000000000002,33.0,34.0,,,,,,,0.0,0.0,0.0,1383.661,13320.0,13826.0,1026.779,9885.0,10260.0,575.379,5539.0,5749.0
2008-02-01,128563.343,1237667.0,1259202.0,1.737,17.0,17.0,,,,,,,0.0,0.0,0.0,743.792,7160.0,7285.0,5.885000000000001,57.0,58.0,614.794,5919.0,6022.0
2008-03-01,133650.783,1286643.0,1314631.0,228.845,2203.0,2251.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1048.9260000000002,10098.0,10318.0,717.662,6909.0,7059.0
2008-04-01,126231.009,1215213.0,1267321.0,105.045,1011.0,1055.0,,,,,,,0.0,0.0,0.0,1367.8700000000001,13168.0,13733.0,344.473,3316.0,3458.0,848.832,8172.0,8522.0
2008-05-01,129874.81,1250292.0,1293365.0,637.683,6139.0,6350.0,,,,,,,0.0,0.0,0.0,672.3870000000001,6473.0,6696.0,637.301,6135.0,6347.0,855.748,8238.0,8522.0
2008-06-01,133655.785,1286691.0,1310032.0,1.157,11.0,11.0,,,,,,,0.0,0.0,0.0,1119.6200000000001,10778.0,10974.0,298.851,2877.0,2929.0,869.457,8370.0,8522.0
2008-07-01,137211.239,1320919.0,1359478.0,1.145,11.0,11.0,,,,,,,0.0,0.0,0.0,1974.279,19006.0,19561.0,501.76500000000004,4830.0,4971.0,860.1210000000001,8280.0,8522.0
2008-08-01,136184.738,1311037.0,1355701.0,71.766,691.0,714.0,,,,,,,0.0,0.0,0.0,2830.676,27251.0,28179.0,260.55600000000004,2508.0,2594.0,856.065,8241.0,8522.0
2008-09-01,121113.179,1165945.0,1196026.0,357.702,3444.0,3532.0,,,,,,,0.0,0.0,0.0,2291.5820000000003,22061.0,22630.0,585.8240000000001,5640.0,5785.0,0.0,0.0,0.0
2008-10-01,128273.2,1203047.0,1203047.0,160.812,1508.0,1508.0,,,,,,,0.0,0.0,0.0,1123.813,10540.0,10540.0,124.929,1172.0,1172.0,0.0,0.0,0.0
2008-11-01,135296.722,1302488.0,1340049.0,1.717,17.0,17.0,,,,,,,0.0,0.0,0.0,1064.16,10245.0,10540.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-12-01,127808.988,1195835.0,1340962.0,301.012,2816.0,3158.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-01,106023.431,1080245.0,1128850.0,0.0,0.0,0.0,,,,1192.1660000000002,12147.0,12693.0,0.0,0.0,0.0,1071.458,10917.0,11408.0,,,,80.945,825.0,862.0
2009-02-01,84455.552,874291.0,1006033.0,21.42,222.0,255.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,634.991,6573.0,7564.0,,,,10844.037,112258.0,129174.0
2009-03-01,128773.029,1191999.0,1330669.0,1.097,10.0,11.0,,,,261.723,2423.0,2705.0,0.0,0.0,0.0,3389.963,31380.0,35030.0,,,,661.188,6120.0,6832.0
2009-04-01,120061.108,1111090.0,1215331.0,14.563,135.0,147.0,,,,337.601,3124.0,3417.0,0.0,0.0,0.0,2578.5860000000002,23863.0,26102.0,,,,1445.142,13374.0,14629.0
2009-05-01,107564.897,995247.0,1120931.0,27.205,252.0,284.0,,,,93.696,867.0,976.0,0.0,0.0,0.0,3016.4170000000004,27909.0,31434.0,,,,1650.785,15274.0,17203.0
2009-06-01,124339.6,1151148.0,1279761.0,3.3930000000000002,31.0,35.0,,,,118.533,1097.0,1220.0,0.0,0.0,0.0,3054.079,28275.0,31434.0,,,,1671.395,15474.0,17203.0
2009-07-01,121074.482,1120667.0,1251932.0,169.987,1573.0,1758.0,,,,391.875,3627.0,4052.0,0.0,0.0,0.0,3537.656,32745.0,36580.0,,,,0.0,0.0,0.0
2009-08-01,130935.307,1212233.0,1296266.0,1.145,11.0,11.0,,,,72.777,674.0,721.0,0.0,0.0,0.0,1052.116,9741.0,10416.0,,,,1678.655,15541.0,16619.0
2009-09-01,125355.703,1160606.0,1292427.0,2.2,20.0,23.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,3018.7940000000003,27950.0,31124.0,,,,1016.303,9409.0,10478.0
2009-10-01,133246.026,1233665.0,1299187.0,17.446,162.0,170.0,,,,375.528,3477.0,3662.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2009-11-01,127873.449,1184097.0,1316453.0,2.2030000000000003,20.0,23.0,,,,355.659,3293.0,3662.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,685.6890000000001,6349.0,7059.0
2009-12-01,130360.138,1206396.0,1362161.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,322.862,2988.0,3374.0
2010-01-01,133015.279,1230878.0,1394199.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,306.721,2838.0,3215.0
2010-02-01,112506.169,1149350.0,1172744.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,257.831,2634.0,2688.0
2010-03-01,119624.3,1218987.0,1255487.0,222.58100000000002,2268.0,2336.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1015.119,10344.0,10654.0
2010-04-01,116310.558,1182722.0,1209244.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,636.442,6472.0,6617.0
2010-05-01,110285.66,1122180.0,1172056.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,204.34,2079.0,2172.0
2010-06-01,129125.0,1302636.0,1357289.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2010-07-01,129467.964,1308397.0,1325484.0,0.0,0.0,0.0,,,,813.0360000000001,8217.0,8324.0,0.0,0.0,0.0,,,,,,,,,
2010-08-01,133842.0,1355950.0,1398312.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2010-09-01,124883.455,1262916.0,1323676.0,0.0,0.0,0.0,,,,4663.545,47161.0,49430.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2010-10-01,131651.5,1333510.0,1390088.0,1.591,16.0,17.0,,,,1689.909,17117.0,17843.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2010-11-01,123057.378,1248006.0,1304319.0,0.0,0.0,0.0,,,,583.6220000000001,5919.0,6186.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2010-12-01,132369.638,1343258.0,1399508.0,138.362,1404.0,1463.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2011-01-01,131594.49,1336436.0,1395638.0,185.514,1884.0,1967.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2011-02-01,118461.56,1205918.0,1248300.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,34.437,351.0,363.0
2011-03-01,110326.78,1128829.0,1141750.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,397.22,4064.0,4111.0
2011-04-01,125318.17,1270645.0,1302637.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,357.831,3628.0,3720.0
2011-05-01,129581.42,1299916.0,1740141.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,,,,18.578,186.0,249.0
2011-06-01,123475.11,1256921.0,1299174.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,,,,247.887,2523.0,2608.0
2011-07-01,126655.75,1261803.0,1297045.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,,,,188.249,1875.0,1928.0
2011-08-01,128429.08,1239930.0,1300387.0,104.717,1011.0,1060.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,1066.205,10294.0,10796.0
2011-09-01,104652.87,1072282.0,1107580.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,,,,916.126,9387.0,9696.0
2011-10-01,127330.73,1338574.0,1349702.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,,,,862.27,9065.0,9140.0
2011-11-01,97249.419,1001852.0,1005072.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,604.581,6228.0,6248.0
2011-12-01,53726.777,555458.0,587362.0,312.223,3228.0,3413.0,,,,,,,,,,,,,,,,,,
2012-01-01,116934.29,1165436.0,1314355.0,494.354,4927.0,5557.0,,,,,,,,,,,,,,,,494.354,4927.0,5557.0
2012-02-01,114613.32,1161911.0,1184559.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,481.677,4883.0,4978.0
2012-03-01,117458.49,1194015.0,1246451.0,312.571,3177.0,3317.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,660.94,6719.0,7014.0
2012-04-01,122390.04,1243615.0,1276852.0,1.087,11.0,11.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,485.877,4937.0,5069.0
2012-05-01,129770.85,1318918.0,1340236.0,1.647,17.0,17.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,134.507,1367.0,1389.0
2012-06-01,127005.45,1274125.0,1274125.0,3.391,34.0,34.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,322.158,3232.0,3232.0
2012-07-01,131470.84,1317388.0,1317388.0,5.093,51.0,51.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,22.068,221.0,221.0
2012-08-01,133195.18,1334760.0,1334760.0,3.961,40.0,40.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,28.856,289.0,289.0
2012-09-01,125484.7,1266984.0,1266984.0,7.3,74.0,74.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,414.999,4190.0,4190.0
2012-10-01,128122.67,1310334.0,1319745.0,76.513,783.0,788.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,270.822,2770.0,2790.0
2012-11-01,124815.55,1274949.0,1283771.0,1.103,11.0,11.0,,,,,,,0.0,0.0,0.0,42.196,431.0,434.0,,,,523.155,5344.0,5381.0
2012-12-01,126258.0,1272814.0,1272814.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2013-01-01,85577.078,868850.0,868850.0,324.468,3294.0,3294.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,300.454,3050.0,3050.0
2013-02-01,65097.146,664920.0,667298.0,2.213,23.0,23.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,157.641,1610.0,1616.0
2013-03-01,75338.601,766316.0,791595.0,682.635,6944.0,7173.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,316.764,3222.0,3328.0
2013-04-01,122234.52,1237929.0,1238066.0,85.09,862.0,862.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,593.388,6010.0,6010.0
2013-05-01,129717.43,1297567.0,1297567.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,123.569,1236.0,1236.0
2013-06-01,126814.54,1277478.0,1277478.0,0.563,6.0,6.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,334.9,3374.0,3374.0
2013-07-01,127429.38,1287239.0,1339858.0,1.618,16.0,17.0,,,,,,,0.0,0.0,0.0,3396.447,34309.0,35712.0,,,,117.557,1188.0,1236.0
