measured_on,Jet Fuel-Combustion (Gas) Turbine (including jet engine design) Generation,Jet Fuel-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Jet Fuel-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,Waste/Other Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Waste/Other Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Waste/Other Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed
2016-12-01,0.0,0.0,0.0,2727.762,26322.0,33167.0
2017-01-01,0.0,0.0,0.0,1971.562,19146.0,24061.0
2017-02-01,0.0,0.0,0.0,1591.917,15459.0,19427.0
2017-03-01,0.0,0.0,0.0,1832.952,17800.0,22370.0
2017-04-01,0.0,0.0,0.0,1689.961,16411.0,20624.0
2017-05-01,0.0,0.0,0.0,1688.138,16394.0,20601.0
2017-06-01,0.0,0.0,0.0,1780.551,17291.0,21728.0
2017-07-01,0.0,0.0,0.0,1814.476,17620.0,22144.0
2017-08-01,0.0,0.0,0.0,1874.244,18201.0,22874.0
2017-09-01,0.0,0.0,0.0,1864.239,18104.0,22749.0
2017-10-01,0.0,0.0,0.0,1902.715,18477.0,23220.0
2017-11-01,0.0,0.0,0.0,1685.261,16366.0,20568.0
2017-12-01,0.0,0.0,0.0,1714.984,16654.0,20929.0
2018-01-01,0.0,0.0,0.0,1361.542,13147.0,16503.0
2018-02-01,0.0,0.0,0.0,1269.816,12261.0,15394.0
2018-03-01,0.0,0.0,0.0,1270.002,12263.0,15394.0
2018-04-01,0.0,0.0,0.0,1282.85,12387.0,15551.0
2018-05-01,0.0,0.0,0.0,1467.848,14173.0,17792.0
2018-06-01,0.0,0.0,0.0,1370.398,13232.0,16609.0
2018-07-01,0.0,0.0,0.0,1476.663,14258.0,17898.0
2018-08-01,0.0,0.0,0.0,1507.93,14560.0,18277.0
2018-09-01,0.0,0.0,0.0,1534.964,14821.0,18605.0
2018-10-01,0.0,0.0,0.0,1611.691,15562.0,19533.0
2018-11-01,0.0,0.0,0.0,1450.132,14002.0,17579.0
2018-12-01,0.0,0.0,0.0,1389.164,13413.0,16840.0
2019-01-01,0.0,0.0,0.0,1264.524,12203.0,17088.0
2019-02-01,0.0,0.0,0.0,1405.533,13564.0,18992.0
2019-03-01,0.0,0.0,0.0,1392.907,13442.0,18823.0
2019-04-01,0.0,0.0,0.0,1280.065,12353.0,17299.0
2019-05-01,0.0,0.0,0.0,1393.127,13445.0,18823.0
2019-06-01,0.0,0.0,0.0,1197.051,11552.0,16177.0
2019-07-01,0.0,0.0,0.0,1363.471,13158.0,18426.0
2019-08-01,0.0,0.0,0.0,1509.634,14569.0,20398.0
2019-09-01,0.0,0.0,0.0,1792.572,17299.0,24222.0
2019-10-01,0.0,0.0,0.0,1883.972,18181.0,25457.0
2019-11-01,0.0,0.0,0.0,1431.066,13811.0,19337.0
2019-12-01,0.0,0.0,0.0,1909.078,18424.0,25797.0
2020-01-01,0.0,0.0,0.0,2858.886,27431.0,38125.0
2020-02-01,0.0,0.0,0.0,1853.402,17783.0,24716.0
2020-03-01,0.0,0.0,0.0,1871.195,17954.0,24955.0
2020-04-01,0.0,0.0,0.0,1795.605,17229.0,23948.0
2020-05-01,0.0,0.0,0.0,1520.401,14588.0,20277.0
2020-06-01,0.0,0.0,0.0,1914.252,18367.0,25530.0
2020-07-01,0.0,0.0,0.0,2495.27,23942.0,33276.0
2020-08-01,0.0,0.0,0.0,2556.677,24531.0,34095.0
2020-09-01,0.0,0.0,0.0,1625.728,15599.0,21680.0
2020-10-01,0.0,0.0,0.0,1945.826,18670.0,25949.0
2020-11-01,0.0,0.0,0.0,1508.963,14479.0,20125.0
2020-12-01,0.0,0.0,0.0,1495.795,14352.0,19946.0
2021-01-01,0.0,0.0,0.0,1955.042,18762.0,28069.0
2021-02-01,0.0,0.0,0.0,2164.802,20775.0,31077.0
2021-03-01,0.0,0.0,0.0,2341.249,22469.0,33610.0
2021-04-01,0.0,0.0,0.0,2250.539,21598.0,32308.0
2021-05-01,0.0,0.0,0.0,1165.519,11185.0,16729.0
2021-06-01,0.0,0.0,0.0,1564.556,15015.0,22459.0
2021-07-01,0.0,0.0,0.0,1528.968,14673.0,21951.0
2021-08-01,0.0,0.0,0.0,2204.958,21161.0,31655.0
2021-09-01,0.0,0.0,0.0,2855.863,27407.0,40997.0
2021-10-01,0.0,0.0,0.0,2837.362,27230.0,40732.0
2021-11-01,0.0,0.0,0.0,2215.396,21261.0,31801.0
2021-12-01,0.0,0.0,0.0,2462.746,23635.0,35354.0
2022-01-01,0.0,0.0,0.0,1858.212,17875.0,26897.0
2022-02-01,0.0,0.0,0.0,1532.455,14741.0,22178.0
2022-03-01,0.0,0.0,0.0,1774.637,17071.0,25682.0
2022-04-01,0.0,0.0,0.0,1577.682,15176.0,22837.0
2022-05-01,0.0,0.0,0.0,1478.506,14222.0,21400.0
2022-06-01,0.0,0.0,0.0,1800.623,17321.0,26060.0
2022-07-01,0.0,0.0,0.0,1640.019,15776.0,23738.0
2022-08-01,0.0,0.0,0.0,1102.989,10610.0,15962.0
2022-09-01,0.0,0.0,0.0,1292.094,12429.0,18700.0
2022-10-01,0.0,0.0,0.0,1449.742,13945.0,20984.0
2022-11-01,0.0,0.0,0.0,1376.388,13240.0,19921.0
2022-12-01,0.0,0.0,0.0,1872.653,18014.0,27103.0
2023-01-01,0.0,0.0,0.0,2493.904,23914.0,34960.0
2023-02-01,0.0,0.0,0.0,1936.101,18565.0,27146.0
2023-03-01,0.0,0.0,0.0,1827.14,17521.0,25618.0
2023-04-01,0.0,0.0,0.0,2159.872,20711.0,30283.0
2023-05-01,0.0,0.0,0.0,2134.234,20465.0,29921.0
2023-06-01,0.0,0.0,0.0,1837.635,17621.0,25763.0
2023-07-01,0.0,0.0,0.0,1740.07,16686.0,24397.0
2023-08-01,0.0,0.0,0.0,1811.185,17368.0,25396.0
2023-09-01,0.0,0.0,0.0,1570.852,15063.0,22027.0
2023-10-01,0.0,0.0,0.0,1781.888,17087.0,24980.0
2023-11-01,0.0,0.0,0.0,2247.18,21548.0,31509.0
2023-12-01,0.0,0.0,0.0,2467.939,23665.0,34603.0
2024-01-01,0.0,0.0,0.0,1977.455,18994.0,28085.0
2024-02-01,0.0,0.0,0.0,1780.701,17104.0,25294.0
2024-03-01,0.0,0.0,0.0,2146.2,20615.0,30488.0
2024-04-01,0.0,0.0,0.0,2261.143,21719.0,32119.0
2024-05-01,0.0,0.0,0.0,1325.52,12732.0,18830.0
2024-06-01,0.0,0.0,0.0,2366.517,22731.0,33615.0
2024-07-01,0.0,0.0,0.0,1388.211,13334.0,19721.0
2024-08-01,0.0,0.0,0.0,2004.668,19255.0,28474.0
2024-09-01,0.0,0.0,0.0,1331.354,12788.0,18911.0
2024-10-01,0.0,0.0,0.0,2113.831,20304.0,30029.0
2024-11-01,0.0,0.0,0.0,2067.861,19862.0,29376.0
2024-12-01,0.0,0.0,0.0,1758.539,16891.0,24980.0
