measured_on,Black Liquor Generation,Black Liquor Quantity Consumed For Electricity,Black Liquor Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed
2016-04-01,3852.79,39112.0,428750.0,1535.453,15587.0,170870.0
2016-05-01,3474.512,35272.0,447418.0,1746.639,17731.0,224917.0
2016-06-01,3824.845,38828.0,418656.0,1538.431,15618.0,168392.0
2016-07-01,3163.202,32112.0,447508.0,1241.694,12605.0,175666.0
2016-08-01,3733.944,37905.0,430192.0,1600.523,16248.0,184398.0
2016-09-01,2979.421,30246.0,439453.0,1104.735,11215.0,162944.0
2016-10-01,3780.519,38378.0,471257.0,1598.121,16223.0,199212.0
2016-11-01,3629.703,36847.0,438315.0,1593.369,16175.0,192412.0
2016-12-01,3238.83,32879.0,436772.0,1493.528,15162.0,201409.0
2017-01-01,2077.688,21092.0,390333.0,1063.453,10796.0,199790.0
2017-02-01,0.0,0.0,432533.0,0.0,0.0,178315.0
2017-03-01,215.396,2187.0,349831.0,104.384,1060.0,169534.0
2017-04-01,3182.811,32311.0,478582.0,1489.049,15116.0,223900.0
2017-05-01,3809.877,38676.0,490106.0,1839.568,18675.0,236644.0
2017-06-01,4151.234,42142.0,477358.0,2022.535,20532.0,232575.0
2017-07-01,4480.579,45485.0,497018.0,2340.432,23759.0,259618.0
2017-08-01,4390.751,44573.0,471278.0,2375.523,24115.0,254975.0
2017-09-01,4258.415,43230.0,484271.0,2231.292,22651.0,253745.0
2017-10-01,3966.654,40268.0,506365.0,1959.357,19891.0,250123.0
2017-11-01,4308.281,43736.0,479720.0,1881.813,19103.0,209537.0
2017-12-01,4639.5,47098.0,496456.0,2131.575,21639.0,228092.0
2018-01-01,4295.466,43606.0,495316.0,2008.904,20394.0,231649.0
2018-02-01,1428.311,14500.0,298803.0,858.163,8712.0,179528.0
2018-03-01,2607.676,26472.0,498694.0,1033.782,10495.0,197701.0
2018-04-01,920.835,9348.0,379024.0,296.825,3013.0,122176.0
2018-05-01,785.102,7970.0,482489.0,285.633,2900.0,175537.0
2018-06-01,4130.968,41936.0,457458.0,1746.068,17725.0,193357.0
2018-07-01,5046.322,51228.0,494092.0,1938.9,19683.0,189840.0
2018-08-01,5046.215,51227.0,500212.0,1785.359,18124.0,176976.0
2018-09-01,4241.02,43053.0,480200.0,1418.988,14405.0,160668.0
2018-10-01,4453.442,45210.0,503933.0,1637.741,16626.0,185320.0
2018-11-01,3855.688,39141.0,494227.0,1347.217,13676.0,172688.0
2018-12-01,4405.868,44727.0,496234.0,1674.752,17001.0,188628.0
2019-01-01,0.0,22185.0,475327.0,0.0,7860.0,168407.0
2019-02-01,0.0,11963.0,291364.0,0.0,7524.0,183258.0
2019-03-01,0.0,20447.0,403684.0,0.0,11587.0,228761.0
2019-04-01,0.0,6154.0,364908.0,0.0,2522.0,149569.0
2019-05-01,0.0,34385.0,378893.0,0.0,21504.0,236951.0
2019-06-01,0.0,10358.0,313010.0,0.0,5962.0,180162.0
2019-07-01,0.0,32568.0,397498.0,0.0,20640.0,251908.0
2019-08-01,0.0,28616.0,385885.0,0.0,16870.0,227492.0
2019-09-01,0.0,30213.0,377338.0,0.0,16872.0,210723.0
2019-10-01,0.0,7955.0,429500.0,0.0,3597.0,194190.0
2019-11-01,0.0,37869.0,452448.0,0.0,19696.0,235325.0
2019-12-01,0.0,35554.0,423556.0,0.0,21105.0,251425.0
2020-01-01,0.0,36983.0,447776.0,0.0,20164.0,244136.0
2020-02-01,0.0,8618.0,270191.0,0.0,5176.0,162287.0
2020-03-01,0.0,55.0,445060.0,0.0,33.0,267650.0
2020-04-01,0.0,2044.0,424049.0,0.0,1231.0,255422.0
2020-05-01,0.0,16570.0,278489.0,0.0,17268.0,290217.0
2020-06-01,0.0,12764.0,293802.0,0.0,12007.0,276384.0
2020-07-01,0.0,28677.0,357689.0,0.0,24852.0,309980.0
2020-08-01,0.0,34310.0,428037.0,0.0,25244.0,314923.0
2020-09-01,0.0,10456.0,252336.0,0.0,8476.0,204564.0
2020-10-01,0.0,39439.0,440114.0,0.0,24083.0,268756.0
2020-11-01,0.0,32149.0,422408.0,0.0,19236.0,252747.0
2020-12-01,0.0,40008.0,416503.0,0.0,27004.0,281126.0
2021-01-01,0.0,15618.0,245985.0,0.0,17313.0,272682.0
2021-02-01,0.0,24019.0,324836.0,0.0,19060.0,257760.0
2021-03-01,0.0,11964.0,283405.0,0.0,10448.0,247498.0
2021-04-01,0.0,32784.0,422379.0,0.0,20706.0,266772.0
2021-05-01,0.0,8717.0,285000.0,0.0,6598.0,215706.0
2021-06-01,0.0,16912.0,307623.0,0.0,12762.0,232133.0
2021-07-01,0.0,34542.0,374197.0,0.0,22712.0,246041.0
2021-08-01,0.0,15236.0,356013.0,0.0,10169.0,237611.0
2021-09-01,0.0,13906.0,362834.0,0.0,8564.0,223446.0
2021-10-01,0.0,31145.0,391838.0,0.0,22638.0,284819.0
2021-11-01,0.0,15380.0,339043.0,0.0,13515.0,297926.0
2021-12-01,0.0,15701.0,324119.0,0.0,14529.0,299927.0
2022-01-01,2209.065,21535.0,245772.0,2450.935,23893.0,272682.0
2022-02-01,1911.54,18635.0,324555.0,1512.46,14744.0,256796.0
2022-03-01,2221.677,21658.0,283160.0,1936.323,18876.0,246790.0
2022-04-01,0.0,0.0,422014.0,0.0,0.0,266772.0
2022-05-01,0.0,0.0,284754.0,0.0,0.0,215706.0
2022-06-01,0.0,0.0,307357.0,0.0,0.0,232133.0
2022-07-01,974.506,9500.0,373874.0,639.494,6234.0,245344.0
2022-08-01,0.0,0.0,355705.0,0.0,0.0,237611.0
2022-09-01,0.0,0.0,362520.0,0.0,0.0,222402.0
2022-10-01,1662.755,16209.0,391499.0,1206.245,11759.0,284013.0
2022-11-01,599.637,5846.0,338750.0,525.363,5122.0,296791.0
2022-12-01,1587.58,15477.0,323839.0,1463.42,14266.0,298512.0
2023-01-01,3224.421,32733.0,360224.0,1956.398,19861.0,218564.0
2023-02-01,3141.037,31887.0,307981.0,1927.426,19566.0,188986.0
2023-03-01,3596.534,36511.0,339775.0,2289.145,23238.0,216262.0
2023-04-01,203.034,2061.0,13205.0,1748.296,17748.0,113705.0
2023-05-01,1844.574,18725.0,217381.0,2122.425,21546.0,250126.0
2023-06-01,3880.892,39397.0,330814.0,2341.852,23774.0,199624.0
2023-07-01,3725.531,37820.0,373219.0,2010.341,20408.0,201393.0
2023-08-01,4197.039,42607.0,437226.0,2094.847,21266.0,218230.0
2023-09-01,2789.767,28321.0,421100.0,1283.826,13033.0,193786.0
2023-10-01,3289.641,33395.0,418859.0,1787.465,18146.0,227592.0
2023-11-01,2806.244,28488.0,390026.0,2073.04,21045.0,288122.0
2023-12-01,2855.315,28986.0,358377.0,2448.422,24855.0,307307.0
2024-01-01,929.174,9433.0,157193.0,1808.641,18361.0,305977.0
2024-02-01,3129.466,31769.0,344029.0,2232.849,22667.0,245462.0
2024-03-01,165.313,1678.0,103162.0,318.678,3235.0,198867.0
2024-04-01,1112.636,11295.0,267451.0,1315.002,13349.0,316095.0
2024-05-01,2921.415,29657.0,331220.0,2995.954,30414.0,339671.0
2024-06-01,3354.434,34053.0,389957.0,2725.225,27665.0,316810.0
2024-07-01,3035.722,30817.0,349962.0,2837.473,28805.0,327108.0
2024-08-01,3010.207,30558.0,412411.0,2368.433,24043.0,324485.0
2024-09-01,3205.865,32545.0,432552.0,2164.133,21969.0,291996.0
2024-10-01,3328.787,33792.0,463083.0,2332.182,23675.0,324441.0
2024-11-01,3299.548,33496.0,445099.0,2215.455,22490.0,298858.0
2024-12-01,3284.034,33338.0,444236.0,2107.09,21390.0,285029.0
