measured_on,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Gaseous Propane Generation,Gaseous Propane Quantity Consumed For Electricity,Gaseous Propane Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed
2006-02-01,0.0,1.0,1.0,,,,-7.275,238.0,238.0
2006-03-01,0.0,1.0,1.0,,,,-8.298,271.0,271.0
2006-04-01,0.0,1.0,1.0,,,,-9.281,303.0,303.0
2006-05-01,0.0,1.0,1.0,,,,-10.75,351.0,351.0
2006-06-01,0.0,1.0,1.0,,,,-13.698,448.0,448.0
2006-07-01,0.0,1.0,1.0,,,,-17.222,563.0,563.0
2006-08-01,0.0,1.0,1.0,,,,-17.439,570.0,570.0
2006-09-01,0.0,1.0,1.0,,,,-11.866000000000001,388.0,388.0
2006-10-01,0.0,1.0,1.0,,,,-10.743,351.0,351.0
2006-11-01,0.0,1.0,1.0,,,,-7.979,261.0,261.0
2006-12-01,0.0,1.0,1.0,,,,-8.317,272.0,272.0
2007-01-01,0.059000000000000004,6.0,6.0,,,,4.367,475.0,475.0
2007-02-01,0.083,12.0,12.0,,,,3.75,408.0,408.0
2007-03-01,0.038,6.0,6.0,,,,3.692,401.0,401.0
2007-04-01,0.054,6.0,6.0,,,,3.539,385.0,385.0
2007-05-01,0.018000000000000002,0.0,0.0,,,,3.9160000000000004,426.0,426.0
2007-06-01,0.10600000000000001,12.0,12.0,,,,4.594,499.0,499.0
2007-07-01,0.067,6.0,6.0,,,,5.583,607.0,607.0
2007-08-01,0.05,6.0,6.0,,,,5.39,586.0,586.0
2007-09-01,0.024,0.0,0.0,,,,4.636,505.0,505.0
2007-10-01,0.019,0.0,0.0,,,,3.468,377.0,377.0
2007-11-01,0.066,6.0,6.0,,,,2.8840000000000003,314.0,314.0
2007-12-01,0.114,12.0,12.0,,,,3.485,379.0,379.0
2008-01-01,0.0,0.0,0.0,,,,-24.341,49.0,49.0
2008-02-01,0.0,0.0,0.0,,,,-22.097,43.0,43.0
2008-03-01,0.0,0.0,0.0,,,,-23.214000000000002,46.0,46.0
2008-04-01,0.0,0.0,0.0,,,,-22.452,44.0,44.0
2008-05-01,0.0,0.0,0.0,,,,-23.392,46.0,46.0
2008-06-01,0.0,0.0,0.0,,,,-25.258000000000003,49.0,49.0
2008-07-01,0.0,0.0,0.0,,,,-31.999000000000002,63.0,63.0
2008-08-01,0.0,0.0,0.0,,,,-35.947,70.0,70.0
2008-09-01,0.0,0.0,0.0,,,,-29.439,58.0,58.0
2008-10-01,0.0,0.0,0.0,,,,-26.246000000000002,51.0,51.0
2008-11-01,0.0,0.0,0.0,,,,-23.351000000000003,46.0,46.0
2008-12-01,0.0,0.0,0.0,,,,-28.264000000000003,55.0,55.0
2009-01-01,0.0,0.0,0.0,,,,-25.555,86.0,86.0
2009-02-01,0.0,0.0,0.0,,,,-23.745,78.0,78.0
2009-03-01,0.0,0.0,0.0,,,,-24.988,82.0,82.0
2009-04-01,0.0,0.0,0.0,,,,-20.127000000000002,66.0,66.0
2009-05-01,0.0,0.0,0.0,,,,-28.819000000000003,95.0,95.0
2009-06-01,0.0,0.0,0.0,,,,-27.58,90.0,90.0
2009-07-01,0.0,0.0,0.0,,,,-34.836,115.0,115.0
2009-08-01,0.0,0.0,0.0,,,,-33.671,110.0,110.0
2009-09-01,0.0,0.0,0.0,,,,-30.076,99.0,99.0
2009-10-01,0.0,0.0,0.0,,,,-21.444000000000003,70.0,70.0
2009-11-01,0.0,0.0,0.0,,,,-23.159000000000002,77.0,77.0
2009-12-01,0.0,0.0,0.0,,,,-24.0,79.0,79.0
2010-01-01,-34.800000000000004,6.0,6.0,,,,0.0,0.0,0.0
2010-02-01,-25.171000000000003,0.0,0.0,,,,0.0,0.0,0.0
2010-03-01,-14.575000000000001,0.0,0.0,,,,0.0,0.0,0.0
2010-04-01,-7.397,0.0,0.0,,,,0.0,0.0,0.0
2010-05-01,-55.071000000000005,6.0,6.0,,,,0.0,0.0,0.0
2010-06-01,-53.908,6.0,6.0,,,,0.0,0.0,0.0
2010-07-01,-21.913,0.0,0.0,,,,0.0,0.0,0.0
2010-08-01,-28.465,6.0,6.0,,,,0.0,0.0,0.0
2010-09-01,-25.263,0.0,0.0,,,,0.0,0.0,0.0
2010-10-01,-32.32,6.0,6.0,,,,0.0,0.0,0.0
2010-11-01,-43.885000000000005,6.0,6.0,,,,0.0,0.0,0.0
2010-12-01,-30.232000000000003,6.0,6.0,,,,0.0,0.0,0.0
