measured_on,"Black Liquor-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Black Liquor-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Black Liquor-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2023-11-01,11017.486,134521.0,671106.0,19425.226,206782.0,206782.0,5109.509,62386.0,311235.0,6514.757,79544.0,396832.0
2023-12-01,13834.51,168917.0,740208.0,18039.839,192035.0,192035.0,6101.722,74501.0,326469.0,7066.761,86284.0,378103.0
2024-01-01,8863.974,108227.0,615902.0,23221.511,258023.0,258023.0,5870.294,71675.0,407890.0,4556.911,55639.0,316631.0
2024-02-01,11569.315,141259.0,634276.0,17366.465,192966.0,192966.0,6957.339,84948.0,381429.0,5888.656,71899.0,322840.0
2024-03-01,12076.777,147455.0,740556.0,18634.204,207052.0,207052.0,5652.733,69019.0,346629.0,6001.155,73273.0,367995.0
2024-04-01,6027.24,73591.0,435383.0,20276.425,225300.0,225300.0,4762.207,58146.0,344002.0,2958.429,36122.0,213705.0
2024-05-01,12086.213,147570.0,706324.0,22016.19,244631.0,244631.0,6164.136,75263.0,360235.0,6884.072,84053.0,402308.0
2024-06-01,12163.475,148514.0,701904.0,23487.702,260981.0,260981.0,5189.448,63362.0,299462.0,6260.374,76438.0,361261.0
2024-07-01,10081.159,123089.0,638174.0,26477.668,294204.0,294204.0,5202.326,63519.0,329326.0,5456.163,66619.0,345395.0
2024-08-01,11650.018,142245.0,703122.0,24206.038,268963.0,268963.0,6922.47,84522.0,417797.0,3268.181,39904.0,197247.0
2024-09-01,11603.704,141679.0,686337.0,21473.887,238605.0,238605.0,7202.147,87937.0,425993.0,3320.786,40546.0,196418.0
2024-10-01,10186.183,124371.0,694144.0,20505.855,227849.0,227849.0,5637.759,68836.0,384189.0,5004.197,61100.0,341014.0
2024-11-01,11758.912,143574.0,728004.0,19916.211,221297.0,221297.0,5917.824,72256.0,366378.0,5343.202,65239.0,330802.0
2024-12-01,13225.324,161479.0,724455.0,19857.964,220650.0,220650.0,7618.357,93019.0,417317.0,6210.543,75830.0,340200.0
