measured_on,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Black Liquor - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Black Liquor - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Black Liquor - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed"
2004-02-01,194.56166,1370.81,9456.24,12007.69213,84601.89,583607.37,479.67526,3379.62,23313.56,4640.27494,32693.71,225530.32
2004-03-01,174.08533,1226.54,8460.96,12242.94912,86259.43,595036.38,329.60696,2322.29,16019.68,4502.06859,31719.96,218811.22
2004-04-01,143.91786,1013.99,6994.8,11427.81798,80516.31,555423.08,443.78638,3126.76,21569.23,4758.23678,33524.83,231263.27
2004-05-01,166.79338,1175.17,8106.96,9937.46044,70015.78,483008.34,1025.73291,7226.95,49855.55,3588.07427,25280.29,174397.65
2004-06-01,185.5034,1306.99,9016.08,12643.278549999999,89080.02,614505.24,663.78513,4676.79,32262.16,3672.46593,25874.88,178494.02
2004-07-01,195.71159,1378.91,9512.16,12655.47936,89165.97,615093.6,589.26248,4151.73,28639.89,5600.75757,39460.93,272213.33
2004-08-01,208.20786,1466.96,10119.6,14150.11963,99696.67,687743.24,812.09269,5721.71,39470.43,5433.53782,38282.76,264088.15
2004-09-01,188.62842999999998,1329.01,9168.0,13265.97956,93467.34,644772.89,823.68731,5803.41,40034.08,5243.2047,36941.74,254838.04
2004-10-01,193.38920000000002,1362.55,9399.12,12738.87218,89753.52,619135.85,249.40377,1757.21,12121.55,5397.70284,38030.28,262339.65
2004-11-01,205.54039,1448.16,9989.76,14423.93955,101625.91,701038.34,406.66333,2865.2,19764.82,5026.33273,35413.74,244291.93
2004-12-01,212.94104,1500.31,10349.52,12398.32383,87354.14,602592.62,497.92552,3508.2,24200.55,5486.99961,38659.43,266683.27
2005-01-01,173.62778,1223.32,8643.12,12739.14817,89755.48,634149.61,378.23317,2664.9,18828.29,4540.24088,31988.91,226011.34
2005-02-01,157.64533,1110.71,7847.52,11822.67103,83298.31,588527.74,335.31343,2362.5,16691.77,4213.60822,29687.57,209751.7
2005-03-01,168.98492,1190.61,8412.0,12782.2101,90058.87,636293.18,400.13787,2819.23,19918.7,4555.5891,32097.05,226775.36
2005-04-01,139.02085,979.49,6920.4,10989.83369,77430.43,547069.34,410.23957,2890.4,20421.55,3916.7859000000003,27596.27,194975.97
2005-05-01,132.07342,930.54,6574.56,12196.21098,85930.14,607122.31,332.80252,2344.81,16566.77,4346.73807,30625.56,216378.81
2005-06-01,169.28869,1192.75,8427.12,11807.6436,83192.43,587779.54,566.19546,3989.21,28184.97,4208.25225,29649.84,209485.03
2005-07-01,188.87745,1330.76,9402.24,13077.02471,92136.03,650968.8,729.6224000000001,5140.66,36320.3,4660.66144,32837.35,232005.77
2005-08-01,187.07913,1318.09,9312.72,13463.78757,94861.02,670221.67,780.07549,5496.13,38831.83,4798.50381,33808.54,238867.5
2005-09-01,168.53174,1187.41,8389.44,12674.19411,89297.83,630916.11,516.02714,3635.74,25687.62,4517.09201,31825.81,224858.96
2005-10-01,157.82371999999998,1111.97,7856.4,12080.67508,85116.11,601371.03,356.85958,2514.3,17764.32,4305.56162,30335.44,214329.08
2005-11-01,154.98882,1092.0,7715.28,12303.43713,86685.61,612460.05,320.32163,2256.87,15945.48,4384.95441,30894.82,218281.23
2005-12-01,178.77691,1259.6,8899.44,13291.48803,93647.05,661644.74,346.08665,2438.4,17228.05,4737.09641,33375.88,235810.69
2006-01-01,104.25140999999999,734.52,5286.48,12658.39731,89186.53,641894.12,644.70736,4542.38,32692.44,4212.56193,29680.2,213614.62
2006-02-01,98.01818999999999,690.6,4970.4,11491.76954,80966.89,582735.63,642.82822,4529.14,32597.15,3824.32205,26944.8,193927.38
2006-03-01,95.718,674.39,4853.76,12446.55278,87693.95,631151.71,701.29092,4941.04,35561.73,4142.06331,29183.49,210039.71
2006-04-01,95.80793,675.03,4858.32,11504.10625,81053.81,583361.22,589.62013,4154.25,29899.02,3828.42869,26973.74,194135.62
2006-05-01,100.76325,709.94,5109.6,11476.56499,80859.76,581964.69,571.97225,4029.91,29004.12,3819.26251,26909.15,193670.84
2006-06-01,103.07765,726.25,5226.96,11457.20152,80723.33,580982.75,731.663,5155.03,37101.87,3812.81883,26863.75,193344.07
2006-07-01,108.24599,762.66,5489.04,12311.41787,86741.84,624299.01,1095.71164,7719.99,55562.38,4097.0905,28866.63,207759.14
2006-08-01,108.19864,762.33,5486.64,13036.83217,91852.85,661084.12,1031.58282,7268.16,52310.49,4338.4993699999995,30567.51,220000.76
2006-09-01,97.71527999999999,688.47,4955.04,12199.47926,85953.16,618622.9,731.70178,5155.31,37103.84,4059.83868,28604.17,205870.19
2006-10-01,95.66595,674.03,4851.12,12669.10647,89261.98,642437.12,816.02765,5749.44,41379.91,4216.12593,29705.31,213795.33
2006-11-01,96.99114,683.36,4918.32,12389.03313,87288.69,628235.0,701.89276,4945.28,35592.25,4122.92097,29048.62,209069.04
2006-12-01,103.37582,728.35,5242.08,12842.35367,90482.62,651222.38,685.84876,4832.24,34778.68,4273.78075,30111.53,216718.97
2007-01-01,34.448,240.0,1416.0,15232.469000000001,103058.0,626146.0,256.509,1735.0,10544.0,4858.5740000000005,32869.0,199717.0
2007-02-01,72.35600000000001,480.0,3288.0,12565.254,85013.0,570990.0,186.27100000000002,1260.0,8465.0,5556.119000000001,37590.0,252481.0
2007-03-01,27.738000000000003,192.0,1272.0,14044.322,95019.0,644042.0,69.727,472.0,3198.0,5701.213000000001,38577.0,261445.0
2007-04-01,0.513,0.0,24.0,13717.977,92813.0,641700.0,49.913000000000004,338.0,2335.0,4395.597000000001,29739.0,205617.0
2007-05-01,32.439,216.0,1584.0,12721.67,86071.0,621200.0,557.605,3773.0,27228.0,3569.2870000000003,24147.0,174289.0
2007-06-01,6.617,48.0,336.0,12576.429,85093.0,638642.0,79.777,540.0,4051.0,3133.177,21201.0,159105.0
2007-07-01,24.488,168.0,1152.0,14134.257000000001,95633.0,664929.0,50.403000000000006,341.0,2371.0,3109.8520000000003,21042.0,146299.0
2007-08-01,4.5360000000000005,24.0,216.0,12985.530999999999,87856.0,618392.0,468.29400000000004,3168.0,22301.0,2943.639,19921.0,140181.0
2007-09-01,3.6470000000000002,24.0,168.0,14068.686,95190.0,648124.0,808.342,5469.0,37239.0,2796.3250000000003,18916.0,128823.0
2007-10-01,3.615,24.0,168.0,14370.454000000002,97225.0,667760.0,56.413000000000004,381.0,2621.0,4182.517,28299.0,194351.0
2007-11-01,36.897,240.0,1632.0,13723.056,92847.0,606987.0,254.30800000000002,1720.0,11248.0,5192.7390000000005,35137.0,229681.0
2007-12-01,6.775,48.0,312.0,14033.798999999999,94951.0,646294.0,259.038,1753.0,11929.0,6580.387000000001,44520.0,303044.0
2008-01-01,38.594,272.0,1872.0,13663.324,96267.0,662731.0,350.081,2467.0,16980.0,5707.133000000001,40210.0,276821.0
2008-02-01,98.33500000000001,693.0,4992.0,12578.584,88624.0,638557.0,46.609,328.0,2366.0,5740.161,40443.0,291402.0
2008-03-01,109.232,770.0,5376.0,13897.035,97914.0,683959.0,43.299,305.0,2131.0,5341.772,37636.0,262902.0
2008-04-01,59.005,416.0,3384.0,5553.5470000000005,39128.0,318501.0,922.899,6502.0,52929.0,4127.7210000000005,29082.0,236729.0
2008-05-01,69.11,487.0,3432.0,13888.06,97850.0,689678.0,110.51100000000001,779.0,5488.0,4049.338,28530.0,201089.0
2008-06-01,297.088,2093.0,14712.0,13319.216,93842.0,659576.0,146.519,1032.0,7256.0,2784.105,19616.0,137871.0
2008-07-01,51.531000000000006,363.0,2664.0,13323.943,93876.0,688808.0,142.49800000000002,1004.0,7367.0,3269.994,23039.0,169049.0
2008-08-01,0.0,0.0,0.0,12265.79,86420.0,666687.0,188.756,1330.0,10260.0,2923.699,20599.0,158913.0
2008-09-01,0.0,0.0,0.0,13439.691,94691.0,670782.0,525.702,3704.0,26238.0,2875.388,20259.0,143512.0
2008-10-01,6.478000000000001,46.0,312.0,13956.862000000001,98335.0,672255.0,324.63300000000004,2287.0,15636.0,4528.146000000001,31904.0,218105.0
2008-11-01,38.633,272.0,1872.0,13843.471,97536.0,670805.0,48.496,342.0,2350.0,4873.995,34340.0,236176.0
2008-12-01,57.515,405.0,2808.0,14167.161,99817.0,691673.0,143.90300000000002,1014.0,7026.0,5692.088000000001,40104.0,277901.0
2009-01-01,19.038,134.0,936.0,13161.503,92731.0,647083.0,388.68100000000004,2739.0,19109.0,5824.037,41034.0,286338.0
2009-02-01,101.938,718.0,4752.0,12215.439,86066.0,569444.0,100.756,710.0,4697.0,5381.988,37920.0,250891.0
2009-03-01,141.347,996.0,6672.0,13091.719000000001,92240.0,617967.0,60.472,426.0,2854.0,5463.042,38491.0,257871.0
2009-04-01,0.0,0.0,0.0,9596.018,67610.0,468315.0,47.035,331.0,2295.0,3298.91,23243.0,160997.0
2009-05-01,0.0,0.0,0.0,8760.184000000001,61721.0,429154.0,465.973,3283.0,22828.0,2661.397,18751.0,130379.0
2009-06-01,0.0,0.0,0.0,13588.115,95737.0,644508.0,210.578,1484.0,9988.0,3465.58,24417.0,164378.0
2009-07-01,6.251,44.0,312.0,14016.767,98757.0,699561.0,172.49,1215.0,8609.0,2828.69,19930.0,141177.0
2009-08-01,9.752,69.0,480.0,13824.984,97406.0,680479.0,183.757,1295.0,9045.0,3439.761,24235.0,169308.0
2009-09-01,9.822000000000001,69.0,480.0,12687.542,89392.0,620066.0,355.747,2506.0,17386.0,3433.319,24190.0,167793.0
2009-10-01,0.0,0.0,0.0,14675.229,103396.0,698320.0,820.284,5779.0,39033.0,3788.271,26691.0,180265.0
2009-11-01,10.124,71.0,480.0,13918.81,98067.0,659936.0,193.657,1364.0,9182.0,4697.368,33096.0,222717.0
2009-12-01,82.089,578.0,4080.0,13416.165,94525.0,666814.0,392.416,2765.0,19504.0,5506.43,38796.0,273682.0
2010-01-01,32.541000000000004,229.0,1608.0,13838.622,97502.0,683820.0,326.914,2303.0,16154.0,4927.258,34716.0,243475.0
2010-02-01,49.202000000000005,347.0,2352.0,13318.39,93837.0,636654.0,114.88900000000001,809.0,5492.0,4278.268,30143.0,204513.0
2010-03-01,0.0,0.0,0.0,14038.207,98908.0,701986.0,46.248000000000005,326.0,2313.0,3937.4950000000003,27742.0,196896.0
2010-04-01,12.319,87.0,624.0,9286.541000000001,65430.0,470392.0,830.976,5855.0,42091.0,3944.3210000000004,27790.0,199792.0
2010-05-01,12.496,88.0,624.0,13979.388,98494.0,698100.0,156.63,1104.0,7822.0,3827.342,26966.0,191129.0
2010-06-01,18.849,133.0,936.0,13911.265,98014.0,690792.0,23.57,166.0,1170.0,2812.194,19814.0,139645.0
2010-07-01,0.0,0.0,0.0,14042.42,98938.0,708864.0,103.098,726.0,5204.0,2853.713,20106.0,144056.0
2010-08-01,0.0,0.0,0.0,12134.926,85498.0,654078.0,278.68,1963.0,15021.0,3134.6110000000003,22085.0,168957.0
2010-09-01,0.0,0.0,0.0,14210.744999999999,100124.0,662731.0,753.874,5312.0,35158.0,3345.4210000000003,23571.0,156017.0
2010-10-01,6.868,48.0,312.0,15351.833,108164.0,697427.0,461.528,3252.0,20967.0,3730.5190000000002,26284.0,169476.0
2010-11-01,41.876000000000005,295.0,1992.0,14014.083,98738.0,666629.0,310.982,2191.0,14793.0,4882.273,34399.0,232242.0
2010-12-01,11.672,82.0,600.0,12938.021,91157.0,665063.0,617.172,4348.0,31725.0,5736.125,40415.0,294858.0
2011-01-01,102.311,721.0,5160.0,14138.435,99614.0,713064.0,82.846,584.0,4178.0,6062.617,42715.0,305764.0
2011-02-01,24.428,172.0,1248.0,12515.872,88182.0,639427.0,276.022,1945.0,14102.0,5430.338,38260.0,277432.0
2011-03-01,56.817,400.0,2808.0,14540.29,102446.0,718608.0,93.546,659.0,4623.0,5273.984,37159.0,260650.0
2011-04-01,6.342,45.0,312.0,13514.911,95221.0,664854.0,325.811,2296.0,16028.0,4200.814,29597.0,206655.0
2011-05-01,3.195,23.0,168.0,9340.173,65808.0,491063.0,902.346,6358.0,47441.0,3558.599,25073.0,187095.0
2011-06-01,0.0,0.0,0.0,13366.52,94176.0,692764.0,182.319,1285.0,9449.0,2794.507,19689.0,144834.0
2011-07-01,0.0,0.0,0.0,13463.588,94860.0,710952.0,10.719,76.0,566.0,2811.421,19808.0,148459.0
2011-08-01,0.0,0.0,0.0,13880.478,97797.0,707229.0,1956.953,13788.0,99709.0,1008.152,7103.0,51367.0
2011-09-01,15.548,110.0,792.0,13816.42,97346.0,703807.0,195.403,1377.0,9954.0,3513.469,24755.0,178976.0
2011-10-01,0.0,0.0,0.0,14773.59,104089.0,712553.0,387.541,2730.0,18692.0,3808.635,26834.0,183696.0
2011-11-01,6.15,43.0,312.0,13805.661,97270.0,700362.0,688.956,4854.0,34951.0,4775.335,33645.0,242253.0
2011-12-01,24.275,171.0,1416.0,12470.643,87864.0,727448.0,905.531,6380.0,52822.0,6060.031,42697.0,353499.0
2012-01-01,28.59,201.0,936.0,21513.695,151578.0,704340.0,1540.721,10855.0,50442.0,10035.82,70709.0,328564.0
2012-02-01,4.888,34.0,168.0,17265.57,121647.0,593444.0,2503.481,17639.0,86049.0,10286.332,72474.0,353557.0
2012-03-01,32.812,231.0,1104.0,21618.52,152316.0,727378.0,1522.614,10728.0,51230.0,9689.441,68268.0,326012.0
2012-04-01,0.0,0.0,0.0,19955.674,140601.0,652024.0,2527.191,17806.0,82573.0,8760.496,61723.0,286237.0
2012-05-01,360.185,2538.0,11112.0,23088.486,162673.0,712298.0,525.157,3700.0,16202.0,12924.74,91063.0,398738.0
2012-06-01,0.0,0.0,0.0,22943.757,161653.0,687056.0,69.277,488.0,2075.0,12439.321,87643.0,372498.0
2012-07-01,0.0,0.0,0.0,24067.234,169569.0,693866.0,530.463,3737.0,15293.0,11592.169,81674.0,334206.0
2012-08-01,30.953,218.0,936.0,24504.016,172647.0,740996.0,1918.615,13518.0,58019.0,9642.173,67935.0,291577.0
2012-09-01,9.502,67.0,312.0,21046.043,148283.0,691035.0,835.393,5886.0,27430.0,9485.904,66834.0,311464.0
2012-10-01,18.425,130.0,600.0,17174.212,121003.0,559282.0,1677.967,11822.0,54643.0,7890.076,55591.0,256942.0
2012-11-01,0.0,0.0,0.0,24090.782,169735.0,716996.0,501.885,3536.0,14937.0,12644.886,89091.0,376340.0
2012-12-01,48.431,341.0,1416.0,24107.163,169850.0,704839.0,2116.924,14915.0,61894.0,13070.973,92093.0,382166.0
2013-01-01,37.127,262.0,1080.0,24234.851,170750.0,704985.0,2286.697,16111.0,66519.0,13185.261,92899.0,383555.0
2013-02-01,156.554,1103.0,4800.0,21682.502,152767.0,664792.0,2396.401,16884.0,73474.0,11525.154,81202.0,353365.0
2013-03-01,0.0,0.0,0.0,24440.833,172201.0,732090.0,3312.495,23339.0,99221.0,11991.568,84488.0,359190.0
2013-04-01,0.0,0.0,0.0,23529.095,165778.0,696176.0,3209.664,22614.0,94967.0,13033.987,91833.0,385648.0
2013-05-01,0.0,0.0,0.0,21429.629,150985.0,666724.0,2533.279,17849.0,78816.0,12302.821,86681.0,382768.0
2013-06-01,48.535,342.0,1416.0,23399.212,164862.0,682675.0,740.691,5219.0,21610.0,11926.525,84030.0,347958.0
2013-07-01,0.0,0.0,0.0,24597.5,173305.0,747411.0,158.76,1119.0,4824.0,11849.416,83487.0,360052.0
2013-08-01,0.0,0.0,0.0,22797.69,160624.0,685026.0,2745.564,19344.0,82499.0,9285.867,65425.0,279022.0
2013-09-01,0.0,0.0,0.0,22263.787,156863.0,673705.0,570.119,4017.0,17252.0,12161.347,85684.0,368004.0
2013-10-01,0.0,0.0,0.0,23490.948,165509.0,727749.0,357.189,2517.0,11066.0,12101.654,85264.0,374909.0
2013-11-01,0.0,0.0,0.0,18919.343,133299.0,677672.0,606.91,4276.0,21739.0,10211.357,71946.0,365761.0
2013-12-01,0.0,0.0,0.0,19106.818,134620.0,699596.0,1581.608,11143.0,57911.0,10664.409,75138.0,390477.0
2014-01-01,199.958,1409.0,7224.0,17715.884,124820.0,640033.0,3603.818,25391.0,130197.0,9964.736,70208.0,360002.0
2014-02-01,19.174,135.0,696.0,17621.082,124152.0,639636.0,2154.123,15177.0,78193.0,9049.191,63757.0,328481.0
2014-03-01,131.299,925.0,4608.0,20217.929,142448.0,709560.0,452.928,3191.0,15896.0,11988.248,84465.0,420735.0
2014-04-01,42.006,296.0,1440.0,19395.877,136656.0,664900.0,438.679,3091.0,15038.0,10840.554,76379.0,371620.0
2014-05-01,0.0,0.0,0.0,20493.354,144389.0,688750.0,1039.636,7325.0,34941.0,9433.804,66467.0,317056.0
2014-06-01,16.099,113.0,540.0,20738.968,146119.0,695629.0,81.912,577.0,2748.0,10005.937,70498.0,335620.0
2014-07-01,0.0,0.0,0.0,20227.068,142513.0,687961.0,380.853,2683.0,12954.0,10533.648,74216.0,358269.0
2014-08-01,0.0,0.0,0.0,20254.612,142707.0,699236.0,386.299,2722.0,13336.0,9895.669,69721.0,341622.0
2014-09-01,70.934,500.0,2400.0,12020.948,84695.0,406719.0,1306.467,9205.0,44203.0,9687.263,68253.0,327761.0
2014-10-01,20.247,143.0,744.0,20319.581,143164.0,746669.0,1280.338,9021.0,47048.0,6714.446,47308.0,246731.0
2014-11-01,50.058,353.0,1800.0,17493.86,123255.0,629045.0,739.422,5210.0,26588.0,10511.256,74059.0,377964.0
2014-12-01,0.0,0.0,0.0,19852.925,139877.0,711880.0,1159.299,8168.0,41570.0,11242.333,79209.0,403124.0
2016-01-01,112.068,766.0,4225.0,17394.233,118851.0,655766.0,1693.711,11573.0,63853.0,8662.133,59187.0,326564.0
2016-02-01,30.338,207.0,1125.0,17196.178,117498.0,637677.0,1328.001,9074.0,49246.0,7657.832,52324.0,283972.0
2016-03-01,0.0,0.0,0.0,18386.728,125633.0,705017.0,545.41,3727.0,20913.0,10154.389,69383.0,389358.0
2016-04-01,0.0,0.0,0.0,13773.958,94115.0,519004.0,649.128,4435.0,24459.0,8770.079,59924.0,330457.0
2016-05-01,9.978,68.0,425.0,15140.427,103452.0,644879.0,762.079,5207.0,32459.0,6214.749,42464.0,264706.0
2016-06-01,0.0,0.0,0.0,19408.866,132617.0,669916.0,237.606,1624.0,8201.0,7839.235,53564.0,270579.0
2016-07-01,26.336,180.0,850.0,21424.764,146391.0,691488.0,126.551,865.0,4084.0,11611.278,79338.0,374756.0
2016-08-01,0.0,0.0,0.0,19326.515,132054.0,606883.0,864.054,5904.0,27133.0,11827.754,80817.0,371410.0
2016-09-01,0.0,0.0,0.0,19458.201,132954.0,666792.0,1344.794,9189.0,46083.0,10694.845,73076.0,366490.0
2016-10-01,0.0,0.0,0.0,19920.553,136113.0,680253.0,868.673,5935.0,29664.0,9452.541,64587.0,322788.0
2016-11-01,0.0,0.0,0.0,20513.64,140166.0,665786.0,521.403,3563.0,16923.0,8813.002,60217.0,286033.0
2016-12-01,30.485,208.0,1075.0,19656.291,134308.0,693155.0,1395.204,9533.0,49200.0,11246.52,76845.0,396595.0
2017-01-01,39.979,273.0,1400.0,20125.371,137513.0,704761.0,1379.16,9424.0,48296.0,10683.158,72996.0,374109.0
2017-02-01,19.035,130.0,650.0,18624.141,127255.0,635971.0,879.307,6008.0,30026.0,7836.465,53545.0,267597.0
2017-03-01,0.0,0.0,0.0,17723.851,121104.0,648296.0,1201.836,8212.0,43960.0,9934.209,67878.0,363369.0
2017-04-01,20.825,142.0,700.0,19261.26,131608.0,647425.0,213.341,1458.0,7171.0,8674.014,59268.0,291558.0
2017-05-01,0.0,0.0,0.0,17670.035,120736.0,674168.0,146.18,999.0,5577.0,10128.515,69206.0,386435.0
2017-06-01,0.0,0.0,0.0,16180.705,110560.0,559642.0,1378.38,9418.0,47674.0,9739.363,66547.0,336855.0
2017-07-01,16.813,115.0,575.0,20177.446,137868.0,690043.0,74.778,511.0,2557.0,7436.579,50813.0,254322.0
2017-08-01,0.0,0.0,0.0,19178.648,131044.0,688609.0,270.721,1850.0,9720.0,8015.212,54766.0,287786.0
2017-09-01,0.0,0.0,0.0,18253.321,124721.0,617829.0,705.292,4819.0,23872.0,8475.237,57910.0,286865.0
2017-10-01,0.0,0.0,0.0,16980.847,116027.0,654145.0,1888.2,12902.0,72738.0,5997.921,40983.0,231055.0
2017-11-01,0.0,0.0,0.0,18757.605,128167.0,658360.0,560.016,3826.0,19656.0,10207.763,69748.0,358275.0
2017-12-01,63.536,434.0,2300.0,18815.816,128565.0,681130.0,893.463,6105.0,32343.0,10907.81,74531.0,394861.0
2018-01-01,24.937,170.0,850.0,19511.72,133320.0,665085.0,1906.34,13026.0,64980.0,11100.61,75848.0,378380.0
2018-02-01,5.018,34.0,175.0,18345.539,125351.0,639732.0,1117.94,7639.0,38984.0,9095.627,62149.0,317176.0
2018-03-01,5.68,39.0,200.0,19738.769,134871.0,695039.0,2002.627,13684.0,70516.0,7299.118,49873.0,257015.0
2018-04-01,5.182,35.0,175.0,10364.821,70821.0,350021.0,1998.79,13657.0,67499.0,7666.906,52386.0,258912.0
2018-05-01,0.0,0.0,0.0,22178.83,151544.0,681152.0,497.735,3401.0,15286.0,12577.008,85936.0,386263.0
2018-06-01,0.0,0.0,0.0,23379.916,159750.0,683986.0,54.824,375.0,1604.0,9439.21,64496.0,276147.0
2018-07-01,10.757,73.0,350.0,21743.261,148567.0,707475.0,239.574,1637.0,7795.0,7850.611,53642.0,255441.0
2018-08-01,39.904,273.0,1350.0,20835.257,142363.0,704881.0,507.341,3467.0,17164.0,7791.412,53237.0,263593.0
2018-09-01,5.879,40.0,225.0,17186.238,117430.0,657739.0,2344.961,16023.0,89745.0,4558.77,31149.0,174470.0
2018-10-01,3.017,21.0,100.0,20342.297,138995.0,674241.0,689.803,4713.0,22863.0,9482.257,64790.0,314288.0
2018-11-01,0.0,0.0,0.0,19929.592,136175.0,656583.0,1624.424,11099.0,53517.0,9252.408,63220.0,304822.0
2018-12-01,0.0,0.0,0.0,20860.916,142538.0,709427.0,651.931,4455.0,22171.0,10021.484,68475.0,340805.0
2019-01-01,17.212,118.0,600.0,20312.976,138795.0,708097.0,1356.138,9266.0,47274.0,10202.356,69711.0,355647.0
2019-02-01,55.874,382.0,2200.0,15888.395,108562.0,625595.0,2650.132,18108.0,104347.0,7303.93,49906.0,287587.0
2019-03-01,26.129,179.0,950.0,19600.837,133929.0,712642.0,2022.682,13821.0,73540.0,7796.031,53269.0,283446.0
2019-04-01,38.183,261.0,1300.0,19997.297,136638.0,680847.0,725.753,4959.0,24710.0,8795.84,60100.0,299471.0
2019-05-01,16.556,113.0,550.0,18364.959,125484.0,610106.0,1826.813,12482.0,60689.0,8986.712,61404.0,298549.0
2019-06-01,0.0,0.0,0.0,16242.905,110985.0,567040.0,1598.497,10922.0,55804.0,7373.195,50380.0,257398.0
2019-07-01,0.0,0.0,0.0,21009.959,143557.0,702636.0,338.368,2312.0,11316.0,8444.021,57696.0,282393.0
2019-08-01,12.642,86.0,441.0,19670.647,134406.0,686188.0,1163.254,7948.0,40579.0,7940.37,54255.0,276991.0
2019-09-01,37.425,256.0,1525.0,16548.637,113074.0,674318.0,1864.804,12742.0,75986.0,4410.036,30133.0,179699.0
2019-10-01,27.896,191.0,1275.0,14394.959,98358.0,657935.0,792.803,5417.0,36236.0,4513.706,30841.0,206303.0
