measured_on,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed",Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2013-06-01,2.187,25.0,25.0,253.474,3724.0,3724.0,,,
2013-07-01,0.838,6.0,6.0,382.994,5627.0,5627.0,,,
2013-08-01,3.1,31.0,31.0,409.567,6017.0,6017.0,,,
2013-09-01,1.208,12.0,12.0,376.834,5536.0,5536.0,,,
2013-10-01,1.616,19.0,19.0,350.491,5149.0,5149.0,,,
2013-11-01,2.465,25.0,25.0,356.847,5243.0,5243.0,,,
2013-12-01,0.592,6.0,6.0,420.828,6183.0,6183.0,,,
2014-01-01,1.205,19.0,19.0,,,,171.948,2072.0,2072.0
2014-02-01,2.279,25.0,25.0,,,,149.591,1801.0,1801.0
2014-03-01,1.48,19.0,19.0,,,,148.434,1786.0,1786.0
2014-04-01,4.527,56.0,56.0,,,,127.788,1538.0,1538.0
2014-05-01,3.161,37.0,37.0,,,,158.979,1914.0,1914.0
2014-06-01,1.625,19.0,19.0,,,,230.488,2774.0,2774.0
2014-07-01,1.671,19.0,19.0,,,,269.623,3245.0,3245.0
2014-08-01,0.7,6.0,6.0,,,,244.547,2944.0,2944.0
2014-09-01,1.471,19.0,19.0,,,,204.65,2463.0,2463.0
2014-10-01,1.527,19.0,19.0,,,,193.3,2327.0,2327.0
2014-11-01,2.651,31.0,31.0,,,,189.666,2283.0,2283.0
2014-12-01,1.911,25.0,25.0,,,,182.778,2200.0,2200.0
2015-01-01,0.656,6.0,6.0,,,,186.997,2565.0,2565.0
2015-02-01,0.491,6.0,6.0,,,,155.764,2138.0,2138.0
2015-03-01,0.686,12.0,12.0,,,,163.664,2247.0,2247.0
2015-04-01,2.25,31.0,31.0,,,,185.855,2552.0,2552.0
2015-05-01,1.011,12.0,12.0,,,,223.357,3067.0,3067.0
2015-06-01,0.703,12.0,12.0,,,,256.759,3526.0,3526.0
2015-07-01,1.368,19.0,19.0,,,,267.584,3674.0,3674.0
2015-08-01,1.121,12.0,12.0,,,,284.823,3911.0,3911.0
2015-09-01,0.608,6.0,6.0,,,,240.92,3308.0,3308.0
2015-10-01,1.281,19.0,19.0,,,,206.234,2831.0,2831.0
2015-11-01,1.246,19.0,19.0,,,,230.714,3167.0,3167.0
2015-12-01,0.772,12.0,12.0,,,,252.136,3462.0,3462.0
2016-01-01,0.541,6.0,6.0,,,,212.987,2495.0,2495.0
2016-02-01,0.718,6.0,6.0,,,,184.801,2165.0,2165.0
2016-03-01,0.93,12.0,12.0,,,,205.535,2408.0,2408.0
2016-04-01,1.935,25.0,25.0,,,,229.642,2690.0,2690.0
2016-05-01,1.83,19.0,19.0,,,,232.977,2729.0,2729.0
2016-06-01,1.146,12.0,12.0,,,,270.737,3171.0,3171.0
2016-07-01,1.1,12.0,12.0,,,,279.415,3273.0,3273.0
2016-08-01,1.186,12.0,12.0,,,,264.635,3100.0,3100.0
2016-09-01,1.504,19.0,19.0,,,,196.316,2300.0,2300.0
2016-10-01,1.659,19.0,19.0,,,,172.397,2020.0,2020.0
2016-11-01,0.899,12.0,12.0,,,,149.621,1752.0,1752.0
2016-12-01,1.372,19.0,19.0,,,,191.117,2239.0,2239.0
2017-01-01,4.495,62.0,62.0,,,,246.458,2830.0,2830.0
2017-02-01,3.857,43.0,43.0,,,,135.264,1554.0,1554.0
2017-03-01,2.796,31.0,31.0,,,,111.028,1275.0,1275.0
2017-04-01,3.397,37.0,37.0,,,,108.507,1246.0,1246.0
2017-05-01,3.883,43.0,43.0,,,,120.413,1384.0,1384.0
2017-06-01,3.335,37.0,37.0,,,,171.689,1972.0,1972.0
2017-07-01,2.702,31.0,31.0,,,,242.838,2790.0,2790.0
2017-08-01,2.255,25.0,25.0,,,,286.074,3287.0,3287.0
2017-09-01,2.288,25.0,25.0,,,,168.015,1931.0,1931.0
2017-10-01,2.726,31.0,31.0,,,,95.318,1095.0,1095.0
2017-11-01,2.848,31.0,31.0,,,,112.484,1293.0,1293.0
2017-12-01,3.738,43.0,43.0,,,,187.592,2155.0,2155.0
2018-01-01,3.252,37.0,37.0,,,,306.878,3463.0,3463.0
2018-02-01,2.966,31.0,31.0,,,,260.949,2946.0,2946.0
2018-03-01,2.718,31.0,31.0,,,,250.199,2824.0,2824.0
2018-04-01,3.329,37.0,37.0,,,,263.396,2973.0,2973.0
2018-05-01,2.736,31.0,31.0,,,,307.994,3476.0,3476.0
2018-06-01,3.608,43.0,43.0,,,,349.749,3948.0,3948.0
2018-07-01,2.383,25.0,25.0,,,,618.665,6983.0,6983.0
2018-08-01,2.642,31.0,31.0,,,,613.14,6920.0,6920.0
2018-09-01,2.329,25.0,25.0,,,,489.511,5525.0,5525.0
2018-10-01,5.149,56.0,56.0,,,,496.555,5605.0,5605.0
2018-11-01,3.14,37.0,37.0,,,,433.188,4890.0,4890.0
2018-12-01,2.003,25.0,25.0,,,,468.521,5288.0,5288.0
2019-01-01,1.631,12.0,12.0,,,,246.336,2791.0,2791.0
2019-02-01,1.581,19.0,19.0,,,,243.642,2760.0,2760.0
2019-03-01,1.43,19.0,19.0,,,,268.214,3038.0,3038.0
2019-04-01,1.352,12.0,12.0,,,,174.76,1980.0,1980.0
2019-05-01,1.995,25.0,25.0,,,,224.761,2547.0,2547.0
2019-06-01,1.41,19.0,19.0,,,,219.03,2482.0,2482.0
2019-07-01,1.546,19.0,19.0,,,,307.481,3484.0,3484.0
2019-08-01,1.278,12.0,12.0,,,,295.888,3352.0,3352.0
2019-09-01,1.546,19.0,19.0,,,,210.166,2380.0,2380.0
2019-10-01,1.198,12.0,12.0,,,,188.177,2132.0,2132.0
2019-11-01,1.463,19.0,19.0,,,,206.589,2341.0,2341.0
2019-12-01,2.725,31.0,31.0,,,,243.801,2762.0,2762.0
2020-01-01,17.001,198.0,198.0,,,,422.797,4767.0,4767.0
2020-02-01,13.558,155.0,155.0,,,,404.61,4561.0,4561.0
2020-03-01,12.508,143.0,143.0,,,,280.859,3166.0,3166.0
2020-04-01,16.746,186.0,186.0,,,,214.1,2413.0,2413.0
2020-05-01,11.426,130.0,130.0,,,,281.44,3172.0,3172.0
2020-06-01,14.462,161.0,161.0,,,,358.538,4041.0,4041.0
2020-07-01,13.625,155.0,155.0,,,,491.733,5543.0,5543.0
2020-08-01,15.119,167.0,167.0,,,,552.647,6229.0,6229.0
2020-09-01,18.156,205.0,205.0,,,,480.504,5416.0,5416.0
2020-10-01,15.435,174.0,174.0,,,,396.48,4469.0,4469.0
2020-11-01,20.066,223.0,223.0,,,,313.483,3533.0,3533.0
2020-12-01,18.354,205.0,205.0,,,,449.353,5066.0,5066.0
2021-01-01,149.443,2716.0,2716.0,,,,215.54,3913.0,3913.0
2021-02-01,171.797,3119.0,3119.0,,,,180.039,3267.0,3267.0
2021-03-01,158.128,2871.0,2871.0,,,,185.499,3366.0,3366.0
2021-04-01,199.903,3627.0,3627.0,,,,193.379,3509.0,3509.0
2021-05-01,209.746,3807.0,3807.0,,,,212.308,3852.0,3852.0
2021-06-01,125.098,2269.0,2269.0,,,,268.934,4881.0,4881.0
2021-07-01,168.906,3063.0,3063.0,,,,301.529,5471.0,5471.0
2021-08-01,119.035,2158.0,2158.0,,,,274.712,4985.0,4985.0
2021-09-01,165.551,3007.0,3007.0,,,,205.914,3737.0,3737.0
2021-10-01,159.373,2889.0,2889.0,,,,148.752,2699.0,2699.0
2021-11-01,146.539,2660.0,2660.0,,,,232.06,4211.0,4211.0
2021-12-01,165.045,2995.0,2995.0,,,,258.77,4696.0,4696.0
2022-01-01,22.566,254.0,254.0,,,,736.607,8293.0,8293.0
2022-02-01,29.542,335.0,335.0,,,,636.79,7169.0,7169.0
2022-03-01,28.431,322.0,322.0,,,,538.343,6060.0,6060.0
2022-04-01,25.419,285.0,285.0,,,,535.55,6029.0,6029.0
2022-05-01,16.804,192.0,192.0,,,,525.337,5914.0,5914.0
2022-06-01,31.61,353.0,353.0,,,,586.912,6607.0,6607.0
2022-07-01,47.565,533.0,533.0,,,,695.907,7834.0,7834.0
2022-08-01,18.944,211.0,211.0,,,,737.706,8304.0,8304.0
2022-09-01,23.141,260.0,260.0,,,,733.441,8257.0,8257.0
2022-10-01,23.632,267.0,267.0,,,,693.115,7802.0,7802.0
2022-11-01,32.359,366.0,366.0,,,,730.666,8225.0,8225.0
2022-12-01,33.199,372.0,372.0,,,,774.414,8718.0,8718.0
2023-01-01,6.528,93.0,93.0,,,,291.807,3762.0,3762.0
2023-02-01,6.71,87.0,87.0,,,,276.971,3572.0,3572.0
2023-03-01,6.813,87.0,87.0,,,,304.879,3931.0,3931.0
2023-04-01,8.694,112.0,112.0,,,,239.169,3084.0,3084.0
2023-05-01,11.282,143.0,143.0,,,,245.668,3168.0,3168.0
2023-06-01,10.227,130.0,130.0,,,,251.395,3242.0,3242.0
2023-07-01,7.226,93.0,93.0,,,,307.173,3961.0,3961.0
2023-08-01,6.849,87.0,87.0,,,,333.121,4296.0,4296.0
2023-09-01,7.884,99.0,99.0,,,,321.895,4150.0,4150.0
2023-10-01,7.527,99.0,99.0,,,,226.257,2917.0,2917.0
2023-11-01,6.177,81.0,81.0,,,,259.105,3341.0,3341.0
2023-12-01,7.843,99.0,99.0,,,,302.8,3905.0,3905.0
2024-01-01,5.335,56.0,56.0,,,,732.131,8279.0,8279.0
2024-02-01,2.858,31.0,31.0,,,,662.854,7494.0,7494.0
2024-03-01,3.093,37.0,37.0,,,,574.35,6494.0,6494.0
2024-04-01,4.723,56.0,56.0,,,,428.162,4841.0,4841.0
2024-05-01,4.08,43.0,43.0,,,,508.09,5744.0,5744.0
2024-06-01,6.206,68.0,68.0,,,,605.022,6841.0,6841.0
2024-07-01,5.967,68.0,68.0,,,,715.04,8085.0,8085.0
2024-08-01,3.486,37.0,37.0,,,,711.598,8045.0,8045.0
2024-09-01,5.348,62.0,62.0,,,,592.776,6702.0,6702.0
2024-10-01,5.76,68.0,68.0,,,,636.298,7194.0,7194.0
2024-11-01,4.366,50.0,50.0,,,,506.142,5722.0,5722.0
2024-12-01,4.162,50.0,50.0,,,,656.153,7418.0,7418.0
