measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Lignite Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Lignite Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Lignite Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2004-05-01,,,,0.061000000000000006,1.0,1.0,,,,,,,3758.8160000000003,118620.0,118620.0,0.14200000000000002,6.0,6.0
2004-06-01,,,,0.167,2.0,2.0,,,,,,,4215.832,133043.0,133043.0,0.171,7.0,7.0
2004-07-01,,,,0.134,2.0,2.0,,,,,,,4565.435,144076.0,144076.0,0.158,6.0,6.0
2004-08-01,,,,0.069,1.0,1.0,,,,,,,4564.512000000001,144046.0,144046.0,0.19,8.0,8.0
2004-09-01,,,,0.07200000000000001,1.0,1.0,,,,,,,4558.294,143850.0,143850.0,0.198,8.0,8.0
2004-10-01,,,,0.091,1.0,1.0,,,,,,,4717.658,148879.0,148879.0,0.14,6.0,6.0
2004-11-01,,,,0.08700000000000001,1.0,1.0,,,,,,,4283.993,135194.0,135194.0,0.158,6.0,6.0
2004-12-01,,,,0.051000000000000004,1.0,1.0,,,,,,,4641.381,146472.0,146472.0,0.184,7.0,7.0
2005-01-01,,,,,,,,,,,,,5127.491,146535.01,146535.01,,,
2005-02-01,,,,,,,,,,,,,4464.332,127583.06,127583.06,,,
2005-03-01,,,,,,,,,,,,,4631.732,132367.07,132367.07,,,
2005-04-01,,,,,,,,,,,,,4127.785,117965.11,117965.11,,,
2005-05-01,,,,,,,,,,,,,4531.478,129501.95,129501.95,,,
2005-06-01,,,,,,,,,,,,,5047.126,144238.32,144238.32,,,
2005-07-01,,,,,,,,,,,,,5335.347000000001,152475.17,152475.17,,,
2005-08-01,,,,,,,,,,,,,5394.7080000000005,154171.6,154171.6,,,
2005-09-01,,,,,,,,,,,,,4943.8,141285.42,141285.42,,,
2005-10-01,,,,,,,,,,,,,4668.493,133417.62,133417.62,,,
2005-11-01,,,,,,,,,,,,,4551.564,130075.99,130075.99,,,
2005-12-01,,,,,,,,,,,,,5083.144,145267.65,145267.65,,,
2006-01-01,,,,0.11800000000000001,1.0,1.0,,,,,,,5334.345,130913.0,130913.0,0.0,0.0,0.0
2006-02-01,,,,0.061000000000000006,1.0,1.0,,,,,,,5080.378000000001,124680.0,124680.0,0.0,0.0,0.0
2006-03-01,,,,0.052000000000000005,1.0,1.0,,,,,,,5191.206,127400.0,127400.0,0.0,0.0,0.0
2006-04-01,,,,0.099,1.0,1.0,,,,,,,4416.56,108389.0,108389.0,0.0,0.0,0.0
2006-05-01,,,,0.092,1.0,1.0,,,,,,,4719.889,115833.0,115833.0,0.0,0.0,0.0
2006-06-01,,,,0.084,1.0,1.0,,,,,,,5113.292,125488.0,125488.0,0.0,0.0,0.0
2006-07-01,,,,0.12200000000000001,1.0,1.0,,,,,,,5816.36,142742.0,142742.0,0.0,0.0,0.0
2006-08-01,,,,0.11800000000000001,1.0,1.0,,,,,,,5858.328,143772.0,143772.0,0.0,0.0,0.0
2006-09-01,,,,0.054,1.0,1.0,,,,,,,4867.564,119457.0,119457.0,0.0,0.0,0.0
2006-10-01,,,,0.057,1.0,1.0,,,,,,,5034.728,123560.0,123560.0,0.0,0.0,0.0
2006-11-01,,,,0.068,1.0,1.0,,,,,,,4978.121,122170.0,122170.0,0.0,0.0,0.0
2006-12-01,,,,0.075,1.0,1.0,,,,,,,5389.231000000001,132260.0,132260.0,0.0,0.0,0.0
2007-01-01,,,,0.0,0.0,0.0,,,,,,,15362.936000000002,333959.0,333959.0,406.064,8827.0,8827.0
2007-02-01,,,,0.0,0.0,0.0,,,,,,,11433.083,281350.0,281350.0,218.917,5387.0,5387.0
2007-03-01,,,,0.0,0.0,0.0,,,,,,,11096.735,269652.0,269652.0,3342.2650000000003,81218.0,81218.0
2007-04-01,,,,0.0,0.0,0.0,,,,,,,10373.783,273889.0,273889.0,1192.217,31477.0,31477.0
2007-05-01,,,,0.0,0.0,0.0,,,,,,,5412.638,136190.0,136190.0,2902.362,73028.0,73028.0
2007-06-01,,,,0.0,0.0,0.0,,,,,,,4602.429,129782.0,129782.0,1663.5710000000001,46911.0,46911.0
2007-07-01,,,,0.0,0.0,0.0,,,,,,,2730.971,81455.0,81455.0,277.029,8263.0,8263.0
2007-08-01,,,,0.0,0.0,0.0,,,,,,,4707.128000000001,132971.0,132971.0,233.872,6607.0,6607.0
2007-09-01,,,,0.0,0.0,0.0,,,,,,,5309.952,132223.0,132223.0,1624.048,40440.0,40440.0
2007-10-01,,,,0.0,0.0,0.0,,,,,,,10156.927,224046.0,224046.0,4825.073,106434.0,106434.0
2007-11-01,,,,0.0,0.0,0.0,,,,,,,9575.343,201366.0,201366.0,2510.657,52798.0,52798.0
2007-12-01,,,,0.0,0.0,0.0,,,,,,,14990.873,332517.0,332517.0,749.1270000000001,16617.0,16617.0
2008-01-01,,,,0.0,0.0,0.0,,,,,,,10292.229,219719.0,219719.0,5518.771000000001,117815.0,117815.0
2008-02-01,,,,0.0,0.0,0.0,,,,,,,9497.685000000001,202184.0,202184.0,5500.3150000000005,117089.0,117089.0
2008-03-01,,,,0.0,0.0,0.0,,,,,,,12665.005000000001,239736.0,239736.0,6276.995,118817.0,118817.0
2008-04-01,,,,0.0,0.0,0.0,,,,,,,13114.0,239186.0,239186.0,0.0,0.0,0.0
2008-05-01,,,,0.0,0.0,0.0,,,,,,,9172.159,205984.0,205984.0,784.841,17626.0,17626.0
2008-06-01,,,,0.0,0.0,0.0,,,,,,,9392.778,171545.0,171545.0,4822.222000000001,88070.0,88070.0
2008-07-01,,,,0.0,0.0,0.0,,,,,,,8407.742,161950.0,161950.0,6914.258000000001,133183.0,133183.0
2008-08-01,,,,0.0,0.0,0.0,,,,,,,9653.482,179419.0,179419.0,3005.518,55860.0,55860.0
2008-09-01,,,,0.0,0.0,0.0,,,,,,,9886.0,182957.0,182957.0,0.0,0.0,0.0
2008-10-01,,,,0.0,0.0,0.0,,,,,,,17950.0,314654.0,314654.0,0.0,0.0,0.0
2008-11-01,,,,0.0,0.0,0.0,,,,,,,12750.396,241680.0,241680.0,3037.6040000000003,57577.0,57577.0
2008-12-01,,,,0.0,0.0,0.0,,,,,,,15238.471000000001,285745.0,285745.0,416.529,7811.0,7811.0
2009-01-01,,,,0.0,0.0,0.0,,,,,,,9784.557,275609.0,275609.0,2720.469,76629.0,76629.0
2009-02-01,,,,0.0,0.0,0.0,,,,,,,12899.413,273407.0,273407.0,3497.7090000000003,74135.0,74135.0
2009-03-01,,,,0.0,0.0,0.0,,,,,,,15403.54,313683.0,313683.0,711.255,14484.0,14484.0
2009-04-01,,,,0.0,0.0,0.0,,,,,,,8822.8,154834.0,154834.0,2039.154,35786.0,35786.0
2009-05-01,,,,0.0,0.0,0.0,,,,,,,10410.679,164427.0,164427.0,6196.749000000001,97872.0,97872.0
2009-06-01,,,,0.0,0.0,0.0,,,,,,,11345.333,182596.0,182596.0,4773.302000000001,76823.0,76823.0
2009-07-01,,,,0.0,0.0,0.0,,,,,,,8466.385,122580.0,122580.0,5297.595,76701.0,76701.0
2009-08-01,,,,0.0,0.0,0.0,,,,,,,10578.356,165359.0,165359.0,4718.262000000001,73755.0,73755.0
2009-09-01,,,,0.0,0.0,0.0,,,,,,,11361.58,197054.0,197054.0,2420.645,41983.0,41983.0
2009-10-01,,,,0.0,0.0,0.0,,,,,,,9255.603000000001,208742.0,208742.0,6379.041,143867.0,143867.0
2009-11-01,,,,0.0,0.0,0.0,,,,,,,7343.173000000001,169893.0,169893.0,5903.206,136577.0,136577.0
2009-12-01,,,,0.0,0.0,0.0,,,,,,,8522.924,194356.0,194356.0,3914.882,89275.0,89275.0
2010-01-01,,,,0.0,0.0,0.0,,,,,,,8901.981,223247.0,223247.0,3103.6890000000003,77836.0,77836.0
2010-02-01,,,,0.0,0.0,0.0,,,,,,,9009.195,206581.0,206581.0,1934.384,44355.0,44355.0
2010-03-01,,,,0.0,0.0,0.0,,,,,,,7314.7210000000005,173432.0,173432.0,1506.594,35721.0,35721.0
2010-04-01,,,,0.0,0.0,0.0,,,,,,,8231.736,174794.0,174794.0,2345.0080000000003,49794.0,49794.0
2010-05-01,,,,0.0,0.0,0.0,,,,,,,7382.8460000000005,160352.0,160352.0,3792.165,82364.0,82364.0
2010-06-01,,,,0.0,0.0,0.0,,,,,,,8644.651,177884.0,177884.0,5344.039000000001,109966.0,109966.0
2010-07-01,,,,0.0,0.0,0.0,,,,,,,8161.357,171907.0,171907.0,5381.754,113359.0,113359.0
2010-08-01,,,,0.0,0.0,0.0,,,,,,,9676.961000000001,210731.0,210731.0,5269.149,114744.0,114744.0
2010-09-01,,,,0.0,0.0,0.0,,,,,,,8399.622000000001,188250.0,188250.0,5574.6630000000005,124938.0,124938.0
2010-10-01,,,,0.0,0.0,0.0,,,,,,,8878.121000000001,199787.0,199787.0,5565.752,125248.0,125248.0
2010-11-01,,,,0.0,0.0,0.0,,,,,,,10264.288,229284.0,229284.0,3350.8450000000003,74851.0,74851.0
2010-12-01,,,,0.0,0.0,0.0,,,,,,,6542.443,167612.0,167612.0,4281.099,109678.0,109678.0
2011-01-01,,,,0.0,0.0,0.0,,,,,,,8259.964,200902.0,200902.0,3699.036,89969.0,89969.0
2011-02-01,,,,0.0,0.0,0.0,,,,,,,7377.315,175949.0,175949.0,2995.685,71447.0,71447.0
2011-03-01,,,,0.0,0.0,0.0,,,,,,,7453.841,167481.0,167481.0,4585.159,103024.0,103024.0
2011-04-01,,,,0.0,0.0,0.0,,,,,,,9271.0,204994.0,204994.0,0.0,0.0,0.0
2011-05-01,,,,0.0,0.0,0.0,,,,,,,5124.757,116534.0,116534.0,4964.243,112884.0,112884.0
2011-06-01,,,,0.0,0.0,0.0,,,,,,,5122.384,111067.0,111067.0,5473.616,118683.0,118683.0
2011-07-01,,,,0.0,0.0,0.0,,,,,,,5622.048,122073.0,122073.0,5619.952,122027.0,122027.0
2011-08-01,,,,0.0,0.0,0.0,,,,,,,6820.255,143506.0,143506.0,6637.745,139665.0,139665.0
2011-09-01,,,,0.0,0.0,0.0,,,,,,,5685.394,129426.0,129426.0,6362.606,144843.0,144843.0
2011-10-01,,,,0.0,0.0,0.0,,,,,,,2980.9,76285.0,76285.0,5424.1,138810.0,138810.0
2011-11-01,,,,0.0,0.0,0.0,,,,,,,2958.506,85319.0,85319.0,3846.494,110927.0,110927.0
2011-12-01,,,,0.0,0.0,0.0,,,,,,,5035.204,117227.0,117227.0,5446.796,126810.0,126810.0
2012-01-01,,,,0.0,0.0,0.0,,,,,,,7009.018,159364.0,159364.0,3665.677,83347.0,83347.0
2012-02-01,,,,0.0,0.0,0.0,,,,,,,5462.206,151957.0,151957.0,4519.152,125722.0,125722.0
2012-03-01,,,,0.0,0.0,0.0,,,,,,,9257.427,184121.0,184121.0,4934.847,98149.0,98149.0
2012-04-01,,,,0.0,0.0,0.0,,,,,,,10650.688,205048.0,205048.0,0.0,0.0,0.0
2012-05-01,,,,0.0,0.0,0.0,,,,,,,4900.918,92389.0,92389.0,5425.188,102272.0,102272.0
2012-06-01,,,,0.0,0.0,0.0,,,,,,,5109.894,100614.0,100614.0,7205.954,141886.0,141886.0
2012-07-01,,,,0.0,0.0,0.0,,,,,,,4866.585,107259.0,107259.0,5665.025,124857.0,124857.0
2012-08-01,,,,0.0,0.0,0.0,,,,,,,5993.736,136805.0,136805.0,5631.656,128540.0,128540.0
2012-09-01,,,,0.0,0.0,0.0,,,,,,,4387.492,101015.0,101015.0,5408.528,124523.0,124523.0
2012-10-01,,,,0.0,0.0,0.0,,,,,,,4944.034,116768.0,116768.0,6312.603,149091.0,149091.0
2012-11-01,,,,0.0,0.0,0.0,,,,,,,2240.008,66051.0,66051.0,5238.809,154477.0,154477.0
2012-12-01,,,,0.0,0.0,0.0,,,,,,,3029.209,93554.0,93554.0,4522.59,139676.0,139676.0
2013-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8258.514,217814.0,217814.0,3406.25,89838.0,89838.0
2013-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2810.975,81691.0,81691.0,4243.389,123319.0,123319.0
2013-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4783.963,119227.0,119227.0,5330.877,132857.0,132857.0
2013-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8258.892,176133.0,176133.0,4256.698,90780.0,90780.0
2013-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8039.919,170294.0,170294.0,2822.034,59773.0,59773.0
2013-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7511.898,160944.0,160944.0,3136.869,67208.0,67208.0
2013-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5812.523,116808.0,116808.0,6149.934,123588.0,123588.0
2013-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6932.565,135960.0,135960.0,4525.735,88758.0,88758.0
2013-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6209.708,134071.0,134071.0,5229.386,112905.0,112905.0
2013-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8248.519,172388.0,172388.0,6215.52,129900.0,129900.0
2013-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8686.224,183909.0,183909.0,5195.873,110010.0,110010.0
2013-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7908.281,188944.0,188944.0,3708.468,88603.0,88603.0
2014-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.523,118430.0,230624.0,1616.266,19142.0,37277.0
2014-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6436.442,76230.0,136433.0,5129.411,60750.0,108728.0
2014-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8481.209,100447.0,185628.0,3992.127,47281.0,87375.0
2014-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7406.177,87715.0,152426.0,2693.298,31898.0,55430.0
2014-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10069.019,119253.0,209871.0,177.382,2101.0,3697.0
2014-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5161.041,61125.0,122469.0,2931.408,34718.0,69561.0
2014-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7223.097,85547.0,149470.0,3679.189,43575.0,76135.0
2014-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6369.252,75434.0,130685.0,6128.093,72578.0,125736.0
2014-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6198.776,73415.0,131576.0,6600.103,78168.0,140094.0
2014-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8530.359,101029.0,178057.0,6242.896,73938.0,130310.0
2014-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10257.465,121484.0,209139.0,5342.609,63275.0,108930.0
2014-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11199.461,132641.0,242917.0,4164.379,49321.0,90326.0
2015-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10840.239,128387.0,252776.0,3984.873,47195.0,92920.0
2015-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9437.696,111776.0,203712.0,5569.873,65967.0,120226.0
2015-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10238.024,121254.0,218743.0,6064.028,71819.0,129562.0
2015-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10445.184,123708.0,213134.0,205.503,2434.0,4193.0
2015-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6656.042,78831.0,146275.0,3641.255,43125.0,80021.0
2015-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6070.1,71891.0,123549.0,4808.179,56946.0,97864.0
2015-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7213.727,85436.0,150889.0,4346.365,51476.0,90913.0
2015-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5997.568,71032.0,125161.0,5863.098,69440.0,122355.0
2015-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9530.372,112873.0,185598.0,604.635,7161.0,11775.0
2015-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8892.043,105313.0,202604.0,138.619,1642.0,3158.0
2015-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7072.163,83759.0,174716.0,4053.873,48012.0,100150.0
2015-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.408,1473.0,2941.0,6761.883,80085.0,159854.0,3105.63,36782.0,73418.0
2016-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,639.608,5323.0,14471.0,7118.875,59243.0,161058.0,5154.517,42896.0,116617.0
2016-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228.276,1900.0,5007.0,6581.581,54772.0,144359.0,5223.143,43467.0,114563.0
2016-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.339,993.0,2568.0,7302.199,60769.0,157149.0,5970.462,49686.0,128489.0
2016-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.229,559.0,1434.0,8796.088,73201.0,187644.0,1361.683,11332.0,29048.0
2016-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.67,1528.0,4090.0,4852.113,40379.0,108054.0,5865.217,48810.0,130615.0
2016-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346.517,2884.0,7152.0,5772.696,48040.0,119155.0,4429.787,36864.0,91436.0
2016-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.955,590.0,1247.0,2621.91,21819.0,46066.0,6047.135,50324.0,106245.0
2016-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259.902,2163.0,5119.0,6768.077,56324.0,133300.0,5897.021,49075.0,116144.0
2016-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,814.456,6778.0,15178.0,4785.628,39826.0,89182.0,5589.916,46519.0,104170.0
2016-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6452.312,53696.0,121348.0,4426.688,36839.0,83252.0
2016-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3536.166,29428.0,69523.0,6355.834,52893.0,124959.0
2016-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,427.856,3561.0,9247.0,8880.581,73904.0,191932.0,2122.563,17664.0,45874.0
2017-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,332.703,2769.0,7234.0,8593.986,71519.0,186856.0,2594.311,21590.0,56407.0
2017-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.851,1488.0,3513.0,6214.406,51716.0,122063.0,6142.743,51120.0,120655.0
2017-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.293,1434.0,3720.0,7445.027,61957.0,160737.0,6397.68,53241.0,138125.0
2017-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,827.653,6888.0,16654.0,6918.256,57573.0,139210.0,2735.091,22761.0,55036.0
2017-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.664,821.0,2015.0,6763.394,56285.0,138119.0,3261.942,27146.0,66614.0
2017-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1576.862,13123.0,29819.0,5117.513,42588.0,96775.0,5589.625,46517.0,105702.0
2017-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2345.428,19519.0,42115.0,4180.886,34793.0,75073.0,5705.686,47482.0,102453.0
2017-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1555.198,12942.0,29465.0,4029.426,33533.0,76343.0,6172.376,51366.0,116944.0
2017-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.566,13.0,31.0,4497.463,37428.0,87873.0,6296.971,52403.0,123032.0
2017-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,558.487,4648.0,12126.0,4199.505,34948.0,91179.0,4493.008,37391.0,97551.0
2017-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310.067,2580.0,7080.0,6439.515,53589.0,147033.0,2844.418,23671.0,64947.0
2017-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2200.946,18316.0,47681.0,5380.98,44780.0,116573.0,5561.074,46279.0,120474.0
2018-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.611,673.0,1875.0,8157.278,70691.0,197030.0,2939.162,25471.0,70992.0
2018-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.985,2158.0,5954.0,5900.493,51134.0,141109.0,4751.848,41179.0,113640.0
