measured_on,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,"Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Generation","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Total Fuel Consumed"
2022-12-01,87.932,1146.0,1263.0,2593.394,33794.0,37194.0,171.443,1950.0,19215.0
2023-01-01,27.178,315.0,348.0,2996.557,34776.0,38459.0,212.334,1757.0,1757.0
2023-02-01,397.251,4610.0,5098.0,1974.604,22916.0,25343.0,139.919,1157.0,1157.0
2023-03-01,18.53,215.0,236.0,2592.052,30082.0,33269.0,183.67,1519.0,1519.0
2023-04-01,13.654,158.0,177.0,3287.373,38151.0,42193.0,232.94,1926.0,1926.0
2023-05-01,26.652,309.0,342.0,3528.192,40946.0,45284.0,250.004,2067.0,2067.0
2023-06-01,19.187,223.0,248.0,3521.062,40863.0,45193.0,249.499,2063.0,2063.0
2023-07-01,28.858,335.0,372.0,5855.337,67954.0,75152.0,414.904,3431.0,3431.0
2023-08-01,12.38,144.0,159.0,4953.446,57487.0,63577.0,350.996,2903.0,2903.0
2023-09-01,11.309,131.0,148.0,3646.039,42314.0,46796.0,258.355,2136.0,2136.0
2023-10-01,21.295,247.0,271.0,3775.211,43813.0,48455.0,267.508,2212.0,2212.0
2023-11-01,12.902,150.0,165.0,3950.142,45843.0,50700.0,279.903,2314.0,2314.0
2023-12-01,10.797,125.0,136.0,3277.892,38041.0,42072.0,232.268,1921.0,1921.0
2024-01-01,166.627,1934.0,2111.0,4181.792,48532.0,53122.0,244.029,2256.0,2256.0
2024-02-01,19.578,227.0,250.0,3176.84,36869.0,40356.0,185.384,1712.0,1712.0
2024-03-01,55.344,642.0,706.0,2490.021,28898.0,31631.0,145.304,1342.0,1342.0
2024-04-01,21.957,255.0,279.0,4001.803,46443.0,50837.0,233.524,2157.0,2157.0
2024-05-01,18.692,217.0,239.0,2895.501,33604.0,36783.0,168.966,1561.0,1561.0
2024-06-01,18.767,218.0,239.0,4366.57,50676.0,55470.0,254.81,2353.0,2353.0
2024-07-01,19.828,230.0,250.0,5737.433,66585.0,72885.0,334.806,3093.0,3093.0
2024-08-01,15.687,182.0,199.0,3971.992,46097.0,50458.0,231.784,2141.0,2141.0
2024-09-01,19.657,228.0,250.0,3085.566,35809.0,39197.0,180.057,1663.0,1663.0
2024-10-01,21.641,251.0,273.0,3900.892,45272.0,49555.0,227.635,2102.0,2102.0
2024-11-01,29.923,347.0,381.0,3524.446,40903.0,44773.0,205.668,1900.0,1900.0
2024-12-01,116.356,1350.0,1479.0,3086.867,35824.0,39214.0,180.133,1664.0,1664.0
