measured_on,Bituminous Coal Generation,Bituminous Coal Quantity Consumed For Electricity,Bituminous Coal Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Subbituminous Coal Generation,Subbituminous Coal Quantity Consumed For Electricity,Subbituminous Coal Total Fuel Consumed,Wood Waste Solids Generation,Wood Waste Solids Quantity Consumed For Electricity,Wood Waste Solids Total Fuel Consumed
2007-08-01,0.0,0.0,0.0,0.0,0.0,0.0,4587.13,22616.0,152486.0,,,
2007-09-01,0.0,0.0,0.0,0.0,0.0,0.0,4400.89,21701.0,149882.0,,,
2007-10-01,0.0,0.0,0.0,0.0,0.0,0.0,3985.73,19659.0,156306.0,,,
2007-11-01,0.0,0.0,0.0,0.0,0.0,0.0,3891.64,19184.0,156042.0,,,
2007-12-01,0.0,0.0,0.0,0.0,0.0,0.0,4611.38,22739.0,167605.0,,,
2008-01-01,0.0,0.0,0.0,0.0,0.0,0.0,4599.5960000000005,22001.0,156658.0,,,
2008-02-01,0.0,0.0,0.0,0.0,0.0,0.0,4227.035,20219.0,143968.0,,,
2008-03-01,0.0,0.0,0.0,0.0,0.0,0.0,4172.205,19957.0,142102.0,,,
2008-04-01,0.0,0.0,0.0,0.0,0.0,0.0,4052.7400000000002,19385.0,138037.0,,,
2008-05-01,0.0,0.0,0.0,0.0,0.0,0.0,3980.717,19041.0,135590.0,,,
2008-06-01,0.0,0.0,0.0,0.0,0.0,0.0,3834.2540000000004,18340.0,130592.0,,,
2008-07-01,0.0,0.0,0.0,0.0,0.0,0.0,4655.517,22269.0,158576.0,,,
2008-08-01,0.0,0.0,0.0,0.0,0.0,0.0,4576.0380000000005,21888.0,155866.0,,,
2008-09-01,0.0,0.0,0.0,0.0,0.0,0.0,3960.6780000000003,18945.0,134904.0,,,
2008-10-01,0.0,0.0,0.0,0.0,0.0,0.0,4378.401,20943.0,149125.0,,,
2008-11-01,0.0,0.0,0.0,0.0,0.0,0.0,4194.845,20065.0,142877.0,,,
2008-12-01,0.0,0.0,0.0,0.0,0.0,0.0,4505.974,21553.0,153472.0,,,
2009-01-01,0.0,0.0,0.0,0.0,0.0,0.0,4709.381,22701.0,163240.0,,,
2009-02-01,0.0,0.0,0.0,0.0,0.0,0.0,4111.177000000001,19817.0,142525.0,,,
2009-03-01,0.0,0.0,0.0,0.0,0.0,0.0,3809.128,18361.0,132053.0,,,
2009-04-01,0.0,0.0,0.0,0.0,0.0,0.0,3170.364,15282.0,109912.0,,,
2009-05-01,0.0,0.0,0.0,0.0,0.0,0.0,3219.877,15521.0,111619.0,,,
2009-06-01,0.0,0.0,0.0,0.0,0.0,0.0,4175.42,20127.0,144742.0,,,
2009-07-01,0.0,0.0,0.0,0.0,0.0,0.0,4323.358,20840.0,149882.0,,,
2009-08-01,0.0,0.0,0.0,0.0,0.0,0.0,4340.137000000001,20921.0,150462.0,,,
2009-09-01,0.0,0.0,0.0,0.0,0.0,0.0,4172.351000000001,20112.0,144637.0,,,
2009-10-01,0.0,0.0,0.0,0.0,0.0,0.0,4029.0420000000004,19421.0,139674.0,,,
2009-11-01,0.0,0.0,0.0,0.0,0.0,0.0,3804.319,18338.0,131877.0,,,
2009-12-01,0.0,0.0,0.0,0.0,0.0,0.0,4805.446,23164.0,166584.0,,,
2010-01-01,0.0,0.0,0.0,0.0,0.0,0.0,4630.769,22150.0,161962.0,,,
2010-02-01,0.0,0.0,0.0,0.0,0.0,0.0,3982.221,19048.0,139267.0,,,
2010-03-01,0.0,0.0,0.0,0.0,0.0,0.0,4203.521000000001,20107.0,147010.0,,,
2010-04-01,0.0,0.0,0.0,0.0,0.0,0.0,3554.246,17001.0,124297.0,,,
2010-05-01,0.0,0.0,0.0,0.0,0.0,0.0,3844.9730000000004,18392.0,134461.0,,,
2010-06-01,0.0,0.0,0.0,0.0,0.0,0.0,4162.99,19913.0,145586.0,,,
2010-07-01,0.0,0.0,0.0,0.0,0.0,0.0,4825.647,23082.0,168762.0,,,
2010-08-01,0.0,0.0,0.0,0.0,0.0,0.0,4737.921,22663.0,165700.0,,,
2010-09-01,0.0,0.0,0.0,0.0,0.0,0.0,3715.1760000000004,17771.0,129922.0,,,
2010-10-01,0.0,0.0,0.0,0.0,0.0,0.0,3902.732,18668.0,136490.0,,,
2010-11-01,0.0,0.0,0.0,0.0,0.0,0.0,3982.12,19048.0,139267.0,,,
2010-12-01,0.0,0.0,0.0,0.0,0.0,0.0,4221.684,20193.0,147633.0,,,
2011-01-01,0.0,0.0,0.0,0.0,0.0,0.0,4359.445,20855.0,141023.0,,,
2011-02-01,0.0,0.0,0.0,0.0,0.0,0.0,3525.162,16864.0,114036.0,,,
2011-03-01,0.0,0.0,0.0,0.0,0.0,0.0,3883.194,18576.0,125612.0,,,
2011-04-01,0.0,0.0,0.0,0.0,0.0,0.0,3898.262,18648.0,126093.0,,,
2011-05-01,0.0,0.0,0.0,0.0,0.0,0.0,3456.218,16534.0,111800.0,,,
2011-06-01,0.0,0.0,0.0,0.0,0.0,0.0,4118.283,19701.0,133214.0,,,
2011-07-01,0.0,0.0,0.0,0.0,0.0,0.0,5030.116,24063.0,162712.0,,,
2011-08-01,0.0,0.0,0.0,0.0,0.0,0.0,5011.497,23974.0,162110.0,,,
2011-09-01,0.0,0.0,0.0,0.0,0.0,0.0,4091.977,19575.0,132371.0,,,
2011-10-01,0.0,0.0,0.0,0.0,0.0,0.0,3636.762,17397.0,117648.0,,,
2011-11-01,0.0,0.0,0.0,0.0,0.0,0.0,3488.046,16686.0,112832.0,,,
2011-12-01,0.0,0.0,0.0,0.0,0.0,0.0,3878.038,18552.0,125440.0,,,
2012-01-01,0.0,0.0,0.0,0.0,0.0,0.0,4258.498,20370.0,141012.0,,,
2012-02-01,0.0,0.0,0.0,0.0,0.0,0.0,4096.147,19593.0,135654.0,,,
2012-03-01,0.0,0.0,0.0,0.0,0.0,0.0,3625.647,17342.0,120061.0,,,
2012-04-01,0.0,0.0,0.0,0.0,0.0,0.0,2919.018,13962.0,96672.0,,,
2012-05-01,0.0,0.0,0.0,0.0,0.0,0.0,3463.503,16567.0,114703.0,,,
2012-06-01,0.0,0.0,0.0,0.0,0.0,0.0,4114.177,19679.0,136241.0,,,
2012-07-01,0.0,0.0,0.0,0.0,0.0,0.0,5245.045,25088.0,173692.0,,,
2012-08-01,0.0,0.0,0.0,0.0,0.0,0.0,4942.16,23640.0,163671.0,,,
2012-09-01,0.0,0.0,0.0,0.0,0.0,0.0,3934.499,18820.0,130296.0,,,
2012-10-01,0.0,0.0,0.0,0.0,0.0,0.0,3637.374,17399.0,120453.0,,,
2012-11-01,0.0,0.0,0.0,0.0,0.0,0.0,4299.372,20565.0,142382.0,,,
2012-12-01,0.0,0.0,0.0,0.0,0.0,0.0,4463.56,21350.0,147811.0,,,
2013-01-01,0.0,0.0,0.0,0.0,0.0,0.0,2772.68,13262.0,110053.0,,,
2013-02-01,0.0,0.0,0.0,0.0,0.0,0.0,2347.076,11227.0,93157.0,,,
2013-03-01,0.0,0.0,0.0,0.0,0.0,0.0,2373.32,11352.0,94213.0,,,
2013-04-01,0.0,0.0,0.0,0.0,0.0,0.0,2094.502,10019.0,83142.0,,,
2013-05-01,0.0,0.0,0.0,0.0,0.0,0.0,2236.687,10699.0,88774.0,,,
2013-06-01,0.0,0.0,0.0,0.0,0.0,0.0,2677.695,12808.0,106286.0,,,
2013-07-01,0.0,0.0,0.0,0.0,0.0,0.0,3096.659,14812.0,122918.0,,,
2013-08-01,0.0,0.0,0.0,0.0,0.0,0.0,3197.303,15294.0,126914.0,,,
2013-09-01,0.0,0.0,0.0,0.0,0.0,0.0,2388.53,11425.0,94811.0,,,
2013-10-01,0.0,0.0,0.0,0.0,0.0,0.0,1971.201,9429.0,78250.0,,,
2013-11-01,0.0,0.0,0.0,0.0,0.0,0.0,1922.42,9195.0,76314.0,,,
2013-12-01,0.0,0.0,0.0,0.0,0.0,0.0,2800.927,13398.0,111179.0,,,
2014-01-01,0.0,0.0,0.0,0.0,0.0,0.0,31.04,148.0,117304.0,,,
2014-02-01,0.0,0.0,0.0,0.0,0.0,0.0,31.594,151.0,119398.0,,,
2014-03-01,0.0,0.0,0.0,0.0,0.0,0.0,27.99,134.0,105794.0,,,
2014-04-01,0.0,0.0,0.0,0.0,0.0,0.0,18.772,90.0,70946.0,,,
2014-05-01,0.0,0.0,0.0,0.0,0.0,0.0,20.437,98.0,77246.0,,,
2014-06-01,0.0,0.0,0.0,0.0,0.0,0.0,28.725,137.0,108557.0,,,
2014-07-01,0.0,0.0,0.0,0.0,0.0,0.0,33.127,158.0,125206.0,,,
2014-08-01,0.0,0.0,0.0,0.0,0.0,0.0,36.433,174.0,137702.0,,,
2014-09-01,0.0,0.0,0.0,0.0,0.0,0.0,25.929,124.0,97997.0,,,
2014-10-01,0.0,0.0,0.0,0.0,0.0,0.0,26.978,129.0,101957.0,,,
2014-11-01,0.0,0.0,0.0,0.0,0.0,0.0,25.17,120.0,95128.0,,,
2014-12-01,0.0,0.0,0.0,0.0,0.0,0.0,34.805,166.0,131542.0,,,
2015-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128674.0,,,
2015-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136118.0,,,
2015-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124590.0,,,
2015-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95075.0,,,
2015-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100549.0,,,
2015-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123482.0,,,
2015-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142754.0,,,
2015-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136365.0,,,
2015-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112358.0,,,
2015-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87261.0,,,
2015-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61530.0,,,
2015-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88035.0,,,
2016-01-01,,,,,,,0.0,0.0,109624.0,,,
2016-02-01,,,,,,,0.0,0.0,84508.0,,,
2016-03-01,,,,,,,0.0,0.0,62219.0,,,
2016-04-01,,,,,,,0.0,0.0,37266.0,,,
2016-05-01,,,,,,,0.0,0.0,51356.0,,,
2016-06-01,,,,,,,0.0,0.0,119007.0,,,
2016-07-01,,,,,,,0.0,0.0,139830.0,,,
2016-08-01,,,,,,,0.0,0.0,133777.0,,,
2016-09-01,,,,,,,0.0,0.0,97932.0,,,
2016-10-01,,,,,,,0.0,0.0,94232.0,,,
2016-11-01,,,,,,,0.0,0.0,67355.0,,,
2016-12-01,,,,,,,0.0,0.0,102653.0,,,
