measured_on,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed",Natural Gas-Combined Cycle Combustion Turbine Part Generation,Natural Gas-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Natural Gas-Combined Cycle Steam Part Generation,Natural Gas-Combined Cycle Steam Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Steam Part Total Fuel Consumed,"Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2017-09-01,0.0,0.0,0.0,3806.0,48899.0,48899.0,1542.0,0.0,0.0,,,
2017-10-01,0.0,0.0,0.0,415.0,5460.0,5460.0,161.0,0.0,0.0,,,
2017-11-01,0.0,0.0,0.0,248.0,3151.0,3151.0,89.0,0.0,0.0,,,
2017-12-01,0.0,12.0,12.0,260.0,3253.0,3253.0,87.0,0.0,0.0,,,
2018-01-01,0.0,29.0,29.0,46.0,716.0,716.0,19.0,0.0,0.0,,,
2018-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2018-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2018-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2018-05-01,0.0,0.0,0.0,815.0,12299.0,12299.0,337.0,0.0,0.0,,,
2018-06-01,0.0,0.0,0.0,1708.0,25420.0,25420.0,707.0,0.0,0.0,,,
2018-07-01,0.0,0.0,0.0,8655.0,116257.0,116257.0,3580.0,0.0,0.0,,,
2018-08-01,0.0,0.0,0.0,7273.0,96098.0,96098.0,3008.0,0.0,0.0,,,
2018-09-01,0.0,0.0,0.0,3065.0,41086.0,41086.0,1268.0,0.0,0.0,,,
2018-10-01,0.0,0.0,0.0,185.0,3101.0,3101.0,76.0,0.0,0.0,,,
2018-11-01,0.0,0.0,0.0,556.0,7686.0,7686.0,230.0,0.0,0.0,,,
2018-12-01,0.0,0.0,0.0,2420.0,33258.0,33258.0,1001.0,0.0,0.0,,,
2019-01-01,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2019-02-01,0.0,0.0,0.0,1117.0,14369.0,14369.0,462.0,0.0,0.0,,,
2019-03-01,0.0,0.0,0.0,1485.0,18849.0,18849.0,614.0,0.0,0.0,,,
2019-04-01,0.0,0.0,0.0,1806.0,25040.0,25040.0,747.0,0.0,0.0,,,
2019-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2019-06-01,0.0,0.0,0.0,339.0,4944.0,4944.0,140.0,0.0,0.0,,,
2019-07-01,0.0,0.0,0.0,1088.0,15193.0,15193.0,450.0,0.0,0.0,,,
2019-08-01,0.0,0.0,0.0,451.0,5997.0,5997.0,187.0,0.0,0.0,,,
2019-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2019-10-01,0.0,0.0,0.0,155.0,2163.0,2163.0,64.0,0.0,0.0,,,
2019-11-01,0.0,0.0,0.0,156.0,2351.0,2351.0,64.0,0.0,0.0,,,
2019-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2020-01-01,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2020-02-01,0.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2020-03-01,0.0,6.0,6.0,185.0,2369.0,2369.0,77.0,0.0,0.0,,,
2020-04-01,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2020-05-01,0.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2020-06-01,0.0,6.0,6.0,386.0,5665.0,5665.0,160.0,0.0,0.0,,,
2020-07-01,0.0,12.0,12.0,2738.0,36662.0,36662.0,1132.0,0.0,0.0,,,
2020-08-01,0.0,6.0,6.0,716.0,9547.0,9547.0,296.0,0.0,0.0,,,
2020-09-01,0.0,12.0,12.0,255.0,3467.0,3467.0,105.0,0.0,0.0,,,
2020-10-01,0.0,6.0,6.0,227.0,3464.0,3464.0,94.0,0.0,0.0,,,
2020-11-01,0.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2020-12-01,0.0,18.0,18.0,245.0,4776.0,4776.0,101.0,0.0,0.0,,,
2021-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2021-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2021-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2021-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2021-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2021-06-01,0.0,0.0,0.0,5030.0,65500.0,65500.0,2081.0,0.0,0.0,,,
2021-07-01,0.0,0.0,0.0,2570.0,34019.0,34019.0,1063.0,0.0,0.0,,,
2021-08-01,0.0,0.0,0.0,3177.0,42700.0,42700.0,1314.0,0.0,0.0,,,
2021-09-01,0.0,0.0,0.0,395.0,5150.0,5150.0,163.0,0.0,0.0,,,
2021-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2021-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2021-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2022-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2022-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2022-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2022-04-01,0.0,0.0,0.0,189.0,2434.0,2434.0,60.0,0.0,0.0,,,
2022-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2022-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2022-07-01,0.0,0.0,0.0,253.0,3600.0,3600.0,81.0,0.0,0.0,,,
2022-08-01,0.0,0.0,0.0,1144.0,14283.0,14283.0,364.0,0.0,0.0,,,
2022-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2022-10-01,0.0,0.0,0.0,166.0,2335.0,2335.0,53.0,0.0,0.0,,,
2022-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2022-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2023-01-01,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2023-02-01,0.831,11.0,11.0,405.0,5505.0,5505.0,167.0,0.0,0.0,,,
2023-03-01,0.029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2023-04-01,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2023-05-01,0.026,0.0,0.0,2243.0,28992.0,28992.0,928.0,0.0,0.0,,,
2023-06-01,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2023-07-01,0.005,0.0,0.0,765.0,10510.0,10510.0,316.0,0.0,0.0,,,
2023-08-01,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2023-09-01,0.012,0.0,0.0,802.0,11100.0,11100.0,332.0,0.0,0.0,,,
2023-10-01,0.021,0.0,0.0,115.0,2027.0,2027.0,47.0,0.0,0.0,,,
2023-11-01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2023-12-01,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2024-01-01,1.218,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2024-02-01,0.057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2024-03-01,0.363,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2024-04-01,0.088,0.0,0.0,178.0,2777.0,2777.0,74.0,0.0,0.0,,,
2024-05-01,0.044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2024-06-01,0.036,0.0,0.0,1027.0,14700.0,14700.0,425.0,0.0,0.0,,,
2024-07-01,0.071,0.0,0.0,897.0,11900.0,11900.0,371.0,0.0,0.0,,,
2024-08-01,0.047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2024-09-01,0.044,0.0,0.0,194.0,2000.0,2000.0,80.0,0.0,0.0,,,
2024-10-01,0.08,0.0,0.0,137.0,1984.0,1984.0,57.0,0.0,0.0,,,
2024-11-01,0.112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2024-12-01,0.84,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
